+ Add Milestone,+ Tambah Milestone
Upload failed,Gagal mengunggah
Upload files below to attach them to this task.,Unggah berkas di bawah untuk melampirkannya ke tugas ini.
Upload to project,Unggah ke proyek
Uploading...,Mengunggah...
Urgent,Mendesak
User {0} is already linked to client {1},Pengguna {0} sudah tertaut ke klien {1}
User {0} is already linked to resource {1},Pengguna {0} sudah tertaut ke sumber daya {1}
Utilization,Utilisasi
Valid,Valid
Value:,Nilai:
Variance,Varians
Variance:,Varians:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,Lihat
View All,Lihat Semua
View all active projects,Lihat semua proyek aktif
View all open tasks,Lihat semua tugas terbuka
View overdue tasks,Lihat tugas terlambat
View Release,View Release
Visibility,Visibilitas
Waiting for this task,Menunggu tugas ini
Waits for:,Menunggu:
Warning: Resource {0} status is {1},Peringatan: Status sumber daya {0} adalah {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,Peringatan: Menggunakan HTTP alih-alih HTTPS. Muatan webhook mungkin tidak aman.
Watch budget closely,Pantau anggaran dengan cermat
We'll respond to:,Kami akan merespons ke:
Webhook deleted,Webhook dihapus
Webhook name is required,Nama webhook diperlukan
Webhook not found,Webhook tidak ditemukan
Webhook URL is required,URL webhook diperlukan
Webhook URL must start with http:// or https://,URL webhook harus dimulai dengan http:// atau https://
Wed,Rab
Week,Minggu
Weekend,Akhir Pekan
Weekly Capacity,Kapasitas Mingguan
weekly capacity,kapasitas mingguan
Weekly Capacity (h),Kapasitas Mingguan (j)
Welcome,Selamat Datang
Welcome back!,Selamat datang kembali!
Welcome to Orga,Selamat Datang di Orga
What are you working on?,Apa yang sedang Anda kerjakan?
What did you work on?,Apa yang Anda kerjakan?
When,Kapan
When work begins,Saat pekerjaan dimulai
When work is due,Saat pekerjaan jatuh tempo
Where,Di mana
Will capture:,Akan menangkap:
Will create:,Akan membuat:
with checklist items,dengan item daftar periksa
Working,Dikerjakan
Workload,Beban Kerja
Workmanship,Pengerjaan
Write a comment...,Tulis komentar...
Write a comment... Use @name to mention (Ctrl+Enter to send),Tulis komentar... Gunakan @nama untuk menyebut (Ctrl+Enter untuk mengirim)
Year,Tahun
Yes,Ya
Yesterday,Kemarin
yesterday,kemarin
You are not an attendee of this appointment,Anda bukan peserta janji temu ini
You are not linked to any resource,Anda tidak tertaut ke sumber daya mana pun
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,Anda hanya dapat menghapus komentar Anda sendiri
You can only delete your own reactions,Anda hanya dapat menghapus reaksi Anda sendiri
You do not have access to the client portal. Please contact support.,Anda tidak memiliki akses ke portal klien. Silakan hubungi dukungan.
You have already reacted with '{0}',Anda sudah memberikan reaksi '{0}'
You have been assigned to task '{0}' in project '{1}'.,Anda telah ditugaskan ke tugas '{0}' di proyek '{1}'.
You have been assigned to: {0},Anda telah ditugaskan ke: {0}
You have been invited to the following appointment,Anda telah diundang ke janji temu berikut
You have no tasks assigned to you right now.,Anda tidak memiliki tugas yang ditugaskan saat ini.
You were mentioned in {0},Anda disebutkan di {0}
Your attendance,Kehadiran Anda
Your comment has been posted,Komentar Anda telah dikirim
Your Projects,Proyek Anda
Your projects will appear here once they're assigned to you.,Proyek Anda akan muncul di sini setelah ditugaskan kepada Anda.
Your Response,Respons Anda
Your RSVP,RSVP Anda
Your support request has been submitted successfully.,Permintaan dukungan Anda telah berhasil dikirim.
Your support request has been submitted successfully. We'll get back to you shortly.,Permintaan dukungan Anda telah berhasil dikirim. Kami akan segera menghubungi Anda.
"Your task ""{0}"" is no longer blocked and can now be started.","Tugas Anda ""{0}"" tidak lagi terblokir dan sekarang dapat dimulai."
{0} is required,{0} diperlukan
{0} new activities,{0} aktivitas baru
{0} of {1} completed,{0} dari {1} selesai
{0} projects already migrated (will be skipped or updated),{0} proyek sudah dimigrasi (akan dilewati atau diperbarui)
{0} status changed to {1},Status {0} diubah menjadi {1}
{0} tasks remaining,{0} tugas tersisa
{0} tasks without projects will be skipped,{0} tugas tanpa proyek akan dilewati
{0} {1} not found,{0} {1} tidak ditemukan
