+ Add Milestone,+ Legg til milepael
Welcome to Orga,Velkommen til Orga
What are you working on?,Hva jobber du med?
What did you work on?,Hva jobbet du med?
When,Nar
When work begins,Nar arbeidet begynner
When work is due,Nar arbeidet forfaller
Where,Hvor
Will capture:,Vil fange:
Will create:,Vil opprette:
with checklist items,med sjekklistepunkter
Working,Arbeider
Workload,Arbeidsbelastning
Workmanship,Utforelse
Write a comment...,Skriv en kommentar...
Write a comment... Use @name to mention (Ctrl+Enter to send),Skriv en kommentar... Bruk @navn for a nevne (Ctrl+Enter for a sende)
Year,Ar
Yes,Ja
Yesterday,I gar
yesterday,i gar
You are not an attendee of this appointment,Du er ikke en deltaker i dette motet
You are not linked to any resource,Du er ikke lenket til noen ressurs
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,Du kan bare slette dine egne kommentarer
You can only delete your own reactions,Du kan bare slette dine egne reaksjoner
You do not have access to the client portal. Please contact support.,Du har ikke tilgang til klientportalen. Kontakt support.
You have already reacted with '{0}',"Du har allerede reagert med ""{0}"""
You have been assigned to task '{0}' in project '{1}'.,"Du er tildelt oppgaven ""{0}"" i prosjektet ""{1}""."
You have been assigned to: {0},Du er tildelt: {0}
You have been invited to the following appointment,Du er invitert til folgende mote
You have no tasks assigned to you right now.,Du har ingen oppgaver tildelt akkurat na.
You were mentioned in {0},Du ble nevnt i {0}
Your attendance,Din deltakelse
Your comment has been posted,Kommentaren din er publisert
Your Projects,Dine prosjekter
Your projects will appear here once they're assigned to you.,Prosjektene dine vises her nar de tildeles deg.
Your Response,Ditt svar
Your RSVP,Ditt RSVP
Your support request has been submitted successfully.,Supportforesporselen din er sendt.
Your support request has been submitted successfully. We'll get back to you shortly.,Supportforesporselen din er sendt. Vi tar kontakt snart.
"Your task ""{0}"" is no longer blocked and can now be started.","Oppgaven din ""{0}"" er ikke lenger blokkert og kan na startes."
{0} is required,{0} er pakrevd
{0} new activities,{0} nye aktiviteter
{0} of {1} completed,{0} av {1} fullfort
{0} projects already migrated (will be skipped or updated),{0} prosjekter allerede migrert (hoppes over eller oppdateres)
{0} status changed to {1},{0} status endret til {1}
{0} tasks remaining,{0} oppgaver gjenstar
{0} tasks without projects will be skipped,{0} oppgaver uten prosjekter hoppes over
{0} {1} not found,{0} {1} ikke funnet
