+ Add Milestone,+ Mijlpaal toevoegen
User {0} is already linked to client {1},Gebruiker {0} is al gekoppeld aan klant {1}
User {0} is already linked to resource {1},Gebruiker {0} is al gekoppeld aan contactpersoon {1}
Utilization,Benutting
Valid,Geldig
Value:,Waarde:
Variance,Afwijking
Variance:,Afwijking:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,Weergave
View All,Alles bekijken
View all active projects,Alle actieve projecten bekijken
View all open tasks,Alle open taken bekijken
View overdue tasks,Verlopen taken bekijken
View Release,View Release
Visibility,Zichtbaarheid
Waiting for this task,Wachtend op deze taak
Waits for:,Wacht op:
Warning: Resource {0} status is {1},Waarschuwing: Contactpersoon {0} heeft status {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,Waarschuwing: HTTP wordt gebruikt in plaats van HTTPS. Webhookgegevens zijn mogelijk niet beveiligd.
Watch budget closely,Budget nauwlettend in de gaten houden
We'll respond to:,Wij reageren op:
Webhook deleted,Webhook verwijderd
Webhook name is required,Webhooknaam is vereist
Webhook not found,Webhook niet gevonden
Webhook URL is required,Webhook-URL is vereist
Webhook URL must start with http:// or https://,Webhook-URL moet beginnen met http:// of https://
Wed,Wo
Week,Week
Weekend,Weekend
Weekly Capacity,Wekelijkse capaciteit
weekly capacity,wekelijkse capaciteit
Weekly Capacity (h),Wekelijkse capaciteit (u)
Welcome,Welkom
Welcome back!,Welkom terug!
Welcome to Orga,Welkom bij Orga
What are you working on?,Waar werkt u aan?
What did you work on?,Waar heeft u aan gewerkt?
When,Wanneer
When work begins,Wanneer het werk begint
When work is due,Wanneer het werk af moet zijn
Where,Waar
Will capture:,Zal vastleggen:
Will create:,Zal aanmaken:
with checklist items,met controlelijstitems
Working,In uitvoering
Workload,Werkbelasting
Workmanship,Vakmanschap
Write a comment...,Schrijf een opmerking...
Write a comment... Use @name to mention (Ctrl+Enter to send),Schrijf een opmerking... Gebruik @naam om te vermelden (Ctrl+Enter om te verzenden)
Year,Jaar
Yes,Ja
Yesterday,Gisteren
yesterday,gisteren
You are not an attendee of this appointment,U bent geen deelnemer van deze afspraak
You are not linked to any resource,U bent niet gekoppeld aan een contactpersoon
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,U kunt alleen uw eigen opmerkingen verwijderen
You can only delete your own reactions,U kunt alleen uw eigen reacties verwijderen
You do not have access to the client portal. Please contact support.,U heeft geen toegang tot het klantenportaal. Neem contact op met support.
You have already reacted with '{0}',U heeft al gereageerd met '{0}'
You have been assigned to task '{0}' in project '{1}'.,U bent toegewezen aan taak '{0}' in project '{1}'.
You have been assigned to: {0},U bent toegewezen aan: {0}
You have been invited to the following appointment,U bent uitgenodigd voor de volgende afspraak
You have no tasks assigned to you right now.,U heeft op dit moment geen taken toegewezen.
You were mentioned in {0},U werd vermeld in {0}
Your attendance,Uw aanwezigheid
Your comment has been posted,Uw opmerking is geplaatst
Your Projects,Uw projecten
Your projects will appear here once they're assigned to you.,Uw projecten verschijnen hier zodra ze aan u zijn toegewezen.
Your Response,Uw antwoord
Your RSVP,Uw RSVP
Your support request has been submitted successfully.,Uw supportverzoek is succesvol ingediend.
Your support request has been submitted successfully. We'll get back to you shortly.,Uw supportverzoek is succesvol ingediend. Wij nemen binnenkort contact met u op.
"Your task ""{0}"" is no longer blocked and can now be started.","Uw taak ""{0}"" is niet langer geblokkeerd en kan nu worden gestart."
{0} is required,{0} is vereist
{0} new activities,{0} nieuwe activiteiten
{0} of {1} completed,{0} van {1} voltooid
{0} projects already migrated (will be skipped or updated),{0} projecten al gemigreerd (worden overgeslagen of bijgewerkt)
{0} status changed to {1},Status van {0} gewijzigd naar {1}
{0} tasks remaining,{0} taken resterend
{0} tasks without projects will be skipped,{0} taken zonder projecten worden overgeslagen
{0} {1} not found,{0} {1} niet gevonden
