+ Add Milestone,+ ምዕራፍ ጨምር
Project name and template name are required,የፕሮጀክት ስም እና የአብነት ስም ያስፈልጋል
Project name is required,የፕሮጀክት ስም ያስፈልጋል
Project not found,ፕሮጀክት አልተገኘም
Project not found or you do not have access,ፕሮጀክት አልተገኘም ወይም መዳረሻ የለዎትም
Project settings,የፕሮጀክት ቅንብሮች
Project start date has been saved.,የፕሮጀክት ጅምር ቀን ተቀምጧል።
Project title has been saved.,የፕሮጀክት ርዕስ ተቀምጧል።
Project Type,የፕሮጀክት ዓይነት
Project updated,ፕሮጀክት ተዘምኗል
Project {0} linked to client {1},ፕሮጀክት {0} ከደንበኛ {1} ጋር ተገናኝቷል
Project {0} not found,ፕሮጀክት {0} አልተገኘም
Project {0} to Frappe Projects,ፕሮጀክት {0} ወደ Frappe ፕሮጀክቶች
Project:,ፕሮጀክት:
Projects,ፕሮጀክቶች
projects,ፕሮጀክቶች
Projects created:,የተፈጠሩ ፕሮጀክቶች:
Projects Overview,የፕሮጀክቶች አጠቃላይ ዕይታ
Projects skipped:,የተዘለሉ ፕሮጀክቶች:
Projects updated:,የተዘመኑ ፕሮጀክቶች:
Promote failed,ማሳደግ አልተሳካም
Promote to task,ወደ ተግባር አሳድግ
Promoted to task,ወደ ተግባር ተሳድጓል
Propose,አቅርብ
Propose New Time,አዲስ ሰዓት አቅርብ
Propose Time,ሰዓት አቅርብ
Proposed End,የቀረበ ማብቂያ
Proposed Start,የቀረበ ጅምር
Public,ይፋ
Quick Action,ፈጣን ድርጊት
Quick Actions,ፈጣን ድርጊቶች
Quick Stats,ፈጣን ስታቲስቲክስ
Rates,ተመኖች
Receive notifications via email,ማሳወቂያዎችን በኢሜይል ይቀበሉ
Receive notifications within the application,በመተግበሪያ ውስጥ ማሳወቂያዎችን ይቀበሉ
Recent Activity,ቅርብ ጊዜ እንቅስቃሴ
Recipient {0} is not a valid user,ተቀባይ {0} ልክ ያልሆነ ተጠቃሚ ነው
Reference,ማጣቀሻ
Refresh,አድስ
Related,ተዛማጅ
Related Company (optional),ተዛማጅ ኩባንያ (ምርጫ)
Related Documents,ተዛማጅ ሰነዶች
Related Project,ተዛማጅ ፕሮጀክት
Remaining,የቀረ
Reminder,ማስታወሻ
Reminder Lead Time,የማስታወሻ ቅድመ ሰዓት
Reminder: {0} - {1} at {2},ማስታወሻ: {0} - {1} በ{2}
Remove,አስወግድ
Remove dependency,ጥገኝነት አስወግድ
Remove dependency on,ጥገኝነት አስወግድ ከ
Remove from group,ከቡድን አስወግድ
Remove group dependency,የቡድን ጥገኝነት አስወግድ
Remove skill,ክህሎት አስወግድ
Reopen,እንደገና ክፈት
Reopen thread,ክር እንደገና ክፈት
reopened,እንደገና ተከፍቷል
replies,ምላሾች
Reply,መልስ
reply,ምላሽ
Replying to,ለ ምላሽ
Replying to comment,ለአስተያየት ምላሽ
Report Defect,ጉድለት ዘግብ
Reported Date,የተዘገበ ቀን
Reports,ሪፖርቶች
Reports To,ሪፖርት ይደረጋል ለ
Request Submitted!,ጥያቄ ቀርቧል!
Required,ያስፈልጋል
required,ያስፈልጋል
Research,ጥናት
Reset to Defaults,ወደ ነባሪ መልስ
Resolve,ፍታ
Resolve thread,ክር ፍታ
Resolved,ተፈትቷል
Resolved date cannot be before reported date,የመፍትሄ ቀን ከተዘገበ ቀን በፊት ሊሆን አይችልም
Resource,ሀብት
Resource and skill name are required,ሀብት እና የክህሎት ስም ያስፈልጋል
Resource is already an attendee,ሀብት ቀድሞውንም ተሳታፊ ነው
Resource name is required,የሀብት ስም ያስፈልጋል
Resource not found,ሀብት አልተገኘም
Resource synced from employee {0},ሀብት ከሰራተኛ {0} ተመሳስሏል
Resource {0} is already assigned to this task ({1}),ሀብት {0} ቀድሞውንም ለዚህ ተግባር ({1}) ተመድቧል
Resource {0} not found,ሀብት {0} አልተገኘም
Resources,ሀብቶች
Retry,እንደገና ሞክር
Review,ግምገማ
Review all relevant documents and contracts,ሁሉንም ተዛማጅ ሰነዶች እና ውሎችን ገምግም
Reviews,ግምገማዎች
Risk Assessment,የአደጋ ግምገማ
Rollback,ወደ ኋላ መልስ
Rolled back,ወደ ኋላ ተመልሷል
Room or address,ክፍል ወይም አድራሻ
RSVP,RSVP
Safety,ደህንነት
Sat,ቅዳሜ
Save,አስቀምጥ
"Save a project as a template, or import one from a JSON file.",ፕሮጀክትን እንደ አብነት አስቀምጥ ወይም ከJSON ፋይል አስመጣ።
Save as Template,እንደ አብነት አስቀምጥ
Save Changes,ለውጦችን አስቀምጥ
Save failed,ማስቀመጥ አልተሳካም
Save Preferences,ምርጫዎችን አስቀምጥ
Save Template,አብነት አስቀምጥ
Saving...,በማስቀመጥ ላይ...
Schedule,የሰዓት ሰሌዳ
Schedule type is required for scheduled triggers,ለታቀዱ ማስጀመሪያዎች የሰዓት ሰሌዳ ዓይነት ያስፈልጋል
Scheduled,ታቅዷል
Search,ፈልግ
"Search by name, email, or skill...",በስም፣ ኢሜይል ወይም ክህሎት ፈልግ...
Search for a project...,ፕሮጀክት ፈልግ...
Search for a task...,ተግባር ፈልግ...
Search for an event...,ክስተት ፈልግ...
Search for people to invite...,ለመጋበዝ ሰዎችን ፈልግ...
Search tasks to link...,ለማገናኘት ተግባራትን ፈልግ...
Search tasks...,ተግባራትን ፈልግ...
Search...,ፈልግ...
Searching...,በመፈለግ ላይ...
Seen,ታይቷል
Select a project if your request is related to a specific project.,ጥያቄዎ ከተወሰነ ፕሮጀክት ጋር የተዛመደ ከሆነ ፕሮጀክት ይምረጡ።
Select a project...,ፕሮጀክት ይምረጡ...
Select a task from the Gantt chart to view and manage its details.,ዝርዝሮቹን ለማየት እና ለማስተዳደር ከጋንት ቻርት ተግባር ይምረጡ።
Select a task from the list or Kanban board to view and manage its details.,ዝርዝሮቹን ለማየት እና ለማስተዳደር ከዝርዝር ወይም ካንባን ቦርድ ተግባር ይምረጡ።
Select a template...,አብነት ይምረጡ...
Select priority...,ቅድሚያ ይምረጡ...
Select status...,ሁኔታ ይምረጡ...
Select task...,ተግባር ይምረጡ...
Select type...,ዓይነት ይምረጡ...
Selection,ምርጫ
Send,ላክ
Send comment,አስተያየት ላክ
Send email invitations to attendees,ለተሳታፊዎች የኢሜይል ግብዣዎችን ላክ
Send Invitations,ግብዣዎችን ላክ
Send notification when a task is assigned to a user,ተግባር ለተጠቃሚ ሲመደብ ማሳወቂያ ላክ
Send notification when task status changes,የተግባር ሁኔታ ሲቀየር ማሳወቂያ ላክ
Send reminder before task due date,ከተግባር መጨረሻ ቀን በፊት ማስታወሻ ላክ
sent,ተልኳል
Set rate,ተመን ያዘጋጁ
Settings,ቅንብሮች
Settings saved successfully,ቅንብሮች በተሳካ ሁኔታ ተቀምጠዋል
Severity,ክብደት
SF (Start-Finish),SF (ጅምር-ማጠናቀቂያ)
SF - Start-to-Finish,SF - ጅምር ወደ ማጠናቀቂያ
Show,አሳይ
Show all,ሁሉንም አሳይ
Show all changes,ሁሉንም ለውጦች አሳይ
Show Archived,የተመዘገቡትን አሳይ
Show full diff,ሙሉ ልዩነት አሳይ
Show less,ያነሰ አሳይ
Show more,ተጨማሪ አሳይ
Skill added,ክህሎት ተጨምሯል
Skill is required,ክህሎት ያስፈልጋል
Skill Name,የክህሎት ስም
Skill removed,ክህሎት ተወግዷል
Skill {0} already exists for this resource,ክህሎት {0} ለዚህ ሀብት ቀድሞውንም አለ
Skills,ክህሎቶች
Skills & Competencies,ክህሎቶች እና ብቃቶች
Skip already migrated projects,ቀድሞ የተዛወሩ ፕሮጀክቶችን ዘለል
Sort by,አስተካክል በ
Sort: Due Date,ቅደም ተከተል: የመጨረሻ ቀን
Sort: Priority,ቅደም ተከተል: ቅድሚያ
Sort: Project,ቅደም ተከተል: ፕሮጀክት
Sort: Status,ቅደም ተከተል: ሁኔታ
Sort: Task,ቅደም ተከተል: ተግባር
Source Code,ምንጭ ኮድ
Spent,የተወጣ
Spent:,ወጪ:
SS (Start-Start),SS (ጅምር-ጅምር)
SS - Start-to-Start,SS - ጅምር ወደ ጅምር
Standalone,ራሱን የቻለ
Start,ጅምር
Start a discussion below,ከዚህ በታች ውይይት ጀምር
Start Date,የጅምር ቀን
Start date,የጅምር ቀን
Start Date (Earliest),የጅምር ቀን (ቀደምት)
Start date updated,የጅምር ቀን ተዘምኗል
Start date/time is required,የጅምር ቀን/ሰዓት ያስፈልጋል
Start Migration,ዝውውር ጀምር
Start the conversation below.,ከዚህ በታች ውይይትን ጀምር።
Start Timer,ሰዓት ቆጣሪ ጀምር
Start typing to search...,ለመፈለግ መተየብ ጀምር...
Start-to-Finish,ጅምር ወደ ማጠናቀቂያ
Start-to-Start,ጅምር ወደ ጅምር
Start:,ጅምር:
Statistics reset,ስታቲስቲክስ ዳግም ተቀናብሯል
Status,ሁኔታ
Status assigned to new projects,ለአዲስ ፕሮጀክቶች የተመደበ ሁኔታ
Status assigned to new tasks,ለአዲስ ተግባራት የተመደበ ሁኔታ
Status Changes,የሁኔታ ለውጦች
Status updated,ሁኔታ ተዘምኗል
Status:,ሁኔታ:
Stop,አቁም
Stop & Save,አቁም እና አስቀምጥ
Stop Timer,ሰዓት ቆጣሪ አቁም
Stops current timer and starts for this event,የአሁኑን ሰዓት ቆጣሪ አቁም እና ለዚህ ክስተት ጀምር
Stops current timer and starts for this task,የአሁኑን ሰዓት ቆጣሪ አቁም እና ለዚህ ተግባር ጀምር
Subject,ርዕሰ ጉዳይ
Subject cannot exceed 255 characters,ርዕሰ ጉዳይ ከ255 ቁምፊዎች መብለጥ አይችልም
Subject is required,ርዕሰ ጉዳይ ያስፈልጋል
Submit,አቅርብ
Submit Another Request,ሌላ ጥያቄ አቅርብ
Submit Request,ጥያቄ አቅርብ
Submitting...,በማቅረብ ላይ...
Successfully saved,በተሳካ ሁኔታ ተቀምጧል
Successors (Blocking),ተከታዮች (ማገድ)
Sun,እሑድ
Supplier,አቅራቢ
Support,ድጋፍ
Switch to this event,ወደ ይህ ክስተት ቀይር
Switch to this task,ወደ ይህ ተግባር ቀይር
Sync direction is set to Frappe to Orga only,የማመሳሰል አቅጣጫ ከFrappe ወደ Orga ብቻ ተቀናብሯል
Sync direction is set to Orga to Frappe only,የማመሳሰል አቅጣጫ ከOrga ወደ Frappe ብቻ ተቀናብሯል
Sync not enabled for this project,ለዚህ ፕሮጀክት ማመሳሰል አልተነቃም
System,ስርዓት
Table,ሠንጠረዥ
Take ownership of this task,የዚህን ተግባር ባለቤትነት ያዝ
Target Date,የዒላማ ቀን
Target End,የዒላማ ማብቂያ
Target Project,የዒላማ ፕሮጀክት
Target user is required for '{0}' action,ለ'{0}' ድርጊት የዒላማ ተጠቃሚ ያስፈልጋል
Task,ተግባር
task,ተግባር
Task '{0}' is due on {1}.,ተግባር '{0}' የመጨረሻ ቀን {1} ነው።
Task and resource are required,ተግባር እና ሀብት ያስፈልጋል
Task Assignment,የተግባር ምደባ
Task cannot be its own parent,ተግባር የራሱ ወላጅ ሊሆን አይችልም
Task cannot depend on itself,ተግባር በራሱ ሊመካ አይችልም
Task cannot depend on the group it belongs to,ተግባር የሚገኝበት ቡድን ላይ ሊመካ አይችልም
Task created,ተግባር ተፈጥሯል
Task deleted,ተግባር ተሰርዟል
Task description has been saved.,የተግባር መግለጫ ተቀምጧል።
Task Details,የተግባር ዝርዝሮች
Task due in {0} days: {1},ተግባር በ{0} ቀናት ውስጥ ይጠናቀቃል: {1}
Task due today: {0},ዛሬ ያበቃል ተግባር: {0}
Task due tomorrow: {0},ነገ ያበቃል ተግባር: {0}
Task duplicated,ተግባር ተባዝቷል
Task Group,የተግባር ቡድን
Task ID is required,የተግባር መታወቂያ ያስፈልጋል
Task is blocked by incomplete dependencies,ተግባር ባልተጠናቀቁ ጥገኝነቶች ታግዷል
Task is cancelled,ተግባር ተሰርዟል
Task is completed,ተግባር ተጠናቅቋል
Task is no longer blocked by a group,ተግባር ከአሁን በኋላ በቡድን አልታገደም
Task is required for task context,ለተግባር አውድ ተግባር ያስፈልጋል
Task is required when tracking context is 'task',የክትትል አውድ 'task' ሲሆን ተግባር ያስፈልጋል
Task linked,ተግባር ተገናኝቷል
Task moved,ተግባር ተንቀሳቅሷል
Task name,የተግባር ስም
Task name is required,የተግባር ስም ያስፈልጋል
Task removed from group,ተግባር ከቡድን ተወግዷል
Task Subject,የተግባር ርዕሰ ጉዳይ
Task subject is required,የተግባር ርዕሰ ጉዳይ ያስፈልጋል
Task Type,የተግባር ዓይነት
Task unblocked: {0},ተግባር ያልታገደ: {0}
Task unlinked,ተግባር ተለያይቷል
Task updated,ተግባር ተዘምኗል
Task {0} not found,ተግባር {0} አልተገኘም
Task {0} not in project {1},ተግባር {0} በፕሮጀክት {1} ውስጥ የለም
Task {0} to Frappe,ተግባር {0} ወደ Frappe
Tasks,ተግባራት
tasks,ተግባራት
Tasks and milestones will be created with dates relative to the project start date.,ተግባራት እና ምዕራፎች ከፕሮጀክት ጅምር ቀን ጋር ተዛማጅ ቀናት ይፈጠራሉ።
Tasks assigned to you across all projects.,በሁሉም ፕሮጀክቶች ውስጥ ለእርስዎ የተመደቡ ተግባራት።
Tasks created:,የተፈጠሩ ተግባራት:
Tasks from projects you manage.,ከሚያስተዳድሩት ፕሮጀክቶች ተግባራት።
Tasks updated:,የተዘመኑ ተግባራት:
"Tasks, milestones, and dependencies have been created.",ተግባራት፣ ምዕራፎች እና ጥገኝነቶች ተፈጥረዋል።
Tasks:,ተግባራት:
TBD,ሊወሰን ያልሆነ
Team,ቡድን
Team Members,የቡድን አባላት
Template,አብነት
Template applied,አብነት ተተግብሯል
Template data is required in import data,በማስመጣት ውሂብ ውስጥ የአብነት ውሂብ ያስፈልጋል
Template has no data,አብነት ውሂብ የለውም
Template Name,የአብነት ስም
Template name,የአብነት ስም
Template name is required,የአብነት ስም ያስፈልጋል
Template name is required in import data,በማስመጣት ውሂብ ውስጥ የአብነት ስም ያስፈልጋል
Template saved,አብነት ተቀምጧል
Template updated successfully.,አብነት በተሳካ ሁኔታ ተዘምኗል።
Template {0} not found,አብነት {0} አልተገኘም
Templates,አብነቶች
Tentative,ጊዜያዊ
The comment has been deleted,አስተያየቱ ተሰርዟል
The project,ፕሮጀክቱ
The source document may have been deleted.,ምንጭ ሰነዱ ተሰርዞ ሊሆን ይችላል።
The source document will not be affected.,ምንጭ ሰነዱ ላይ ተጽዕኖ አይኖረውም።
The status of '{0}' was changed from {1} to {2}.,የ'{0}' ሁኔታ ከ{1} ወደ {2} ተቀይሯል።
Theme,ገጽታ
Theme preference,የገጽታ ምርጫ
This action,ይህ ድርጊት
This action cannot be undone.,ይህ ድርጊት መልሶ ማግኘት አይቻልም።
This activity has been flagged for attention,ይህ እንቅስቃሴ ለትኩረት ምልክት ተደርጓል
This is a reminder for your upcoming appointment,ይህ ለቀጣዩ ቀጠሮዎ ማስታወሻ ነው
This method is only meant for developer mode,ይህ ዘዴ ለገንቢ ሁነታ ብቻ ነው
This page wandered off,This page wandered off
This Week,ይህ ሳምንት
This will delete all notes and preferences associated with this activity.,ይህ ከዚህ እንቅስቃሴ ጋር የተዛመዱ ሁሉንም ማስታወሻዎች እና ምርጫዎች ይሰርዛል።
This will import all Frappe Projects into Orga. Continue?,ይህ ሁሉንም Frappe ፕሮጀክቶች ወደ Orga ያስመጣል። ይቀጥል?
This will permanently delete,ይህ ቋሚ ይሰርዛል
This will permanently delete:,ይህ ቋሚ ይሰርዛል:
Thu,ሐሙስ
Time,ሰዓት
Time & Billing,ሰዓት እና ክፍያ
Time & Revenue,ሰዓት እና ገቢ
Time Entries,የሰዓት ግቤቶች
Time log name is required,የሰዓት መዝገብ ስም ያስፈልጋል
Time Log not found,የሰዓት መዝገብ አልተገኘም
Time log {0} not found,የሰዓት መዝገብ {0} አልተገኘም
Time Logs,የሰዓት መዝገቦች
Time Summary,የሰዓት ማጠቃለያ
Time Tracking,የሰዓት ክትትል
Timeline,የጊዜ መስመር
Timer active on,ሰዓት ቆጣሪ ንቁ ነው
Timer is not running,ሰዓት ቆጣሪ እየሰራ አይደለም
Timer Running,ሰዓት ቆጣሪ እየሰራ ነው
Timer running,ሰዓት ቆጣሪ እየሰራ ነው
Timesheet DocType not available,Timesheet DocType አይገኝም
Timesheets,የሰዓት ወረቀቶች
Timezone,የሰዓት ዞን
Timezone is detected from your browser,የሰዓት ዞን ከአሳሽዎ ተገኝቷል
Title,ርዕስ
Title cannot exceed 255 characters,ርዕስ ከ255 ቁምፊዎች መብለጥ አይችልም
Title is required,ርዕስ ያስፈልጋል
Title updated,ርዕስ ተዘምኗል
To,ወደ
to,ወደ
to cancel,ለመሰረዝ
to close,ለመዝጋት
to confirm:,ለማረጋገጥ:
to edit,ለማስተካከል
"to save,",ለማስቀመጥ፣
To Time cannot be before From Time,ማብቂያ ሰዓት ከጅምር ሰዓት በፊት ሊሆን አይችልም
Today,ዛሬ
today,ዛሬ
Toggle billable,ሊከፈል የሚችል ቀያይር
Toggle Details Panel,ዝርዝሮች ፓነል ቀያይር
Toggle Manager Panel,አስተዳዳሪ ፓነል ቀያይር
Toggle Sidebar,ጎን አሞሌ ቀያይር
Tomorrow,ነገ
tomorrow,ነገ
Total,ጠቅላላ
Total Budget,ጠቅላላ በጀት
Total Contacts,ጠቅላላ እውቂያዎች
Total Cost,ጠቅላላ ወጪ
Total Cost to Org,ለድርጅቱ ጠቅላላ ወጪ
Total Defect Cost,ጠቅላላ የጉድለት ወጪ
Total Hours,ጠቅላላ ሰዓታት
Total Hours Logged,ጠቅላላ የተመዘገቡ ሰዓታት
Total Projects,ጠቅላላ ፕሮጀክቶች
Total Spent,ጠቅላላ ወጪ
Total Tasks,ጠቅላላ ተግባራት
Total:,ጠቅላላ:
Tracked,ተከታትሏል
trails to today while Open at 0%,0% ላይ ክፍት ሆኖ ዛሬ ድረስ ይከታተላል
Tried:,Tried:
Try adjusting your filter criteria,የማጣሪያ መስፈርቶችዎን ማስተካከል ይሞክሩ
Try adjusting your filters.,ማጣሪያዎችዎን ማስተካከል ይሞክሩ።
Try Again,እንደገና ሞክር
Tue,ማክሰኞ
Type,ዓይነት
Type updated,ዓይነት ተዘምኗል
Type:,ዓይነት:
Typical response time: 1-2 business days,ተለምዶ የምላሽ ሰዓት: 1-2 የስራ ቀናት
Unarchive,ከመዝገብ አውጣ
Unarchive Activity,የእንቅስቃሴ ማዝገብ ሰርዝ
Unassign,ምደባ ሰርዝ
Unassigned,ያልተመደበ
Under Budget,ከበጀት በታች
Ungrouped,ያልተቧደነ
Unknown,ያልታወቀ
Unknown error,ያልታወቀ ስህተት
Unlink failed,ማለያየት አልተሳካም
Unlink task from milestone,ተግባርን ከምዕራፍ ለይ
Unpin,ሰካ ላክ
Unpin Activity,ያልተሰካ እንቅስቃሴ
Unread,ያልተነበበ
Unread only,ያልተነበቡ ብቻ
Until,እስከ
Up to Date,Up to Date
Upcoming,ቀጣይ
upcoming,ቀጣይ
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,ማዘመን አልተሳካም
Updated,ተዘምኗል
Updated successfully,በተሳካ ሁኔታ ተዘምኗል
Updates,Updates
Upload,ስቀል
Upload failed,መስቀል አልተሳካም
Upload files below to attach them to this task.,ከዚህ በታች ፋይሎችን ስቀል ለዚህ ተግባር ለማያያዝ።
Upload to project,ወደ ፕሮጀክት ስቀል
Uploading...,በመስቀል ላይ...
Urgent,አስቸኳይ
User {0} is already linked to client {1},ተጠቃሚ {0} ቀድሞውንም ከደንበኛ {1} ጋር ተገናኝቷል
User {0} is already linked to resource {1},ተጠቃሚ {0} ቀድሞውንም ከሀብት {1} ጋር ተገናኝቷል
Utilization,አጠቃቀም
Valid,ልክ
Value:,ዋጋ:
Variance,ልዩነት
Variance:,ልዩነት:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,ዕይታ
View All,ሁሉንም ይመልከቱ
View all active projects,ሁሉንም ንቁ ፕሮጀክቶች ይመልከቱ
View all open tasks,ሁሉንም ክፍት ተግባራት ይመልከቱ
View overdue tasks,ያለፉ ተግባራትን ይመልከቱ
View Release,View Release
Visibility,ታይነት
Waiting for this task,ይህን ተግባር በመጠበቅ ላይ
Waits for:,ይጠብቃል:
Warning: Resource {0} status is {1},ማስጠንቀቂያ: ሀብት {0} ሁኔታ {1} ነው
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,ማስጠንቀቂያ: ከHTTPS ፋንታ HTTP እየተጠቀሙ ነው። Webhook ጭነቶች ደህንነታቸው የተጠበቀ ላይሆን ይችላል።
Watch budget closely,በጀትን በቅርበት ተከታተል
We'll respond to:,እንመልሳለን ለ:
Webhook deleted,Webhook ተሰርዟል
Webhook name is required,የWebhook ስም ያስፈልጋል
Webhook not found,Webhook አልተገኘም
Webhook URL is required,Webhook URL ያስፈልጋል
Webhook URL must start with http:// or https://,Webhook URL በhttp:// ወይም https:// መጀመር አለበት
Wed,ረቡዕ
Week,ሳምንት
Weekend,ቅዳሜ እና እሑድ
Weekly Capacity,ሳምንታዊ አቅም
weekly capacity,ሳምንታዊ አቅም
Weekly Capacity (h),ሳምንታዊ አቅም (ሰ)
Welcome,እንኳን ደህና መጡ
Welcome back!,እንኳን ደህና ተመለሱ!
Welcome to Orga,ወደ Orga እንኳን ደህና መጡ
What are you working on?,ምን እየሰሩ ነው?
What did you work on?,ምን ሰሩ?
When,መቼ
When work begins,ስራ ሲጀመር
When work is due,ስራ ሲያበቃ
Where,የት
Will capture:,ይይዛል:
Will create:,ይፈጥራል:
with checklist items,ከማረጋገጫ ዝርዝር ንጥሎች ጋር
Working,እየሰራ ነው
Workload,የስራ ጫና
Workmanship,የእጅ ሙያ
Write a comment...,አስተያየት ፃፍ...
Write a comment... Use @name to mention (Ctrl+Enter to send),አስተያየት ፃፍ... ለማጣቀስ @name ተጠቀም (ለመላክ Ctrl+Enter)
Year,ዓመት
Yes,አዎ
Yesterday,ትናንት
yesterday,ትናንት
You are not an attendee of this appointment,እርስዎ የዚህ ቀጠሮ ተሳታፊ አይደሉም
You are not linked to any resource,ከየትኛውም ሀብት ጋር አልተገናኙም
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,የራስዎን አስተያየቶች ብቻ መሰረዝ ይችላሉ
You can only delete your own reactions,የራስዎን ምላሾች ብቻ መሰረዝ ይችላሉ
You do not have access to the client portal. Please contact support.,የደንበኛ ፖርታል መዳረሻ የለዎትም። እባክዎ ድጋፍ ያግኙ።
You have already reacted with '{0}',ቀድሞውንም በ'{0}' ምላሽ ሰጥተዋል
You have been assigned to task '{0}' in project '{1}'.,በፕሮጀክት '{1}' ውስጥ ለተግባር '{0}' ተመድበዋል።
You have been assigned to: {0},ለ{0} ተመድበዋል
You have been invited to the following appointment,ለሚከተለው ቀጠሮ ተጋብዘዋል
You have no tasks assigned to you right now.,በአሁኑ ጊዜ ለእርስዎ የተመደቡ ተግባራት የሉም።
You were mentioned in {0},በ{0} ውስጥ ተጠቅሰዋል
Your attendance,ተገኝነትዎ
Your comment has been posted,አስተያየትዎ ተለጥፏል
Your Projects,ፕሮጀክቶችዎ
Your projects will appear here once they're assigned to you.,ፕሮጀክቶችዎ ለእርስዎ ሲመደቡ እዚህ ይታያሉ።
Your Response,ምላሽዎ
Your RSVP,RSVP ዎ
Your support request has been submitted successfully.,የድጋፍ ጥያቄዎ በተሳካ ሁኔታ ቀርቧል።
Your support request has been submitted successfully. We'll get back to you shortly.,የድጋፍ ጥያቄዎ በተሳካ ሁኔታ ቀርቧል። በአጭር ጊዜ ውስጥ እንመልሳለን።
"Your task ""{0}"" is no longer blocked and can now be started.","ተግባርዎ ""{0}"" ከአሁን በኋላ አልታገደም እና አሁን ሊጀመር ይችላል።"
{0} is required,{0} ያስፈልጋል
{0} new activities,{0} አዲስ እንቅስቃሴዎች
{0} of {1} completed,ከ{1} ውስጥ {0} ተጠናቅቋል
{0} projects already migrated (will be skipped or updated),{0} ፕሮጀክቶች ቀድሞ ተዛውረዋል (ይዘለላሉ ወይም ይዘመናሉ)
{0} status changed to {1},{0} ሁኔታ ወደ {1} ተቀይሯል
{0} tasks remaining,{0} ተግባራት ቀርተዋል
{0} tasks without projects will be skipped,ያለ ፕሮጀክቶች {0} ተግባራት ይዘለላሉ
{0} {1} not found,{0} {1} አልተገኘም
