+ Add Milestone,+ Lisää välitavoite
Template applied,Malli otettu käyttöön
Template data is required in import data,Mallin tiedot vaaditaan tuontitiedoissa
Template has no data,Mallissa ei ole tietoja
Template Name,Mallin nimi
Template name,Mallin nimi
Template name is required,Mallin nimi on pakollinen
Template name is required in import data,Mallin nimi vaaditaan tuontitiedoissa
Template saved,Malli tallennettu
Template updated successfully.,Malli päivitetty onnistuneesti.
Template {0} not found,Mallia {0} ei löytynyt
Templates,Mallit
Tentative,Alustava
The comment has been deleted,Kommentti on poistettu
The project,Projekti
The source document may have been deleted.,Lähdedokumentti on saattanut olla poistettu.
The source document will not be affected.,Lähdedokumenttiin ei kosketa.
The status of '{0}' was changed from {1} to {2}.,Kohteen '{0}' tila muutettiin tilasta {1} tilaan {2}.
Theme,Teema
Theme preference,Teema-asetus
This action,Tämä toiminto
This action cannot be undone.,Tätä toimintoa ei voi kumota.
This activity has been flagged for attention,Tämä toiminta on liputettu huomioitavaksi
This is a reminder for your upcoming appointment,Tämä on muistutus tulevasta tapaamisestasi
This method is only meant for developer mode,Tämä menetelmä on tarkoitettu vain kehittäjätilaan
This page wandered off,This page wandered off
This Week,Tällä viikolla
This will delete all notes and preferences associated with this activity.,Tämä poistaa kaikki tähän toimintaan liittyvät muistiinpanot ja asetukset.
This will import all Frappe Projects into Orga. Continue?,Tämä tuo kaikki Frappe-projektit Orga-järjestelmään. Jatketaanko?
This will permanently delete,Tämä poistaa pysyvästi
This will permanently delete:,Tämä poistaa pysyvästi:
Thu,To
Time,Aika
Time & Billing,Aika ja laskutus
Time & Revenue,Aika ja tuotto
Time Entries,Aikamerkinnät
Time log name is required,Aikamerkinnän nimi on pakollinen
Time Log not found,Aikamerkintää ei löytynyt
Time log {0} not found,Aikamerkintää {0} ei löytynyt
Time Logs,Aikamerkinnät
Time Summary,Ajan yhteenveto
Time Tracking,Aikaseuranta
Timeline,Aikajana
Timer active on,Ajastin aktiivinen kohteessa
Timer is not running,Ajastin ei ole käynnissä
Timer Running,Ajastin käynnissä
Timer running,Ajastin käynnissä
Timesheet DocType not available,Tuntilista-DocType ei ole saatavilla
Timesheets,Tuntilistat
Timezone,Aikavyöhyke
Timezone is detected from your browser,Aikavyöhyke tunnistetaan selaimestasi
Title,Otsikko
Title cannot exceed 255 characters,Otsikko ei voi ylittää 255 merkkiä
Title is required,Otsikko on pakollinen
Title updated,Otsikko päivitetty
To,Asti
to,asti
to cancel,peruuttaaksesi
to close,sulkeaksesi
to confirm:,vahvistaaksesi:
to edit,muokataksesi
"to save,","tallentaaksesi,"
To Time cannot be before From Time,Loppuaika ei voi olla ennen alkuaikaa
Today,Tänään
today,tänään
Toggle billable,Vaihda laskutettavuus
Toggle Details Panel,Näytä/piilota tietopaneeli
Toggle Manager Panel,Näytä/piilota hallintapaneeli
Toggle Sidebar,Näytä/piilota sivupalkki
Tomorrow,Huomenna
tomorrow,huomenna
Total,Yhteensä
Total Budget,Kokonaisbudjetti
Total Contacts,Yhteyshenkilöitä yhteensä
Total Cost,Kokonaiskustannus
Total Cost to Org,Kokonaiskustannus organisaatiolle
Total Defect Cost,Vikojen kokonaiskustannus
Total Hours,Tunnit yhteensä
Total Hours Logged,Kirjatut tunnit yhteensä
Total Projects,Projekteja yhteensä
Total Spent,Käytetty yhteensä
Total Tasks,Tehtäviä yhteensä
Total:,Yhteensä:
Tracked,Seurattu
trails to today while Open at 0%,liukuu tähän päivään niin kauan kuin Avoin ja 0%
Tried:,Tried:
Try adjusting your filter criteria,Kokeile muuttaa suodatinkriteerejä
Try adjusting your filters.,Kokeile muuttaa suodattimia.
Try Again,Yritä uudelleen
Tue,Ti
Type,Tyyppi
Type updated,Tyyppi päivitetty
Type:,Tyyppi:
Typical response time: 1-2 business days,Tyypillinen vastausaika: 1-2 arkipäivää
Unarchive,Palauta arkistosta
Unarchive Activity,Palauta toiminta arkistosta
Unassign,Poista vastuutus
Unassigned,Vastuuttamaton
Under Budget,Budjetin alla
Ungrouped,Ryhmittelemätön
Unknown,Tuntematon
Unknown error,Tuntematon virhe
Unlink failed,Linkityksen poisto epäonnistui
Unlink task from milestone,Poista tehtävän linkitys välitavoitteesta
Unpin,Poista kiinnitys
Unpin Activity,Poista toiminnan kiinnitys
Unread,Lukematon
Unread only,Vain lukemattomat
Until,Asti
Up to Date,Up to Date
Upcoming,Tulossa
upcoming,tulossa
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,Päivittäminen epäonnistui
Updated,Päivitetty
Updated successfully,Päivitetty onnistuneesti
Updates,Updates
Upload,Lataa
Upload failed,Lataaminen epäonnistui
Upload files below to attach them to this task.,Lataa tiedostoja alle liittääksesi ne tähän tehtävään.
Upload to project,Lataa projektiin
Uploading...,Ladataan...
Urgent,Kiireellinen
User {0} is already linked to client {1},Käyttäjä {0} on jo linkitetty asiakkaaseen {1}
User {0} is already linked to resource {1},Käyttäjä {0} on jo linkitetty resurssiin {1}
Utilization,Käyttöaste
Valid,Kelvollinen
Value:,Arvo:
Variance,Poikkeama
Variance:,Poikkeama:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,Näkymä
View All,Näytä kaikki
View all active projects,Näytä kaikki aktiiviset projektit
View all open tasks,Näytä kaikki avoimet tehtävät
View overdue tasks,Näytä myöhästyneet tehtävät
View Release,View Release
Visibility,Näkyvyys
Waiting for this task,Odottaa tätä tehtävää
Waits for:,Odottaa:
Warning: Resource {0} status is {1},Varoitus: Resurssin {0} tila on {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,Varoitus: Käytetään HTTP:tä HTTPS:n sijaan. Webhook-tiedot eivät välttämättä ole turvallisia.
Watch budget closely,Seuraa budjettia tarkasti
We'll respond to:,Vastaamme osoitteeseen:
Webhook deleted,Webhook poistettu
Webhook name is required,Webhookin nimi on pakollinen
Webhook not found,Webhookia ei löytynyt
Webhook URL is required,Webhook-URL on pakollinen
Webhook URL must start with http:// or https://,Webhook-URL:n täytyy alkaa http:// tai https://
Wed,Ke
Week,Viikko
Weekend,Viikonloppu
Weekly Capacity,Viikkokapasiteetti
weekly capacity,viikkokapasiteetti
Weekly Capacity (h),Viikkokapasiteetti (t)
Welcome,Tervetuloa
Welcome back!,Tervetuloa takaisin!
Welcome to Orga,Tervetuloa Orga-järjestelmään
What are you working on?,Mitä teet juuri nyt?
What did you work on?,Mitä teit?
When,Milloin
When work begins,Kun työ alkaa
When work is due,Kun työ erääntyy
Where,Missä
Will capture:,Tallentaa:
Will create:,Luo:
with checklist items,tarkistuslistan kohtineen
Working,Työn alla
Workload,Työkuorma
Workmanship,Työn laatu
Write a comment...,Kirjoita kommentti...
Write a comment... Use @name to mention (Ctrl+Enter to send),Kirjoita kommentti... Käytä @nimi mainitaksesi (Ctrl+Enter lähettääksesi)
Year,Vuosi
Yes,Kyllä
Yesterday,Eilen
yesterday,eilen
You are not an attendee of this appointment,Et ole tämän tapaamisen osallistuja
You are not linked to any resource,Sinua ei ole linkitetty mihinkään resurssiin
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,Voit poistaa vain omat kommenttisi
You can only delete your own reactions,Voit poistaa vain omat reaktiosi
You do not have access to the client portal. Please contact support.,Sinulla ei ole pääsyä asiakasportaaliin. Ota yhteyttä tukeen.
You have already reacted with '{0}',Olet jo reagoinut '{0}'-reaktiolla
You have been assigned to task '{0}' in project '{1}'.,Sinut on vastuutettu tehtävään '{0}' projektissa '{1}'.
You have been assigned to: {0},Sinut on vastuutettu: {0}
You have been invited to the following appointment,Sinut on kutsuttu seuraavaan tapaamiseen
You have no tasks assigned to you right now.,Sinulle ei ole vastuutettu tehtäviä juuri nyt.
You were mentioned in {0},Sinut mainittiin kohteessa {0}
Your attendance,Osallistumisesi
Your comment has been posted,Kommenttisi on julkaistu
Your Projects,Projektisi
Your projects will appear here once they're assigned to you.,Projektisi näkyvät täällä kun ne on vastuutettu sinulle.
Your Response,Vastauksesi
Your RSVP,RSVP-vastauksesi
Your support request has been submitted successfully.,Tukipyyntösi on lähetetty onnistuneesti.
Your support request has been submitted successfully. We'll get back to you shortly.,Tukipyyntösi on lähetetty onnistuneesti. Palaamme asiaan pian.
"Your task ""{0}"" is no longer blocked and can now be started.",Tehtäväsi '{0}' ei ole enää estetty ja sen voi nyt aloittaa.
{0} is required,{0} on pakollinen
{0} new activities,{0} uutta toimintaa
{0} of {1} completed,{0} / {1} valmis
{0} projects already migrated (will be skipped or updated),{0} projektia jo siirretty (ohitetaan tai päivitetään)
{0} status changed to {1},{0} tila muutettu tilaan {1}
{0} tasks remaining,{0} tehtävää jäljellä
{0} tasks without projects will be skipped,{0} tehtävää ilman projektia ohitetaan
{0} {1} not found,{0} {1} ei löytynyt
