+ Add Milestone,+ Magdagdag ng Milestone
This method is only meant for developer mode,Ang paraang ito ay para lamang sa developer mode
This page wandered off,This page wandered off
This Week,Ngayong Linggo
This will delete all notes and preferences associated with this activity.,Buburahin nito ang lahat ng tala at preference na kaugnay ng aktibidad na ito.
This will import all Frappe Projects into Orga. Continue?,Ii-import nito ang lahat ng Frappe Projects sa Orga. Magpatuloy?
This will permanently delete,Permanente itong buburahin
This will permanently delete:,Permanente itong buburahin:
Thu,Huw
Time,Oras
Time & Billing,Oras at Pagsingil
Time & Revenue,Oras at Kita
Time Entries,Mga Entry ng Oras
Time log name is required,Kinakailangan ang pangalan ng time log
Time Log not found,Hindi nahanap ang Time Log
Time log {0} not found,Hindi nahanap ang time log {0}
Time Logs,Mga Time Log
Time Summary,Buod ng Oras
Time Tracking,Pagsubaybay ng Oras
Timeline,Timeline
Timer active on,Aktibo ang timer sa
Timer is not running,Hindi tumatakbo ang timer
Timer Running,Tumatakbo ang Timer
Timer running,Tumatakbo ang timer
Timesheet DocType not available,Hindi available ang Timesheet DocType
Timesheets,Mga Timesheet
Timezone,Timezone
Timezone is detected from your browser,Ang timezone ay naka-detect mula sa iyong browser
Title,Pamagat
Title cannot exceed 255 characters,Hindi maaaring lumampas sa 255 karakter ang pamagat
Title is required,Kinakailangan ang pamagat
Title updated,Na-update ang pamagat
To,Hanggang
to,sa
to cancel,para kanselahin
to close,para isara
to confirm:,para kumpirmahin:
to edit,para i-edit
"to save,","para i-save,"
To Time cannot be before From Time,Ang oras ng pagtatapos ay hindi maaaring mauna sa oras ng simula
Today,Ngayon
today,ngayon
Toggle billable,I-toggle ang masisingil
Toggle Details Panel,I-toggle ang Details Panel
Toggle Manager Panel,I-toggle ang Manager Panel
Toggle Sidebar,I-toggle ang Sidebar
Tomorrow,Bukas
tomorrow,bukas
Total,Kabuuan
Total Budget,Kabuuang Badyet
Total Contacts,Kabuuang mga Kontak
Total Cost,Kabuuang Gastos
Total Cost to Org,Kabuuang Gastos sa Organisasyon
Total Defect Cost,Kabuuang Gastos ng Depekto
Total Hours,Kabuuang Oras
Total Hours Logged,Kabuuang Oras na Nai-log
Total Projects,Kabuuang mga Proyekto
Total Spent,Kabuuang Nagastos
Total Tasks,Kabuuang mga Gawain
Total:,Kabuuan:
Tracked,Sinubaybayan
trails to today while Open at 0%,umusad hanggang ngayon habang Bukas sa 0%
Tried:,Tried:
Try adjusting your filter criteria,Subukang baguhin ang iyong mga pamantayan sa filter
Try adjusting your filters.,Subukang baguhin ang iyong mga filter.
Try Again,Subukan Ulit
Tue,Mar
Type,Uri
Type updated,Na-update ang uri
Type:,Uri:
Typical response time: 1-2 business days,Karaniwang oras ng pagtugon: 1-2 araw ng trabaho
Unarchive,I-unarchive
Unarchive Activity,I-unarchive ang Aktibidad
Unassign,I-unassign
Unassigned,Hindi nakatalaga
Under Budget,Nasa Ilalim ng Badyet
Ungrouped,Hindi naka-grupo
Unknown,Hindi alam
Unknown error,Hindi kilalang error
Unlink failed,Nabigo ang pag-unlink
Unlink task from milestone,I-unlink ang gawain mula sa milestone
Unpin,I-unpin
Unpin Activity,I-unpin ang Aktibidad
Unread,Hindi pa nabasa
Unread only,Hindi pa nabasa lamang
Until,Hanggang
Up to Date,Up to Date
Upcoming,Paparating
upcoming,paparating
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,Nabigo ang pag-update
Updated,Na-update
Updated successfully,Matagumpay na na-update
Updates,Updates
Upload,I-upload
Upload failed,Nabigo ang pag-upload
Upload files below to attach them to this task.,Mag-upload ng mga file sa ibaba para ikabit sa gawaing ito.
Upload to project,I-upload sa proyekto
Uploading...,Ina-upload...
Urgent,Apurahan
User {0} is already linked to client {1},Ang user {0} ay naka-link na sa kliyente {1}
User {0} is already linked to resource {1},Ang user {0} ay naka-link na sa resource {1}
Utilization,Paggamit
Valid,Valid
Value:,Halaga:
Variance,Pagkakaiba
Variance:,Pagkakaiba:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,Tingnan
View All,Tingnan Lahat
View all active projects,Tingnan lahat ng aktibong proyekto
View all open tasks,Tingnan lahat ng bukas na gawain
View overdue tasks,Tingnan ang mga gawaing lampas sa deadline
View Release,View Release
Visibility,Visibility
Waiting for this task,Naghihintay para sa gawaing ito
Waits for:,Naghihintay para sa:
Warning: Resource {0} status is {1},Babala: Ang status ng resource {0} ay {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,Babala: Gumagamit ng HTTP sa halip na HTTPS. Maaaring hindi secure ang webhook payloads.
Watch budget closely,Bantayang mabuti ang badyet
We'll respond to:,Sasagutin namin sa:
Webhook deleted,Nabura ang webhook
Webhook name is required,Kinakailangan ang pangalan ng webhook
Webhook not found,Hindi nahanap ang webhook
Webhook URL is required,Kinakailangan ang Webhook URL
Webhook URL must start with http:// or https://,Ang Webhook URL ay dapat magsimula sa http:// o https://
Wed,Miy
Week,Linggo
Weekend,Katapusan ng Linggo
Weekly Capacity,Lingguhang Kapasidad
weekly capacity,lingguhang kapasidad
Weekly Capacity (h),Lingguhang Kapasidad (h)
Welcome,Maligayang Pagdating
Welcome back!,Maligayang pagbabalik!
Welcome to Orga,Maligayang pagdating sa Orga
What are you working on?,Ano ang ginagawa mo?
What did you work on?,Ano ang ginawa mo?
When,Kailan
When work begins,Kapag nagsimula ang trabaho
When work is due,Kapag deadline na ng trabaho
Where,Saan
Will capture:,Kukunin:
Will create:,Gagawin:
with checklist items,kasama ang mga checklist item
Working,Ginagawa
Workload,Dami ng Trabaho
Workmanship,Kalidad ng Gawa
Write a comment...,Magsulat ng komento...
Write a comment... Use @name to mention (Ctrl+Enter to send),Magsulat ng komento... Gamitin ang @pangalan para banggitin (Ctrl+Enter para ipadala)
Year,Taon
Yes,Oo
Yesterday,Kahapon
yesterday,kahapon
You are not an attendee of this appointment,Hindi ka dadalo sa appointment na ito
You are not linked to any resource,Hindi ka naka-link sa anumang resource
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,Maaari mo lamang burahin ang sarili mong mga komento
You can only delete your own reactions,Maaari mo lamang burahin ang sarili mong mga reaksyon
You do not have access to the client portal. Please contact support.,Wala kang access sa client portal. Pakikontak ang support.
You have already reacted with '{0}',Nag-react ka na ng '{0}'
You have been assigned to task '{0}' in project '{1}'.,Itinalaga ka sa gawain '{0}' sa proyekto '{1}'.
You have been assigned to: {0},Itinalaga ka sa: {0}
You have been invited to the following appointment,Inimbitahan ka sa sumusunod na appointment
You have no tasks assigned to you right now.,Wala kang gawaing nakatalaga sa iyo sa ngayon.
You were mentioned in {0},Binanggit ka sa {0}
Your attendance,Ang pagdalo mo
Your comment has been posted,Nai-post na ang iyong komento
Your Projects,Mga Proyekto Mo
Your projects will appear here once they're assigned to you.,Lalabas dito ang mga proyekto mo kapag itinalaga na sa iyo.
Your Response,Ang Tugon Mo
Your RSVP,Ang RSVP Mo
Your support request has been submitted successfully.,Matagumpay na naisumite ang iyong kahilingan sa support.
Your support request has been submitted successfully. We'll get back to you shortly.,Matagumpay na naisumite ang iyong kahilingan sa support. Babalikan ka namin sa lalong madaling panahon.
"Your task ""{0}"" is no longer blocked and can now be started.","Ang iyong gawain ""{0}"" ay hindi na naka-block at maaari nang simulan."
{0} is required,Kinakailangan ang {0}
{0} new activities,{0} bagong aktibidad
{0} of {1} completed,{0} sa {1} ang tapos na
{0} projects already migrated (will be skipped or updated),{0} proyekto ang na-migrate na (lalaktawan o ia-update)
{0} status changed to {1},Ang status ng {0} ay binago sa {1}
{0} tasks remaining,{0} gawain ang natitira
{0} tasks without projects will be skipped,{0} gawain na walang proyekto ang lalaktawan
{0} {1} not found,Hindi nahanap ang {0} {1}
