+ Add Milestone,+ Добавяне на етап
Unknown error,Неизвестна грешка
Unlink failed,Разкачването не успя
Unlink task from milestone,Разкачване на задача от етап
Unpin,Откачване
Unpin Activity,Откачване на дейност
Unread,Непрочетено
Unread only,Само непрочетени
Until,До
Up to Date,Up to Date
Upcoming,Предстоящо
upcoming,предстоящо
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,Обновяването не успя
Updated,Обновено
Updated successfully,Обновено успешно
Updates,Updates
Upload,Качване
Upload failed,Качването не успя
Upload files below to attach them to this task.,Качете файлове по-долу за прикачване към тази задача.
Upload to project,Качване в проект
Uploading...,Качване...
Urgent,Спешно
User {0} is already linked to client {1},Потребител {0} вече е свързан с клиент {1}
User {0} is already linked to resource {1},Потребител {0} вече е свързан с ресурс {1}
Utilization,Натовареност
Valid,Валидно
Value:,Стойност:
Variance,Отклонение
Variance:,Отклонение:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,Преглед
View All,Преглед на всички
View all active projects,Преглед на всички активни проекти
View all open tasks,Преглед на всички отворени задачи
View overdue tasks,Преглед на закъснелите задачи
View Release,View Release
Visibility,Видимост
Waiting for this task,В очакване на тази задача
Waits for:,Чака за:
Warning: Resource {0} status is {1},Предупреждение: състоянието на ресурс {0} е {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,Предупреждение: използва се HTTP вместо HTTPS. Данните от webhook може да не са защитени.
Watch budget closely,Следете бюджета внимателно
We'll respond to:,Ще отговорим на:
Webhook deleted,Webhook е изтрит
Webhook name is required,Името на webhook е задължително
Webhook not found,Webhook не е намерен
Webhook URL is required,URL адресът на webhook е задължителен
Webhook URL must start with http:// or https://,URL адресът на webhook трябва да започва с http:// или https://
Wed,Сря
Week,Седмица
Weekend,Уикенд
Weekly Capacity,Седмичен капацитет
weekly capacity,седмичен капацитет
Weekly Capacity (h),Седмичен капацитет (ч)
Welcome,Добре дошли
Welcome back!,Добре дошли отново!
Welcome to Orga,Добре дошли в Orga
What are you working on?,Върху какво работите?
What did you work on?,Върху какво работихте?
When,Кога
When work begins,Когато работата започне
When work is due,Когато настъпи крайният срок
Where,Къде
Will capture:,Ще запази:
Will create:,Ще създаде:
with checklist items,с елементи от контролния списък
Working,В работа
Workload,Натовареност
Workmanship,Качество на изпълнение
Write a comment...,Напишете коментар...
Write a comment... Use @name to mention (Ctrl+Enter to send),Напишете коментар... Използвайте @име за споменаване (Ctrl+Enter за изпращане)
Year,Година
Yes,Да
Yesterday,Вчера
yesterday,вчера
You are not an attendee of this appointment,Вие не сте участник в тази среща
You are not linked to any resource,Не сте свързани с никакъв ресурс
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,Можете да изтривате само собствените си коментари
You can only delete your own reactions,Можете да изтривате само собствените си реакции
You do not have access to the client portal. Please contact support.,Нямате достъп до клиентския портал. Моля свържете се с поддръжката.
You have already reacted with '{0}',"Вече сте реагирали с „{0}""
You have been assigned to task '{0}' in project '{1}'."""
You have been assigned to task '{0}' in project '{1}'.,Бяхте назначени към задача '{0}' в проект '{1}'.
You have been assigned to: {0},Назначени сте на: {0}
You have been invited to the following appointment,Поканени сте на следната среща
You have no tasks assigned to you right now.,В момента нямате назначени задачи.
You were mentioned in {0},Споменахте ви в {0}
Your attendance,Вашето присъствие
Your comment has been posted,Вашият коментар е публикуван
Your Projects,Вашите проекти
Your projects will appear here once they're assigned to you.,Вашите проекти ще се появят тук след като ви бъдат назначени.
Your Response,Вашият отговор
Your RSVP,Вашият RSVP
Your support request has been submitted successfully.,Вашата заявка за поддръжка е изпратена успешно.
Your support request has been submitted successfully. We'll get back to you shortly.,Вашата заявка за поддръжка е изпратена успешно. Ще ви отговорим скоро.
"Your task ""{0}"" is no longer blocked and can now be started.","Вашата задача „{0} вече не е блокирана и може да бъде започната."""
{0} is required,{0} е задължително
{0} new activities,{0} нови дейности
{0} of {1} completed,{0} от {1} завършени
{0} projects already migrated (will be skipped or updated),{0} проекта вече са мигрирани (ще бъдат пропуснати или обновени)
{0} status changed to {1},Състоянието на {0} е променено на {1}
{0} tasks remaining,{0} оставащи задачи
{0} tasks without projects will be skipped,{0} задачи без проекти ще бъдат пропуснати
{0} {1} not found,{0} {1} не е намерено
