+ Add Milestone,+ માઈલસ્ટોન ઉમેરો
Orga Project {0} from Frappe Projects,Frappe Projects માંથી Orga પ્રોજેક્ટ {0}
Orga Task {0} from Frappe,Frappe માંથી Orga ટાસ્ક {0}
Organizer,આયોજક
Other,અન્ય
Over Budget,બજેટથી વધુ
Overall Progress,એકંદર પ્રગતિ
Overall Utilization,એકંદર ઉપયોગ
Overallocated,વધુ ફાળવેલ
Overdue,મુદત વીતી ગયેલ
overdue,મુદત વીતી ગયેલ
Overdue Tasks,મુદત વીતી ગયેલ ટાસ્ક
Overview,ઝાંખી
Owner,માલિક
Page Not Found,પેજ મળ્યું નથી
Parent,પેરેન્ટ
Parent comment must belong to the same document,પેરેન્ટ ટિપ્પણી એ જ દસ્તાવેજની હોવી જોઈએ
Parent comment not found,પેરેન્ટ ટિપ્પણી મળી નથી
Parent project not synced to Frappe yet,પેરેન્ટ પ્રોજેક્ટ હજુ Frappe સાથે સિંક થયો નથી
Parent project sync not enabled,પેરેન્ટ પ્રોજેક્ટ સિંક સક્ષમ નથી
Partner,ભાગીદાર
Pending,બાકી
per page,પ્રતિ પેજ
Perform initial assessment and background check,પ્રારંભિક મૂલ્યાંકન અને બેકગ્રાઉન્ડ ચકાસણી કરો
Permanently remove this event,આ ઇવેન્ટ કાયમી ધોરણે દૂર કરો
Permanently remove this task,આ ટાસ્ક કાયમી ધોરણે દૂર કરો
Phone,ફોન
Pin,પિન
Pin Activity,પ્રવૃત્તિ પિન કરો
Pin to top,ટોચ પર પિન કરો
Pinned,પિન કરેલ
Planned budget for this task,આ ટાસ્ક માટે આયોજિત બજેટ
Planning,આયોજન
Please describe your question or issue in detail...,કૃપા કરી તમારો પ્રશ્ન અથવા સમસ્યા વિગતવાર વર્ણવો...
Please login to access Orga,Orga ઍક્સેસ કરવા કૃપા કરી લૉગિન કરો
Please login to access the client portal,ક્લાયન્ટ પોર્ટલ ઍક્સેસ કરવા કૃપા કરી લૉગિન કરો
Please respond to this invitation in Orga,કૃપા કરી Orga માં આ આમંત્રણનો જવાબ આપો
Please select an image file,કૃપા કરી ઈમેજ ફાઇલ પસંદ કરો
Please try again,કૃપા કરી ફરી પ્રયાસ કરો
Please type,કૃપા કરી ટાઇપ કરો
Portal,પોર્ટલ
Portal access revoked for {0},{0} માટે પોર્ટલ ઍક્સેસ રદ કરાઈ
Portal user created successfully. Welcome email {0},પોર્ટલ વપરાશકર્તા સફળતાપૂર્વક બનાવાયો. સ્વાગત ઈમેઈલ {0}
Post,પોસ્ટ
Powered by,દ્વારા સંચાલિત
Powered by Tonic,Tonic દ્વારા સંચાલિત
Predecessors (Blocked By),પૂર્વવર્તીઓ (દ્વારા અવરોધિત)
Preferences,પસંદગીઓ
Preferences saved successfully,પસંદગીઓ સફળતાપૂર્વક સાચવાઈ
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)","ઓટો-જનરેટ થયેલ પ્રોજેક્ટ કોડ માટે ઉપસર્ગ (ઉદા., ORG-2026-0001)"
Prepare and document offer terms,ઓફર શરતો તૈયાર કરો અને દસ્તાવેજ કરો
Press,દબાવો
Preview,પૂર્વાવલોકન
Preview cascade before applying,લાગુ કરતા પહેલાં કાસ્કેડ પૂર્વાવલોકન કરો
Previous,પાછળ
Priority,પ્રાથમિકતા
Priority assigned to new tasks,નવા ટાસ્કને અસાઇન કરેલ પ્રાથમિકતા
Priority updated,પ્રાથમિકતા અપડેટ થઈ
Proficiency,નિપુણતા
Profile,પ્રોફાઇલ
Progress,પ્રગતિ
Progress (High-Low),પ્રગતિ (ઉચ્ચ-નીચું)
Progress (Low-High),પ્રગતિ (નીચું-ઉચ્ચ)
Progress Overview,પ્રગતિ ઝાંખી
Progress updated,પ્રગતિ અપડેટ થઈ
Project,પ્રોજેક્ટ
Project budget has been saved.,પ્રોજેક્ટ બજેટ સાચવાયું.
Project code (e.g. ORG-2026-0001),પ્રોજેક્ટ કોડ (ઉદા. ORG-2026-0001)
Project Code Prefix,પ્રોજેક્ટ કોડ ઉપસર્ગ
Project created,પ્રોજેક્ટ બનાવાયો
Project deleted,પ્રોજેક્ટ કાઢી નાખાયો
Project description has been saved.,પ્રોજેક્ટ વર્ણન સાચવાયું.
Project Details,પ્રોજેક્ટ વિગતો
Project end date has been saved.,પ્રોજેક્ટ અંતિમ તારીખ સાચવાઈ.
Project Files,પ્રોજેક્ટ ફાઇલો
Project has no linked client,પ્રોજેક્ટ સાથે કોઈ ક્લાયન્ટ જોડાયેલ નથી
Project Health,પ્રોજેક્ટ આરોગ્ય
Project Info,પ્રોજેક્ટ માહિતી
Project is required,પ્રોજેક્ટ જરૂરી છે
Project is required for project context,પ્રોજેક્ટ સંદર્ભ માટે પ્રોજેક્ટ જરૂરી છે
Project is required when tracking context is 'project',ટ્રેકિંગ સંદર્ભ 'project' હોય ત્યારે પ્રોજેક્ટ જરૂરી છે
Project Manager,પ્રોજેક્ટ મેનેજર
Project Name,પ્રોજેક્ટ નામ
Project name and template name are required,પ્રોજેક્ટ નામ અને ટેમ્પ્લેટ નામ જરૂરી છે
Project name is required,પ્રોજેક્ટ નામ જરૂરી છે
Project not found,પ્રોજેક્ટ મળ્યો નથી
Project not found or you do not have access,પ્રોજેક્ટ મળ્યો નથી અથવા તમને ઍક્સેસ નથી
Project settings,પ્રોજેક્ટ સેટિંગ્સ
Project start date has been saved.,પ્રોજેક્ટ શરૂઆત તારીખ સાચવાઈ.
Project title has been saved.,પ્રોજેક્ટ શીર્ષક સાચવાયું.
Project Type,પ્રોજેક્ટ પ્રકાર
Project updated,પ્રોજેક્ટ અપડેટ થયો
Project {0} linked to client {1},પ્રોજેક્ટ {0} ક્લાયન્ટ {1} સાથે જોડાયો
Project {0} not found,પ્રોજેક્ટ {0} મળ્યો નથી
Project {0} to Frappe Projects,Frappe Projects માં પ્રોજેક્ટ {0}
Project:,પ્રોજેક્ટ:
projects,પ્રોજેક્ટ
Projects,પ્રોજેક્ટ
Projects created:,પ્રોજેક્ટ બનાવાયા:
Projects Overview,પ્રોજેક્ટ ઝાંખી
Projects skipped:,પ્રોજેક્ટ છોડાયા:
Projects updated:,પ્રોજેક્ટ અપડેટ થયા:
Promote failed,પ્રમોટ નિષ્ફળ
Promote to task,ટાસ્કમાં પ્રમોટ કરો
Promoted to task,ટાસ્કમાં પ્રમોટ થયેલ
Propose,સૂચવો
Propose New Time,નવો સમય સૂચવો
Propose Time,સમય સૂચવો
Proposed End,સૂચિત અંત
Proposed Start,સૂચિત શરૂઆત
Public,જાહેર
Quick Action,ત્વરિત ક્રિયા
Quick Actions,ત્વરિત ક્રિયાઓ
Quick Stats,ત્વરિત આંકડા
Rates,દર
Receive notifications via email,ઈમેઈલ દ્વારા સૂચનાઓ પ્રાપ્ત કરો
Receive notifications within the application,એપ્લિકેશનમાં સૂચનાઓ પ્રાપ્ત કરો
Recent Activity,તાજેતરની પ્રવૃત્તિ
Recipient {0} is not a valid user,પ્રાપ્તકર્તા {0} માન્ય વપરાશકર્તા નથી
Reference,સંદર્ભ
Refresh,રિફ્રેશ
Related,સંબંધિત
Related Company (optional),સંબંધિત કંપની (વૈકલ્પિક)
Related Documents,સંબંધિત દસ્તાવેજો
Related Project,સંબંધિત પ્રોજેક્ટ
Remaining,બાકી
Reminder,રીમાઇન્ડર
Reminder Lead Time,રીમાઇન્ડર લીડ ટાઇમ
Reminder: {0} - {1} at {2},રીમાઇન્ડર: {0} - {1} {2} વાગ્યે
Remove,દૂર કરો
Remove dependency,નિર્ભરતા દૂર કરો
Remove dependency on,નિર્ભરતા દૂર કરો
Remove from group,જૂથમાંથી દૂર કરો
Remove group dependency,જૂથ નિર્ભરતા દૂર કરો
Remove skill,કૌશલ્ય દૂર કરો
Reopen,ફરી ખોલો
Reopen thread,થ્રેડ ફરી ખોલો
reopened,ફરી ખોલાયેલ
replies,જવાબો
Reply,જવાબ
reply,જવાબ
Replying to,ને જવાબ
Replying to comment,ટિપ્પણીનો જવાબ
Report Defect,ખામી નોંધાવો
Reported Date,નોંધાયેલ તારીખ
Reports,રિપોર્ટ
Reports To,ને રિપોર્ટ કરે છે
Request Submitted!,વિનંતી સબમિટ થઈ!
Required,જરૂરી
required,જરૂરી
Research,સંશોધન
Reset to Defaults,ડિફોલ્ટ પર રીસેટ કરો
Resolve,ઉકેલો
Resolve thread,થ્રેડ ઉકેલો
Resolved,ઉકેલાયેલ
Resolved date cannot be before reported date,ઉકેલાયેલ તારીખ નોંધાયેલ તારીખ પહેલાં હોઈ શકે નહીં
Resource,રિસોર્સ
Resource and skill name are required,રિસોર્સ અને કૌશલ્ય નામ જરૂરી છે
Resource is already an attendee,રિસોર્સ પહેલેથી સહભાગી છે
Resource name is required,રિસોર્સ નામ જરૂરી છે
Resource not found,રિસોર્સ મળ્યો નથી
Resource synced from employee {0},કર્મચારી {0} માંથી રિસોર્સ સિંક થયો
Resource {0} is already assigned to this task ({1}),રિસોર્સ {0} પહેલેથી આ ટાસ્ક ({1}) ને અસાઇન છે
Resource {0} not found,રિસોર્સ {0} મળ્યો નથી
Resources,રિસોર્સ
Retry,ફરી પ્રયાસ
Review,સમીક્ષા
Review all relevant documents and contracts,બધા સંબંધિત દસ્તાવેજો અને કરારોની સમીક્ષા કરો
Reviews,સમીક્ષાઓ
Risk Assessment,જોખમ મૂલ્યાંકન
Rollback,રોલબેક
Rolled back,રોલબેક થયેલ
Room or address,રૂમ અથવા સરનામું
RSVP,RSVP
Safety,સલામતી
Sat,શનિ
Save,સાચવો
"Save a project as a template, or import one from a JSON file.","પ્રોજેક્ટને ટેમ્પ્લેટ તરીકે સાચવો, અથવા JSON ફાઇલમાંથી એક આયાત કરો."
Save as Template,ટેમ્પ્લેટ તરીકે સાચવો
Save Changes,ફેરફારો સાચવો
Save failed,સાચવવું નિષ્ફળ
Save Preferences,પસંદગીઓ સાચવો
Save Template,ટેમ્પ્લેટ સાચવો
Saving...,સાચવી રહ્યા છીએ...
Schedule,શેડ્યૂલ
Schedule type is required for scheduled triggers,શેડ્યૂલ થયેલ ટ્રિગર માટે શેડ્યૂલ પ્રકાર જરૂરી છે
Scheduled,શેડ્યૂલ થયેલ
Search,શોધો
"Search by name, email, or skill...","નામ, ઈમેઈલ, અથવા કૌશલ્ય દ્વારા શોધો..."
Search for a project...,પ્રોજેક્ટ શોધો...
Search for a task...,ટાસ્ક શોધો...
Search for an event...,ઇવેન્ટ શોધો...
Search for people to invite...,આમંત્રિત કરવા લોકો શોધો...
Search tasks to link...,જોડવા ટાસ્ક શોધો...
Search tasks...,ટાસ્ક શોધો...
Search...,શોધો...
Searching...,શોધી રહ્યા છીએ...
Seen,જોયેલ
Select a project if your request is related to a specific project.,જો તમારી વિનંતી ચોક્કસ પ્રોજેક્ટ સાથે સંબંધિત હોય તો પ્રોજેક્ટ પસંદ કરો.
Select a project...,પ્રોજેક્ટ પસંદ કરો...
Select a task from the Gantt chart to view and manage its details.,વિગતો જોવા અને સંચાલિત કરવા ગેન્ટ ચાર્ટમાંથી ટાસ્ક પસંદ કરો.
Select a task from the list or Kanban board to view and manage its details.,વિગતો જોવા અને સંચાલિત કરવા સૂચિ અથવા કાનબાન બોર્ડમાંથી ટાસ્ક પસંદ કરો.
Select a template...,ટેમ્પ્લેટ પસંદ કરો...
Select priority...,પ્રાથમિકતા પસંદ કરો...
Select status...,સ્થિતિ પસંદ કરો...
Select task...,ટાસ્ક પસંદ કરો...
Select type...,પ્રકાર પસંદ કરો...
Selection,પસંદગી
Send,મોકલો
Send comment,ટિપ્પણી મોકલો
Send email invitations to attendees,સહભાગીઓને ઈમેઈલ આમંત્રણ મોકલો
Send Invitations,આમંત્રણ મોકલો
Send notification when a task is assigned to a user,ટાસ્ક વપરાશકર્તાને અસાઇન થાય ત્યારે સૂચના મોકલો
Send notification when task status changes,ટાસ્ક સ્થિતિ બદલાય ત્યારે સૂચના મોકલો
Send reminder before task due date,ટાસ્ક અંતિમ તારીખ પહેલાં રીમાઇન્ડર મોકલો
sent,મોકલાયેલ
Set rate,દર સેટ કરો
Settings,સેટિંગ્સ
Settings saved successfully,સેટિંગ્સ સફળતાપૂર્વક સાચવાઈ
Severity,ગંભીરતા
SF (Start-Finish),SF (શરૂઆત-સમાપ્તિ)
SF - Start-to-Finish,SF - શરૂઆત-થી-સમાપ્તિ
Show,બતાવો
Show all,બધું બતાવો
Show all changes,બધા ફેરફારો બતાવો
Show Archived,આર્કાઇવ થયેલ બતાવો
Show full diff,પૂર્ણ તફાવત બતાવો
Show less,ઓછું બતાવો
Show more,વધુ બતાવો
Skill added,કૌશલ્ય ઉમેરાયું
Skill is required,કૌશલ્ય જરૂરી છે
Skill Name,કૌશલ્ય નામ
Skill removed,કૌશલ્ય દૂર કરાયું
Skill {0} already exists for this resource,આ રિસોર્સ માટે કૌશલ્ય {0} પહેલેથી અસ્તિત્વમાં છે
Skills,કૌશલ્ય
Skills & Competencies,કૌશલ્ય અને યોગ્યતાઓ
Skip already migrated projects,પહેલેથી માઇગ્રેટ થયેલ પ્રોજેક્ટ છોડો
Sort by,ક્રમ
Sort: Due Date,ક્રમ: અંતિમ તારીખ
Sort: Priority,ક્રમ: પ્રાથમિકતા
Sort: Project,ક્રમ: પ્રોજેક્ટ
Sort: Status,ક્રમ: સ્થિતિ
Sort: Task,ક્રમ: ટાસ્ક
Source Code,સોર્સ કોડ
Spent,ખર્ચ થયેલ
Spent:,ખર્ચ થયેલ:
SS (Start-Start),SS (શરૂઆત-શરૂઆત)
SS - Start-to-Start,SS - શરૂઆત-થી-શરૂઆત
Standalone,સ્ટેન્ડઅલોન
Start,શરૂઆત
Start a discussion below,નીચે ચર્ચા શરૂ કરો
Start Date,શરૂઆત તારીખ
Start date,શરૂઆત તારીખ
Start Date (Earliest),શરૂઆત તારીખ (સૌથી વહેલી)
Start date updated,શરૂઆત તારીખ અપડેટ થઈ
Start date/time is required,શરૂઆત તારીખ/સમય જરૂરી છે
Start Migration,માઇગ્રેશન શરૂ કરો
Start the conversation below.,નીચે વાતચીત શરૂ કરો.
Start Timer,ટાઇમર શરૂ કરો
Start typing to search...,શોધવા ટાઇપ શરૂ કરો...
Start-to-Finish,શરૂઆત-થી-સમાપ્તિ
Start-to-Start,શરૂઆત-થી-શરૂઆત
Start:,શરૂઆત:
Statistics reset,આંકડા રીસેટ થયા
Status,સ્થિતિ
Status assigned to new projects,નવા પ્રોજેક્ટને અસાઇન કરેલ સ્થિતિ
Status assigned to new tasks,નવા ટાસ્કને અસાઇન કરેલ સ્થિતિ
Status Changes,સ્થિતિ ફેરફારો
Status updated,સ્થિતિ અપડેટ થઈ
Status:,સ્થિતિ:
Stop,રોકો
Stop & Save,રોકો અને સાચવો
Stop Timer,ટાઇમર રોકો
Stops current timer and starts for this event,વર્તમાન ટાઇમર રોકે છે અને આ ઇવેન્ટ માટે શરૂ કરે છે
Stops current timer and starts for this task,વર્તમાન ટાઇમર રોકે છે અને આ ટાસ્ક માટે શરૂ કરે છે
Subject,વિષય
Subject cannot exceed 255 characters,વિષય ૨૫૫ અક્ષરોથી વધુ ન હોઈ શકે
Subject is required,વિષય જરૂરી છે
Submit,સબમિટ કરો
Submit Another Request,બીજી વિનંતી સબમિટ કરો
Submit Request,વિનંતી સબમિટ કરો
Submitting...,સબમિટ થઈ રહ્યું છે...
Successfully saved,સફળતાપૂર્વક સાચવાયું
Successors (Blocking),ઉત્તરવર્તીઓ (અવરોધ કરતા)
Sun,રવિ
Supplier,સપ્લાયર
Support,સપોર્ટ
Switch to this event,આ ઇવેન્ટ પર સ્વિચ કરો
Switch to this task,આ ટાસ્ક પર સ્વિચ કરો
Sync direction is set to Frappe to Orga only,સિંક દિશા ફક્ત Frappe થી Orga સેટ છે
Sync direction is set to Orga to Frappe only,સિંક દિશા ફક્ત Orga થી Frappe સેટ છે
Sync not enabled for this project,આ પ્રોજેક્ટ માટે સિંક સક્ષમ નથી
System,સિસ્ટમ
Table,ટેબલ
Take ownership of this task,આ ટાસ્કની માલિકી લો
Target Date,લક્ષ્ય તારીખ
Target End,લક્ષ્ય અંત
Target Project,લક્ષ્ય પ્રોજેક્ટ
Target user is required for '{0}' action,'{0}' ક્રિયા માટે લક્ષ્ય વપરાશકર્તા જરૂરી છે
task,ટાસ્ક
Task,ટાસ્ક
Task '{0}' is due on {1}.,ટાસ્ક '{0}' ની અંતિમ તારીખ {1} છે.
Task and resource are required,ટાસ્ક અને રિસોર્સ જરૂરી છે
Task Assignment,ટાસ્ક અસાઇનમેન્ટ
Task cannot be its own parent,ટાસ્ક પોતાનો પેરેન્ટ ન હોઈ શકે
Task cannot depend on itself,ટાસ્ક પોતાના પર નિર્ભર ન હોઈ શકે
Task cannot depend on the group it belongs to,ટાસ્ક જે જૂથમાં છે તેના પર નિર્ભર ન હોઈ શકે
Task created,ટાસ્ક બનાવાયો
Task deleted,ટાસ્ક કાઢી નાખાયો
Task description has been saved.,ટાસ્ક વર્ણન સાચવાયું.
Task Details,ટાસ્ક વિગતો
Task due in {0} days: {1},{0} દિવસમાં ટાસ્ક અંતિમ: {1}
Task due today: {0},આજે ટાસ્ક અંતિમ: {0}
Task due tomorrow: {0},આવતીકાલે ટાસ્ક અંતિમ: {0}
Task duplicated,ટાસ્ક ડુપ્લિકેટ થયો
Task Group,ટાસ્ક જૂથ
Task ID is required,ટાસ્ક ID જરૂરી છે
Task is blocked by incomplete dependencies,ટાસ્ક અપૂર્ણ નિર્ભરતાઓ દ્વારા અવરોધિત છે
Task is cancelled,ટાસ્ક રદ થયો છે
Task is completed,ટાસ્ક પૂર્ણ થયો છે
Task is no longer blocked by a group,ટાસ્ક હવે જૂથ દ્વારા અવરોધિત નથી
Task is required for task context,ટાસ્ક સંદર્ભ માટે ટાસ્ક જરૂરી છે
Task is required when tracking context is 'task',ટ્રેકિંગ સંદર્ભ 'task' હોય ત્યારે ટાસ્ક જરૂરી છે
Task linked,ટાસ્ક જોડાયો
Task moved,ટાસ્ક ખસેડાયો
Task name,ટાસ્ક નામ
Task name is required,ટાસ્ક નામ જરૂરી છે
Task removed from group,જૂથમાંથી ટાસ્ક દૂર કરાયો
Task Subject,ટાસ્ક વિષય
Task subject is required,ટાસ્ક વિષય જરૂરી છે
Task Type,ટાસ્ક પ્રકાર
Task unblocked: {0},ટાસ્ક અનબ્લોક થયો: {0}
Task unlinked,ટાસ્ક અનલિંક થયો
Task updated,ટાસ્ક અપડેટ થયો
Task {0} not found,ટાસ્ક {0} મળ્યો નથી
Task {0} not in project {1},ટાસ્ક {0} પ્રોજેક્ટ {1} માં નથી
Task {0} to Frappe,Frappe માં ટાસ્ક {0}
Tasks,ટાસ્ક
tasks,ટાસ્ક
Tasks and milestones will be created with dates relative to the project start date.,ટાસ્ક અને માઈલસ્ટોન પ્રોજેક્ટ શરૂઆત તારીખના સંદર્ભમાં તારીખો સાથે બનાવાશે.
Tasks assigned to you across all projects.,બધા પ્રોજેક્ટમાં તમને અસાઇન કરેલ ટાસ્ક.
Tasks created:,ટાસ્ક બનાવાયા:
Tasks from projects you manage.,તમે સંચાલિત કરો છો તે પ્રોજેક્ટના ટાસ્ક.
Tasks updated:,ટાસ્ક અપડેટ થયા:
"Tasks, milestones, and dependencies have been created.","ટાસ્ક, માઈલસ્ટોન અને નિર્ભરતાઓ બનાવાઈ છે."
Tasks:,ટાસ્ક:
TBD,TBD
Team,ટીમ
Team Members,ટીમ સભ્યો
Template,ટેમ્પ્લેટ
Template applied,ટેમ્પ્લેટ લાગુ થયું
Template data is required in import data,આયાત ડેટામાં ટેમ્પ્લેટ ડેટા જરૂરી છે
Template has no data,ટેમ્પ્લેટમાં કોઈ ડેટા નથી
Template Name,ટેમ્પ્લેટ નામ
Template name,ટેમ્પ્લેટ નામ
Template name is required,ટેમ્પ્લેટ નામ જરૂરી છે
Template name is required in import data,આયાત ડેટામાં ટેમ્પ્લેટ નામ જરૂરી છે
Template saved,ટેમ્પ્લેટ સાચવાયું
Template updated successfully.,ટેમ્પ્લેટ સફળતાપૂર્વક અપડેટ થયું.
Template {0} not found,ટેમ્પ્લેટ {0} મળ્યું નથી
Templates,ટેમ્પ્લેટ
Tentative,કામચલાઉ
The comment has been deleted,ટિપ્પણી કાઢી નાખવામાં આવી છે
The project,પ્રોજેક્ટ
The source document may have been deleted.,મૂળ દસ્તાવેજ કાઢી નાખવામાં આવ્યો હોઈ શકે.
The source document will not be affected.,મૂળ દસ્તાવેજ પર અસર થશે નહીં.
The status of '{0}' was changed from {1} to {2}.,'{0}' ની સ્થિતિ {1} થી {2} માં બદલાઈ.
Theme,થીમ
Theme preference,થીમ પસંદગી
This action,આ ક્રિયા
This action cannot be undone.,આ ક્રિયા પાછી ફેરવી શકાશે નહીં.
This activity has been flagged for attention,આ પ્રવૃત્તિ ધ્યાન માટે ફ્લેગ કરવામાં આવી છે
This is a reminder for your upcoming appointment,આ તમારી આગામી એપોઇન્ટમેન્ટ માટે રીમાઇન્ડર છે
This method is only meant for developer mode,આ પદ્ધતિ ફક્ત ડેવલપર મોડ માટે છે
This page wandered off,This page wandered off
This Week,આ અઠવાડિયે
This will delete all notes and preferences associated with this activity.,"આ, આ પ્રવૃત્તિ સાથે સંકળાયેલ બધી નોંધ અને પસંદગીઓ કાઢી નાખશે."
This will import all Frappe Projects into Orga. Continue?,આ બધા Frappe Projects ને Orga માં આયાત કરશે. ચાલુ રાખવું?
This will permanently delete,આ કાયમી ધોરણે કાઢી નાખશે
This will permanently delete:,આ કાયમી ધોરણે કાઢી નાખશે:
Thu,ગુરુ
Time,સમય
Time & Billing,સમય અને બિલિંગ
Time & Revenue,સમય અને આવક
Time Entries,સમય એન્ટ્રી
Time log name is required,ટાઇમ લોગનું નામ જરૂરી છે
Time Log not found,ટાઇમ લોગ મળ્યો નથી
Time log {0} not found,ટાઇમ લોગ {0} મળ્યો નથી
Time Logs,ટાઇમ લોગ
Time Summary,સમય સારાંશ
Time Tracking,સમય ટ્રેકિંગ
Timeline,ટાઇમલાઇન
Timer active on,ટાઇમર સક્રિય છે
Timer is not running,ટાઇમર ચાલી રહ્યો નથી
Timer Running,ટાઇમર ચાલી રહ્યો છે
Timer running,ટાઇમર ચાલી રહ્યો છે
Timesheet DocType not available,Timesheet DocType ઉપલબ્ધ નથી
Timesheets,ટાઇમશીટ
Timezone,ટાઇમઝોન
Timezone is detected from your browser,ટાઇમઝોન તમારા બ્રાઉઝરમાંથી શોધાય છે
Title,શીર્ષક
Title cannot exceed 255 characters,શીર્ષક ૨૫૫ અક્ષરોથી વધુ ન હોઈ શકે
Title is required,શીર્ષક જરૂરી છે
Title updated,શીર્ષક અપડેટ થયું
To,સુધી
to,સુધી
to cancel,રદ કરવા
to close,બંધ કરવા
to confirm:,પુષ્ટિ કરવા:
to edit,સંપાદિત કરવા
"to save,","સાચવવા,"
To Time cannot be before From Time,સુધીનો સમય થીના સમય પહેલાં હોઈ શકે નહીં
Today,આજે
today,આજે
Toggle billable,બિલ યોગ્ય ટોગલ કરો
Toggle Details Panel,વિગતો પેનલ ટોગલ કરો
Toggle Manager Panel,મેનેજર પેનલ ટોગલ કરો
Toggle Sidebar,સાઇડબાર ટોગલ કરો
Tomorrow,આવતીકાલે
tomorrow,આવતીકાલે
Total,કુલ
Total Budget,કુલ બજેટ
Total Contacts,કુલ સંપર્કો
Total Cost,કુલ ખર્ચ
Total Cost to Org,સંસ્થા માટે કુલ ખર્ચ
Total Defect Cost,કુલ ખામી ખર્ચ
Total Hours,કુલ કલાકો
Total Hours Logged,કુલ રેકોર્ડ થયેલ કલાકો
Total Projects,કુલ પ્રોજેક્ટ
Total Spent,કુલ ખર્ચ
Total Tasks,કુલ ટાસ્ક
Total:,કુલ:
Tracked,ટ્રેક થયેલ
trails to today while Open at 0%,0% પર ખુલ્લી હોવા છતાં આજ સુધી ટ્રેઇલ
Tried:,Tried:
Try adjusting your filter criteria,તમારા ફિલ્ટર માપદંડ ગોઠવવાનો પ્રયાસ કરો
Try adjusting your filters.,તમારા ફિલ્ટર ગોઠવવાનો પ્રયાસ કરો.
Try Again,ફરી પ્રયાસ કરો
Tue,મંગળ
Type,પ્રકાર
Type updated,પ્રકાર અપડેટ થયો
Type:,પ્રકાર:
Typical response time: 1-2 business days,સામાન્ય જવાબ સમય: ૧-૨ કાર્યદિવસ
Unarchive,અનઆર્કાઇવ
Unarchive Activity,પ્રવૃત્તિ અનઆર્કાઇવ કરો
Unassign,અનઅસાઇન
Unassigned,અનઅસાઇન
Under Budget,બજેટથી ઓછું
Ungrouped,જૂથ વિનાના
Unknown,અજ્ઞાત
Unknown error,અજ્ઞાત ભૂલ
Unlink failed,અનલિંક નિષ્ફળ
Unlink task from milestone,માઈલસ્ટોનમાંથી ટાસ્ક અનલિંક કરો
Unpin,અનપિન
Unpin Activity,પ્રવૃત્તિ અનપિન કરો
Unread,ન વાંચેલ
Unread only,ફક્ત ન વાંચેલ
Until,સુધી
Up to Date,Up to Date
Upcoming,આગામી
upcoming,આગામી
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,અપડેટ નિષ્ફળ
Updated,અપડેટ થયેલ
Updated successfully,સફળતાપૂર્વક અપડેટ થયું
Updates,Updates
Upload,અપલોડ
Upload failed,અપલોડ નિષ્ફળ
Upload files below to attach them to this task.,આ ટાસ્ક સાથે જોડવા નીચે ફાઇલો અપલોડ કરો.
Upload to project,પ્રોજેક્ટમાં અપલોડ કરો
Uploading...,અપલોડ થઈ રહ્યું છે...
Urgent,તાત્કાલિક
User {0} is already linked to client {1},વપરાશકર્તા {0} પહેલેથી ક્લાયન્ટ {1} સાથે જોડાયેલ છે
User {0} is already linked to resource {1},વપરાશકર્તા {0} પહેલેથી રિસોર્સ {1} સાથે જોડાયેલ છે
Utilization,ઉપયોગ
Valid,માન્ય
Value:,મૂલ્ય:
Variance,ભિન્નતા
Variance:,ભિન્નતા:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,જુઓ
View All,બધું જુઓ
View all active projects,બધા સક્રિય પ્રોજેક્ટ જુઓ
View all open tasks,બધા ખુલ્લા ટાસ્ક જુઓ
View overdue tasks,મુદત વીતી ગયેલ ટાસ્ક જુઓ
View Release,View Release
Visibility,દૃશ્યતા
Waiting for this task,આ ટાસ્ક માટે રાહ જોવાઈ રહી છે
Waits for:,ની રાહ જુએ છે:
Warning: Resource {0} status is {1},ચેતવણી: રિસોર્સ {0} ની સ્થિતિ {1} છે
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,ચેતવણી: HTTPS ને બદલે HTTP વાપરી રહ્યા છો. Webhook પેલોડ સુરક્ષિત ન હોઈ શકે.
Watch budget closely,બજેટ પર નજીકથી નજર રાખો
We'll respond to:,અમે જવાબ આપીશું:
Webhook deleted,Webhook કાઢી નાખાયું
Webhook name is required,Webhook નામ જરૂરી છે
Webhook not found,Webhook મળ્યું નથી
Webhook URL is required,Webhook URL જરૂરી છે
Webhook URL must start with http:// or https://,Webhook URL http:// અથવા https:// થી શરૂ થવું જોઈએ
Wed,બુધ
Week,અઠવાડિયું
Weekend,સપ્તાહાંત
Weekly Capacity,સાપ્તાહિક ક્ષમતા
weekly capacity,સાપ્તાહિક ક્ષમતા
Weekly Capacity (h),સાપ્તાહિક ક્ષમતા (ક)
Welcome,સ્વાગત
Welcome back!,ફરી આવકાર!
Welcome to Orga,Orga માં સ્વાગત છે
What are you working on?,તમે શું કામ કરી રહ્યા છો?
What did you work on?,તમે શું કામ કર્યું?
When,ક્યારે
When work begins,જ્યારે કામ શરૂ થાય
When work is due,જ્યારે કામ અંતિમ હોય
Where,ક્યાં
Will capture:,કેપ્ચર કરશે:
Will create:,બનાવશે:
