+ Add Milestone,+ Ajouter un jalon
You have been assigned to task '{0}' in project '{1}'.,Vous avez été assigné à la tâche « {0} » dans le projet « {1} ».
You have been assigned to: {0},Vous avez été assigné à : {0}
You have been invited to the following appointment,Vous avez été invité au rendez-vous suivant
You have no tasks assigned to you right now.,Vous n'avez aucune tâche assignée pour le moment.
You were mentioned in {0},Vous avez été mentionné dans {0}
Your attendance,Votre participation
Your comment has been posted,Votre commentaire a été publié
Your Projects,Vos projets
Your projects will appear here once they're assigned to you.,Vos projets apparaîtront ici une fois qu'ils vous seront assignés.
Your Response,Votre réponse
Your RSVP,Votre RSVP
Your support request has been submitted successfully.,Votre demande de support a été soumise avec succès.
Your support request has been submitted successfully. We'll get back to you shortly.,Votre demande de support a été soumise avec succès. Nous vous répondrons dans les plus brefs délais.
"Your task ""{0}"" is no longer blocked and can now be started.",Votre tâche « {0} » n'est plus bloquée et peut maintenant être démarrée.
{0} is required,{0} est requis
{0} new activities,{0} nouvelles activités
{0} of {1} completed,{0} sur {1} terminé(s)
{0} projects already migrated (will be skipped or updated),{0} projets déjà migrés (seront ignorés ou mis à jour)
{0} status changed to {1},Le statut de {0} a été modifié en {1}
{0} tasks remaining,{0} tâches restantes
{0} tasks without projects will be skipped,{0} tâches sans projet seront ignorées
{0} {1} not found,{0} {1} non trouvé
