+ Add Milestone,+ Shto pikë referimi
Time & Revenue,Kohë dhe të ardhura
Time Entries,Hyrje kohe
Time log name is required,Emri i hyrjes së kohës është i nevojshëm
Time Log not found,Hyrja e kohës nuk u gjet
Time log {0} not found,Hyrja e kohës {0} nuk u gjet
Time Logs,Hyrje kohe
Time Summary,Përmbledhja e kohës
Time Tracking,Ndjekja e kohës
Timeline,Kronologji
Timer active on,Kronometri aktiv në
Timer is not running,Kronometri nuk është në punë
Timer Running,Kronometri në punë
Timer running,Kronometri në punë
Timesheet DocType not available,DocType i fletës së kohës nuk është i disponueshëm
Timesheets,Fletë kohe
Timezone,Zona kohore
Timezone is detected from your browser,Zona kohore zbulohet nga shfletuesi juaj
Title,Titull
Title cannot exceed 255 characters,Titulli nuk mund të kalojë 255 karaktere
Title is required,Titulli është i nevojshëm
Title updated,Titulli u përditësua
To,Për
to,për
to cancel,për të anuluar
to close,për të mbyllur
to confirm:,për të konfirmuar:
to edit,për të modifikuar
"to save,","për të ruajtur,"
To Time cannot be before From Time,Ora e mbarimit nuk mund të jetë para orës së fillimit
Today,Sot
today,sot
Toggle billable,Ndrysho faturueshmërinë
Toggle Details Panel,Shfaq/fshih panelin e detajeve
Toggle Manager Panel,Shfaq/fshih panelin e menaxherit
Toggle Sidebar,Shfaq/fshih anësorin
Tomorrow,Nesër
tomorrow,nesër
Total,Totali
Total Budget,Buxheti total
Total Contacts,Totali i kontakteve
Total Cost,Kosto totale
Total Cost to Org,Kosto totale për organizatën
Total Defect Cost,Kosto totale e defekteve
Total Hours,Orë totale
Total Hours Logged,Orë totale të regjistruara
Total Projects,Totali i projekteve
Total Spent,Totali i shpenzimeve
Total Tasks,Totali i detyrave
Total:,Totali:
Tracked,Ndjekur
trails to today while Open at 0%,rrëshqet deri sot ndërsa është Hapur në 0%
Tried:,Tried:
Try adjusting your filter criteria,Provoni të rregulloni kriteret e filtrit
Try adjusting your filters.,Provoni të rregulloni filtrat tuaj.
Try Again,Provo përsëri
Tue,Mar
Type,Lloj
Type updated,Lloji u përditësua
Type:,Lloji:
Typical response time: 1-2 business days,Koha e zakonshme e përgjigjes: 1-2 ditë pune
Unarchive,Çarkivo
Unarchive Activity,Çarkivo aktivitetin
Unassign,Hiq caktimin
Unassigned,I pacaktuar
Under Budget,Nën buxhet
Ungrouped,I pagrupuar
Unknown,I panjohur
Unknown error,Gabim i panjohur
Unlink failed,Shkëputja dështoi
Unlink task from milestone,Shkëput detyrën nga pika e referimit
Unpin,Hiq nguljen
Unpin Activity,Hiq nguljen e aktivitetit
Unread,I palexuar
Unread only,Vetëm të palexuarat
Until,Deri
Up to Date,Up to Date
Upcoming,Së shpejti
upcoming,së shpejti
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,Përditësimi dështoi
Updated,Përditësuar
Updated successfully,Përditësuar me sukses
Updates,Updates
Upload,Ngarko
Upload failed,Ngarkimi dështoi
Upload files below to attach them to this task.,Ngarkoni skedarë më poshtë për t'i bashkëngjitut kësaj detyre.
Upload to project,Ngarko në projekt
Uploading...,Duke ngarkuar...
Urgent,Urgjent
User {0} is already linked to client {1},Përdoruesi {0} është tashmë i lidhur me klientin {1}
User {0} is already linked to resource {1},Përdoruesi {0} është tashmë i lidhur me burimin {1}
Utilization,Përdorim
Valid,I vlefshëm
Value:,Vlera:
Variance,Ndryshim
Variance:,Ndryshimi:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,Shiko
View All,Shiko të gjitha
View all active projects,Shiko të gjitha projektet aktive
View all open tasks,Shiko të gjitha detyrat e hapura
View overdue tasks,Shiko detyrat e vonuara
View Release,View Release
Visibility,Dukshmëri
Waiting for this task,Duke pritur këtë detyrë
Waits for:,Pret për:
Warning: Resource {0} status is {1},Paralajmërim: statusi i burimit {0} është {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,Paralajmërim: Duke përdorur HTTP në vend të HTTPS. Të dhënat e webhook mund të mos jenë të sigurta.
Watch budget closely,Mbikëqyrni buxhetin nga afër
We'll respond to:,Do t'ju përgjigjemi në:
Webhook deleted,Webhook u fshi
Webhook name is required,Emri i webhook është i nevojshëm
Webhook not found,Webhook nuk u gjet
Webhook URL is required,URL e webhook është e nevojshme
Webhook URL must start with http:// or https://,URL e webhook duhet të fillojë me http:// ose https://
Wed,Mër
Week,Javë
Weekend,Fundjavë
Weekly Capacity,Kapaciteti javor
weekly capacity,kapaciteti javor
Weekly Capacity (h),Kapaciteti javor (h)
Welcome,Mirësevini
Welcome back!,Mirëse u kthyet!
Welcome to Orga,Mirësevini në Orga
What are you working on?,Në çfarë po punoni?
What did you work on?,Në çfarë punuat?
When,Kur
When work begins,Kur fillon puna
When work is due,Kur ka afat puna
Where,Ku
Will capture:,Do të kapë:
Will create:,Do të krijojë:
with checklist items,me zëra të listës së kontrollit
Working,Në punë
Workload,Ngarkesë pune
Workmanship,Cilësia e punës
Write a comment...,Shkruani një koment...
Write a comment... Use @name to mention (Ctrl+Enter to send),Shkruani një koment... Përdorni @emër për të përmendur (Ctrl+Enter për të dërguar)
Year,Vit
Yes,Po
Yesterday,Dje
yesterday,dje
You are not an attendee of this appointment,Ju nuk jeni pjesëmarrës i këtij takimi
You are not linked to any resource,Ju nuk jeni lidhur me asnjë burim
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,Ju mund të fshini vetëm komentet tuaja
You can only delete your own reactions,Ju mund të fshini vetëm reagimet tuaja
You do not have access to the client portal. Please contact support.,Ju nuk keni akses në portalin e klientit. Ju lutem kontaktoni mbështetjen.
You have already reacted with '{0}',Ju keni reaguar tashmë me '{0}'
You have been assigned to task '{0}' in project '{1}'.,Ju u caktuat në detyrën '{0}' në projektin '{1}'.
You have been assigned to: {0},Ju u caktuat te: {0}
You have been invited to the following appointment,Ju jeni ftuar në takimin e mëposhtëm
You have no tasks assigned to you right now.,Ju nuk keni asnjë detyrë të caktuar për momentin.
You were mentioned in {0},Ju u përmendët në {0}
Your attendance,Pjesëmarrja juaj
Your comment has been posted,Komenti juaj u publikua
Your Projects,Projektet tuaja
Your projects will appear here once they're assigned to you.,Projektet tuaja do të shfaqen këtu pasi t'ju caktohen.
Your Response,Përgjigja juaj
Your RSVP,RSVP-ja juaj
Your support request has been submitted successfully.,Kërkesa juaj për mbështetje u dërgua me sukses.
Your support request has been submitted successfully. We'll get back to you shortly.,Kërkesa juaj për mbështetje u dërgua me sukses. Do t'ju përgjigjemi së shpejti.
"Your task ""{0}"" is no longer blocked and can now be started.","Detyra juaj ""{0}"" nuk është më e bllokuar dhe tani mund të fillohet."
{0} is required,{0} është i nevojshëm
{0} new activities,{0} aktivitete të reja
{0} of {1} completed,{0} nga {1} të përfunduara
{0} projects already migrated (will be skipped or updated),{0} projekte tashmë të migruara (do të kapërcehen ose përditësohen)
{0} status changed to {1},Statusi i {0} u ndryshua në {1}
{0} tasks remaining,{0} detyra të mbetura
{0} tasks without projects will be skipped,{0} detyra pa projekte do të kapërcehen
{0} {1} not found,{0} {1} nuk u gjet
