+ Add Milestone,+ మైలురాయి జోడించు
Overdue,ఆలస్యమైంది
overdue,ఆలస్యమైంది
Overdue Tasks,ఆలస్యమైన టాస్క్‌లు
Overview,అవలోకనం
Owner,యజమాని
Page Not Found,పేజీ కనుగొనబడలేదు
Parent,పేరెంట్
Parent comment must belong to the same document,పేరెంట్ వ్యాఖ్య అదే డాక్యుమెంట్‌కు చెందాలి
Parent comment not found,పేరెంట్ వ్యాఖ్య కనుగొనబడలేదు
Parent project not synced to Frappe yet,పేరెంట్ ప్రాజెక్ట్ ఇంకా Frappeకు సింక్ కాలేదు
Parent project sync not enabled,పేరెంట్ ప్రాజెక్ట్ సింక్ ఎనేబుల్ కాలేదు
Partner,భాగస్వామి
Pending,పెండింగ్‌లో ఉంది
per page,పేజీకి
Perform initial assessment and background check,ప్రారంభ మూల్యాంకనం మరియు నేపథ్య తనిఖీ చేయండి
Permanently remove this event,ఈ ఈవెంట్‌ను శాశ్వతంగా తొలగించండి
Permanently remove this task,ఈ టాస్క్‌ను శాశ్వతంగా తొలగించండి
Phone,ఫోన్
Pin,పిన్
Pin Activity,యాక్టివిటీ పిన్ చేయండి
Pin to top,పైకి పిన్ చేయండి
Pinned,పిన్ చేయబడింది
Planned budget for this task,ఈ టాస్క్ కోసం ప్రణాళిక బడ్జెట్
Planning,ప్రణాళిక
Please describe your question or issue in detail...,దయచేసి మీ ప్రశ్న లేదా సమస్యను వివరంగా వివరించండి...
Please login to access Orga,Orgaను యాక్సెస్ చేయడానికి దయచేసి లాగిన్ చేయండి
Please login to access the client portal,క్లయింట్ పోర్టల్‌ను యాక్సెస్ చేయడానికి దయచేసి లాగిన్ చేయండి
Please respond to this invitation in Orga,దయచేసి Orgaలో ఈ ఆహ్వానానికి ప్రతిస్పందించండి
Please select an image file,దయచేసి ఇమేజ్ ఫైల్ ఎంచుకోండి
Please try again,దయచేసి మళ్ళీ ప్రయత్నించండి
Please type,దయచేసి టైప్ చేయండి
Portal,పోర్టల్
Portal access revoked for {0},{0} కోసం పోర్టల్ యాక్సెస్ రద్దు చేయబడింది
Portal user created successfully. Welcome email {0},పోర్టల్ యూజర్ విజయవంతంగా సృష్టించబడింది. స్వాగత ఇమెయిల్ {0}
Post,పోస్ట్
Powered by,ద్వారా శక్తి
Powered by Tonic,Tonic ద్వారా శక్తి
Predecessors (Blocked By),పూర్వగాములు (బ్లాక్ చేసినవి)
Preferences,ప్రాధాన్యతలు
Preferences saved successfully,ప్రాధాన్యతలు విజయవంతంగా భద్రపరచబడ్డాయి
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)","ఆటో-జనరేట్ ప్రాజెక్ట్ కోడ్‌ల ప్రిఫిక్స్ (ఉదా., ORG-2026-0001)"
Prepare and document offer terms,ఆఫర్ నిబంధనలను సిద్ధం చేసి డాక్యుమెంట్ చేయండి
Press,నొక్కండి
Preview,ప్రివ్యూ
Preview cascade before applying,వర్తింపజేయడానికి ముందు క్యాస్కేడ్ ప్రివ్యూ చేయండి
Previous,మునుపటి
Priority,ప్రాధాన్యత
Priority assigned to new tasks,కొత్త టాస్క్‌లకు కేటాయించిన ప్రాధాన్యత
Priority updated,ప్రాధాన్యత నవీకరించబడింది
Proficiency,నైపుణ్యత
Profile,ప్రొఫైల్
Progress,పురోగతి
Progress (High-Low),పురోగతి (ఎక్కువ-తక్కువ)
Progress (Low-High),పురోగతి (తక్కువ-ఎక్కువ)
Progress Overview,పురోగతి అవలోకనం
Progress updated,పురోగతి నవీకరించబడింది
Project,ప్రాజెక్ట్
Project budget has been saved.,ప్రాజెక్ట్ బడ్జెట్ భద్రపరచబడింది.
Project code (e.g. ORG-2026-0001),ప్రాజెక్ట్ కోడ్ (ఉదా. ORG-2026-0001)
Project Code Prefix,ప్రాజెక్ట్ కోడ్ ప్రిఫిక్స్
Project created,ప్రాజెక్ట్ సృష్టించబడింది
Project deleted,ప్రాజెక్ట్ తొలగించబడింది
Project description has been saved.,ప్రాజెక్ట్ వివరణ భద్రపరచబడింది.
Project Details,ప్రాజెక్ట్ వివరాలు
Project end date has been saved.,ప్రాజెక్ట్ ముగింపు తేదీ భద్రపరచబడింది.
Project Files,ప్రాజెక్ట్ ఫైళ్లు
Project has no linked client,ప్రాజెక్ట్‌కు లింక్ చేసిన క్లయింట్ లేదు
Project Health,ప్రాజెక్ట్ ఆరోగ్యం
Project Info,ప్రాజెక్ట్ సమాచారం
Project is required,ప్రాజెక్ట్ అవసరం
Project is required for project context,ప్రాజెక్ట్ సందర్భం కోసం ప్రాజెక్ట్ అవసరం
Project is required when tracking context is 'project',ట్రాకింగ్ సందర్భం 'project' అయినప్పుడు ప్రాజెక్ట్ అవసరం
Project Manager,ప్రాజెక్ట్ మేనేజర్
Project Name,ప్రాజెక్ట్ పేరు
Project name and template name are required,ప్రాజెక్ట్ పేరు మరియు టెంప్లేట్ పేరు అవసరం
Project name is required,ప్రాజెక్ట్ పేరు అవసరం
Project not found,ప్రాజెక్ట్ కనుగొనబడలేదు
Project not found or you do not have access,ప్రాజెక్ట్ కనుగొనబడలేదు లేదా మీకు యాక్సెస్ లేదు
Project settings,ప్రాజెక్ట్ సెట్టింగ్‌లు
Project start date has been saved.,ప్రాజెక్ట్ ప్రారంభ తేదీ భద్రపరచబడింది.
Project title has been saved.,ప్రాజెక్ట్ శీర్షిక భద్రపరచబడింది.
Project Type,ప్రాజెక్ట్ రకం
Project updated,ప్రాజెక్ట్ నవీకరించబడింది
Project {0} linked to client {1},ప్రాజెక్ట్ {0} క్లయింట్ {1}కు లింక్ చేయబడింది
Project {0} not found,ప్రాజెక్ట్ {0} కనుగొనబడలేదు
Project {0} to Frappe Projects,ప్రాజెక్ట్ {0} Frappe ప్రాజెక్ట్‌లకు
Project:,ప్రాజెక్ట్:
Projects,ప్రాజెక్ట్‌లు
projects,ప్రాజెక్ట్‌లు
Projects created:,సృష్టించబడిన ప్రాజెక్ట్‌లు:
Projects Overview,ప్రాజెక్ట్‌ల అవలోకనం
Projects skipped:,స్కిప్ చేయబడిన ప్రాజెక్ట్‌లు:
Projects updated:,నవీకరించబడిన ప్రాజెక్ట్‌లు:
Promote failed,ప్రమోట్ విఫలమైంది
Promote to task,టాస్క్‌గా ప్రమోట్ చేయండి
Promoted to task,టాస్క్‌గా ప్రమోట్ చేయబడింది
Propose,ప్రతిపాదించండి
Propose New Time,కొత్త సమయం ప్రతిపాదించండి
Propose Time,సమయం ప్రతిపాదించండి
Proposed End,ప్రతిపాదిత ముగింపు
Proposed Start,ప్రతిపాదిత ప్రారంభం
Public,పబ్లిక్
Quick Action,త్వరిత చర్య
Quick Actions,త్వరిత చర్యలు
Quick Stats,త్వరిత గణాంకాలు
Rates,రేట్లు
Receive notifications via email,ఇమెయిల్ ద్వారా నోటిఫికేషన్లు అందుకోండి
Receive notifications within the application,అప్లికేషన్‌లో నోటిఫికేషన్లు అందుకోండి
Recent Activity,ఇటీవలి యాక్టివిటీ
Recipient {0} is not a valid user,గ్రహీత {0} చెల్లుబాటు అయ్యే యూజర్ కాదు
Reference,రిఫరెన్స్
Refresh,రిఫ్రెష్
Related,సంబంధిత
Related Company (optional),సంబంధిత కంపెనీ (ఐచ్ఛికం)
Related Documents,సంబంధిత డాక్యుమెంట్లు
Related Project,సంబంధిత ప్రాజెక్ట్
Remaining,మిగిలింది
Reminder,రిమైండర్
Reminder Lead Time,రిమైండర్ లీడ్ టైమ్
Reminder: {0} - {1} at {2},రిమైండర్: {0} - {1} {2} వద్ద
Remove,తొలగించండి
Remove dependency,డిపెండెన్సీ తొలగించండి
Remove dependency on,డిపెండెన్సీ తొలగించండి
Remove from group,గ్రూప్ నుండి తొలగించండి
Remove group dependency,గ్రూప్ డిపెండెన్సీ తొలగించండి
Remove skill,నైపుణ్యం తొలగించండి
Reopen,తిరిగి తెరవండి
Reopen thread,థ్రెడ్ తిరిగి తెరవండి
reopened,తిరిగి తెరవబడింది
replies,జవాబులు
Reply,జవాబు
reply,జవాబు
Replying to,కు జవాబు ఇస్తోంది
Replying to comment,వ్యాఖ్యకు జవాబు ఇస్తోంది
Report Defect,లోపం నివేదించండి
Reported Date,నివేదించిన తేదీ
Reports,నివేదికలు
Reports To,రిపోర్ట్ చేస్తుంది
Request Submitted!,అభ్యర్థన సమర్పించబడింది!
Required,అవసరం
required,అవసరం
Research,పరిశోధన
Reset to Defaults,డిఫాల్ట్‌లకు రీసెట్ చేయండి
Resolve,పరిష్కరించండి
Resolve thread,థ్రెడ్ పరిష్కరించండి
Resolved,పరిష్కరించబడింది
Resolved date cannot be before reported date,పరిష్కరించిన తేదీ నివేదించిన తేదీకి ముందు ఉండకూడదు
Resource,వనరు
Resource and skill name are required,వనరు మరియు నైపుణ్యం పేరు అవసరం
Resource is already an attendee,వనరు ఇప్పటికే హాజరయ్యేవారిలో ఉంది
Resource name is required,వనరు పేరు అవసరం
Resource not found,వనరు కనుగొనబడలేదు
Resource synced from employee {0},ఉద్యోగి {0} నుండి వనరు సింక్ చేయబడింది
Resource {0} is already assigned to this task ({1}),వనరు {0} ఇప్పటికే ఈ టాస్క్‌కు ({1}) అసైన్ చేయబడింది
Resource {0} not found,వనరు {0} కనుగొనబడలేదు
Resources,వనరులు
Retry,మళ్ళీ ప్రయత్నించండి
Review,సమీక్ష
Review all relevant documents and contracts,అన్ని సంబంధిత డాక్యుమెంట్లు మరియు కాంట్రాక్ట్‌లను సమీక్షించండి
Reviews,సమీక్షలు
Risk Assessment,రిస్క్ అసెస్‌మెంట్
Rollback,రోల్‌బ్యాక్
Rolled back,రోల్‌బ్యాక్ చేయబడింది
Room or address,గది లేదా చిరునామా
RSVP,RSVP
Safety,భద్రత
Sat,శని
Save,భద్రపరచండి
"Save a project as a template, or import one from a JSON file.",ప్రాజెక్ట్‌ను టెంప్లేట్‌గా భద్రపరచండి లేదా JSON ఫైల్ నుండి దిగుమతి చేయండి.
Save as Template,టెంప్లేట్‌గా భద్రపరచండి
Save Changes,మార్పులు భద్రపరచండి
Save failed,భద్రపరచడం విఫలమైంది
Save Preferences,ప్రాధాన్యతలు భద్రపరచండి
Save Template,టెంప్లేట్ భద్రపరచండి
Saving...,భద్రపరుస్తోంది...
Schedule,షెడ్యూల్
Schedule type is required for scheduled triggers,షెడ్యూల్ ట్రిగ్గర్‌లకు షెడ్యూల్ రకం అవసరం
Scheduled,షెడ్యూల్ చేయబడింది
Search,శోధన
"Search by name, email, or skill...","పేరు, ఇమెయిల్ లేదా నైపుణ్యం ద్వారా శోధించండి..."
Search for a project...,ప్రాజెక్ట్ కోసం శోధించండి...
Search for a task...,టాస్క్ కోసం శోధించండి...
Search for an event...,ఈవెంట్ కోసం శోధించండి...
Search for people to invite...,ఆహ్వానించడానికి వ్యక్తులను శోధించండి...
Search tasks to link...,లింక్ చేయడానికి టాస్క్‌లను శోధించండి...
Search tasks...,టాస్క్‌లను శోధించండి...
Search...,శోధించండి...
Searching...,శోధిస్తోంది...
Seen,చూసారు
Select a project if your request is related to a specific project.,మీ అభ్యర్థన నిర్దిష్ట ప్రాజెక్ట్‌కు సంబంధించినదైతే ప్రాజెక్ట్ ఎంచుకోండి.
Select a project...,ప్రాజెక్ట్ ఎంచుకోండి...
Select a task from the Gantt chart to view and manage its details.,వివరాలను చూడటానికి మరియు నిర్వహించడానికి గ్యాంట్ చార్ట్ నుండి టాస్క్ ఎంచుకోండి.
Select a task from the list or Kanban board to view and manage its details.,వివరాలను చూడటానికి మరియు నిర్వహించడానికి జాబితా లేదా కాన్‌బాన్ బోర్డ్ నుండి టాస్క్ ఎంచుకోండి.
Select a template...,టెంప్లేట్ ఎంచుకోండి...
Select priority...,ప్రాధాన్యత ఎంచుకోండి...
Select status...,స్టేటస్ ఎంచుకోండి...
Select task...,టాస్క్ ఎంచుకోండి...
Select type...,రకం ఎంచుకోండి...
Selection,ఎంపిక
Send,పంపండి
Send comment,వ్యాఖ్య పంపండి
Send email invitations to attendees,హాజరయ్యేవారికి ఇమెయిల్ ఆహ్వానాలు పంపండి
Send Invitations,ఆహ్వానాలు పంపండి
Send notification when a task is assigned to a user,టాస్క్ యూజర్‌కు అసైన్ చేయబడినప్పుడు నోటిఫికేషన్ పంపండి
Send notification when task status changes,టాస్క్ స్టేటస్ మారినప్పుడు నోటిఫికేషన్ పంపండి
Send reminder before task due date,టాస్క్ గడువు తేదీకి ముందు రిమైండర్ పంపండి
sent,పంపబడింది
Set rate,రేటు సెట్ చేయండి
Settings,సెట్టింగ్‌లు
Settings saved successfully,సెట్టింగ్‌లు విజయవంతంగా భద్రపరచబడ్డాయి
Severity,తీవ్రత
SF (Start-Finish),SF (ప్రారంభం-ముగింపు)
SF - Start-to-Finish,SF - ప్రారంభం నుండి ముగింపు
Show,చూపించు
Show all,అన్నీ చూపించు
Show all changes,అన్ని మార్పులు చూపించు
Show Archived,ఆర్కైవ్ చేసినవి చూపించు
Show full diff,పూర్తి తేడా చూపించు
Show less,తక్కువ చూపించు
Show more,మరిన్ని చూపించు
Skill added,నైపుణ్యం జోడించబడింది
Skill is required,నైపుణ్యం అవసరం
Skill Name,నైపుణ్యం పేరు
Skill removed,నైపుణ్యం తొలగించబడింది
Skill {0} already exists for this resource,నైపుణ్యం {0} ఈ వనరుకు ఇప్పటికే ఉంది
Skills,నైపుణ్యాలు
Skills & Competencies,నైపుణ్యాలు & సామర్థ్యాలు
Skip already migrated projects,ఇప్పటికే మైగ్రేట్ చేసిన ప్రాజెక్ట్‌లను స్కిప్ చేయండి
Sort by,ఆధారంగా క్రమబద్ధీకరించు
Sort: Due Date,క్రమం: గడువు తేదీ
Sort: Priority,క్రమం: ప్రాధాన్యత
Sort: Project,క్రమం: ప్రాజెక్ట్
Sort: Status,క్రమం: స్టేటస్
Sort: Task,క్రమం: టాస్క్
Source Code,సోర్స్ కోడ్
Spent,ఖర్చు చేసిన
Spent:,ఖర్చు:
SS (Start-Start),SS (ప్రారంభం-ప్రారంభం)
SS - Start-to-Start,SS - ప్రారంభం నుండి ప్రారంభం
Standalone,స్వతంత్ర
Start,ప్రారంభం
Start a discussion below,క్రింద చర్చ ప్రారంభించండి
Start Date,ప్రారంభ తేదీ
Start date,ప్రారంభ తేదీ
Start Date (Earliest),ప్రారంభ తేదీ (తొలిది)
Start date updated,ప్రారంభ తేదీ నవీకరించబడింది
Start date/time is required,ప్రారంభ తేదీ/సమయం అవసరం
Start Migration,మైగ్రేషన్ ప్రారంభించండి
Start the conversation below.,క్రింద సంభాషణ ప్రారంభించండి.
Start Timer,టైమర్ ప్రారంభించండి
Start typing to search...,శోధించడానికి టైప్ చేయడం ప్రారంభించండి...
Start-to-Finish,ప్రారంభం నుండి ముగింపు
Start-to-Start,ప్రారంభం నుండి ప్రారంభం
Start:,ప్రారంభం:
Statistics reset,గణాంకాలు రీసెట్ చేయబడ్డాయి
Status,స్టేటస్
Status assigned to new projects,కొత్త ప్రాజెక్ట్‌లకు కేటాయించిన స్టేటస్
Status assigned to new tasks,కొత్త టాస్క్‌లకు కేటాయించిన స్టేటస్
Status Changes,స్టేటస్ మార్పులు
Status updated,స్టేటస్ నవీకరించబడింది
Status:,స్టేటస్:
Stop,ఆపు
Stop & Save,ఆపు & భద్రపరచు
Stop Timer,టైమర్ ఆపు
Stops current timer and starts for this event,ప్రస్తుత టైమర్‌ను ఆపి ఈ ఈవెంట్ కోసం ప్రారంభిస్తుంది
Stops current timer and starts for this task,ప్రస్తుత టైమర్‌ను ఆపి ఈ టాస్క్ కోసం ప్రారంభిస్తుంది
Subject,విషయం
Subject cannot exceed 255 characters,విషయం 255 అక్షరాలకు మించకూడదు
Subject is required,విషయం అవసరం
Submit,సమర్పించండి
Submit Another Request,మరో అభ్యర్థన సమర్పించండి
Submit Request,అభ్యర్థన సమర్పించండి
Submitting...,సమర్పిస్తోంది...
Successfully saved,విజయవంతంగా భద్రపరచబడింది
Successors (Blocking),వారసులు (బ్లాక్ చేస్తోంది)
Sun,ఆది
Supplier,సరఫరాదారు
Support,మద్దతు
Switch to this event,ఈ ఈవెంట్‌కు మారండి
Switch to this task,ఈ టాస్క్‌కు మారండి
Sync direction is set to Frappe to Orga only,సింక్ దిశ Frappe నుండి Orgaకు మాత్రమే సెట్ చేయబడింది
Sync direction is set to Orga to Frappe only,సింక్ దిశ Orga నుండి Frappeకు మాత్రమే సెట్ చేయబడింది
Sync not enabled for this project,ఈ ప్రాజెక్ట్ కోసం సింక్ ఎనేబుల్ కాలేదు
System,సిస్టమ్
Table,పట్టిక
Take ownership of this task,ఈ టాస్క్ యాజమాన్యం తీసుకోండి
Target Date,లక్ష్య తేదీ
Target End,లక్ష్య ముగింపు
Target Project,లక్ష్య ప్రాజెక్ట్
Target user is required for '{0}' action,'{0}' చర్యకు లక్ష్య యూజర్ అవసరం
Task,టాస్క్
task,టాస్క్
Task '{0}' is due on {1}.,టాస్క్ '{0}' {1}న గడువు.
Task and resource are required,టాస్క్ మరియు వనరు అవసరం
Task Assignment,టాస్క్ అసైన్‌మెంట్
Task cannot be its own parent,టాస్క్ దాని స్వంత పేరెంట్ కాలేదు
Task cannot depend on itself,టాస్క్ తనపైన తాను ఆధారపడలేదు
Task cannot depend on the group it belongs to,టాస్క్ అది చెందిన గ్రూప్‌పై ఆధారపడలేదు
Task created,టాస్క్ సృష్టించబడింది
Task deleted,టాస్క్ తొలగించబడింది
Task description has been saved.,టాస్క్ వివరణ భద్రపరచబడింది.
Task Details,టాస్క్ వివరాలు
Task due in {0} days: {1},టాస్క్ {0} రోజుల్లో గడువు: {1}
Task due today: {0},ఈ రోజు గడువు టాస్క్: {0}
Task due tomorrow: {0},రేపు గడువు టాస్క్: {0}
Task duplicated,టాస్క్ డూప్లికేట్ చేయబడింది
Task Group,టాస్క్ గ్రూప్
Task ID is required,టాస్క్ ID అవసరం
Task is blocked by incomplete dependencies,అసంపూర్ణ డిపెండెన్సీల వల్ల టాస్క్ బ్లాక్ చేయబడింది
Task is cancelled,టాస్క్ రద్దు చేయబడింది
Task is completed,టాస్క్ పూర్తయింది
Task is no longer blocked by a group,టాస్క్ ఇకపై గ్రూప్ ద్వారా బ్లాక్ కాలేదు
Task is required for task context,టాస్క్ సందర్భం కోసం టాస్క్ అవసరం
Task is required when tracking context is 'task',ట్రాకింగ్ సందర్భం 'task' అయినప్పుడు టాస్క్ అవసరం
Task linked,టాస్క్ లింక్ చేయబడింది
Task moved,టాస్క్ తరలించబడింది
Task name,టాస్క్ పేరు
Task name is required,టాస్క్ పేరు అవసరం
Task removed from group,టాస్క్ గ్రూప్ నుండి తొలగించబడింది
Task Subject,టాస్క్ విషయం
Task subject is required,టాస్క్ విషయం అవసరం
Task Type,టాస్క్ రకం
Task unblocked: {0},టాస్క్ అన్‌బ్లాక్ చేయబడింది: {0}
Task unlinked,టాస్క్ అన్‌లింక్ చేయబడింది
Task updated,టాస్క్ నవీకరించబడింది
Task {0} not found,టాస్క్ {0} కనుగొనబడలేదు
Task {0} not in project {1},టాస్క్ {0} ప్రాజెక్ట్ {1}లో లేదు
Task {0} to Frappe,టాస్క్ {0} Frappeకు
Tasks,టాస్క్‌లు
tasks,టాస్క్‌లు
Tasks and milestones will be created with dates relative to the project start date.,టాస్క్‌లు మరియు మైలురాళ్లు ప్రాజెక్ట్ ప్రారంభ తేదీకి సంబంధించి తేదీలతో సృష్టించబడతాయి.
Tasks assigned to you across all projects.,అన్ని ప్రాజెక్ట్‌లలో మీకు అసైన్ చేసిన టాస్క్‌లు.
Tasks created:,సృష్టించబడిన టాస్క్‌లు:
Tasks from projects you manage.,మీరు నిర్వహించే ప్రాజెక్ట్‌ల నుండి టాస్క్‌లు.
Tasks updated:,నవీకరించబడిన టాస్క్‌లు:
"Tasks, milestones, and dependencies have been created.","టాస్క్‌లు, మైలురాళ్లు మరియు డిపెండెన్సీలు సృష్టించబడ్డాయి."
Tasks:,టాస్క్‌లు:
TBD,నిర్ధారించబడాల్సింది
Team,బృందం
Team Members,బృంద సభ్యులు
Template,టెంప్లేట్
Template applied,టెంప్లేట్ వర్తింపజేయబడింది
Template data is required in import data,దిగుమతి డేటాలో టెంప్లేట్ డేటా అవసరం
Template has no data,టెంప్లేట్‌కు డేటా లేదు
Template Name,టెంప్లేట్ పేరు
Template name,టెంప్లేట్ పేరు
Template name is required,టెంప్లేట్ పేరు అవసరం
Template name is required in import data,దిగుమతి డేటాలో టెంప్లేట్ పేరు అవసరం
Template saved,టెంప్లేట్ భద్రపరచబడింది
Template updated successfully.,టెంప్లేట్ విజయవంతంగా నవీకరించబడింది.
Template {0} not found,టెంప్లేట్ {0} కనుగొనబడలేదు
Templates,టెంప్లేట్‌లు
Tentative,తాత్కాలిక
The comment has been deleted,వ్యాఖ్య తొలగించబడింది
The project,ప్రాజెక్ట్
The source document may have been deleted.,మూల డాక్యుమెంట్ తొలగించబడి ఉండవచ్చు.
The source document will not be affected.,మూల డాక్యుమెంట్‌పై ప్రభావం ఉండదు.
The status of '{0}' was changed from {1} to {2}.,'{0}' స్టేటస్ {1} నుండి {2}కు మార్చబడింది.
Theme,థీమ్
Theme preference,థీమ్ ప్రాధాన్యత
This action,ఈ చర్య
This action cannot be undone.,ఈ చర్యను తిరిగి పొందలేరు.
This activity has been flagged for attention,ఈ యాక్టివిటీ దృష్టికి ఫ్లాగ్ చేయబడింది
This is a reminder for your upcoming appointment,ఇది మీ రాబోయే అపాయింట్‌మెంట్ కోసం రిమైండర్
This method is only meant for developer mode,ఈ మెథడ్ డెవలపర్ మోడ్ కోసం మాత్రమే
This page wandered off,This page wandered off
This Week,ఈ వారం
This will delete all notes and preferences associated with this activity.,ఇది ఈ యాక్టివిటీతో అనుబంధించిన అన్ని నోట్స్ మరియు ప్రాధాన్యతలను తొలగిస్తుంది.
This will import all Frappe Projects into Orga. Continue?,ఇది అన్ని Frappe ప్రాజెక్ట్‌లను Orgaలోకి దిగుమతి చేస్తుంది. కొనసాగించాలా?
This will permanently delete,ఇది శాశ్వతంగా తొలగిస్తుంది
This will permanently delete:,ఇది శాశ్వతంగా తొలగిస్తుంది:
Thu,గురు
Time,సమయం
Time & Billing,సమయం & బిల్లింగ్
Time & Revenue,సమయం & ఆదాయం
Time Entries,సమయ ఎంట్రీలు
Time log name is required,సమయ లాగ్ పేరు అవసరం
Time Log not found,సమయ లాగ్ కనుగొనబడలేదు
Time log {0} not found,సమయ లాగ్ {0} కనుగొనబడలేదు
Time Logs,సమయ లాగ్‌లు
Time Summary,సమయ సారాంశం
Time Tracking,సమయ ట్రాకింగ్
Timeline,టైమ్‌లైన్
Timer active on,టైమర్ యాక్టివ్
Timer is not running,టైమర్ నడవడం లేదు
Timer Running,టైమర్ నడుస్తోంది
Timer running,టైమర్ నడుస్తోంది
Timesheet DocType not available,టైమ్‌షీట్ DocType అందుబాటులో లేదు
Timesheets,టైమ్‌షీట్‌లు
Timezone,టైమ్‌జోన్
Timezone is detected from your browser,మీ బ్రౌజర్ నుండి టైమ్‌జోన్ గుర్తించబడింది
Title,శీర్షిక
Title cannot exceed 255 characters,శీర్షిక 255 అక్షరాలకు మించకూడదు
Title is required,శీర్షిక అవసరం
Title updated,శీర్షిక నవీకరించబడింది
To,కు
to,కు
to cancel,రద్దు చేయడానికి
to close,మూసివేయడానికి
to confirm:,నిర్ధారించడానికి:
to edit,సవరించడానికి
"to save,","భద్రపరచడానికి,"
To Time cannot be before From Time,ముగింపు సమయం ప్రారంభ సమయానికి ముందు ఉండకూడదు
Today,ఈ రోజు
today,ఈ రోజు
Toggle billable,బిల్ చేయగలిగేది టాగుల్ చేయండి
Toggle Details Panel,వివరాల ప్యానెల్ టాగుల్ చేయండి
Toggle Manager Panel,మేనేజర్ ప్యానెల్ టాగుల్ చేయండి
Toggle Sidebar,సైడ్‌బార్ టాగుల్ చేయండి
Tomorrow,రేపు
tomorrow,రేపు
Total,మొత్తం
Total Budget,మొత్తం బడ్జెట్
Total Contacts,మొత్తం సంప్రదింపులు
Total Cost,మొత్తం ఖర్చు
Total Cost to Org,సంస్థకు మొత్తం ఖర్చు
Total Defect Cost,మొత్తం లోపం ఖర్చు
Total Hours,మొత్తం గంటలు
Total Hours Logged,మొత్తం నమోదైన గంటలు
Total Projects,మొత్తం ప్రాజెక్ట్‌లు
Total Spent,మొత్తం ఖర్చు చేసింది
Total Tasks,మొత్తం టాస్క్‌లు
Total:,మొత్తం:
Tracked,ట్రాక్ చేయబడింది
trails to today while Open at 0%,0% వద్ద ఓపెన్‌లో ఉన్నప్పుడు ఈ రోజు వరకు ట్రెయిల్ అవుతుంది
Tried:,Tried:
Try adjusting your filter criteria,మీ ఫిల్టర్ ప్రమాణాలను సర్దుబాటు చేయడానికి ప్రయత్నించండి
Try adjusting your filters.,మీ ఫిల్టర్లను సర్దుబాటు చేయడానికి ప్రయత్నించండి.
Try Again,మళ్ళీ ప్రయత్నించండి
Tue,మంగళ
Type,రకం
Type updated,రకం నవీకరించబడింది
Type:,రకం:
Typical response time: 1-2 business days,సాధారణ ప్రతిస్పందన సమయం: 1-2 వ్యాపార రోజులు
Unarchive,ఆర్కైవ్ తీసివేయండి
Unarchive Activity,యాక్టివిటీ ఆర్కైవ్ తీసివేయండి
Unassign,అన్‌అసైన్ చేయండి
Unassigned,అన్‌అసైన్ చేయబడింది
Under Budget,బడ్జెట్ లోపల
Ungrouped,గ్రూప్ చేయబడలేదు
Unknown,తెలియనిది
Unknown error,తెలియని లోపం
Unlink failed,అన్‌లింక్ విఫలమైంది
Unlink task from milestone,మైలురాయి నుండి టాస్క్ అన్‌లింక్ చేయండి
Unpin,అన్‌పిన్
Unpin Activity,యాక్టివిటీ అన్‌పిన్ చేయండి
Unread,చదవనిది
Unread only,చదవనివి మాత్రమే
Until,వరకు
Up to Date,Up to Date
Upcoming,రాబోయే
upcoming,రాబోయే
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,నవీకరణ విఫలమైంది
Updated,నవీకరించబడింది
Updated successfully,విజయవంతంగా నవీకరించబడింది
Updates,Updates
Upload,అప్‌లోడ్
Upload failed,అప్‌లోడ్ విఫలమైంది
Upload files below to attach them to this task.,ఈ టాస్క్‌కు జతచేయడానికి క్రింద ఫైళ్లను అప్‌లోడ్ చేయండి.
Upload to project,ప్రాజెక్ట్‌కు అప్‌లోడ్ చేయండి
Uploading...,అప్‌లోడ్ అవుతోంది...
Urgent,అత్యవసరం
User {0} is already linked to client {1},యూజర్ {0} ఇప్పటికే క్లయింట్ {1}కు లింక్ అయి ఉంది
User {0} is already linked to resource {1},యూజర్ {0} ఇప్పటికే వనరు {1}కు లింక్ అయి ఉంది
Utilization,వినియోగం
Valid,చెల్లుబాటు అయ్యే
Value:,విలువ:
Variance,వ్యత్యాసం
Variance:,వ్యత్యాసం:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,వీక్షించు
View All,అన్నీ వీక్షించు
View all active projects,అన్ని యాక్టివ్ ప్రాజెక్ట్‌లను వీక్షించు
View all open tasks,అన్ని తెరిచిన టాస్క్‌లను వీక్షించు
View overdue tasks,ఆలస్యమైన టాస్క్‌లను వీక్షించు
View Release,View Release
Visibility,కనిపించడం
Waiting for this task,ఈ టాస్క్ కోసం వేచి ఉంది
Waits for:,కోసం వేచి ఉంది:
Warning: Resource {0} status is {1},హెచ్చరిక: వనరు {0} స్టేటస్ {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,హెచ్చరిక: HTTPS బదులు HTTP వాడుతోంది. Webhook పేలోడ్‌లు సురక్షితం కాకపోవచ్చు.
Watch budget closely,బడ్జెట్‌ను జాగ్రత్తగా పరిశీలించండి
We'll respond to:,మేము ప్రతిస్పందిస్తాము:
