+ Add Milestone,+ Tilfoej milepael
Workload,Arbejdsbelastning
Workmanship,Udfoersel
Write a comment...,Skriv en kommentar...
Write a comment... Use @name to mention (Ctrl+Enter to send),Skriv en kommentar... Brug @navn for at naevne (Ctrl+Enter for at sende)
Year,Ar
Yes,Ja
Yesterday,I gar
yesterday,i gar
You are not an attendee of this appointment,Du er ikke en deltager i dette moede
You are not linked to any resource,Du er ikke linket til nogen ressource
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,Du kan kun slette dine egne kommentarer
You can only delete your own reactions,Du kan kun slette dine egne reaktioner
You do not have access to the client portal. Please contact support.,Du har ikke adgang til klientportalen. Kontakt support.
You have already reacted with '{0}',"Du har allerede reageret med ""{0}"""
You have been assigned to task '{0}' in project '{1}'.,"Du er tildelt opgaven ""{0}"" i projektet ""{1}""."
You have been assigned to: {0},Du er tildelt: {0}
You have been invited to the following appointment,Du er inviteret til foelgende moede
You have no tasks assigned to you right now.,Du har ingen opgaver tildelt lige nu.
You were mentioned in {0},Du blev naevnt i {0}
Your attendance,Din deltagelse
Your comment has been posted,Din kommentar er publiceret
Your Projects,Dine projekter
Your projects will appear here once they're assigned to you.,Dine projekter vises her nar de tildeles dig.
Your Response,Dit svar
Your RSVP,Dit RSVP
Your support request has been submitted successfully.,Din supportanmodning er sendt.
Your support request has been submitted successfully. We'll get back to you shortly.,Din supportanmodning er sendt. Vi kontakter dig hurtigst muligt.
"Your task ""{0}"" is no longer blocked and can now be started.","Din opgave ""{0}"" er ikke laengere blokeret og kan nu startes."
{0} is required,{0} er paakraevet
{0} new activities,{0} nye aktiviteter
{0} of {1} completed,{0} af {1} faerdiggjort
{0} projects already migrated (will be skipped or updated),{0} projekter allerede migreret (springes over eller opdateres)
{0} status changed to {1},{0} status aendret til {1}
{0} tasks remaining,{0} opgaver tilbage
{0} tasks without projects will be skipped,{0} opgaver uden projekter springes over
{0} {1} not found,{0} {1} ikke fundet
