+ Add Milestone,+ مایلسټون اضافه کړئ
Stop,ودروئ
Stop & Save,ودروئ او خوندي کړئ
Stop Timer,ټایمر ودروئ
Stops current timer and starts for this event,اوسنی ټایمر ودروي او د دې پیښې لپاره پیل کوي
Stops current timer and starts for this task,اوسنی ټایمر ودروي او د دې دندې لپاره پیل کوي
Subject,موضوع
Subject cannot exceed 255 characters,موضوع نشي کولی له 255 حرفونو څخه زیاته وي
Subject is required,موضوع اړینه ده
Submit,وسپارئ
Submit Another Request,بله غوښتنه وسپارئ
Submit Request,غوښتنه وسپارئ
Submitting...,سپارل کیږي...
Successfully saved,په بریالیتوب سره خوندي شو
Successors (Blocking),وروستي (بندول)
Sun,یکشنبه
Supplier,عرضه کوونکی
Support,ملاتړ
Switch to this event,دې پیښې ته لاړ شئ
Switch to this task,دې دندې ته لاړ شئ
Sync direction is set to Frappe to Orga only,د همغږي لور یوازې له Frappe څخه Orga ته ټاکل شوی
Sync direction is set to Orga to Frappe only,د همغږي لور یوازې له Orga څخه Frappe ته ټاکل شوی
Sync not enabled for this project,د دې پروژې لپاره همغږي فعاله نه ده
System,سیسټم
Table,جدول
Take ownership of this task,د دې دندې مالکیت واخلئ
Target Date,هدف نیټه
Target End,هدف پای
Target Project,هدف پروژه
Target user is required for '{0}' action,د '{0}' عمل لپاره هدف کارونکی اړین دی
task,دنده
Task,دنده
Task '{0}' is due on {1}.,دنده '{0}' د {1} نیټه لري.
Task and resource are required,دنده او سرچینه اړین دي
Task Assignment,د دندې ورکونه
Task cannot be its own parent,دنده نشي کولی د ځان اصلي وي
Task cannot depend on itself,دنده نشي کولی پر ځان انحصار ولري
Task cannot depend on the group it belongs to,دنده نشي کولی په هغه ګروپ انحصار ولري چې ورته تعلق لري
Task created,دنده جوړه شوه
Task deleted,دنده حذف شوه
Task description has been saved.,د دندې تشریح خوندي شوه.
Task Details,د دندې جزئیات
Task due in {0} days: {1},دنده په {0} ورځو کې وعده لري: {1}
Task due today: {0},دنده نن وعده لري: {0}
Task due tomorrow: {0},دنده سبا وعده لري: {0}
Task duplicated,دنده نقل شوه
Task Group,د دندې ګروپ
Task ID is required,د دندې پیژندنه اړینه ده
Task is blocked by incomplete dependencies,دنده د نابشپړو انحصارونو له امله بنده ده
Task is cancelled,دنده لغوه شوه
Task is completed,دنده بشپړه شوه
Task is no longer blocked by a group,دنده نور د ګروپ له خوا بنده نه ده
Task is required for task context,د دندې شرایطو لپاره دنده اړینه ده
Task is required when tracking context is 'task',کله چې د تعقیب شرایط 'دنده' وي نو دنده اړینه ده
Task linked,دنده وتړل شوه
Task moved,دنده لیږدول شوه
Task name,د دندې نوم
Task name is required,د دندې نوم اړین دی
Task removed from group,دنده له ګروپ څخه لرې شوه
Task Subject,د دندې موضوع
Task subject is required,د دندې موضوع اړینه ده
Task Type,د دندې ډول
Task unblocked: {0},دنده خلاصه شوه: {0}
Task unlinked,دنده جلا شوه
Task updated,دنده تازه شوه
Task {0} not found,دنده {0} ونه موندل شوه
Task {0} not in project {1},دنده {0} په پروژه {1} کې نشته
Task {0} to Frappe,دنده {0} Frappe ته
Tasks,دندې
tasks,دندې
Tasks and milestones will be created with dates relative to the project start date.,دندې او سنګ‌میلونه به د پروژې د پیل نیټې سره تړاو لرونکو نیټو سره جوړ شي.
Tasks assigned to you across all projects.,ستاسو ته د ټولو پروژو په اوږدو کې ځانګړل شوې دندې.
Tasks created:,جوړې شوې دندې:
Tasks from projects you manage.,د هغو پروژو دندې چې تاسو یې اداره کوئ.
Tasks updated:,تازه شوې دندې:
"Tasks, milestones, and dependencies have been created.",دندې، سنګ‌میلونه، او تړاوونه جوړ شوي.
Tasks:,دندې:
TBD,ټاکل شوی نه دی
Team,ټیم
Team Members,د ډلې غړي
Template,کينډۍ
Template applied,کالب پلي شو
Template data is required in import data,د واردولو ډاټا کې د کالب ډاټا اړینه ده
Template has no data,کالب هیڅ ډاټا نلري
Template Name,د کالب نوم
Template name,د کالب نوم
Template name is required,د کالب نوم اړین دی
Template name is required in import data,د واردولو ډاټا کې د کالب نوم اړین دی
Template saved,کالب خوندي شو
Template updated successfully.,کالب په بریالیتوب سره تازه شو.
Template {0} not found,کالب {0} ونه موندل شو
Templates,کالبونه
Tentative,لومړنی
The comment has been deleted,تبصره حذف شوه
The project,پروژه
The source document may have been deleted.,سرچینه سند ښايي حذف شوی وي.
The source document will not be affected.,سرچینه سند به اغیزمن نشي.
The status of '{0}' was changed from {1} to {2}.,د '{0}' حالت له {1} څخه {2} ته بدل شو.
Theme,موضوع
Theme preference,د تم غوره توب
This action,دا عمل
This action cannot be undone.,دا عمل نشي بیرته راګرځول کیدی.
This activity has been flagged for attention,دا فعالیت د پاملرنې لپاره نښه شوی
This is a reminder for your upcoming appointment,دا ستاسو راتلونکی لیدنې لپاره یادونه ده
This method is only meant for developer mode,دا طریقه یوازې د پراختیا کونکي حالت لپاره ده
This page wandered off,This page wandered off
This Week,دغه هفته
This will delete all notes and preferences associated with this activity.,دا به د دې فعالیت سره تړلې ټولې یادونې او غوره توبونه حذف کړي.
This will import all Frappe Projects into Orga. Continue?,دا به ټول فریپ پروژې په اورګا کې واردوي. دوام ورکئ؟
This will permanently delete,دا به په تل‌پاتې ډول حذف کړي
This will permanently delete:,دا به په تل‌پاتې ډول حذف کړي:
Thu,پنج
Time,وخت
Time & Billing,وخت او بیل
Time & Revenue,وخت او عاید
Time Entries,د وخت ننوتنې
Time log name is required,د وخت لاګ نوم اړین دی
Time Log not found,د وخت لاګ ونه موندل شو
Time log {0} not found,د وخت لاګ {0} ونه موندل شو
Time Logs,د وخت لاګونه
Time Summary,د وخت لنډیز
Time Tracking,د وخت تعقیب
Timeline,مهال ویش
Timer active on,ټایمر فعال دی په
Timer is not running,ټایمر روان نه دی
Timer Running,ټایمر روان دی
Timer running,ټایمر روان دی
Timesheet DocType not available,د وخت پاڼې ډاک ټایپ شتون نلري
Timesheets,د وخت پاڼې
Timezone,وخت سیمه
Timezone is detected from your browser,وخت سیمه ستاسو له براوزر څخه کشف شوه
Title,نوم
Title cannot exceed 255 characters,سرلیک نشي کولی له 255 تورو زیات وي
Title is required,سرلیک اړین دی
Title updated,سرلیک تازه شو
To,ته
to,ته
to cancel,لغوه کولو لپاره
to close,بندولو لپاره
to confirm:,تایید لپاره:
to edit,سمولو لپاره
"to save,",خوندي کولو لپاره،
To Time cannot be before From Time,تر وخت نشي کولی د له وخت څخه مخکې وي
Today,نن
today,نن
Toggle billable,بل‌وړ بدلول
Toggle Details Panel,د تفصیلاتو پینل بدلول
Toggle Manager Panel,د مدیر پینل بدلول
Toggle Sidebar,د سایډ بار ټګول
Tomorrow,سبا
tomorrow,سبا
Total,Total
Total Budget,ټول بودیجه
Total Contacts,ټول اړیکې
Total Cost,ټوله لګښت
Total Cost to Org,سازمان ته ټوله لګښت
Total Defect Cost,د نیمګړتیا ټوله لګښت
Total Hours,ټول ساعتونه
Total Hours Logged,ثبت شوي ټول ساعتونه
Total Projects,ټولې پروژې
Total Spent,ټول مصرف
Total Tasks,ټولې دندې
Total:,ټول:
Tracked,تعقیب شوی
trails to today while Open at 0%,تر نن پورې پرانیستی په 0%
Tried:,Tried:
Try adjusting your filter criteria,خپل فلټر معیارونه تنظیم کولو هڅه وکړئ
Try adjusting your filters.,خپل فلټرونه تنظیم کولو هڅه وکړئ.
Try Again,بیا هڅه وکړئ
Tue,سه‌ش
Type,ډول
Type updated,ډول تازه شو
Type:,ډول:
Typical response time: 1-2 business days,معمولي ځواب ورکولو وخت: 1-2 کاري ورځې
Unarchive,له آرشیف څخه بیرته
Unarchive Activity,فعالیت له آرشیف څخه بیرته راوړل
Unassign,تفویض لرې کول
Unassigned,نا تفویض شوی
Under Budget,د بودیجې لاندې
Ungrouped,بې ډلې
Unknown,ناپیژندل شوی
Unknown error,ناپیژندله تېروتنه
Unlink failed,د لینک لرې کول ناکام شو
Unlink task from milestone,دنده له سنګ‌میل څخه جلا کول
Unpin,پاک یې کړئ
Unpin Activity,فعالیت خلاصول
Unread,نوې
Unread only,یوازې نالوستل شوي
Until,تر
Up to Date,Up to Date
Upcoming,راتلونکی
upcoming,راتلونکی
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,تازه کول ناکام شو
Updated,روز
Updated successfully,په بریالیتوب سره تازه شوی
Updates,Updates
Upload,پورته کول
Upload failed,اپارتمان ناکام شو
Upload files below to attach them to this task.,فایلونه لاندې اپلوډ کړئ ترڅو دې دندې سره ضمیمه یې کړئ.
Upload to project,پروژې ته اپلوډ
Uploading...,اپلوډ کیږي...
Urgent,عاجل
User {0} is already linked to client {1},کارن {0} دمخه له پیرودونکي {1} سره تړلی دی
User {0} is already linked to resource {1},کارن {0} دمخه له سرچینې {1} سره تړلی دی
Utilization,کارونه
Valid,د اعتبار وړ
Value:,ارزښت:
Variance,توپیر
Variance:,توپیر:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,لید
View All,ټول وګوری
View all active projects,ټولې فعالې پروژې وګورئ
View all open tasks,ټولې خلاصې دندې وګورئ
View overdue tasks,ناوخته دندې وګورئ
View Release,View Release
Visibility,لیدنه
Waiting for this task,د دې دندې انتظار
Waits for:,انتظار لري:
Warning: Resource {0} status is {1},خبرداری: د سرچینې {0} حالت {1} دی
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,خبرداری: د HTTPS پرځای HTTP کارول کیږي. ویب‌هوک پیلوډونه ښايي خوندي نه وي.
Watch budget closely,بودیجه له نږدې وڅارئ
We'll respond to:,موږ به ځواب ورکو:
Webhook deleted,ویب‌هوک حذف شو
Webhook name is required,د ویب‌هوک نوم اړین دی
Webhook not found,ویب‌هوک ونه موندل شو
Webhook URL is required,د ویب‌هوک URL اړین دی
Webhook URL must start with http:// or https://,د ویب‌هوک URL باید له http:// یا https:// سره پیل شي
Wed,چهارش
Week,اونۍ
Weekend,اونۍ وزګار
Weekly Capacity,اونیزه ظرفیت
weekly capacity,اونیزه ظرفیت
Weekly Capacity (h),اونیزه ظرفیت (س)
Welcome,ښه راغلاست
Welcome back!,بیرته ښه راغلاست!
Welcome to Orga,Orga ته ښه راغلاست
What are you working on?,تاسو په څه کار کوئ؟
What did you work on?,تاسو په څه کار کاوه؟
When,کله
When work begins,کله چې کار پیل شي
When work is due,کله چې کار مقرر وي
Where,چیرته
Will capture:,ونیسي:
Will create:,جوړ کړي:
with checklist items,د چیک‌لست توکو سره
Working,کار کوي
Workload,د کار بار
Workmanship,هنرمندي
Write a comment...,تبصره ولیکئ...
Write a comment... Use @name to mention (Ctrl+Enter to send),تبصره ولیکئ... د یادونې لپاره @نوم وکاروئ (لیږلو لپاره Ctrl+Enter)
Year,کال
Yes,هو
Yesterday,پرون
yesterday,پرون
You are not an attendee of this appointment,تاسو د دې لیدنې ګډونوال نه یاست
You are not linked to any resource,تاسو له هیڅ سرچینې سره تړلي نه یاست
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,تاسو یوازې خپلې تبصرې حذف کولی شئ
You can only delete your own reactions,تاسو یوازې خپل عکس‌العملونه حذف کولی شئ
You do not have access to the client portal. Please contact support.,تاسو د پیرودونکي پورټل ته لاسرسی نلرئ. مهرباني وکړئ د ملاتړ سره اړیکه ونیسئ.
You have already reacted with '{0}',تاسو دمخه په '{0}' عکس‌العمل ښودلی دی
You have been assigned to task '{0}' in project '{1}'.,تاسو ته د '{1}' پروژې کې دنده '{0}' ځانګړې شوه.
You have been assigned to: {0},تاسو ته ځانګړه شوه: {0}
You have been invited to the following appointment,تاسو لاندې لیدنې ته بلل شوي یاست
You have no tasks assigned to you right now.,دم مهال تاسو ته هیڅ دنده ځانګړې شوې نه ده.
You were mentioned in {0},تاسو په {0} کې یاد شوي یاست
Your attendance,ستاسو حاضري
Your comment has been posted,ستاسو تبصره خپره شوه
Your Projects,ستاسو پروژې
Your projects will appear here once they're assigned to you.,ستاسو پروژې به دلته ښکاره شي کله چې تاسو ته ځانګړې شي.
Your Response,ستاسو ځواب
Your RSVP,ستاسو RSVP
Your support request has been submitted successfully.,ستاسو د ملاتړ غوښتنه په بریالیتوب سره وسپارل شوه.
Your support request has been submitted successfully. We'll get back to you shortly.,ستاسو د ملاتړ غوښتنه په بریالیتوب سره وسپارل شوه. موږ به ډیر ژر تاسو سره اړیکه ونیسو.
"Your task ""{0}"" is no longer blocked and can now be started.","ستاسو دنده ""{0}"" نور بنده نه ده او اوس پیل کیدی شي."
{0} is required,{0} ته اړتيا ده
{0} new activities,{0} نوي فعالیتونه
{0} of {1} completed,د {1} څخه {0} بشپړ شو
{0} projects already migrated (will be skipped or updated),{0} پروژې دمخه لیږدول شوي (پریښودل یا تازه کیږي)
{0} status changed to {1},د {0} حالت {1} ته بدل شو
{0} tasks remaining,{0} دندې پاتې دي
{0} tasks without projects will be skipped,{0} بې‌پروژې دندې به پریښودل شي
{0} {1} not found,{0} د {1} ونه موندل شو
