+ Add Milestone,+ माइलस्टोन जोड़ें
Settings saved successfully,सेटिंग्स सफलतापूर्वक सहेजी गईं
Severity,गंभीरता
SF (Start-Finish),SF (आरंभ-समाप्ति)
SF - Start-to-Finish,SF - आरंभ-से-समाप्ति
Show,दिखाएँ
Show all,सभी दिखाएँ
Show all changes,सभी बदलाव दिखाएँ
Show Archived,संग्रहित दिखाएँ
Show full diff,पूर्ण अंतर दिखाएँ
Show less,कम दिखाएँ
Show more,और दिखाएँ
Skill added,कौशल जोड़ा गया
Skill is required,कौशल आवश्यक है
Skill Name,कौशल नाम
Skill removed,कौशल हटाया गया
Skill {0} already exists for this resource,इस संसाधन के लिए कौशल {0} पहले से मौजूद है
Skills,कौशल
Skills & Competencies,कौशल और योग्यताएँ
Skip already migrated projects,पहले से माइग्रेट की गई परियोजनाएँ छोड़ें
Sort by,इसके अनुसार क्रमबद्ध करें
Sort: Due Date,क्रम: नियत तिथि
Sort: Priority,क्रम: प्राथमिकता
Sort: Project,क्रम: परियोजना
Sort: Status,क्रम: स्थिति
Sort: Task,क्रम: कार्य
Source Code,स्रोत कोड
Spent,खर्च
Spent:,खर्च:
SS (Start-Start),SS (आरंभ-आरंभ)
SS - Start-to-Start,SS - आरंभ-से-आरंभ
Standalone,स्वतंत्र
Start,आरंभ
Start a discussion below,नीचे एक चर्चा शुरू करें
Start Date,आरंभ तिथि
Start date,आरंभ तिथि
Start Date (Earliest),आरंभ तिथि (सबसे पहले)
Start date updated,आरंभ तिथि अपडेट की गई
Start date/time is required,आरंभ तिथि/समय आवश्यक है
Start Migration,माइग्रेशन शुरू करें
Start the conversation below.,नीचे बातचीत शुरू करें।
Start Timer,टाइमर शुरू करें
Start typing to search...,खोजने के लिए टाइप करना शुरू करें...
Start-to-Finish,आरंभ-से-समाप्ति
Start-to-Start,आरंभ-से-आरंभ
Start:,आरंभ:
Statistics reset,आँकड़े रीसेट किए गए
Status,स्थिति
Status assigned to new projects,नई परियोजनाओं को असाइन की गई स्थिति
Status assigned to new tasks,नए कार्यों को असाइन की गई स्थिति
Status Changes,स्थिति बदलाव
Status updated,स्थिति अपडेट की गई
Status:,स्थिति:
Stop,रोकें
Stop & Save,रोकें और सहेजें
Stop Timer,टाइमर रोकें
Stops current timer and starts for this event,वर्तमान टाइमर रोकता है और इस कार्यक्रम के लिए शुरू करता है
Stops current timer and starts for this task,वर्तमान टाइमर रोकता है और इस कार्य के लिए शुरू करता है
Subject,विषय
Subject cannot exceed 255 characters,विषय 255 अक्षरों से अधिक नहीं हो सकता
Subject is required,विषय आवश्यक है
Submit,सबमिट करें
Submit Another Request,एक और अनुरोध सबमिट करें
Submit Request,अनुरोध सबमिट करें
Submitting...,सबमिट किया जा रहा है...
Successfully saved,सफलतापूर्वक सहेजा गया
Successors (Blocking),उत्तरवर्ती (अवरुद्ध कर रहे)
Sun,रवि
Supplier,आपूर्तिकर्ता
Support,सहायता
Switch to this event,इस कार्यक्रम पर स्विच करें
Switch to this task,इस कार्य पर स्विच करें
Sync direction is set to Frappe to Orga only,सिंक दिशा केवल Frappe से Orga की ओर सेट है
Sync direction is set to Orga to Frappe only,सिंक दिशा केवल Orga से Frappe की ओर सेट है
Sync not enabled for this project,इस परियोजना के लिए सिंक सक्षम नहीं है
System,सिस्टम
Table,तालिका
Take ownership of this task,इस कार्य का स्वामित्व लें
Target Date,लक्ष्य तिथि
Target End,लक्ष्य समाप्ति
Target Project,लक्ष्य परियोजना
Target user is required for '{0}' action,'{0}' कार्रवाई के लिए लक्ष्य उपयोगकर्ता आवश्यक है
Task,कार्य
task,कार्य
Task '{0}' is due on {1}.,कार्य '{0}' की नियत तिथि {1} है।
Task and resource are required,कार्य और संसाधन आवश्यक हैं
Task Assignment,कार्य असाइनमेंट
Task cannot be its own parent,कार्य स्वयं का पैरेंट नहीं हो सकता
Task cannot depend on itself,कार्य स्वयं पर निर्भर नहीं हो सकता
Task cannot depend on the group it belongs to,कार्य उस समूह पर निर्भर नहीं हो सकता जिसमें वह है
Task created,कार्य बनाया गया
Task deleted,कार्य हटाया गया
Task description has been saved.,कार्य विवरण सहेजा गया है।
Task Details,कार्य विवरण
Task due in {0} days: {1},{0} दिनों में कार्य नियत: {1}
Task due today: {0},आज नियत कार्य: {0}
Task due tomorrow: {0},कल नियत कार्य: {0}
Task duplicated,कार्य की प्रतिलिपि बनाई गई
Task Group,कार्य समूह
Task ID is required,कार्य ID आवश्यक है
Task is blocked by incomplete dependencies,कार्य अपूर्ण निर्भरताओं द्वारा अवरुद्ध है
Task is cancelled,कार्य रद्द किया गया है
Task is completed,कार्य पूर्ण हो गया है
Task is no longer blocked by a group,कार्य अब किसी समूह द्वारा अवरुद्ध नहीं है
Task is required for task context,कार्य संदर्भ के लिए कार्य आवश्यक है
Task is required when tracking context is 'task',जब ट्रैकिंग संदर्भ 'task' हो तो कार्य आवश्यक है
Task linked,कार्य जोड़ा गया
Task moved,कार्य ले जाया गया
Task name,कार्य नाम
Task name is required,कार्य नाम आवश्यक है
Task removed from group,कार्य समूह से हटाया गया
Task Subject,कार्य विषय
Task subject is required,कार्य विषय आवश्यक है
Task Type,कार्य प्रकार
Task unblocked: {0},कार्य अनवरोधित: {0}
Task unlinked,कार्य अनलिंक किया गया
Task updated,कार्य अपडेट किया गया
Task {0} not found,कार्य {0} नहीं मिला
Task {0} not in project {1},कार्य {0} परियोजना {1} में नहीं है
Task {0} to Frappe,कार्य {0} Frappe में
Tasks,कार्य
tasks,कार्य
Tasks and milestones will be created with dates relative to the project start date.,कार्य और माइलस्टोन परियोजना आरंभ तिथि के सापेक्ष तिथियों के साथ बनाए जाएंगे।
Tasks assigned to you across all projects.,सभी परियोजनाओं में आपको असाइन किए गए कार्य।
Tasks created:,बनाए गए कार्य:
Tasks from projects you manage.,आपके द्वारा प्रबंधित परियोजनाओं के कार्य।
Tasks updated:,अपडेट किए गए कार्य:
"Tasks, milestones, and dependencies have been created.","कार्य, माइलस्टोन, और निर्भरताएँ बनाई गई हैं।"
Tasks:,कार्य:
TBD,निर्धारित किया जाना है
Team,टीम
Team Members,टीम सदस्य
Template,टेम्पलेट
Template applied,टेम्पलेट लागू किया गया
Template data is required in import data,आयात डेटा में टेम्पलेट डेटा आवश्यक है
Template has no data,टेम्पलेट में कोई डेटा नहीं है
Template Name,टेम्पलेट नाम
Template name,टेम्पलेट नाम
Template name is required,टेम्पलेट नाम आवश्यक है
Template name is required in import data,आयात डेटा में टेम्पलेट नाम आवश्यक है
Template saved,टेम्पलेट सहेजा गया
Template updated successfully.,टेम्पलेट सफलतापूर्वक अपडेट किया गया।
Template {0} not found,टेम्पलेट {0} नहीं मिला
Templates,टेम्पलेट
Tentative,अस्थायी
The comment has been deleted,टिप्पणी हटा दी गई है
The project,परियोजना
The source document may have been deleted.,स्रोत दस्तावेज़ संभवतः हटा दिया गया है।
The source document will not be affected.,स्रोत दस्तावेज़ प्रभावित नहीं होगा।
The status of '{0}' was changed from {1} to {2}.,'{0}' की स्थिति {1} से {2} में बदल दी गई।
Theme,थीम
Theme preference,थीम प्राथमिकता
This action,यह कार्रवाई
This action cannot be undone.,यह कार्रवाई पूर्ववत नहीं की जा सकती।
This activity has been flagged for attention,इस गतिविधि को ध्यान के लिए फ़्लैग किया गया है
This is a reminder for your upcoming appointment,यह आपके आगामी अपॉइंटमेंट के लिए एक अनुस्मारक है
This method is only meant for developer mode,यह विधि केवल डेवलपर मोड के लिए है
This page wandered off,This page wandered off
This Week,इस सप्ताह
This will delete all notes and preferences associated with this activity.,यह इस गतिविधि से जुड़े सभी नोट और प्राथमिकताएँ हटा देगा।
This will import all Frappe Projects into Orga. Continue?,यह सभी Frappe परियोजनाओं को Orga में आयात करेगा। जारी रखें?
This will permanently delete,यह स्थायी रूप से हटा देगा
This will permanently delete:,यह स्थायी रूप से हटा देगा:
Thu,गुरु
Time,समय
Time & Billing,समय और बिलिंग
Time & Revenue,समय और राजस्व
Time Entries,समय प्रविष्टियाँ
Time log name is required,समय प्रविष्टि का नाम आवश्यक है
Time Log not found,समय प्रविष्टि नहीं मिली
Time log {0} not found,समय प्रविष्टि {0} नहीं मिली
Time Logs,समय प्रविष्टियाँ
Time Summary,समय सारांश
Time Tracking,समय ट्रैकिंग
Timeline,समयरेखा
Timer active on,टाइमर सक्रिय है
Timer is not running,टाइमर नहीं चल रहा
Timer Running,टाइमर चल रहा है
Timer running,टाइमर चल रहा है
Timesheet DocType not available,टाइमशीट DocType उपलब्ध नहीं है
Timesheets,टाइमशीट
Timezone,समय क्षेत्र
Timezone is detected from your browser,समय क्षेत्र आपके ब्राउज़र से पहचाना गया है
Title,शीर्षक
Title cannot exceed 255 characters,शीर्षक 255 अक्षरों से अधिक नहीं हो सकता
Title is required,शीर्षक आवश्यक है
Title updated,शीर्षक अपडेट किया गया
To,तक
to,तक
to cancel,रद्द करने के लिए
to close,बंद करने के लिए
to confirm:,पुष्टि करने के लिए:
to edit,संपादित करने के लिए
"to save,","सहेजने के लिए,"
To Time cannot be before From Time,समाप्ति समय आरंभ समय से पहले नहीं हो सकता
Today,आज
today,आज
Toggle billable,बिल योग्य टॉगल करें
Toggle Details Panel,विवरण पैनल टॉगल करें
Toggle Manager Panel,प्रबंधक पैनल टॉगल करें
Toggle Sidebar,साइडबार टॉगल करें
Tomorrow,कल
tomorrow,कल
Total,कुल
Total Budget,कुल बजट
Total Contacts,कुल संपर्क
Total Cost,कुल लागत
Total Cost to Org,संगठन की कुल लागत
Total Defect Cost,कुल दोष लागत
Total Hours,कुल घंटे
Total Hours Logged,कुल दर्ज घंटे
Total Projects,कुल परियोजनाएँ
Total Spent,कुल खर्च
Total Tasks,कुल कार्य
Total:,कुल:
Tracked,ट्रैक किया गया
trails to today while Open at 0%,खुला रहते हुए 0% पर आज तक ट्रेल होता है
Tried:,Tried:
Try adjusting your filter criteria,अपने फ़िल्टर मानदंड समायोजित करने का प्रयास करें
Try adjusting your filters.,अपने फ़िल्टर समायोजित करने का प्रयास करें।
Try Again,पुनः प्रयास करें
Tue,मंगल
Type,प्रकार
Type updated,प्रकार अपडेट किया गया
Type:,प्रकार:
Typical response time: 1-2 business days,सामान्य प्रतिक्रिया समय: 1-2 कार्य दिवस
Unarchive,असंग्रहित करें
Unarchive Activity,गतिविधि असंग्रहित करें
Unassign,असाइनमेंट हटाएँ
Unassigned,असाइन नहीं किया गया
Under Budget,बजट के भीतर
Ungrouped,असमूहित
Unknown,अज्ञात
Unknown error,अज्ञात त्रुटि
Unlink failed,अनलिंक विफल
Unlink task from milestone,कार्य को माइलस्टोन से अनलिंक करें
Unpin,अनपिन करें
Unpin Activity,गतिविधि अनपिन करें
Unread,अपठित
Unread only,केवल अपठित
Until,तक
Up to Date,Up to Date
Upcoming,आगामी
upcoming,आगामी
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,अपडेट विफल
Updated,अपडेट किया गया
Updated successfully,सफलतापूर्वक अपडेट किया गया
Updates,Updates
Upload,अपलोड
Upload failed,अपलोड विफल
Upload files below to attach them to this task.,इस कार्य से संलग्न करने के लिए नीचे फ़ाइलें अपलोड करें।
Upload to project,परियोजना में अपलोड करें
Uploading...,अपलोड हो रहा है...
Urgent,अत्यावश्यक
User {0} is already linked to client {1},उपयोगकर्ता {0} पहले से ग्राहक {1} से जुड़ा है
User {0} is already linked to resource {1},उपयोगकर्ता {0} पहले से संसाधन {1} से जुड़ा है
Utilization,उपयोग
Valid,मान्य
Value:,मान:
Variance,विचलन
Variance:,विचलन:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,देखें
View All,सभी देखें
View all active projects,सभी सक्रिय परियोजनाएँ देखें
View all open tasks,सभी खुले कार्य देखें
View overdue tasks,विलंबित कार्य देखें
View Release,View Release
Visibility,दृश्यता
Waiting for this task,इस कार्य की प्रतीक्षा में
Waits for:,प्रतीक्षा कर रहा है:
Warning: Resource {0} status is {1},चेतावनी: संसाधन {0} की स्थिति {1} है
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,चेतावनी: HTTPS के बजाय HTTP का उपयोग हो रहा है। Webhook डेटा सुरक्षित नहीं हो सकता।
Watch budget closely,बजट पर बारीकी से नज़र रखें
We'll respond to:,हम इस पर उत्तर देंगे:
Webhook deleted,Webhook हटाया गया
Webhook name is required,Webhook नाम आवश्यक है
Webhook not found,Webhook नहीं मिला
Webhook URL is required,Webhook URL आवश्यक है
Webhook URL must start with http:// or https://,Webhook URL http:// या https:// से शुरू होना चाहिए
Wed,बुध
Week,सप्ताह
Weekend,सप्ताहांत
Weekly Capacity,साप्ताहिक क्षमता
weekly capacity,साप्ताहिक क्षमता
Weekly Capacity (h),साप्ताहिक क्षमता (घं)
Welcome,स्वागत
Welcome back!,वापसी पर स्वागत!
Welcome to Orga,Orga में आपका स्वागत है
What are you working on?,आप किस पर काम कर रहे हैं?
What did you work on?,आपने किस पर काम किया?
When,कब
When work begins,जब काम शुरू हो
When work is due,जब काम नियत हो
Where,कहाँ
Will capture:,कैप्चर करेगा:
Will create:,बनाएगा:
with checklist items,चेकलिस्ट आइटम के साथ
Working,काम कर रहा है
Workload,कार्यभार
Workmanship,कारीगरी
Write a comment...,टिप्पणी लिखें...
Write a comment... Use @name to mention (Ctrl+Enter to send),टिप्पणी लिखें... उल्लेख के लिए @नाम का उपयोग करें (भेजने के लिए Ctrl+Enter)
Year,वर्ष
Yes,हाँ
Yesterday,कल
yesterday,कल
You are not an attendee of this appointment,आप इस अपॉइंटमेंट के सहभागी नहीं हैं
You are not linked to any resource,आप किसी संसाधन से जुड़े नहीं हैं
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,आप केवल अपनी टिप्पणियाँ हटा सकते हैं
You can only delete your own reactions,आप केवल अपनी प्रतिक्रियाएँ हटा सकते हैं
You do not have access to the client portal. Please contact support.,आपकी ग्राहक पोर्टल तक पहुँच नहीं है। कृपया सहायता से संपर्क करें।
You have already reacted with '{0}',आपने पहले से '{0}' प्रतिक्रिया दी है
You have been assigned to task '{0}' in project '{1}'.,आपको परियोजना '{1}' में कार्य '{0}' असाइन किया गया है।
You have been assigned to: {0},आपको असाइन किया गया है: {0}
You have been invited to the following appointment,आपको निम्नलिखित अपॉइंटमेंट के लिए आमंत्रित किया गया है
You have no tasks assigned to you right now.,अभी आपको कोई कार्य असाइन नहीं किया गया है।
You were mentioned in {0},आपका उल्लेख {0} में किया गया
Your attendance,आपकी उपस्थिति
Your comment has been posted,आपकी टिप्पणी पोस्ट की गई है
Your Projects,आपकी परियोजनाएँ
Your projects will appear here once they're assigned to you.,आपकी परियोजनाएँ यहाँ दिखाई देंगी जब वे आपको असाइन की जाएँगी।
Your Response,आपका उत्तर
Your RSVP,आपका RSVP
Your support request has been submitted successfully.,आपका सहायता अनुरोध सफलतापूर्वक सबमिट किया गया है।
Your support request has been submitted successfully. We'll get back to you shortly.,आपका सहायता अनुरोध सफलतापूर्वक सबमिट किया गया है। हम जल्द ही आपसे संपर्क करेंगे।
"Your task ""{0}"" is no longer blocked and can now be started.","आपका कार्य ""{0}"" अब अवरुद्ध नहीं है और अब शुरू किया जा सकता है।"
{0} is required,{0} आवश्यक है
{0} new activities,{0} नई गतिविधियाँ
{0} of {1} completed,{1} में से {0} पूर्ण
{0} projects already migrated (will be skipped or updated),{0} परियोजनाएँ पहले से माइग्रेट (छोड़ी जाएंगी या अपडेट की जाएंगी)
{0} status changed to {1},{0} की स्थिति {1} में बदली गई
{0} tasks remaining,{0} कार्य शेष
{0} tasks without projects will be skipped,परियोजनाओं के बिना {0} कार्य छोड़ दिए जाएंगे
{0} {1} not found,{0} {1} नहीं मिला
