+ Add Milestone,+ Lasit Mearrádusa
Stops current timer and starts for this task,Bisáná dálááigge mihtidanmáhku ja álgá dán bargui
Subject,Fáddá
Subject cannot exceed 255 characters,Fáddá ii sáhte leat guhkit go 255 bustáva
Subject is required,Fáddá dárbbašuvvo
Submit,Sádde
Submit Another Request,Sádde Eará Ohcamu
Submit Request,Sádde Ohcamu
Submitting...,Sáddejuvvo...
Successfully saved,Lihkostuvvan vurkejuvvon
Successors (Blocking),Boahttebarggut (Eastán)
Sun,Sotn
Supplier,Doaibmagoddi
Support,Doarjja
Switch to this event,Molsso dán dáhpáhussii
Switch to this task,Molsso dán bargui
Sync direction is set to Frappe to Orga only,Syngkroniserenguvlui biddjojuvvon Frappe:s Orga:i dušše
Sync direction is set to Orga to Frappe only,Syngkroniserenguvlui biddjojuvvon Orga:s Frappe:i dušše
Sync not enabled for this project,Syngkroniseren ii leat dohkkehuvvon dán prošeavttii
System,Vuogádat
Table,Tabealla
Take ownership of this task,Válde ovddasvástádusa dán barggus
Target Date,Ulbmilbeavvi
Target End,Ulbmilloahppa
Target Project,Ulbmilprošeavtta
Target user is required for '{0}' action,Ulbmilgeavaheaddji dárbbašuvvo '{0}' doibmii
Task,Bargu
task,bargu
Task '{0}' is due on {1}.,Barggu '{0}' áigerássi lea {1}.
Task and resource are required,Bargu ja resursa dárbbašuvvojit
Task Assignment,Barggujuolludeapmi
Task cannot be its own parent,Bargu ii sáhte leat iežas váhnen
Task cannot depend on itself,Bargu ii sáhte sorját alcces
Task cannot depend on the group it belongs to,Bargu ii sáhte sorját joavkkus masa dat gullá
Task created,Bargu ráhkaduvvon
Task deleted,Bargu sihkkojuvvon
Task description has been saved.,Barggu govvádus lea vurkejuvvon.
Task Details,Barggu Dieđut
Task due in {0} days: {1},Barggu áigerássi {0} beaivve siste: {1}
Task due today: {0},Barggu áigerássi odne: {0}
Task due tomorrow: {0},Barggu áigerássi ihttin: {0}
Task duplicated,Bargu máŋgguduvvon
Task Group,Barggujoavku
Task ID is required,Barggu ID dárbbašuvvo
Task is blocked by incomplete dependencies,Bargu eastojuvvon ollášuhttekeahtes sorjavuođain
Task is cancelled,Bargu šluhttejuvvon
Task is completed,Bargu gárvvistuvvon
Task is no longer blocked by a group,Bargu ii leat šat eastojuvvon joavkkus
Task is required for task context,Bargu dárbbašuvvo barggukonteavsttas
Task is required when tracking context is 'task',Bargu dárbbašuvvo go čuovvunkonteavstta lea 'bargu'
Task linked,Bargu liŋkkejuvvon
Task moved,Bargu sirdojuvvon
Task name,Barggunamma
Task name is required,Barggunamma dárbbašuvvo
Task removed from group,Bargu váldojuvvon eret joavkkus
Task Subject,Barggu Fáddá
Task subject is required,Barggu fáddá dárbbašuvvo
Task Type,Barggušládja
Task unblocked: {0},Bargu rahppasuvvan: {0}
Task unlinked,Bargguliŋka váldojuvvon eret
Task updated,Bargu ođasmahttojuvvon
Task {0} not found,Bargu {0} ii gávdnon
Task {0} not in project {1},Bargu {0} ii leat prošeavttas {1}
Task {0} to Frappe,Bargu {0} Frappe:i
Tasks,Barggut
tasks,barggut
Tasks and milestones will be created with dates relative to the project start date.,Barggut ja mearrádusat ráhkaduvvojit beaivemearaiguin relatiivvalaččat prošeavtta álgobeavvái.
Tasks assigned to you across all projects.,Barggut juolluduvvon dutnje buot prošeavttain.
Tasks created:,Barggut ráhkaduvvon:
Tasks from projects you manage.,Barggut prošeavttain maid don jođihát.
Tasks updated:,Barggut ođasmahttojuvvon:
"Tasks, milestones, and dependencies have been created.","Barggut, mearrádusat ja sorjavuođat leat ráhkaduvvon."
Tasks:,Barggut:
TBD,Mearriduvvo
Team,Joavku
Team Members,Joavkkulahtut
Template,Málle
Template applied,Málle geavahuvvon
Template data is required in import data,Málledieđut dárbbašuvvojit importeredieđuin
Template has no data,Málles eai leat dieđut
Template Name,Málle Namma
Template name,Mállenamma
Template name is required,Mállenamma dárbbašuvvo
Template name is required in import data,Mállenamma dárbbašuvvo importeredieđuin
Template saved,Málle vurkejuvvon
Template updated successfully.,Málle ođasmahttojuvvon lihkostuvvan.
Template {0} not found,Málle {0} ii gávdnon
Templates,Mállet
Tentative,Gáskkusteapmi
The comment has been deleted,Kommeantár lea sihkkojuvvon
The project,Prošeavtta
The source document may have been deleted.,Gáldudokumeantta sáhttá leat sihkkojuvvon.
The source document will not be affected.,Gáldudokumeantta ii váikkuhuvvo.
The status of '{0}' was changed from {1} to {2}.,'{0}' dilálašvuohta rievdaduvvui {1}:s {2}:i.
Theme,Fáddá
Theme preference,Fáddáválljejupmi
This action,Dát doaibma
This action cannot be undone.,Dát doaibma ii sáhte máhcahuvvot.
This activity has been flagged for attention,Dát doaibma lea mearkkašuvvon fuomášupmái
This is a reminder for your upcoming appointment,Dát lea muittuhus du boahtte soahpamuša birra
This method is only meant for developer mode,Dát vuohki lea dušše ovddidanvuogáda várás
This page wandered off,This page wandered off
This Week,Dán Vahkku
This will delete all notes and preferences associated with this activity.,Dát sihkku buot čállosiid ja válljejumiid mat gullet dán doibmii.
This will import all Frappe Projects into Orga. Continue?,Dát importere buot Frappe prošeavttaid Orga:i. Joatke?
This will permanently delete,Dát sihkku bissolaččat
This will permanently delete:,Dát sihkku bissolaččat:
Thu,Duor
Time,Áigi
Time & Billing,Áigi ja Máksit
Time & Revenue,Áigi ja Dienas
Time Entries,Áigečállimat
Time log name is required,Áigečállima namma dárbbašuvvo
Time Log not found,Áigečállin ii gávdnon
Time log {0} not found,Áigečállin {0} ii gávdnon
Time Logs,Áigečállimat
Time Summary,Áigečoahkkáigeassu
Time Tracking,Áigečuovvun
Timeline,Áigeráidu
Timer active on,Áigemihtidanmáhkku aktiivvalaš
Timer is not running,Áigemihtidanmáhkku ii jođe
Timer Running,Áigemihtidanmáhkku Joatkamis
Timer running,Áigemihtidanmáhkku jođamis
Timesheet DocType not available,Áigetábealla DocType ii gávdno
Timesheets,Áigetábeallat
Timezone,Áigevuogádat
Timezone is detected from your browser,Áigevuogádat vuođđuduvvo du neahttaskuvlii
Title,Bajilčála
Title cannot exceed 255 characters,Bajilčála ii sáhte leat guhkit go 255 bustáva
Title is required,Bajilčála dárbbašuvvo
Title updated,Bajilčála ođasmahttojuvvon
To,Gitta
to,gitta
to cancel,šluhttit
to close,giddet
to confirm:,sihkkarastit:
to edit,rievdadit
"to save,","vurket,"
To Time cannot be before From Time,Loahppaáigi ii sáhte leat ovdal Álgoáigge
Today,Odne
today,odne
Toggle billable,Molsso rehkenastojuvvo
Toggle Details Panel,Molsso Diehtopanela
Toggle Manager Panel,Molsso Jođiheddjiipanela
Toggle Sidebar,Molsso Bálddaláda
Tomorrow,Ihttin
tomorrow,ihttin
Total,Ollislaš
Total Budget,Ollislaš Bušeahtta
Total Contacts,Oktavuođat Oktiibuot
Total Cost,Ollislaš Golut
Total Cost to Org,Ollislaš Golut Organisašuvdnii
Total Defect Cost,Ollislaš Feaillakgolut
Total Hours,Diimmut Oktiibuot
Total Hours Logged,Diimmut Čállojuvvon Oktiibuot
Total Projects,Prošeavttat Oktiibuot
Total Spent,Ollislaš Geavahuvvon
Total Tasks,Barggut Oktiibuot
Total:,Oktiibuot:
Tracked,Čuovvojuvvon
trails to today while Open at 0%,njuiká odne rádjái go Rabas 0%:s
Tried:,Tried:
Try adjusting your filter criteria,Geahččal heivehit filttereavttuidat
Try adjusting your filters.,Geahččal heivehit filttereidat.
Try Again,Geahččal Ođđasit
Tue,Maŋ
Type,Šládja
Type updated,Šládja ođasmahttojuvvon
Type:,Šládja:
Typical response time: 1-2 business days,Dábálaš vástidanáigi: 1-2 bargobeaivvi
Unarchive,Máhcat arkiivvas
Unarchive Activity,Máhcat Doaimma Arkiivvas
Unassign,Váldde juolludeami eret
Unassigned,Juolluduvvohaga
Under Budget,Vuollái Bušeahta
Ungrouped,Joavkkuhuvvohaga
Unknown,Dovdameahttun
Unknown error,Dovdameahttun feaila
Unlink failed,Liŋkkaválddin ii lihkostuvvan
Unlink task from milestone,Váldde bargguliŋkka mearrádusas
Unpin,Ráhppa njiellu
Unpin Activity,Ráhppa Doaimma Njiellu
Unread,Lohkkohaga
Unread only,Dušše lohkkohagat
Until,Gitta
Up to Date,Up to Date
Upcoming,Boahtte
upcoming,boahtte
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,Ođasmahtten ii lihkostuvvan
Updated,Ođasmahttojuvvon
Updated successfully,Ođasmahttojuvvon lihkostuvvan
Updates,Updates
Upload,Viečča
Upload failed,Viežžan ii lihkostuvvan
Upload files below to attach them to this task.,Viečča fiillaid vuollái mielddusdeami várás dán bargui.
Upload to project,Viečča prošeavttii
Uploading...,Viežžojuvvo...
Urgent,Hoahppu
User {0} is already linked to client {1},Geavaheaddji {0} lea juo liŋkkejuvvon áššehasii {1}
User {0} is already linked to resource {1},Geavaheaddji {0} lea juo liŋkkejuvvon resursii {1}
Utilization,Geavaheapmi
Valid,Guohtameahttun
Value:,Árvvu:
Variance,Spiehkastat
Variance:,Spiehkastat:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,Geahča
View All,Geahča Buot
View all active projects,Geahča buot aktiivvalaš prošeavttaid
View all open tasks,Geahča buot rabasbargguid
View overdue tasks,Geahča bargguid main áigerássi lea vássán
View Release,View Release
Visibility,Oidnomvuohta
Waiting for this task,Vuordá dán barggu
Waits for:,Vuordá:
Warning: Resource {0} status is {1},Váruhus: Resursa {0} dilálašvuohta lea {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,Váruhus: Geavaha HTTP HTTPS sajis. Webhook-dieđut eai sáhte leat dorvvalaččat.
Watch budget closely,Fuolkkelaččat čuovvo bušeahta
We'll respond to:,Mii vástit čujuhussii:
Webhook deleted,Webhook sihkkojuvvon
Webhook name is required,Webhook-namma dárbbašuvvo
Webhook not found,Webhook ii gávdnon
Webhook URL is required,Webhook-URL dárbbašuvvo
Webhook URL must start with http:// or https://,Webhook-URL ferte álgit http:// dahje https://
Wed,Gask
Week,Vahkku
Weekend,Vahkkoloahppa
Weekly Capacity,Vahkkosaš Kapasitehta
weekly capacity,vahkkosaš kapasitehta
Weekly Capacity (h),Vahkkosaš Kapasitehta (d)
Welcome,Bures boahtin
Welcome back!,Bures boahtin fas!
Welcome to Orga,Bures boahtin Orga:i
What are you working on?,Maid don barggat?
What did you work on?,Maid don barget?
When,Goas
When work begins,Go bargu álgá
When work is due,Go barggu áigerássi lea
Where,Gos
Will capture:,Fáhte:
Will create:,Ráhkada:
with checklist items,dárkkistanlisttu osiiguin
Working,Bargamis
Workload,Bargonákca
Workmanship,Giehtadáidu
Write a comment...,Čále kommeantára...
Write a comment... Use @name to mention (Ctrl+Enter to send),Čále kommeantára... Geavat @namma namuhit (Ctrl+Enter sáddet)
Year,Jahki
Yes,Jo
Yesterday,Ikte
yesterday,ikte
You are not an attendee of this appointment,Don it leat dán soahpamuša oasseváldi
You are not linked to any resource,Don it leat liŋkkejuvvon oktage resursii
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,Don sáhtát dušše sihkkut iežat kommeantáraid
You can only delete your own reactions,Don sáhtát dušše sihkkut iežat reageremid
You do not have access to the client portal. Please contact support.,Dus ii leat beassan áššehasportálii. Váldde oktavuođa doarjjiin.
You have already reacted with '{0}',Don leat juo reageran '{0}'
You have been assigned to task '{0}' in project '{1}'.,Dutnje lea juolluduvvon bargu '{0}' prošeavttas '{1}'.
You have been assigned to: {0},Dutnje lea juolluduvvon: {0}
You have been invited to the following appointment,Du leat bovdejuvvon dán boahtte soahpamušii
You have no tasks assigned to you right now.,Dus eai leat barggut juolluduvvon dál.
You were mentioned in {0},Don namuhuvvot {0}:s
Your attendance,Du oasálastin
Your comment has been posted,Du kommeantár lea almmustahtton
Your Projects,Du Prošeavttat
Your projects will appear here once they're assigned to you.,Du prošeavttat čájehuvvojit dás go dat leat juolluduvvon dutnje.
Your Response,Du Vástádus
Your RSVP,Du RSVP
Your support request has been submitted successfully.,Du doarjjaohcamus lea sáddejuvvon lihkostuvvan.
Your support request has been submitted successfully. We'll get back to you shortly.,Du doarjjaohcamus lea sáddejuvvon lihkostuvvan. Mii váldit du oktii fargga.
"Your task ""{0}"" is no longer blocked and can now be started.","Du bargu ""{0}"" ii leat šat eastojuvvon ja sáhttá dál álgit."
{0} is required,{0} dárbbašuvvo
{0} new activities,{0} ođđa doaimma
{0} of {1} completed,{0} {1}:s gárvvistuvvon
{0} projects already migrated (will be skipped or updated),{0} prošeavtta juo sirdojuvvon (báddjojuvvojit dahje ođasmahttojuvvojit)
{0} status changed to {1},{0} dilálašvuohta rievdaduvvui {1}
{0} tasks remaining,{0} bargu báhcán
{0} tasks without projects will be skipped,{0} barggu prošeavttahaga báddjojuvvojit
{0} {1} not found,{0} {1} ii gávdnon
