+ Add Milestone,+ Agregar hito
Your projects will appear here once they're assigned to you.,Sus proyectos aparecerán aquí una vez que se le asignen.
Your Response,Su respuesta
Your RSVP,Su RSVP
Your support request has been submitted successfully.,Su solicitud de soporte ha sido enviada correctamente.
Your support request has been submitted successfully. We'll get back to you shortly.,Su solicitud de soporte ha sido enviada correctamente. Nos pondremos en contacto con usted pronto.
"Your task ""{0}"" is no longer blocked and can now be started.",Su tarea «{0}» ya no está bloqueada y ahora puede iniciarse.
{0} is required,{0} es obligatorio
{0} new activities,{0} nuevas actividades
{0} of {1} completed,{0} de {1} completado(s)
{0} projects already migrated (will be skipped or updated),{0} proyectos ya migrados (se omitirán o actualizarán)
{0} status changed to {1},El estado de {0} fue cambiado a {1}
{0} tasks remaining,{0} tareas restantes
{0} tasks without projects will be skipped,{0} tareas sin proyecto serán omitidas
{0} {1} not found,{0} {1} no encontrado
