+ Add Milestone,+ Προσθήκη ορόσημου
Propose,Πρόταση
Propose New Time,Πρόταση νέου χρόνου
Propose Time,Πρόταση χρόνου
Proposed End,Προτεινόμενη λήξη
Proposed Start,Προτεινόμενη έναρξη
Public,Δημόσιο
Quick Action,Γρήγορη ενέργεια
Quick Actions,Γρήγορες ενέργειες
Quick Stats,Γρήγορα στατιστικά
Rates,Τιμές
Receive notifications via email,Λήψη ειδοποιήσεων μέσω email
Receive notifications within the application,Λήψη ειδοποιήσεων εντός της εφαρμογής
Recent Activity,Πρόσφατη δραστηριότητα
Recipient {0} is not a valid user,Ο παραλήπτης {0} δεν είναι έγκυρος χρήστης
Reference,Αναφορά
Refresh,Ανανέωση
Related,Σχετικό
Related Company (optional),Σχετική εταιρεία (προαιρετικό)
Related Documents,Σχετικά έγγραφα
Related Project,Σχετικό έργο
Remaining,Υπόλοιπο
Reminder,Υπενθύμιση
Reminder Lead Time,Χρόνος προειδοποίησης υπενθύμισης
Reminder: {0} - {1} at {2},Υπενθύμιση: {0} - {1} στις {2}
Remove,Αφαίρεση
Remove dependency,Αφαίρεση εξάρτησης
Remove dependency on,Αφαίρεση εξάρτησης από
Remove from group,Αφαίρεση από ομάδα
Remove group dependency,Αφαίρεση εξάρτησης ομάδας
Remove skill,Αφαίρεση δεξιότητας
Reopen,Επανάνοιγμα
Reopen thread,Επανάνοιγμα συζήτησης
reopened,ξανάνοιξε
replies,απαντήσεις
Reply,Απάντηση
reply,απάντηση
Replying to,Απάντηση σε
Replying to comment,Απάντηση σε σχόλιο
Report Defect,Αναφορά ελαττώματος
Reported Date,Ημερομηνία αναφοράς
Reports,Αναφορές
Reports To,Αναφέρεται σε
Request Submitted!,Το αίτημα υποβλήθηκε!
Required,Απαιτούμενο
required,απαιτούμενο
Research,Έρευνα
Reset to Defaults,Επαναφορά σε προεπιλογές
Resolve,Επίλυση
Resolve thread,Επίλυση συζήτησης
Resolved,Επιλύθηκε
Resolved date cannot be before reported date,Η ημερομηνία επίλυσης δεν μπορεί να είναι πριν την ημερομηνία αναφοράς
Resource,Πόρος
Resource and skill name are required,Απαιτούνται ο πόρος και το όνομα δεξιότητας
Resource is already an attendee,Ο πόρος είναι ήδη συμμετέχων
Resource name is required,Απαιτείται το όνομα του πόρου
Resource not found,Ο πόρος δεν βρέθηκε
Resource synced from employee {0},Ο πόρος συγχρονίστηκε από τον υπάλληλο {0}
Resource {0} is already assigned to this task ({1}),Ο πόρος {0} είναι ήδη ανατεθειμένος σε αυτή την εργασία ({1})
Resource {0} not found,Ο πόρος {0} δεν βρέθηκε
Resources,Επαφές
Retry,Επανάληψη
Review,Ανασκόπηση
Review all relevant documents and contracts,Ανασκόπηση όλων των σχετικών εγγράφων και συμβάσεων
Reviews,Ανασκοπήσεις
Risk Assessment,Αξιολόγηση κινδύνου
Rollback,Αναίρεση
Rolled back,Αναιρέθηκε
Room or address,Αίθουσα ή διεύθυνση
RSVP,RSVP
Safety,Ασφάλεια
Sat,Σάβ
Save,Αποθήκευση
"Save a project as a template, or import one from a JSON file.",Αποθηκεύστε ένα έργο ως πρότυπο ή εισαγάγετε ένα από αρχείο JSON.
Save as Template,Αποθήκευση ως πρότυπο
Save Changes,Αποθήκευση αλλαγών
Save failed,Η αποθήκευση απέτυχε
Save Preferences,Αποθήκευση προτιμήσεων
Save Template,Αποθήκευση προτύπου
Saving...,Αποθήκευση...
Schedule,Πρόγραμμα
Schedule type is required for scheduled triggers,Απαιτείται τύπος προγράμματος για προγραμματισμένες ενεργοποιήσεις
Scheduled,Προγραμματισμένο
Search,Αναζήτηση
"Search by name, email, or skill...","Αναζήτηση με όνομα, email ή δεξιότητα..."
Search for a project...,Αναζήτηση έργου...
Search for a task...,Αναζήτηση εργασίας...
Search for an event...,Αναζήτηση συμβάντος...
Search for people to invite...,Αναζήτηση ατόμων για πρόσκληση...
Search tasks to link...,Αναζήτηση εργασιών για σύνδεση...
Search tasks...,Αναζήτηση εργασιών...
Search...,Αναζήτηση...
Searching...,Αναζήτηση...
Seen,Εμφανίστηκε
Select a project if your request is related to a specific project.,Επιλέξτε ένα έργο αν το αίτημά σας αφορά συγκεκριμένο έργο.
Select a project...,Επιλέξτε έργο...
Select a task from the Gantt chart to view and manage its details.,Επιλέξτε μια εργασία από το Gantt για να δείτε και να διαχειριστείτε τις λεπτομέρειές της.
Select a task from the list or Kanban board to view and manage its details.,Επιλέξτε μια εργασία από τη λίστα ή τον πίνακα Kanban για να δείτε και να διαχειριστείτε τις λεπτομέρειές της.
Select a template...,Επιλέξτε πρότυπο...
Select priority...,Επιλέξτε προτεραιότητα...
Select status...,Επιλέξτε κατάσταση...
Select task...,Επιλέξτε εργασία...
Select type...,Επιλέξτε τύπο...
Selection,Επιλογή
Send,Αποστολή
Send comment,Αποστολή σχολίου
Send email invitations to attendees,Αποστολή προσκλήσεων email στους συμμετέχοντες
Send Invitations,Αποστολή προσκλήσεων
Send notification when a task is assigned to a user,Αποστολή ειδοποίησης όταν ανατίθεται εργασία σε χρήστη
Send notification when task status changes,Αποστολή ειδοποίησης όταν αλλάζει η κατάσταση εργασίας
Send reminder before task due date,Αποστολή υπενθύμισης πριν τη λήξη εργασίας
sent,στάλθηκε
Set rate,Ορισμός τιμής
Settings,Ρυθμίσεις
Settings saved successfully,Οι ρυθμίσεις αποθηκεύτηκαν
Severity,Σοβαρότητα
SF (Start-Finish),SF (Αρχή-Τέλος)
SF - Start-to-Finish,SF - Αρχή-προς-Τέλος
Show,Εμφάνιση
Show all,Εμφάνιση όλων
Show all changes,Εμφάνιση όλων των αλλαγών
Show Archived,Εμφάνιση αρχειοθετημένων
Show full diff,Εμφάνιση πλήρους σύγκρισης
Show less,Εμφάνιση λιγότερων
Show more,Εμφάνιση περισσότερων
Skill added,Η δεξιότητα προστέθηκε
Skill is required,Απαιτείται δεξιότητα
Skill Name,Όνομα δεξιότητας
Skill removed,Η δεξιότητα αφαιρέθηκε
Skill {0} already exists for this resource,Η δεξιότητα {0} υπάρχει ήδη για αυτόν τον πόρο
Skills,Δεξιότητες
Skills & Competencies,Δεξιότητες και ικανότητες
Skip already migrated projects,Παράλειψη ήδη μεταφερμένων έργων
Sort by,Ταξινόμηση κατά
Sort: Due Date,Ταξινόμηση: Ημερομηνία λήξης
Sort: Priority,Ταξινόμηση: Προτεραιότητα
Sort: Project,Ταξινόμηση: Έργο
Sort: Status,Ταξινόμηση: Κατάσταση
Sort: Task,Ταξινόμηση: Εργασία
Source Code,Πηγαίος κώδικας
Spent,Δαπανήθηκε
Spent:,Δαπανήθηκε:
SS (Start-Start),SS (Αρχή-Αρχή)
SS - Start-to-Start,SS - Αρχή-προς-Αρχή
Standalone,Αυτόνομο
Start,Έναρξη
Start a discussion below,Ξεκινήστε μια συζήτηση παρακάτω
Start Date,Ημερομηνία έναρξης
Start date,Ημερομηνία έναρξης
Start Date (Earliest),Ημερομηνία έναρξης (πρώτη)
Start date updated,Η ημερομηνία έναρξης ενημερώθηκε
Start date/time is required,Απαιτείται ημερομηνία/ώρα έναρξης
Start Migration,Έναρξη μεταφοράς
Start the conversation below.,Ξεκινήστε τη συζήτηση παρακάτω.
Start Timer,Εκκίνηση χρονομέτρου
Start typing to search...,Ξεκινήστε να πληκτρολογείτε για αναζήτηση...
Start-to-Finish,Αρχή-προς-Τέλος
Start-to-Start,Αρχή-προς-Αρχή
Start:,Έναρξη:
Statistics reset,Τα στατιστικά μηδενίστηκαν
Status,Κατάσταση
Status assigned to new projects,Κατάσταση που ανατίθεται σε νέα έργα
Status assigned to new tasks,Κατάσταση που ανατίθεται σε νέες εργασίες
Status Changes,Αλλαγές κατάστασης
Status updated,Η κατάσταση ενημερώθηκε
Status:,Κατάσταση:
Stop,Διακοπή
Stop & Save,Διακοπή και αποθήκευση
Stop Timer,Διακοπή χρονομέτρου
Stops current timer and starts for this event,Σταματά το τρέχον χρονόμετρο και ξεκινά για αυτό το συμβάν
Stops current timer and starts for this task,Σταματά το τρέχον χρονόμετρο και ξεκινά για αυτή την εργασία
Subject,Θέμα
Subject cannot exceed 255 characters,Το θέμα δεν μπορεί να υπερβαίνει τους 255 χαρακτήρες
Subject is required,Απαιτείται θέμα
Submit,Υποβολή
Submit Another Request,Υποβολή άλλου αιτήματος
Submit Request,Υποβολή αιτήματος
Submitting...,Υποβολή...
Successfully saved,Αποθηκεύτηκε
Successors (Blocking),Επόμενα (αποκλείει)
Sun,Κυρ
Supplier,Προμηθευτής
Support,Υποστήριξη
Switch to this event,Μετάβαση σε αυτό το συμβάν
Switch to this task,Μετάβαση σε αυτή την εργασία
Sync direction is set to Frappe to Orga only,Η κατεύθυνση συγχρονισμού είναι μόνο από Frappe σε Orga
Sync direction is set to Orga to Frappe only,Η κατεύθυνση συγχρονισμού είναι μόνο από Orga σε Frappe
Sync not enabled for this project,Ο συγχρονισμός δεν είναι ενεργός για αυτό το έργο
System,Σύστημα
Table,Πίνακας
Take ownership of this task,Ανάληψη αυτής της εργασίας
Target Date,Ημερομηνία στόχου
Target End,Λήξη στόχου
Target Project,Έργο στόχος
Target user is required for '{0}' action,Απαιτείται χρήστης στόχος για την ενέργεια «{0}»
Task,Εργασία
task,εργασία
Task '{0}' is due on {1}.,Η εργασία «{0}» λήγει στις {1}.
Task and resource are required,Απαιτούνται εργασία και πόρος
Task Assignment,Ανάθεση εργασίας
Task cannot be its own parent,Η εργασία δεν μπορεί να είναι γονική στον εαυτό της
Task cannot depend on itself,Η εργασία δεν μπορεί να εξαρτάται από τον εαυτό της
Task cannot depend on the group it belongs to,Η εργασία δεν μπορεί να εξαρτάται από την ομάδα στην οποία ανήκει
Task created,Η εργασία δημιουργήθηκε
Task deleted,Η εργασία διαγράφηκε
Task description has been saved.,Η περιγραφή εργασίας αποθηκεύτηκε.
Task Details,Λεπτομέρειες εργασίας
Task due in {0} days: {1},Η εργασία λήγει σε {0} ημέρες: {1}
Task due today: {0},Η εργασία λήγει σήμερα: {0}
Task due tomorrow: {0},Η εργασία λήγει αύριο: {0}
Task duplicated,Η εργασία αντιγράφηκε
Task Group,Ομάδα εργασιών
Task ID is required,Απαιτείται αναγνωριστικό εργασίας
Task is blocked by incomplete dependencies,Η εργασία είναι αποκλεισμένη από ημιτελείς εξαρτήσεις
Task is cancelled,Η εργασία ακυρώθηκε
Task is completed,Η εργασία ολοκληρώθηκε
Task is no longer blocked by a group,Η εργασία δεν αποκλείεται πλέον από ομάδα
Task is required for task context,Απαιτείται εργασία για το πλαίσιο εργασίας
Task is required when tracking context is 'task',Απαιτείται εργασία όταν το πλαίσιο παρακολούθησης είναι «εργασία»
Task linked,Η εργασία συνδέθηκε
Task moved,Η εργασία μετακινήθηκε
Task name,Όνομα εργασίας
Task name is required,Απαιτείται το όνομα της εργασίας
Task removed from group,Η εργασία αφαιρέθηκε από την ομάδα
Task Subject,Θέμα εργασίας
Task subject is required,Απαιτείται το θέμα της εργασίας
Task Type,Τύπος εργασίας
Task unblocked: {0},Η εργασία ξεμπλοκαρίστηκε: {0}
Task unlinked,Η εργασία αποσυνδέθηκε
Task updated,Η εργασία ενημερώθηκε
Task {0} not found,Η εργασία {0} δεν βρέθηκε
Task {0} not in project {1},Η εργασία {0} δεν βρίσκεται στο έργο {1}
Task {0} to Frappe,Εργασία {0} προς Frappe
Tasks,Εργασίες
tasks,εργασίες
Tasks and milestones will be created with dates relative to the project start date.,Οι εργασίες και τα ορόσημα θα δημιουργηθούν με ημερομηνίες σχετικές με την ημερομηνία έναρξης του έργου.
Tasks assigned to you across all projects.,Εργασίες που σας έχουν ανατεθεί σε όλα τα έργα.
Tasks created:,Εργασίες που δημιουργήθηκαν:
Tasks from projects you manage.,Εργασίες από έργα που διαχειρίζεστε.
Tasks updated:,Εργασίες που ενημερώθηκαν:
"Tasks, milestones, and dependencies have been created.","Οι εργασίες, τα ορόσημα και οι εξαρτήσεις δημιουργήθηκαν."
Tasks:,Εργασίες:
TBD,Θα καθοριστεί
Team,Ομάδα
Team Members,Μέλη ομάδας
Template,Πρότυπο
Template applied,Το πρότυπο εφαρμόστηκε
Template data is required in import data,Απαιτούνται δεδομένα προτύπου στα δεδομένα εισαγωγής
Template has no data,Το πρότυπο δεν περιέχει δεδομένα
Template Name,Όνομα προτύπου
Template name,Όνομα προτύπου
Template name is required,Απαιτείται το όνομα του προτύπου
Template name is required in import data,Απαιτείται το όνομα προτύπου στα δεδομένα εισαγωγής
Template saved,Το πρότυπο αποθηκεύτηκε
Template updated successfully.,Το πρότυπο ενημερώθηκε.
Template {0} not found,Το πρότυπο {0} δεν βρέθηκε
Templates,Πρότυπα
Tentative,Προσωρινό
The comment has been deleted,Το σχόλιο διαγράφηκε
The project,Το έργο
The source document may have been deleted.,Το αρχικό έγγραφο μπορεί να έχει διαγραφεί.
The source document will not be affected.,Το αρχικό έγγραφο δεν θα επηρεαστεί.
The status of '{0}' was changed from {1} to {2}.,Η κατάσταση του «{0}» άλλαξε από {1} σε {2}.
Theme,Θέμα
Theme preference,Προτίμηση θέματος
This action,Αυτή η ενέργεια
This action cannot be undone.,Αυτή η ενέργεια δεν μπορεί να αναιρεθεί.
This activity has been flagged for attention,Αυτή η δραστηριότητα σημάνθηκε για προσοχή
This is a reminder for your upcoming appointment,Αυτή είναι μια υπενθύμιση για το επερχόμενο ραντεβού σας
This method is only meant for developer mode,Αυτή η μέθοδος προορίζεται μόνο για λειτουργία ανάπτυξης
This page wandered off,This page wandered off
This Week,Αυτή την εβδομάδα
This will delete all notes and preferences associated with this activity.,Αυτό θα διαγράψει όλες τις σημειώσεις και τις προτιμήσεις που σχετίζονται με αυτή τη δραστηριότητα.
This will import all Frappe Projects into Orga. Continue?,Αυτό θα εισαγάγει όλα τα Frappe έργα στο Orga. Συνέχεια;
This will permanently delete,Αυτό θα διαγράψει μόνιμα
This will permanently delete:,Αυτό θα διαγράψει μόνιμα:
Thu,Πέμ
Time,Χρόνος
Time & Billing,Χρόνος και χρέωση
Time & Revenue,Χρόνος και έσοδα
Time Entries,Καταχωρήσεις χρόνου
Time log name is required,Απαιτείται το όνομα της καταχώρησης χρόνου
Time Log not found,Η καταχώρηση χρόνου δεν βρέθηκε
Time log {0} not found,Η καταχώρηση χρόνου {0} δεν βρέθηκε
Time Logs,Καταχωρήσεις χρόνου
Time Summary,Σύνοψη χρόνου
Time Tracking,Καταγραφή χρόνου
Timeline,Χρονοδιάγραμμα
Timer active on,Χρονόμετρο ενεργό σε
Timer is not running,Το χρονόμετρο δεν τρέχει
Timer Running,Το χρονόμετρο τρέχει
Timer running,Χρονόμετρο σε λειτουργία
Timesheet DocType not available,Το DocType φύλλου χρόνου δεν είναι διαθέσιμο
Timesheets,Φύλλα χρόνου
Timezone,Ζώνη ώρας
Timezone is detected from your browser,Η ζώνη ώρας εντοπίζεται από τον φυλλομετρητή σας
Title,Τίτλος
Title cannot exceed 255 characters,Ο τίτλος δεν μπορεί να υπερβαίνει τους 255 χαρακτήρες
Title is required,Απαιτείται τίτλος
Title updated,Ο τίτλος ενημερώθηκε
To,Προς
to,προς
to cancel,για ακύρωση
to close,για κλείσιμο
to confirm:,για επιβεβαίωση:
to edit,για επεξεργασία
"to save,","για αποθήκευση,"
To Time cannot be before From Time,Η ώρα λήξης δεν μπορεί να είναι πριν την ώρα έναρξης
Today,Σήμερα
today,σήμερα
Toggle billable,Εναλλαγή χρεώσιμου
Toggle Details Panel,Εναλλαγή πάνελ λεπτομερειών
Toggle Manager Panel,Εναλλαγή πάνελ διαχείρισης
Toggle Sidebar,Εναλλαγή πλαϊνής μπάρας
Tomorrow,Αύριο
tomorrow,αύριο
Total,Σύνολο
Total Budget,Συνολικός προϋπολογισμός
Total Contacts,Σύνολο επαφών
Total Cost,Συνολικό κόστος
Total Cost to Org,Συνολικό κόστος για τον οργανισμό
Total Defect Cost,Συνολικό κόστος ελαττωμάτων
Total Hours,Συνολικές ώρες
Total Hours Logged,Συνολικές ώρες καταγεγραμμένες
Total Projects,Σύνολο έργων
Total Spent,Σύνολο δαπανών
Total Tasks,Σύνολο εργασιών
Total:,Σύνολο:
Tracked,Παρακολουθούμενο
trails to today while Open at 0%,ολισθαίνει μέχρι σήμερα ενώ είναι Ανοιχτό στο 0%
Tried:,Tried:
Try adjusting your filter criteria,Δοκιμάστε να αλλάξετε τα κριτήρια φίλτρων σας
Try adjusting your filters.,Δοκιμάστε να αλλάξετε τα φίλτρα σας.
Try Again,Δοκιμάστε ξανά
Tue,Τρί
Type,Τύπος
Type updated,Ο τύπος ενημερώθηκε
Type:,Τύπος:
Typical response time: 1-2 business days,Τυπικός χρόνος απάντησης: 1-2 εργάσιμες ημέρες
Unarchive,Αποαρχειοθέτηση
Unarchive Activity,Αποαρχειοθέτηση δραστηριότητας
Unassign,Ακύρωση ανάθεσης
Unassigned,Χωρίς ανάθεση
Under Budget,Εντός προϋπολογισμού
Ungrouped,Χωρίς ομάδα
Unknown,Άγνωστο
Unknown error,Άγνωστο σφάλμα
Unlink failed,Η αποσύνδεση απέτυχε
Unlink task from milestone,Αποσύνδεση εργασίας από ορόσημο
Unpin,Ξεκαρφίτσωμα
Unpin Activity,Ξεκαρφίτσωμα δραστηριότητας
Unread,Μη αναγνωσμένο
Unread only,Μόνο μη αναγνωσμένα
Until,Μέχρι
Up to Date,Up to Date
Upcoming,Επερχόμενο
upcoming,επερχόμενο
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,Η ενημέρωση απέτυχε
Updated,Ενημερώθηκε
Updated successfully,Ενημερώθηκε
Updates,Updates
Upload,Μεταφόρτωση
Upload failed,Η μεταφόρτωση απέτυχε
Upload files below to attach them to this task.,Ανεβάστε αρχεία παρακάτω για να τα επισυνάψετε σε αυτή την εργασία.
Upload to project,Μεταφόρτωση στο έργο
Uploading...,Μεταφόρτωση...
Urgent,Επείγον
User {0} is already linked to client {1},Ο χρήστης {0} είναι ήδη συνδεδεμένος με τον πελάτη {1}
User {0} is already linked to resource {1},Ο χρήστης {0} είναι ήδη συνδεδεμένος με τον πόρο {1}
Utilization,Αξιοποίηση
Valid,Έγκυρο
Value:,Τιμή:
Variance,Απόκλιση
Variance:,Απόκλιση:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,Προβολή
View All,Προβολή όλων
View all active projects,Προβολή όλων των ενεργών έργων
View all open tasks,Προβολή όλων των ανοιχτών εργασιών
View overdue tasks,Προβολή εκπρόθεσμων εργασιών
View Release,View Release
Visibility,Ορατότητα
Waiting for this task,Αναμονή για αυτή την εργασία
Waits for:,Αναμένει:
Warning: Resource {0} status is {1},Προειδοποίηση: Η κατάσταση του πόρου {0} είναι {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,Προειδοποίηση: Χρησιμοποιείται HTTP αντί HTTPS. Τα δεδομένα webhook ενδέχεται να μην είναι ασφαλή.
Watch budget closely,Παρακολουθήστε στενά τον προϋπολογισμό
We'll respond to:,Θα απαντήσουμε στο:
Webhook deleted,Το webhook διαγράφηκε
Webhook name is required,Απαιτείται το όνομα του webhook
Webhook not found,Το webhook δεν βρέθηκε
Webhook URL is required,Απαιτείται URL webhook
Webhook URL must start with http:// or https://,Το URL webhook πρέπει να αρχίζει με http:// ή https://
Wed,Τετ
Week,Εβδομάδα
Weekend,Σαββατοκύριακο
Weekly Capacity,Εβδομαδιαία χωρητικότητα
weekly capacity,εβδομαδιαία χωρητικότητα
Weekly Capacity (h),Εβδομαδιαία χωρητικότητα (ω)
Welcome,Καλώς ήρθατε
Welcome back!,Καλώς ήρθατε πίσω!
Welcome to Orga,Καλώς ήρθατε στο Orga
What are you working on?,Σε τι εργάζεστε;
What did you work on?,Σε τι εργαστήκατε;
When,Πότε
When work begins,Όταν ξεκινά η εργασία
When work is due,Όταν λήγει η εργασία
Where,Πού
Will capture:,Θα καταγράψει:
Will create:,Θα δημιουργήσει:
with checklist items,με στοιχεία λίστας ελέγχου
Working,Σε εξέλιξη
Workload,Φόρτος εργασίας
Workmanship,Ποιότητα εργασίας
Write a comment...,Γράψτε ένα σχόλιο...
Write a comment... Use @name to mention (Ctrl+Enter to send),Γράψτε ένα σχόλιο... Χρησιμοποιήστε @όνομα για αναφορά (Ctrl+Enter για αποστολή)
Year,Έτος
Yes,Ναι
Yesterday,Χθες
yesterday,χθες
You are not an attendee of this appointment,Δεν είστε συμμετέχων σε αυτό το ραντεβού
You are not linked to any resource,Δεν είστε συνδεδεμένος με κάποιον πόρο
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,Μπορείτε να διαγράψετε μόνο τα δικά σας σχόλια
You can only delete your own reactions,Μπορείτε να διαγράψετε μόνο τις δικές σας αντιδράσεις
You do not have access to the client portal. Please contact support.,Δεν έχετε πρόσβαση στην πύλη πελάτη. Επικοινωνήστε με την υποστήριξη.
You have already reacted with '{0}',Έχετε ήδη αντιδράσει με «{0}»
You have been assigned to task '{0}' in project '{1}'.,Σας ανατέθηκε η εργασία «{0}» στο έργο «{1}».
You have been assigned to: {0},Σας ανατέθηκε: {0}
You have been invited to the following appointment,Έχετε προσκληθεί στο ακόλουθο ραντεβού
You have no tasks assigned to you right now.,Δεν σας έχουν ανατεθεί εργασίες αυτή τη στιγμή.
You were mentioned in {0},Αναφερθήκατε στο {0}
Your attendance,Η συμμετοχή σας
Your comment has been posted,Το σχόλιό σας δημοσιεύτηκε
Your Projects,Τα έργα σας
Your projects will appear here once they're assigned to you.,Τα έργα σας θα εμφανιστούν εδώ μόλις σας ανατεθούν.
Your Response,Η απάντησή σας
Your RSVP,Η απάντησή σας RSVP
Your support request has been submitted successfully.,Το αίτημα υποστήριξής σας υποβλήθηκε.
Your support request has been submitted successfully. We'll get back to you shortly.,Το αίτημα υποστήριξής σας υποβλήθηκε. Θα επικοινωνήσουμε μαζί σας σύντομα.
"Your task ""{0}"" is no longer blocked and can now be started.",Η εργασία σας «{0}» δεν είναι πλέον αποκλεισμένη και μπορεί τώρα να ξεκινήσει.
{0} is required,Απαιτείται {0}
{0} new activities,{0} νέες δραστηριότητες
{0} of {1} completed,{0} από {1} ολοκληρώθηκαν
{0} projects already migrated (will be skipped or updated),{0} έργα ήδη μεταφέρθηκαν (θα παραλειφθούν ή θα ενημερωθούν)
{0} status changed to {1},Η κατάσταση {0} άλλαξε σε {1}
{0} tasks remaining,{0} εργασίες απομένουν
{0} tasks without projects will be skipped,{0} εργασίες χωρίς έργα θα παραλειφθούν
{0} {1} not found,{0} {1} δεν βρέθηκε
