+ Add Milestone,+ Ongeza Hatua Muhimu
Tasks and milestones will be created with dates relative to the project start date.,Kazi na hatua muhimu zitaundwa na tarehe kulingana na tarehe ya kuanza ya mradi.
Tasks assigned to you across all projects.,Kazi zilizogawiwa kwako katika miradi yote.
Tasks created:,Kazi zilizoundwa:
Tasks from projects you manage.,Kazi kutoka miradi unayosimamia.
Tasks updated:,Kazi zilizosasishwa:
"Tasks, milestones, and dependencies have been created.","Kazi, hatua muhimu, na tegemezi zimeundwa."
Tasks:,Kazi:
TBD,Itaamuliwa
Team,Timu
Team Members,Wanachama wa Timu
Template,Kiolezo
Template applied,Kiolezo kimetumika
Template data is required in import data,Data ya kiolezo inahitajika katika data ya kuingiza
Template has no data,Kiolezo hakina data
Template Name,Jina la Kiolezo
Template name,Jina la kiolezo
Template name is required,Jina la kiolezo linahitajika
Template name is required in import data,Jina la kiolezo linahitajika katika data ya kuingiza
Template saved,Kiolezo kimehifadhiwa
Template updated successfully.,Kiolezo kimesasishwa kwa mafanikio.
Template {0} not found,Kiolezo {0} hakijapatikana
Templates,Violezo
Tentative,Si uhakika
The comment has been deleted,Maoni yamefutwa
The project,Mradi
The source document may have been deleted.,Hati chanzo huenda imefutwa.
The source document will not be affected.,Hati chanzo haitaathiriwa.
The status of '{0}' was changed from {1} to {2}.,Hali ya '{0}' imebadilishwa kutoka {1} kuwa {2}.
Theme,Mandhari
Theme preference,Pendeleo la mandhari
This action,Hatua hii
This action cannot be undone.,Hatua hii haiwezi kurudishwa.
This activity has been flagged for attention,Shughuli hii imewekwa alama kwa umakini
This is a reminder for your upcoming appointment,Hii ni kumbusho la miadi yako inayokuja
This method is only meant for developer mode,Njia hii ni kwa hali ya watengenezaji pekee
This page wandered off,This page wandered off
This Week,Wiki Hii
This will delete all notes and preferences associated with this activity.,Hii itafuta madokezo na mapendeleo yote yanayohusiana na shughuli hii.
This will import all Frappe Projects into Orga. Continue?,Hii itaingiza miradi yote ya Frappe kwenye Orga. Endelea?
This will permanently delete,Hii itafuta kabisa
This will permanently delete:,Hii itafuta kabisa:
Thu,Alh
Time,Muda
Time & Billing,Muda na Malipo
Time & Revenue,Muda na Mapato
Time Entries,Maingizo ya Muda
Time log name is required,Jina la ingizo la muda linahitajika
Time Log not found,Ingizo la muda halijapatikana
Time log {0} not found,Ingizo la muda {0} halijapatikana
Time Logs,Maingizo ya Muda
Time Summary,Muhtasari wa Muda
Time Tracking,Ufuatiliaji wa Muda
Timeline,Ratiba ya matukio
Timer active on,Kipima muda kinatumika kwenye
Timer is not running,Kipima muda hakiendelei
Timer Running,Kipima Muda Kinaendelea
Timer running,Kipima muda kinaendelea
Timesheet DocType not available,DocType ya Karatasi ya Muda haipatikani
Timesheets,Karatasi za Muda
Timezone,Eneo la saa
Timezone is detected from your browser,Eneo la saa linagunduliwa kutoka kivinjari chako
Title,Kichwa
Title cannot exceed 255 characters,Kichwa hakiwezi kuzidi herufi 255
Title is required,Kichwa kinahitajika
Title updated,Kichwa kimesasishwa
To,Kwenda
to,kwenda
to cancel,kughairi
to close,kufunga
to confirm:,kuthibitisha:
to edit,kuhariri
"to save,","kuhifadhi,"
To Time cannot be before From Time,Saa ya mwisho haiwezi kuwa kabla ya Saa ya kuanza
Today,Leo
today,leo
Toggle billable,Geuza malipo
Toggle Details Panel,Onyesha/Ficha Paneli ya Maelezo
Toggle Manager Panel,Onyesha/Ficha Paneli ya Meneja
Toggle Sidebar,Onyesha/Ficha Kando
Tomorrow,Kesho
tomorrow,kesho
Total,Jumla
Total Budget,Bajeti ya Jumla
Total Contacts,Jumla ya Mawasiliano
Total Cost,Gharama ya Jumla
Total Cost to Org,Gharama ya Jumla kwa Shirika
Total Defect Cost,Gharama ya Jumla ya Kasoro
Total Hours,Jumla ya Masaa
Total Hours Logged,Jumla ya Masaa Yaliyorekodiwa
Total Projects,Jumla ya Miradi
Total Spent,Jumla Iliyotumika
Total Tasks,Jumla ya Kazi
Total:,Jumla:
Tracked,Imefuatiliwa
trails to today while Open at 0%,inateleza hadi leo ikibaki Wazi kwa 0%
Tried:,Tried:
Try adjusting your filter criteria,Jaribu kubadilisha vigezo vyako vya uchujaji
Try adjusting your filters.,Jaribu kubadilisha vichujio vyako.
Try Again,Jaribu Tena
Tue,Jnn
Type,Aina
Type updated,Aina imesasishwa
Type:,Aina:
Typical response time: 1-2 business days,Muda wa kawaida wa kujibu: siku 1-2 za kazi
Unarchive,Rejesha
Unarchive Activity,Rejesha Shughuli
Unassign,Ondoa mgawanyo
Unassigned,Haijagawiwa
Under Budget,Chini ya Bajeti
Ungrouped,Haijapangwa
Unknown,Haijulikani
Unknown error,Hitilafu isiyojulikana
Unlink failed,Kuondoa muunganisho kumeshindikana
Unlink task from milestone,Ondoa muunganisho wa kazi kutoka hatua muhimu
Unpin,Ondoa kibandiko
Unpin Activity,Ondoa Kibandiko cha Shughuli
Unread,Haijasomwa
Unread only,Hazijasomwa pekee
Until,Hadi
Up to Date,Up to Date
Upcoming,Inayokuja
upcoming,inayokuja
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,Kusasisha kumeshindikana
Updated,Imesasishwa
Updated successfully,Imesasishwa kwa mafanikio
Updates,Updates
Upload,Pakia
Upload failed,Kupakia kumeshindikana
Upload files below to attach them to this task.,Pakia faili hapa chini kuziambatisha kwenye kazi hii.
Upload to project,Pakia kwenye mradi
Uploading...,Inapakia...
Urgent,Ya haraka
User {0} is already linked to client {1},Mtumiaji {0} tayari ameunganishwa na mteja {1}
User {0} is already linked to resource {1},Mtumiaji {0} tayari ameunganishwa na rasilimali {1}
Utilization,Matumizi
Valid,Halali
Value:,Thamani:
Variance,Tofauti
Variance:,Tofauti:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,Angalia
View All,Angalia Zote
View all active projects,Angalia miradi yote inayofanya kazi
View all open tasks,Angalia kazi zote zilizo wazi
View overdue tasks,Angalia kazi zilizochelewa
View Release,View Release
Visibility,Uonekano
Waiting for this task,Inasubiri kazi hii
Waits for:,Inasubiri:
Warning: Resource {0} status is {1},Onyo: Hali ya rasilimali {0} ni {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,Onyo: Inatumia HTTP badala ya HTTPS. Data za webhook huenda zisiwe salama.
Watch budget closely,Fuatilia bajeti kwa makini
We'll respond to:,Tutajibu kwenye:
Webhook deleted,Webhook imefutwa
Webhook name is required,Jina la webhook linahitajika
Webhook not found,Webhook haijapatikana
Webhook URL is required,URL ya webhook inahitajika
Webhook URL must start with http:// or https://,URL ya webhook lazima ianze na http:// au https://
Wed,Jtn
Week,Wiki
Weekend,Wikendi
Weekly Capacity,Uwezo wa Kila Wiki
weekly capacity,uwezo wa kila wiki
Weekly Capacity (h),Uwezo wa Kila Wiki (s)
Welcome,Karibu
Welcome back!,Karibu tena!
Welcome to Orga,Karibu kwenye Orga
What are you working on?,Unafanya kazi gani?
What did you work on?,Ulifanya kazi gani?
When,Lini
When work begins,Kazi inapoanza
When work is due,Kazi inapotarajiwa
Where,Wapi
Will capture:,Itahifadhi:
Will create:,Itaunda:
with checklist items,pamoja na vipengee vya orodha ya ukaguzi
Working,Inafanya kazi
Workload,Mzigo wa kazi
Workmanship,Ubora wa kazi
Write a comment...,Andika maoni...
Write a comment... Use @name to mention (Ctrl+Enter to send),Andika maoni... Tumia @jina kutaja (Ctrl+Enter kutuma)
Year,Mwaka
Yes,Ndiyo
Yesterday,Jana
yesterday,jana
You are not an attendee of this appointment,Wewe si mshiriki wa miadi hii
You are not linked to any resource,Hujaungashwa na rasilimali yoyote
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,Unaweza kufuta maoni yako pekee
You can only delete your own reactions,Unaweza kufuta mwitikio wako pekee
You do not have access to the client portal. Please contact support.,Huna ruhusa ya kufikia lango la mteja. Tafadhali wasiliana na msaada.
You have already reacted with '{0}',Tayari umeitikia kwa '{0}'
You have been assigned to task '{0}' in project '{1}'.,Umegawiwa kazi '{0}' katika mradi '{1}'.
You have been assigned to: {0},Umegawiwa: {0}
You have been invited to the following appointment,Umealikwa kwenye miadi ifuatayo
You have no tasks assigned to you right now.,Huna kazi zilizogawiwa kwako sasa hivi.
You were mentioned in {0},Umetajwa katika {0}
Your attendance,Mahudhurio yako
Your comment has been posted,Maoni yako yamechapishwa
Your Projects,Miradi Yako
Your projects will appear here once they're assigned to you.,Miradi yako itaonekana hapa itakapogawiwa kwako.
Your Response,Jibu Lako
Your RSVP,RSVP Yako
Your support request has been submitted successfully.,Ombi lako la msaada limetumwa kwa mafanikio.
Your support request has been submitted successfully. We'll get back to you shortly.,Ombi lako la msaada limetumwa kwa mafanikio. Tutakujibu hivi karibuni.
"Your task ""{0}"" is no longer blocked and can now be started.","Kazi yako ""{0}"" haizuiwi tena na inaweza kuanzishwa sasa."
{0} is required,{0} inahitajika
{0} new activities,shughuli mpya {0}
{0} of {1} completed,{0} kati ya {1} imekamilika
{0} projects already migrated (will be skipped or updated),miradi {0} tayari imehamishwa (itarukwa au kusasishwa)
{0} status changed to {1},Hali ya {0} imebadilishwa kuwa {1}
{0} tasks remaining,kazi {0} zimebaki
{0} tasks without projects will be skipped,kazi {0} zisizo na miradi zitarukwa
{0} {1} not found,{0} {1} haijapatikana
