+ Add Milestone,+ Mérföldkő hozzáadása
Tasks updated:,Frissített feladatok:
"Tasks, milestones, and dependencies have been created.","A feladatok, mérföldkövek és függőségek létrehozva."
Tasks:,Feladatok:
TBD,Később meghatározandó
Team,Csapat
Team Members,Csapattagok
Template,Sablon
Template applied,Sablon alkalmazva
Template data is required in import data,A sablon adatai szükségesek az importadatokban
Template has no data,A sablonnak nincsenek adatai
Template Name,Sablon neve
Template name,Sablon neve
Template name is required,A sablon neve kötelező
Template name is required in import data,A sablon neve szükséges az importadatokban
Template saved,Sablon mentve
Template updated successfully.,Sablon sikeresen frissítve.
Template {0} not found,A(z) {0} sablon nem található
Templates,Sablonok
Tentative,Feltételes
The comment has been deleted,A hozzászólás törölve lett
The project,A projekt
The source document may have been deleted.,A forrásdokumentum valószínűleg törölve lett.
The source document will not be affected.,A forrásdokumentumot nem érinti.
The status of '{0}' was changed from {1} to {2}.,"A(z) „{0} állapota {1}-ról/-ről {2}-ra/-re változott."""
Theme,Téma
Theme preference,Téma beállítás
This action,Ez a művelet
This action cannot be undone.,Ez a művelet nem vonható vissza.
This activity has been flagged for attention,Ez a tevékenység figyelemre lett jelölve
This is a reminder for your upcoming appointment,Emlékeztető a közelgő időpontjára
This method is only meant for developer mode,Ez a metódus csak fejlesztői módban használható
This page wandered off,This page wandered off
This Week,Ezen a héten
This will delete all notes and preferences associated with this activity.,Ez törli az összes ehhez a tevékenységhez társított jegyzetet és beállítást.
This will import all Frappe Projects into Orga. Continue?,Ez az összes Frappe projektet importálja az Orga-ba. Folytatja?
This will permanently delete,Ez véglegesen törli
This will permanently delete:,Ez véglegesen törli:
Thu,Csü
Time,Idő
Time & Billing,Idő és számlázás
Time & Revenue,Idő és bevétel
Time Entries,Időbejegyzések
Time log name is required,Az időbejegyzés neve kötelező
Time Log not found,Időbejegyzés nem található
Time log {0} not found,A(z) {0} időbejegyzés nem található
Time Logs,Időbejegyzések
Time Summary,Idő összesítő
Time Tracking,Időkövetés
Timeline,Idővonal
Timer active on,Időmérő aktív ezen
Timer is not running,Az időmérő nem fut
Timer Running,Időmérő fut
Timer running,Időmérő fut
Timesheet DocType not available,Munkaidő-nyilvántartás DocType nem érhető el
Timesheets,Munkaidő-nyilvántartások
Timezone,Időzóna
Timezone is detected from your browser,Az időzóna a böngészőből van felismerve
Title,Cím
Title cannot exceed 255 characters,A cím nem lehet hosszabb 255 karakternél
Title is required,A cím kötelező
Title updated,Cím frissítve
To,Eddig
to,eddig
to cancel,a visszavonáshoz
to close,a bezáráshoz
to confirm:,a megerősítéshez:
to edit,a szerkesztéshez
"to save,","a mentéshez,"
To Time cannot be before From Time,"Az „eddig"" időpont nem lehet korábbi a „kezdés"" időpontnál"
Today,Ma
today,ma
Toggle billable,Számlázhatóság váltása
Toggle Details Panel,Részletek panel ki-/bekapcsolása
Toggle Manager Panel,Kezelő panel ki-/bekapcsolása
Toggle Sidebar,Oldalsáv ki-/bekapcsolása
Tomorrow,Holnap
tomorrow,holnap
Total,Összesen
Total Budget,Összes költségvetés
Total Contacts,Összes kapcsolattartó
Total Cost,Összes költség
Total Cost to Org,Szervezet összköltsége
Total Defect Cost,Hibák összköltsége
Total Hours,Összes óra
Total Hours Logged,Összes rögzített óra
Total Projects,Összes projekt
Total Spent,Összes elköltött
Total Tasks,Összes feladat
Total:,Összesen:
Tracked,Követett
trails to today while Open at 0%,csúszik a mai napig amíg Nyitott és 0%-on áll
Tried:,Tried:
Try adjusting your filter criteria,Próbálja módosítani a szűrési feltételeket
Try adjusting your filters.,Próbálja módosítani a szűrőket.
Try Again,Próbálja újra
Tue,Ked
Type,Típus
Type updated,Típus frissítve
Type:,Típus:
Typical response time: 1-2 business days,Szokásos válaszidő: 1-2 munkanap
Unarchive,Archiválás visszavonása
Unarchive Activity,Tevékenység archiválásának visszavonása
Unassign,Hozzárendelés megszüntetése
Unassigned,Nincs hozzárendelve
Under Budget,Költségvetésen belül
Ungrouped,Csoportosítatlan
Unknown,Ismeretlen
Unknown error,Ismeretlen hiba
Unlink failed,A leválasztás sikertelen
Unlink task from milestone,Feladat leválasztása a mérföldkőről
Unpin,Kitűzés visszavonása
Unpin Activity,Tevékenység kitűzésének visszavonása
Unread,Olvasatlan
Unread only,Csak olvasatlanok
Until,Eddig
Up to Date,Up to Date
Upcoming,Közelgő
upcoming,közelgő
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,A frissítés sikertelen
Updated,Frissítve
Updated successfully,Sikeresen frissítve
Updates,Updates
Upload,Feltöltés
Upload failed,A feltöltés sikertelen
Upload files below to attach them to this task.,Töltsön fel fájlokat alább a feladathoz csatoláshoz.
Upload to project,Feltöltés a projektbe
Uploading...,Feltöltés...
Urgent,Sürgős
User {0} is already linked to client {1},A(z) {0} felhasználó már össze van kapcsolva a(z) {1} ügyféllel
User {0} is already linked to resource {1},A(z) {0} felhasználó már össze van kapcsolva a(z) {1} erőforrással
Utilization,Kihasználtság
Valid,Érvényes
Value:,Érték:
Variance,Eltérés
Variance:,Eltérés:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,Megtekintés
View All,Összes megtekintése
View all active projects,Összes aktív projekt megtekintése
View all open tasks,Összes nyitott feladat megtekintése
View overdue tasks,Késedelmes feladatok megtekintése
View Release,View Release
Visibility,Láthatóság
Waiting for this task,Várakozás erre a feladatra
Waits for:,Várakozik:
Warning: Resource {0} status is {1},Figyelmeztetés: a(z) {0} erőforrás állapota {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,Figyelmeztetés: HTTP használata HTTPS helyett. A webhook adatok nem biztonságosak.
Watch budget closely,Költségvetés szoros figyelemmel kísérése
We'll respond to:,Válaszolni fogunk a következő címre:
Webhook deleted,Webhook törölve
Webhook name is required,A webhook neve kötelező
Webhook not found,Webhook nem található
Webhook URL is required,A webhook URL kötelező
Webhook URL must start with http:// or https://,A webhook URL-nek http:// vagy https:// előtaggal kell kezdődnie
Wed,Sze
Week,Hét
Weekend,Hétvége
Weekly Capacity,Heti kapacitás
weekly capacity,heti kapacitás
Weekly Capacity (h),Heti kapacitás (ó)
Welcome,Üdvözöljük
Welcome back!,Üdvözöljük újra!
Welcome to Orga,Üdvözöljük az Orga-ban
What are you working on?,Min dolgozik éppen?
What did you work on?,Min dolgozott?
When,Mikor
When work begins,Amikor a munka elkezdődik
When work is due,Amikor a munka esedékes
Where,Hol
Will capture:,Rögzíteni fogja:
Will create:,Létrehozza:
with checklist items,ellenőrzőlista-elemekkel
Working,Folyamatban
Workload,Munkaterhelés
Workmanship,Kivitelezés minősége
Write a comment...,Írjon hozzászólást...
Write a comment... Use @name to mention (Ctrl+Enter to send),Írjon hozzászólást... Használja a @nevet az említéshez (Ctrl+Enter a küldéshez)
Year,Év
Yes,Igen
Yesterday,Tegnap
yesterday,tegnap
You are not an attendee of this appointment,Ön nem résztvevője ennek az időpontnak
You are not linked to any resource,Ön nincs egyetlen erőforráshoz sem kapcsolva
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,Csak saját hozzászólásait törölheti
You can only delete your own reactions,Csak saját reakcióit törölheti
You do not have access to the client portal. Please contact support.,Nincs hozzáférése az ügyfélportálhoz. Kérjük lépjen kapcsolatba a támogatással.
You have already reacted with '{0}',"Ön már reagált a következővel: „{0}""
You have been assigned to task '{0}' in project '{1}'."""
You have been assigned to task '{0}' in project '{1}'.,Hozzárendelték a(z) '{0}' feladathoz a(z) '{1}' projektben.
You have been assigned to: {0},Hozzá lett rendelve: {0}
You have been invited to the following appointment,Meghívták a következő időpontra
You have no tasks assigned to you right now.,Jelenleg nincs önhöz rendelt feladat.
You were mentioned in {0},Megemlítették a(z) {0} dokumentumban
Your attendance,Az ön részvétele
Your comment has been posted,Hozzászólása közzétéve
Your Projects,Projektjei
Your projects will appear here once they're assigned to you.,Projektjei itt jelennek meg amint önhöz lesznek rendelve.
Your Response,Az ön válasza
Your RSVP,Az ön RSVP-je
Your support request has been submitted successfully.,Támogatási kérése sikeresen elküldve.
Your support request has been submitted successfully. We'll get back to you shortly.,Támogatási kérése sikeresen elküldve. Hamarosan válaszolunk.
"Your task ""{0}"" is no longer blocked and can now be started.","A(z) „{0} feladat már nincs blokkolva és most már elkezdhető."""
{0} is required,{0} megadása kötelező
{0} new activities,{0} új tevékenység
{0} of {1} completed,{0} / {1} befejezve
{0} projects already migrated (will be skipped or updated),{0} projekt már áttelepítve (ki lesznek hagyva vagy frissítve)
{0} status changed to {1},{0} állapota {1}-ra/-re változott
{0} tasks remaining,{0} hátralévő feladat
{0} tasks without projects will be skipped,{0} projekt nélküli feladat ki lesz hagyva
{0} {1} not found,{0} {1} nem található
