+ Add Milestone,+ Dodaj mejnik
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,Pogled
View All,Poglej vse
View all active projects,Poglej vse aktivne projekte
View all open tasks,Poglej vse odprte naloge
View overdue tasks,Poglej zamujene naloge
View Release,View Release
Visibility,Vidljivost
Waiting for this task,Čakanje na to nalogo
Waits for:,Čaka na:
Warning: Resource {0} status is {1},Opozorilo: stanje vira {0} je {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,Opozorilo: uporaba HTTP namesto HTTPS. Podatki webhook morda niso varni.
Watch budget closely,Pozorno spremljajte proračun
We'll respond to:,Odgovorili bomo na:
Webhook deleted,Webhook izbrisan
Webhook name is required,Ime webhook je obvezno
Webhook not found,Webhook ni najden
Webhook URL is required,URL webhook je obvezen
Webhook URL must start with http:// or https://,URL webhook se mora začeti s http:// ali https://
Wed,Sre
Week,Teden
Weekend,Vikend
Weekly Capacity,Tedenska zmogljivost
weekly capacity,tedenska zmogljivost
Weekly Capacity (h),Tedenska zmogljivost (h)
Welcome,Dobrodošli
Welcome back!,Dobrodošli nazaj!
Welcome to Orga,Dobrodošli v Orga
What are you working on?,Na čem delate?
What did you work on?,Na čem ste delali?
When,Kdaj
When work begins,Ko se delo začne
When work is due,Ko je rok dela
Where,Kje
Will capture:,Zajelo bo:
Will create:,Ustvarilo bo:
with checklist items,z elementi kontrolnega seznama
Working,V delu
Workload,Delovna obremenitev
Workmanship,Kakovost izvedbe
Write a comment...,Napišite komentar...
Write a comment... Use @name to mention (Ctrl+Enter to send),Napišite komentar... Uporabite @ime za omembo (Ctrl+Enter za pošiljanje)
Year,Leto
Yes,Da
Yesterday,Včeraj
yesterday,včeraj
You are not an attendee of this appointment,Niste udeleženec tega sestanka
You are not linked to any resource,Niste povezani z nobenim virom
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,Lahko brišete samo lastne komentarje
You can only delete your own reactions,Lahko brišete samo lastne odzive
You do not have access to the client portal. Please contact support.,Nimate dostopa do portala za stranke. Obrnite se na podporo.
You have already reacted with '{0}',Že ste se odzvali z »{0}«
You have been assigned to task '{0}' in project '{1}'.,Dodeljeni ste nalogi »{0}« v projektu »{1}«.
You have been assigned to: {0},Dodeljeni ste: {0}
You have been invited to the following appointment,Povabljeni ste na naslednji sestanek
You have no tasks assigned to you right now.,Trenutno vam ni dodeljena nobena naloga.
You were mentioned in {0},Omenjeni ste bili v {0}
Your attendance,Vaša udeležba
Your comment has been posted,Vaš komentar je bil objavljen
Your Projects,Vaši projekti
Your projects will appear here once they're assigned to you.,Vaši projekti se bodo pojavili tukaj
Your Response,Vaš odgovor
Your RSVP,Vaš RSVP
Your support request has been submitted successfully.,Vaša zahteva za podporo je bila uspešno oddana.
Your support request has been submitted successfully. We'll get back to you shortly.,Vaša zahteva za podporo je bila uspešno oddana. Odgovorili vam bomo v najkrajšem možnem času.
"Your task ""{0}"" is no longer blocked and can now be started.",Vaša naloga »{0}« ni več blokirana in jo lahko zdaj začnete.
{0} is required,{0} je obvezno
{0} new activities,{0} novih dejavnosti
{0} of {1} completed,{0} od {1} dokončanih
{0} projects already migrated (will be skipped or updated),{0} projektov že preseljenih (bodo preskočeni ali posodobljeni)
{0} status changed to {1},Stanje {0} spremenjeno v {1}
{0} tasks remaining,{0} preostalih nalog
{0} tasks without projects will be skipped,{0} nalog brez projektov bo preskočenih
{0} {1} not found,{0} {1} ni najdeno
