+ Add Milestone,+ Meilenstein hinzufügen
Template updated successfully.,Vorlage erfolgreich aktualisiert.
Template {0} not found,Vorlage {0} nicht gefunden
Templates,Vorlagen
Tentative,Vorläufig
The comment has been deleted,Der Kommentar wurde gelöscht
The project,Das Projekt
The source document may have been deleted.,Das Quelldokument wurde möglicherweise gelöscht.
The source document will not be affected.,Das Quelldokument wird nicht beeinflusst.
The status of '{0}' was changed from {1} to {2}.,Der Status von '{0}' wurde von {1} zu {2} geändert.
Theme,Design
Theme preference,Design-Einstellung
This action,Diese Aktion
This action cannot be undone.,Diese Aktion kann nicht rückgängig gemacht werden.
This activity has been flagged for attention,Diese Aktivität wurde zur Beachtung markiert
This is a reminder for your upcoming appointment,Dies ist eine Erinnerung an Ihren bevorstehenden Termin
This method is only meant for developer mode,Diese Methode ist nur für den Entwicklermodus vorgesehen
This page wandered off,Diese Seite hat sich verlaufen
This Week,Diese Woche
This will delete all notes and preferences associated with this activity.,Dies löscht alle Notizen und Einstellungen die mit dieser Aktivität verknüpft sind.
This will import all Frappe Projects into Orga. Continue?,Dies wird alle Frappe Projects in Orga importieren. Fortfahren?
This will permanently delete,Dies wird dauerhaft gelöscht
This will permanently delete:,Dies wird dauerhaft gelöscht:
Thu,Do
Time,Zeit
Time & Billing,Zeit & Abrechnung
Time & Revenue,Zeit & Umsatz
Time Entries,Zeiteinträge
Time log name is required,Zeiteintragname ist erforderlich
Time Log not found,Zeiteintrag nicht gefunden
Time log {0} not found,Zeiteintrag {0} nicht gefunden
Time Logs,Zeiteinträge
Time Summary,Zeitübersicht
Time Tracking,Zeiterfassung
Timeline,Zeitverlauf
Timer active on,Timer aktiv bei
Timer is not running,Timer läuft nicht
Timer Running,Timer läuft
Timer running,Timer läuft
Timesheet DocType not available,Zeiterfassungs-DocType nicht verfügbar
Timesheets,Zeiterfassung
Timezone,Zeitzone
Timezone is detected from your browser,Zeitzone wird von Ihrem Browser erkannt
Title,Titel
Title cannot exceed 255 characters,Titel darf 255 Zeichen nicht überschreiten
Title is required,Titel ist erforderlich
Title updated,Titel aktualisiert
To,Bis
to,bis
to cancel,zum Abbrechen
to close,zum Schließen
to confirm:,zum Bestätigen:
to edit,zum Bearbeiten
"to save,","zum Speichern,"
To Time cannot be before From Time,Endzeit kann nicht vor Startzeit liegen
Today,Heute
today,heute
Toggle billable,Abrechenbar umschalten
Toggle Details Panel,Detailbereich umschalten
Toggle Manager Panel,Verwaltungsbereich umschalten
Toggle Sidebar,Seitenleiste umschalten
Tomorrow,Morgen
tomorrow,morgen
Total,Gesamt
Total Budget,Gesamtbudget
Total Contacts,Kontakte insgesamt
Total Cost,Gesamtkosten
Total Cost to Org,Gesamtkosten für Organisation
Total Defect Cost,Gesamtkosten der Mängel
Total Hours,Stunden insgesamt
Total Hours Logged,Gesamtstunden erfasst
Total Projects,Projekte insgesamt
Total Spent,Gesamtausgaben
Total Tasks,Aufgaben insgesamt
Total:,Gesamt:
Tracked,Erfasst
trails to today while Open at 0%,"verschiebt sich auf heute, solange Offen bei 0%"
Tried:,Versucht:
Try adjusting your filter criteria,Versuchen Sie Ihre Filterkriterien anzupassen
Try adjusting your filters.,Versuchen Sie Ihre Filter anzupassen.
Try Again,Erneut versuchen
Tue,Di
Type,Typ
Type updated,Typ aktualisiert
Type:,Typ:
Typical response time: 1-2 business days,Typische Antwortzeit: 1–2 Werktage
Unarchive,Archivierung aufheben
Unarchive Activity,Aktivitätsarchivierung aufheben
Unassign,Zuweisung aufheben
Unassigned,Nicht zugewiesen
Under Budget,Unter Budget
Ungrouped,Nicht gruppiert
Unknown,Unbekannt
Unknown error,Unbekannter Fehler
Unlink failed,Trennung fehlgeschlagen
Unlink task from milestone,Aufgabe von Meilenstein trennen
Unpin,Loslösen
Unpin Activity,Aktivität loslösen
Unread,Ungelesen
Unread only,Nur ungelesene
Until,Bis
Up to Date,Aktuell
Upcoming,Anstehend
upcoming,anstehend
Update,Update
Update Available,Update verfügbar
Update available,Update verfügbar
Update available: v{0},Update verfügbar: v{0}
Update check failed: {0},Update-Prüfung fehlgeschlagen: {0}
Update failed,Aktualisierung fehlgeschlagen
Updated,Aktualisiert
Updated successfully,Erfolgreich aktualisiert
Updates,Updates
Upload,Hochladen
Upload failed,Hochladen fehlgeschlagen
Upload files below to attach them to this task.,"Laden Sie unten Dateien hoch, um sie an diese Aufgabe anzuhängen."
Upload to project,Zum Projekt hochladen
Uploading...,Wird hochgeladen...
Urgent,Dringend
User {0} is already linked to client {1},Benutzer {0} ist bereits mit Kunde {1} verknüpft
User {0} is already linked to resource {1},Benutzer {0} ist bereits mit Ressource {1} verknüpft
Utilization,Auslastung
Valid,Gültig
Value:,Wert:
Variance,Abweichung
Variance:,Abweichung:
Version {0} is available. You are running {1}.,Version {0} ist verfügbar. Sie verwenden {1}.
View,Ansicht
View All,Alle anzeigen
View all active projects,Alle aktiven Projekte anzeigen
View all open tasks,Alle offenen Aufgaben anzeigen
View overdue tasks,Überfällige Aufgaben anzeigen
View Release,Release anzeigen
Visibility,Sichtbarkeit
Waiting for this task,Wartet auf diese Aufgabe
Waits for:,Wartet auf:
Warning: Resource {0} status is {1},Warnung: Ressource {0} hat den Status {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,Warnung: HTTP statt HTTPS wird verwendet. Webhook-Daten sind möglicherweise nicht sicher.
Watch budget closely,Budget genau beobachten
We'll respond to:,Wir antworten an:
Webhook deleted,Webhook gelöscht
Webhook name is required,Webhook-Name ist erforderlich
Webhook not found,Webhook nicht gefunden
Webhook URL is required,Webhook-URL ist erforderlich
Webhook URL must start with http:// or https://,Webhook-URL muss mit http:// oder https:// beginnen
Wed,Mi
Week,Woche
Weekend,Wochenende
Weekly Capacity,Wochenkapazität
weekly capacity,Wochenkapazität
Weekly Capacity (h),Wochenkapazität (h)
Welcome,Willkommen
Welcome back!,Willkommen zurück!
Welcome to Orga,Willkommen bei Orga
What are you working on?,Woran arbeiten Sie?
What did you work on?,Woran haben Sie gearbeitet?
When,Wann
When work begins,Wann die Arbeit beginnt
When work is due,Wann die Arbeit fällig ist
Where,Wo
Will capture:,Erfasst:
Will create:,Erstellt:
with checklist items,mit Checklistenelementen
Working,In Arbeit
Workload,Arbeitslast
Workmanship,Ausführungsqualität
Write a comment...,Kommentar schreiben...
Write a comment... Use @name to mention (Ctrl+Enter to send),Kommentar schreiben... @Name verwenden zum Erwähnen (Strg+Eingabe zum Senden)
Year,Jahr
Yes,Ja
Yesterday,Gestern
yesterday,gestern
You are not an attendee of this appointment,Sie sind kein Teilnehmer dieses Termins
You are not linked to any resource,Sie sind mit keiner Ressource verknüpft
You are running the latest version of Orga.,Sie verwenden die neueste Version von Orga.
You can only delete your own comments,Sie können nur Ihre eigenen Kommentare löschen
You can only delete your own reactions,Sie können nur Ihre eigenen Reaktionen löschen
You do not have access to the client portal. Please contact support.,Sie haben keinen Zugriff auf das Kundenportal. Bitte kontaktieren Sie den Support.
You have already reacted with '{0}',Sie haben bereits mit '{0}' reagiert
You have been assigned to task '{0}' in project '{1}'.,Sie wurden der Aufgabe '{0}' im Projekt '{1}' zugewiesen.
You have been assigned to: {0},Sie wurden zugewiesen zu: {0}
You have been invited to the following appointment,Sie wurden zu folgendem Termin eingeladen
You have no tasks assigned to you right now.,Ihnen sind derzeit keine Aufgaben zugewiesen.
You were mentioned in {0},Sie wurden in {0} erwähnt
Your attendance,Ihre Teilnahme
Your comment has been posted,Ihr Kommentar wurde veröffentlicht
Your Projects,Ihre Projekte
Your projects will appear here once they're assigned to you.,"Ihre Projekte werden hier angezeigt, sobald sie Ihnen zugewiesen werden."
Your Response,Ihre Antwort
Your RSVP,Ihre RSVP
Your support request has been submitted successfully.,Ihre Supportanfrage wurde erfolgreich eingereicht.
Your support request has been submitted successfully. We'll get back to you shortly.,Ihre Supportanfrage wurde erfolgreich eingereicht. Wir melden uns in Kürze bei Ihnen.
"Your task ""{0}"" is no longer blocked and can now be started.","Ihre Aufgabe „{0}"" ist nicht mehr blockiert und kann jetzt gestartet werden."
{0} is required,{0} ist erforderlich
{0} new activities,{0} neue Aktivitäten
{0} of {1} completed,{0} von {1} abgeschlossen
{0} projects already migrated (will be skipped or updated),{0} Projekte bereits migriert (werden übersprungen oder aktualisiert)
{0} status changed to {1},{0} Status geändert zu {1}
{0} tasks remaining,{0} Aufgaben verbleibend
{0} tasks without projects will be skipped,{0} Aufgaben ohne Projekte werden übersprungen
{0} {1} not found,{0} {1} nicht gefunden
