+ Add Milestone,+ Bosqich qo'shish
Sync not enabled for this project,Ushbu loyiha uchun sinxronlash yoqilmagan
System,Tizim
Table,Jadval
Take ownership of this task,Ushbu vazifani o'z zimmasiga olish
Target Date,Maqsad sanasi
Target End,Maqsad tugashi
Target Project,Maqsad loyiha
Target user is required for '{0}' action,'{0}' harakati uchun maqsad foydalanuvchi talab qilinadi
Task,Vazifa
task,vazifa
Task '{0}' is due on {1}.,'{0}' vazifaning muddati {1}.
Task and resource are required,Vazifa va resurs talab qilinadi
Task Assignment,Vazifa topshirig'i
Task cannot be its own parent,Vazifa o'zining asosiy vazifasi bo'lishi mumkin emas
Task cannot depend on itself,Vazifa o'ziga bog'liq bo'lishi mumkin emas
Task cannot depend on the group it belongs to,Vazifa o'zi tegishli guruhga bog'liq bo'lishi mumkin emas
Task created,Vazifa yaratildi
Task deleted,Vazifa o'chirildi
Task description has been saved.,Vazifa tavsifi saqlandi.
Task Details,Vazifa tafsilotlari
Task due in {0} days: {1},{0} kunda muddati tugaydigan vazifa: {1}
Task due today: {0},Bugun muddati tugaydigan vazifa: {0}
Task due tomorrow: {0},Ertaga muddati tugaydigan vazifa: {0}
Task duplicated,Vazifa nusxalandi
Task Group,Vazifa guruhi
Task ID is required,Vazifa IDsi talab qilinadi
Task is blocked by incomplete dependencies,Vazifa tugallanmagan bog'liqliklar tomonidan bloklangan
Task is cancelled,Vazifa bekor qilindi
Task is completed,Vazifa yakunlandi
Task is no longer blocked by a group,Vazifa endi guruh tomonidan bloklanmagan
Task is required for task context,Vazifa konteksti uchun vazifa talab qilinadi
Task is required when tracking context is 'task',Kuzatuv konteksti 'vazifa' bo'lganda vazifa talab qilinadi
Task linked,Vazifa bog'landi
Task moved,Vazifa ko'chirildi
Task name,Vazifa nomi
Task name is required,Vazifa nomi talab qilinadi
Task removed from group,Vazifa guruhdan olib tashlandi
Task Subject,Vazifa mavzusi
Task subject is required,Vazifa mavzusi talab qilinadi
Task Type,Vazifa turi
Task unblocked: {0},Vazifa blokdan chiqarildi: {0}
Task unlinked,Vazifa bog'lanishi uzildi
Task updated,Vazifa yangilandi
Task {0} not found,{0} vazifa topilmadi
Task {0} not in project {1},{1} loyihasida {0} vazifa topilmadi
Task {0} to Frappe,{0} vazifa Frappe ga
Tasks,Vazifalar
tasks,vazifalar
Tasks and milestones will be created with dates relative to the project start date.,Vazifalar va bosqichlar loyihaning boshlanish sanasiga nisbatan sanalar bilan yaratiladi.
Tasks assigned to you across all projects.,Barcha loyihalarda sizga topshirilgan vazifalar.
Tasks created:,Yaratilgan vazifalar:
Tasks from projects you manage.,Siz boshqaradigan loyihalardan vazifalar.
Tasks updated:,Yangilangan vazifalar:
"Tasks, milestones, and dependencies have been created.","Vazifalar, bosqichlar va bog'liqliklar yaratildi."
Tasks:,Vazifalar:
TBD,Keyinroq aniqlanadi
Team,Jamoa
Team Members,Jamoa a'zolari
Template,Shablon
Template applied,Shablon qo'llandi
Template data is required in import data,Yuklash ma'lumotlarida shablon ma'lumotlari talab qilinadi
Template has no data,Shablon ma'lumotlari yo'q
Template Name,Shablon nomi
Template name,Shablon nomi
Template name is required,Shablon nomi talab qilinadi
Template name is required in import data,Yuklash ma'lumotlarida shablon nomi talab qilinadi
Template saved,Shablon saqlandi
Template updated successfully.,Shablon muvaffaqiyatli yangilandi.
Template {0} not found,{0} shablon topilmadi
Templates,Shablonlar
Tentative,Taxminiy
The comment has been deleted,Izoh o'chirildi
The project,Loyiha
The source document may have been deleted.,Asl hujjat o'chirilgan bo'lishi mumkin.
The source document will not be affected.,Asl hujjatga ta'sir qilmaydi.
The status of '{0}' was changed from {1} to {2}.,{1} dan {2} ga '{0}' holati o'zgartirildi.
Theme,Mavzu
Theme preference,Mavzu sozlamasi
This action,Ushbu harakat
This action cannot be undone.,Ushbu harakatni qaytarib bo'lmaydi.
This activity has been flagged for attention,Ushbu faoliyat e'tibor uchun belgilangan
This is a reminder for your upcoming appointment,Bu sizning kelgusi uchrashuvingiz uchun eslatma
This method is only meant for developer mode,Ushbu usul faqat dasturchi rejimi uchun
This page wandered off,This page wandered off
This Week,Shu hafta
This will delete all notes and preferences associated with this activity.,Bu ushbu faoliyatga bog'liq barcha eslatmalar va sozlamalarni o'chiradi.
This will import all Frappe Projects into Orga. Continue?,Bu barcha Frappe loyihalarini Orga ga yuklaydi. Davom etasizmi?
This will permanently delete,Bu butunlay o'chiradi
This will permanently delete:,Bu butunlay o'chiradi:
Thu,Payshanba
Time,Vaqt
Time & Billing,Vaqt va hisob-kitob
Time & Revenue,Vaqt va daromad
Time Entries,Vaqt yozuvlari
Time log name is required,Vaqt yozuvi nomi talab qilinadi
Time Log not found,Vaqt yozuvi topilmadi
Time log {0} not found,{0} vaqt yozuvi topilmadi
Time Logs,Vaqt yozuvlari
Time Summary,Vaqt xulosasi
Time Tracking,Vaqt kuzatuvi
Timeline,Vaqt chizig'i
Timer active on,Taymer faol
Timer is not running,Taymer ishlamayapti
Timer Running,Taymer ishlayapti
Timer running,Taymer ishlayapti
Timesheet DocType not available,Vaqt jadvali DocType mavjud emas
Timesheets,Vaqt jadvallari
Timezone,Vaqt mintaqasi
Timezone is detected from your browser,Vaqt mintaqasi brauzeringizdan aniqlandi
Title,Sarlavha
Title cannot exceed 255 characters,Sarlavha 255 belgidan oshmasligi kerak
Title is required,Sarlavha talab qilinadi
Title updated,Sarlavha yangilandi
To,Ga
to,ga
to cancel,bekor qilish uchun
to close,yopish uchun
to confirm:,tasdiqlash uchun:
to edit,tahrirlash uchun
"to save,","saqlash uchun,"
To Time cannot be before From Time,Tugash vaqti boshlanish vaqtidan oldin bo'lishi mumkin emas
Today,Bugun
today,bugun
Toggle billable,Hisob-kitobni yoqish/o'chirish
Toggle Details Panel,Tafsilotlar panelini yoqish/o'chirish
Toggle Manager Panel,Boshqaruvchi panelini yoqish/o'chirish
Toggle Sidebar,Yon panelni yoqish/o'chirish
Tomorrow,Ertaga
tomorrow,ertaga
Total,Jami
Total Budget,Jami byudjet
Total Contacts,Jami kontaktlar
Total Cost,Jami narx
Total Cost to Org,Tashkilotga jami narx
Total Defect Cost,Nuqsonlarning jami narxi
Total Hours,Jami soatlar
Total Hours Logged,Jami yozilgan soatlar
Total Projects,Jami loyihalar
Total Spent,Jami sarflangan
Total Tasks,Jami vazifalar
Total:,Jami:
Tracked,Kuzatilgan
trails to today while Open at 0%,Ochiq 0% holatida bugungacha siljiydi
Tried:,Tried:
Try adjusting your filter criteria,Filtr mezonlarini o'zgartirib ko'ring
Try adjusting your filters.,Filtrlarni o'zgartirib ko'ring.
Try Again,Qaytadan urinish
Tue,Seshanba
Type,Tur
Type updated,Tur yangilandi
Type:,Tur:
Typical response time: 1-2 business days,Odatiy javob vaqti: 1-2 ish kuni
Unarchive,Arxivdan chiqarish
Unarchive Activity,Faoliyatni arxivdan chiqarish
Unassign,Topshiriqni olib tashlash
Unassigned,Topshirilmagan
Under Budget,Byudjet doirasida
Ungrouped,Guruhlanmagan
Unknown,Noma'lum
Unknown error,Noma'lum xatolik
Unlink failed,Bog'lanishni uzish muvaffaqiyatsiz
Unlink task from milestone,Vazifani bosqichdan ajratish
Unpin,Mahkamlanishni olib tashlash
Unpin Activity,Faoliyat mahkamlanishini olib tashlash
Unread,O'qilmagan
Unread only,Faqat o'qilmaganlar
Until,Gacha
Up to Date,Up to Date
Upcoming,Kelgusi
upcoming,kelgusi
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,Yangilash muvaffaqiyatsiz
Updated,Yangilandi
Updated successfully,Muvaffaqiyatli yangilandi
Updates,Updates
Upload,Yuklash
Upload failed,Yuklash muvaffaqiyatsiz
Upload files below to attach them to this task.,Ushbu vazifaga biriktirish uchun pastda fayllarni yuklang.
Upload to project,Loyihaga yuklash
Uploading...,Yuklanmoqda...
Urgent,Shoshilinch
User {0} is already linked to client {1},{0} foydalanuvchi allaqachon {1} mijozga bog'langan
User {0} is already linked to resource {1},{0} foydalanuvchi allaqachon {1} resursga bog'langan
Utilization,Foydalanish
Valid,Haqiqiy
Value:,Qiymat:
Variance,Farq
Variance:,Farq:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,Ko'rish
View All,Hammasini ko'rish
View all active projects,Barcha faol loyihalarni ko'rish
View all open tasks,Barcha ochiq vazifalarni ko'rish
View overdue tasks,Muddati o'tgan vazifalarni ko'rish
View Release,View Release
Visibility,Ko'rinish
Waiting for this task,Ushbu vazifani kutmoqda
Waits for:,Kutmoqda:
Warning: Resource {0} status is {1},Ogohlantirish: {0} resurs holati {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,Ogohlantirish: HTTPS o'rniga HTTP ishlatilmoqda. Webhook ma'lumotlari xavfsiz bo'lmasligi mumkin.
Watch budget closely,Byudjetni yaqindan kuzating
We'll respond to:,Biz javob beramiz:
Webhook deleted,Webhook o'chirildi
Webhook name is required,Webhook nomi talab qilinadi
Webhook not found,Webhook topilmadi
Webhook URL is required,Webhook URLi talab qilinadi
Webhook URL must start with http:// or https://,Webhook URLi http:// yoki https:// bilan boshlanishi kerak
Wed,Chorshanba
Week,Hafta
Weekend,Dam olish kunlari
Weekly Capacity,Haftalik sig'im
weekly capacity,haftalik sig'im
Weekly Capacity (h),Haftalik sig'im (s)
Welcome,Xush kelibsiz
Welcome back!,Qaytganingiz bilan!
Welcome to Orga,Orga ga xush kelibsiz
What are you working on?,Nima ustida ishlayapsiz?
What did you work on?,Nima ustida ishladingiz?
When,Qachon
When work begins,Ish boshlanganda
When work is due,Ish muddati kelganda
Where,Qayerda
Will capture:,Qamrab oladi:
Will create:,Yaratadi:
with checklist items,tekshiruv ro'yxati elementlari bilan
Working,Ishlayapti
Workload,Ish yuki
Workmanship,Ish sifati
Write a comment...,Izoh yozing...
Write a comment... Use @name to mention (Ctrl+Enter to send),Izoh yozing... Eslatish uchun @ism ishlating (Ctrl+Enter yuborish uchun)
Year,Yil
Yes,Ha
Yesterday,Kecha
yesterday,kecha
You are not an attendee of this appointment,Siz ushbu uchrashuvning ishtirokchisi emassiz
You are not linked to any resource,Siz hech qaysi resursga bog'lanmagan emassiz
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,Faqat o'z izohlaringizni o'chira olasiz
You can only delete your own reactions,Faqat o'z munosabatlaringizni o'chira olasiz
You do not have access to the client portal. Please contact support.,Mijoz portaliga kirishingiz yo'q. Yordam bilan bog'laning.
You have already reacted with '{0}',Siz allaqachon '{0}' bilan munosabat bildirgansiz
You have been assigned to task '{0}' in project '{1}'.,Sizga '{1}' loyihasidagi '{0}' vazifasi topshirildi.
You have been assigned to: {0},Sizga topshirildi: {0}
You have been invited to the following appointment,Siz quyidagi uchrashuvga taklif qilindingiz
You have no tasks assigned to you right now.,Hozirda sizga topshirilgan vazifalar yo'q.
You were mentioned in {0},Siz {0} da eslatildingiz
Your attendance,Sizning ishtirokingiz
Your comment has been posted,Izohingiz joylandi
Your Projects,Sizning loyihalaringiz
Your projects will appear here once they're assigned to you.,Loyihalaringiz sizga topshirilganidan keyin shu yerda ko'rinadi.
Your Response,Sizning javobingiz
Your RSVP,Sizning RSVPingiz
Your support request has been submitted successfully.,Yordam so'rovingiz muvaffaqiyatli yuborildi.
Your support request has been submitted successfully. We'll get back to you shortly.,Yordam so'rovingiz muvaffaqiyatli yuborildi. Tez orada sizga javob beramiz.
"Your task ""{0}"" is no longer blocked and can now be started.","Sizning ""{0}"" vazifangiz endi bloklanmagan va boshlash mumkin."
{0} is required,{0} talab qilinadi
{0} new activities,{0} yangi faoliyat
{0} of {1} completed,{1} dan {0} yakunlandi
{0} projects already migrated (will be skipped or updated),{0} loyiha allaqachon ko'chirilgan (o'tkazib yuboriladi yoki yangilanadi)
{0} status changed to {1},{0} holati {1} ga o'zgartirildi
{0} tasks remaining,{0} vazifa qoldi
{0} tasks without projects will be skipped,Loyihasiz {0} vazifa o'tkazib yuboriladi
{0} {1} not found,{0} {1} topilmadi
