+ Add Milestone,+ Lagg till milstolpe
You were mentioned in {0},Du namndes i {0}
Your attendance,Din narvaro
Your comment has been posted,Din kommentar har publicerats
Your Projects,Dina projekt
Your projects will appear here once they're assigned to you.,Dina projekt visas har nar de tilldelas dig.
Your Response,Ditt svar
Your RSVP,Ditt RSVP
Your support request has been submitted successfully.,Din supportforfragan har skickats.
Your support request has been submitted successfully. We'll get back to you shortly.,Din supportforfragan har skickats. Vi aterкommer inom kort.
"Your task ""{0}"" is no longer blocked and can now be started.","Din uppgift ""{0}"" ar inte langre blockerad och kan nu startas."
{0} is required,{0} kravs
{0} new activities,{0} nya aktiviteter
{0} of {1} completed,{0} av {1} slutforda
{0} projects already migrated (will be skipped or updated),{0} projekt redan migrerade (hoppas over eller uppdateras)
{0} status changed to {1},{0} status andrad till {1}
{0} tasks remaining,{0} uppgifter kvar
{0} tasks without projects will be skipped,{0} uppgifter utan projekt hoppas over
{0} {1} not found,{0} {1} hittades inte
