+ Add Milestone,+ Adaugă o etapă
Watch budget closely,Urmăriți bugetul cu atenție
We'll respond to:,Vom răspunde la:
Webhook deleted,Webhook șters
Webhook name is required,Numele webhook-ului este obligatoriu
Webhook not found,Webhook negăsit
Webhook URL is required,URL-ul webhook este obligatoriu
Webhook URL must start with http:// or https://,URL-ul webhook trebuie să înceapă cu http:// sau https://
Wed,Mi
Week,Săptămână
Weekend,Weekend
Weekly Capacity,Capacitate săptămânală
weekly capacity,capacitate săptămânală
Weekly Capacity (h),Capacitate săptămânală (h)
Welcome,Bine ați venit
Welcome back!,Bine ați revenit!
Welcome to Orga,Bine ați venit la Orga
What are you working on?,La ce lucrați?
What did you work on?,La ce ați lucrat?
When,Când
When work begins,Când începe lucrul
When work is due,Când este scadent lucrul
Where,Unde
Will capture:,Va captura:
Will create:,Va crea:
with checklist items,cu elementele din lista de verificare
Working,În desfășurare
Workload,Volum de muncă
Workmanship,Calitatea execuției
Write a comment...,Scrieți un comentariu...
Write a comment... Use @name to mention (Ctrl+Enter to send),Scrieți un comentariu... Utilizați @nume pentru a menționa (Ctrl+Enter pentru a trimite)
Year,An
Yes,Da
Yesterday,Ieri
yesterday,ieri
You are not an attendee of this appointment,Nu sunteți participant la această programare
You are not linked to any resource,Nu sunteți asociat cu nicio resursă
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,Puteți șterge doar propriile comentarii
You can only delete your own reactions,Puteți șterge doar propriile reacții
You do not have access to the client portal. Please contact support.,Nu aveți acces la portalul clientului. Vă rugăm contactați asistența.
You have already reacted with '{0}',Ați reacționat deja cu «{0}»
You have been assigned to task '{0}' in project '{1}'.,Vi s-a atribuit sarcina «{0}» din proiectul «{1}».
You have been assigned to: {0},Vi s-a atribuit: {0}
You have been invited to the following appointment,Ați fost invitat la următoarea programare
You have no tasks assigned to you right now.,Nu aveți nicio sarcină atribuită în acest moment.
You were mentioned in {0},Ați fost menționat în {0}
Your attendance,Participarea dumneavoastră
Your comment has been posted,Comentariul dumneavoastră a fost publicat
Your Projects,Proiectele dumneavoastră
Your projects will appear here once they're assigned to you.,Proiectele dumneavoastră vor apărea aici odată ce vă sunt atribuite.
Your Response,Răspunsul dumneavoastră
Your RSVP,RSVP-ul dumneavoastră
Your support request has been submitted successfully.,Solicitarea dumneavoastră de asistență a fost trimisă cu succes.
Your support request has been submitted successfully. We'll get back to you shortly.,Solicitarea dumneavoastră de asistență a fost trimisă cu succes. Vă vom răspunde în cel mai scurt timp.
"Your task ""{0}"" is no longer blocked and can now be started.",Sarcina dumneavoastră «{0}» nu mai este blocată și poate fi începută acum.
{0} is required,{0} este obligatoriu
{0} new activities,{0} activități noi
{0} of {1} completed,{0} din {1} finalizat(e)
{0} projects already migrated (will be skipped or updated),{0} proiecte deja migrate (vor fi omise sau actualizate)
{0} status changed to {1},Starea {0} a fost schimbată în {1}
{0} tasks remaining,{0} sarcini rămase
{0} tasks without projects will be skipped,{0} sarcini fără proiect vor fi omise
{0} {1} not found,{0} {1} nu a fost găsit
