+ Add Milestone,+ සන්ධිස්ථානයක් එකතු කරන්න
Open Task Log,කාර්ය සටහන විවෘත කරන්න
Open Tasks,විවෘත කාර්යයන්
Optional,විකල්ප
optional,විකල්ප
Or email us directly at,හෝ අපට සෘජුවම විද්‍යුත් තැපෑල් කරන්න
Orga Project {0} from Frappe Projects,Frappe ව්‍යාපෘතිවලින් Orga ව්‍යාපෘතිය {0}
Orga Task {0} from Frappe,Frappe වෙතින් Orga කාර්යය {0}
Organizer,සංවිධායක
Other,වෙනත්
Over Budget,අයවැය ඉක්මවා
Overall Progress,සමස්ත ප්‍රගතිය
Overall Utilization,සමස්ත උපයෝගීතාව
Overallocated,අධික ලෙස වෙන් කළ
Overdue,ප්‍රමාද
overdue,ප්‍රමාද
Overdue Tasks,ප්‍රමාද කාර්යයන්
Overview,දළ විශ්ලේෂණය
Owner,හිමිකරු
Page Not Found,පිටුව හමු නොවීය
Parent,මව්
Parent comment must belong to the same document,මව් අදහස එම ලේඛනයටම අයිති විය යුතුය
Parent comment not found,මව් අදහස හමු නොවීය
Parent project not synced to Frappe yet,මව් ව්‍යාපෘතිය තවම Frappe වෙත සමමුහුර්ත කර නැත
Parent project sync not enabled,මව් ව්‍යාපෘති සමමුහුර්ත කිරීම සබල කර නැත
Partner,හවුල්කරු
Pending,පොරොත්තු
per page,පිටුවකට
Perform initial assessment and background check,ආරම්භක තක්සේරුව සහ පසුබිම් පරීක්ෂාව සිදු කරන්න
Permanently remove this event,මෙම සිද්ධිය ස්ථිරවම ඉවත් කරන්න
Permanently remove this task,මෙම කාර්යය ස්ථිරවම ඉවත් කරන්න
Phone,දුරකථනය
Pin,ඇමිණීම
Pin Activity,ක්‍රියාකාරකම අමුණන්න
Pin to top,ඉහළට අමුණන්න
Pinned,අමුණන ලද
Planned budget for this task,මෙම කාර්යය සඳහා සැලසුම් කළ අයවැය
Planning,සැලසුම් කිරීම
Please describe your question or issue in detail...,කරුණාකර ඔබේ ප්‍රශ්නය හෝ ගැටලුව විස්තරාත්මකව විස්තර කරන්න...
Please login to access Orga,Orga වෙත ප්‍රවේශ වීමට කරුණාකර පිවිසෙන්න
Please login to access the client portal,සේවාදායක ද්වාරයට ප්‍රවේශ වීමට කරුණාකර පිවිසෙන්න
Please respond to this invitation in Orga,කරුණාකර Orga හි මෙම ආරාධනයට ප්‍රතිචාර දක්වන්න
Please select an image file,කරුණාකර රූප ගොනුවක් තෝරන්න
Please try again,කරුණාකර නැවත උත්සාහ කරන්න
Please type,කරුණාකර ටයිප් කරන්න
Portal,ද්වාරය
Portal access revoked for {0},{0} සඳහා ද්වාර ප්‍රවේශය අවලංගු කරන ලදී
Portal user created successfully. Welcome email {0},ද්වාර පරිශීලකයා සාර්ථකව සාදන ලදී. පිළිගැනීමේ විද්‍යුත් තැපෑල {0}
Post,පළ කරන්න
Powered by,බල ගන්වනු ලබන්නේ
Powered by Tonic,Tonic විසින් බල ගැන්වීම
Predecessors (Blocked By),පෙරගාමීන් (අවහිර කළ)
Preferences,මනාපයන්
Preferences saved successfully,මනාපයන් සාර්ථකව සුරැකිණි
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)","ස්වයංක්‍රීයව ජනනය කරන ලද ව්‍යාපෘති කේත සඳහා උපසර්ගය (උදා., ORG-2026-0001)"
Prepare and document offer terms,දීමනා කොන්දේසි සකස් කර ලේඛනගත කරන්න
Press,ඔබන්න
Preview,පෙරදසුන
Preview cascade before applying,යෙදීමට පෙර ගංගා ප්‍රවාහ පෙරදසුන
Previous,පෙර
Priority,ප්‍රමුඛතාව
Priority assigned to new tasks,නව කාර්යයන්ට පවරන ලද ප්‍රමුඛතාව
Priority updated,ප්‍රමුඛතාව යාවත්කාලීන විය
Proficiency,ප්‍රවීණතාව
Profile,පැතිකඩ
Progress,ප්‍රගතිය
Progress (High-Low),ප්‍රගතිය (ඉහළ-අඩු)
Progress (Low-High),ප්‍රගතිය (අඩු-ඉහළ)
Progress Overview,ප්‍රගති දළ විශ්ලේෂණය
Progress updated,ප්‍රගතිය යාවත්කාලීන විය
Project,ව්‍යාපෘතිය
Project budget has been saved.,ව්‍යාපෘති අයවැය සුරැකිණි.
Project code (e.g. ORG-2026-0001),ව්‍යාපෘති කේතය (උදා. ORG-2026-0001)
Project Code Prefix,ව්‍යාපෘති කේත උපසර්ගය
Project created,ව්‍යාපෘතිය සාදන ලදී
Project deleted,ව්‍යාපෘතිය මකා දැමිණි
Project description has been saved.,ව්‍යාපෘති විස්තරය සුරැකිණි.
Project Details,ව්‍යාපෘති විස්තර
Project end date has been saved.,ව්‍යාපෘතියේ අවසන් දිනය සුරැකිණි.
Project Files,ව්‍යාපෘති ගොනු
Project has no linked client,ව්‍යාපෘතියට සම්බන්ධ සේවාදායකයෙක් නැත
Project Health,ව්‍යාපෘති සෞඛ්‍ය තත්ත්වය
Project Info,ව්‍යාපෘති තොරතුරු
Project is required,ව්‍යාපෘතිය අවශ්‍යයි
Project is required for project context,ව්‍යාපෘති සන්දර්භය සඳහා ව්‍යාපෘතිය අවශ්‍යයි
Project is required when tracking context is 'project',නිරීක්ෂණ සන්දර්භය 'ව්‍යාපෘතිය' වන විට ව්‍යාපෘතිය අවශ්‍යයි
Project Manager,ව්‍යාපෘති කළමනාකරු
Project Name,ව්‍යාපෘති නම
Project name and template name are required,ව්‍යාපෘති නම සහ සැකිල්ලේ නම අවශ්‍යයි
Project name is required,ව්‍යාපෘති නම අවශ්‍යයි
Project not found,ව්‍යාපෘතිය හමු නොවීය
Project not found or you do not have access,ව්‍යාපෘතිය හමු නොවීය හෝ ඔබට ප්‍රවේශය නැත
Project settings,ව්‍යාපෘති සැකසුම්
Project start date has been saved.,ව්‍යාපෘතියේ ආරම්භ දිනය සුරැකිණි.
Project title has been saved.,ව්‍යාපෘති මාතෘකාව සුරැකිණි.
Project Type,ව්‍යාපෘති වර්ගය
Project updated,ව්‍යාපෘතිය යාවත්කාලීන විය
Project {0} linked to client {1},ව්‍යාපෘතිය {0} සේවාදායකයා {1} වෙත සම්බන්ධ කරන ලදී
Project {0} not found,ව්‍යාපෘතිය {0} හමු නොවීය
Project {0} to Frappe Projects,ව්‍යාපෘතිය {0} Frappe ව්‍යාපෘතිවලට
Project:,ව්‍යාපෘතිය:
projects,ව්‍යාපෘති
Projects,ව්‍යාපෘති
Projects created:,සාදන ලද ව්‍යාපෘති:
Projects Overview,ව්‍යාපෘති දළ විශ්ලේෂණය
Projects skipped:,මඟ හැරුණු ව්‍යාපෘති:
Projects updated:,යාවත්කාලීන කළ ව්‍යාපෘති:
Promote failed,උසස් කිරීම අසාර්ථක විය
Promote to task,කාර්යයක් බවට උසස් කරන්න
Promoted to task,කාර්යයක් බවට උසස් කරන ලදී
Propose,යෝජනා කරන්න
Propose New Time,නව වේලාවක් යෝජනා කරන්න
Propose Time,වේලාව යෝජනා කරන්න
Proposed End,යෝජිත අවසානය
Proposed Start,යෝජිත ආරම්භය
Public,පොදු
Quick Action,ඉක්මන් ක්‍රියාව
Quick Actions,ඉක්මන් ක්‍රියා
Quick Stats,ඉක්මන් සංඛ්‍යාලේඛන
Rates,අනුපාත
Receive notifications via email,විද්‍යුත් තැපෑල හරහා දැනුම්දීම් ලබා ගන්න
Receive notifications within the application,යෙදුම තුළ දැනුම්දීම් ලබා ගන්න
Recent Activity,මෑත ක්‍රියාකාරකම්
Recipient {0} is not a valid user,ලබන්නා {0} වලංගු පරිශීලකයෙක් නොවේ
Reference,යොමුව
Refresh,නැවුම් කරන්න
Related,සම්බන්ධ
Related Company (optional),සම්බන්ධ සමාගම (විකල්ප)
Related Documents,සම්බන්ධ ලේඛන
Related Project,සම්බන්ධ ව්‍යාපෘතිය
Remaining,ඉතිරි
Reminder,මතක් කිරීම
Reminder Lead Time,මතක් කිරීමේ පූර්ව කාලය
Reminder: {0} - {1} at {2},මතක් කිරීම: {0} - {1} {2} වේලාවට
Remove,ඉවත් කරන්න
Remove dependency,පරායත්තතාව ඉවත් කරන්න
Remove dependency on,පරායත්තතාව ඉවත් කරන්න
Remove from group,කණ්ඩායමෙන් ඉවත් කරන්න
Remove group dependency,කණ්ඩායම් පරායත්තතාව ඉවත් කරන්න
Remove skill,කුසලතාව ඉවත් කරන්න
Reopen,නැවත විවෘත කරන්න
Reopen thread,සාකච්ඡා පෙළ නැවත විවෘත කරන්න
reopened,නැවත විවෘත කළ
replies,පිළිතුරු
Reply,පිළිතුර
reply,පිළිතුර
Replying to,පිළිතුරු දෙනවා
Replying to comment,අදහසට පිළිතුරු දෙමින්
Report Defect,දෝෂය වාර්තා කරන්න
Reported Date,වාර්තා කළ දිනය
Reports,වාර්තා
Reports To,වාර්තා කරනු ලබන්නේ
Request Submitted!,ඉල්ලීම ඉදිරිපත් කරන ලදී!
Required,අවශ්‍යයි
required,අවශ්‍යයි
Research,පර්යේෂණ
Reset to Defaults,පෙරනිමිවලට යළි පිහිටුවන්න
Resolve,විසඳන්න
Resolve thread,සාකච්ඡා පෙළ විසඳන්න
Resolved,විසඳන ලද
Resolved date cannot be before reported date,විසඳන ලද දිනය වාර්තා කළ දිනයට පෙර විය නොහැක
Resource,සම්පත
Resource and skill name are required,සම්පත සහ කුසලතා නම අවශ්‍යයි
Resource is already an attendee,සම්පත දැනටමත් සහභාගිවන්නෙකි
Resource name is required,සම්පත් නම අවශ්‍යයි
Resource not found,සම්පත හමු නොවීය
Resource synced from employee {0},සේවකයා {0} වෙතින් සම්පත සමමුහුර්ත කරන ලදී
Resource {0} is already assigned to this task ({1}),සම්පත {0} දැනටමත් මෙම කාර්යයට ({1}) පවරා ඇත
Resource {0} not found,සම්පත {0} හමු නොවීය
Resources,සම්පත්
Retry,නැවත උත්සාහ කරන්න
Review,සමාලෝචනය
Review all relevant documents and contracts,සියලු අදාළ ලේඛන සහ ගිවිසුම් සමාලෝචනය කරන්න
Reviews,සමාලෝචන
Risk Assessment,අවදානම් තක්සේරුව
Rollback,ආපසු හැරවීම
Rolled back,ආපසු හැරවන ලදී
Room or address,කාමරය හෝ ලිපිනය
RSVP,RSVP
Safety,ආරක්ෂාව
Sat,සෙන
Save,සුරකින්න
"Save a project as a template, or import one from a JSON file.","ව්‍යාපෘතියක් සැකිල්ලක් ලෙස සුරකින්න, හෝ JSON ගොනුවකින් ආනයනය කරන්න."
Save as Template,සැකිල්ලක් ලෙස සුරකින්න
Save Changes,වෙනස්කම් සුරකින්න
Save failed,සුරැකීම අසාර්ථක විය
Save Preferences,මනාපයන් සුරකින්න
Save Template,සැකිල්ල සුරකින්න
Saving...,සුරකිමින්...
Schedule,කාලසටහන
Schedule type is required for scheduled triggers,උපලේඛිත ප්‍රේරක සඳහා කාලසටහන් වර්ගය අවශ්‍යයි
Scheduled,උපලේඛිත
Search,සෙවීම
"Search by name, email, or skill...","නම, විද්‍යුත් තැපෑල, හෝ කුසලතාව අනුව සොයන්න..."
Search for a project...,ව්‍යාපෘතියක් සොයන්න...
Search for a task...,කාර්යයක් සොයන්න...
Search for an event...,සිද්ධියක් සොයන්න...
Search for people to invite...,ආරාධනා කිරීමට පුද්ගලයින් සොයන්න...
Search tasks to link...,සම්බන්ධ කිරීමට කාර්යයන් සොයන්න...
Search tasks...,කාර්යයන් සොයන්න...
Search...,සොයන්න...
Searching...,සොයමින්...
Seen,දුටු
Select a project if your request is related to a specific project.,ඔබේ ඉල්ලීම නිශ්චිත ව්‍යාපෘතියකට සම්බන්ධ නම් ව්‍යාපෘතියක් තෝරන්න.
Select a project...,ව්‍යාපෘතියක් තෝරන්න...
Select a task from the Gantt chart to view and manage its details.,විස්තර බැලීමට සහ කළමනාකරණය කිරීමට Gantt ප්‍රස්ථාරයෙන් කාර්යයක් තෝරන්න.
Select a task from the list or Kanban board to view and manage its details.,විස්තර බැලීමට සහ කළමනාකරණය කිරීමට ලැයිස්තුවෙන් හෝ කන්බන් පුවරුවෙන් කාර්යයක් තෝරන්න.
Select a template...,සැකිල්ලක් තෝරන්න...
Select priority...,ප්‍රමුඛතාව තෝරන්න...
Select status...,තත්ත්වය තෝරන්න...
Select task...,කාර්යයක් තෝරන්න...
Select type...,වර්ගය තෝරන්න...
Selection,තේරීම
Send,යවන්න
Send comment,අදහස යවන්න
Send email invitations to attendees,සහභාගිවන්නන්ට විද්‍යුත් ආරාධනා යවන්න
Send Invitations,ආරාධනා යවන්න
Send notification when a task is assigned to a user,කාර්යයක් පරිශීලකයෙකුට පැවරූ විට දැනුම්දීමක් යවන්න
Send notification when task status changes,කාර්ය තත්ත්වය වෙනස් වූ විට දැනුම්දීමක් යවන්න
Send reminder before task due date,කාර්යය නියමිත දිනයට පෙර මතක් කිරීමක් යවන්න
sent,යැවූ
Set rate,අනුපාතය සකසන්න
Settings,සැකසුම්
Settings saved successfully,සැකසුම් සාර්ථකව සුරැකිණි
Severity,බරපතලකම
SF (Start-Finish),SF (ආරම්භ-අවසාන)
SF - Start-to-Finish,SF - ආරම්භ-සිට-අවසාන
Show,පෙන්වන්න
Show all,සියල්ල පෙන්වන්න
Show all changes,සියලු වෙනස්කම් පෙන්වන්න
Show Archived,සංරක්ෂිත පෙන්වන්න
Show full diff,සම්පූර්ණ වෙනස පෙන්වන්න
Show less,අඩුවෙන් පෙන්වන්න
Show more,තව පෙන්වන්න
Skill added,කුසලතාව එකතු කරන ලදී
Skill is required,කුසලතාව අවශ්‍යයි
Skill Name,කුසලතා නම
Skill removed,කුසලතාව ඉවත් කරන ලදී
Skill {0} already exists for this resource,මෙම සම්පත සඳහා කුසලතාව {0} දැනටමත් පවතී
Skills,කුසලතා
Skills & Competencies,කුසලතා සහ සමත්තතා
Skip already migrated projects,දැනටමත් සංක්‍රමණය කළ ව්‍යාපෘති මඟ හරින්න
Sort by,අනුපිළිවෙළට
Sort: Due Date,අනුපිළිවෙළ: නියමිත දිනය
Sort: Priority,අනුපිළිවෙළ: ප්‍රමුඛතාව
Sort: Project,අනුපිළිවෙළ: ව්‍යාපෘතිය
Sort: Status,අනුපිළිවෙළ: තත්ත්වය
Sort: Task,අනුපිළිවෙළ: කාර්යය
Source Code,මූලාශ්‍ර කේතය
Spent,වැය කළ
Spent:,වැය කළ:
SS (Start-Start),SS (ආරම්භ-ආරම්භ)
SS - Start-to-Start,SS - ආරම්භ-සිට-ආරම්භ
Standalone,ස්වාධීන
Start,ආරම්භය
Start a discussion below,පහතින් සාකච්ඡාවක් ආරම්භ කරන්න
Start Date,ආරම්භ දිනය
Start date,ආරම්භ දිනය
Start Date (Earliest),ආරම්භ දිනය (ඉක්මනින්ම)
Start date updated,ආරම්භ දිනය යාවත්කාලීන විය
Start date/time is required,ආරම්භ දිනය/වේලාව අවශ්‍යයි
Start Migration,සංක්‍රමණය ආරම්භ කරන්න
Start the conversation below.,පහතින් සංවාදය ආරම්භ කරන්න.
Start Timer,කාල ගණකය ආරම්භ කරන්න
Start typing to search...,සෙවීමට ටයිප් කිරීම ආරම්භ කරන්න...
Start-to-Finish,ආරම්භ-සිට-අවසාන
Start-to-Start,ආරම්භ-සිට-ආරම්භ
Start:,ආරම්භය:
Statistics reset,සංඛ්‍යාලේඛන යළි පිහිටුවන ලදී
Status,තත්ත්වය
Status assigned to new projects,නව ව්‍යාපෘතිවලට පවරන ලද තත්ත්වය
Status assigned to new tasks,නව කාර්යයන්ට පවරන ලද තත්ත්වය
Status Changes,තත්ත්ව වෙනස්කම්
Status updated,තත්ත්වය යාවත්කාලීන විය
Status:,තත්ත්වය:
Stop,නවත්වන්න
Stop & Save,නවත්වන්න සහ සුරකින්න
Stop Timer,කාල ගණකය නවත්වන්න
Stops current timer and starts for this event,වත්මන් කාල ගණකය නවත්වා මෙම සිද්ධිය සඳහා ආරම්භ කරයි
Stops current timer and starts for this task,වත්මන් කාල ගණකය නවත්වා මෙම කාර්යය සඳහා ආරම්භ කරයි
Subject,විෂය
Subject cannot exceed 255 characters,විෂය අක්ෂර 255 ඉක්මවිය නොහැක
Subject is required,විෂය අවශ්‍යයි
Submit,ඉදිරිපත් කරන්න
Submit Another Request,තවත් ඉල්ලීමක් ඉදිරිපත් කරන්න
Submit Request,ඉල්ලීම ඉදිරිපත් කරන්න
Submitting...,ඉදිරිපත් කරමින්...
Successfully saved,සාර්ථකව සුරැකිණි
Successors (Blocking),පසුගාමීන් (අවහිර කරමින්)
Sun,ඉරිදා
Supplier,සැපයුම්කරු
Support,සහාය
Switch to this event,මෙම සිද්ධියට මාරු වන්න
Switch to this task,මෙම කාර්යයට මාරු වන්න
Sync direction is set to Frappe to Orga only,සමමුහුර්ත දිශාව Frappe සිට Orga වෙත පමණක් සකසා ඇත
Sync direction is set to Orga to Frappe only,සමමුහුර්ත දිශාව Orga සිට Frappe වෙත පමණක් සකසා ඇත
Sync not enabled for this project,මෙම ව්‍යාපෘතිය සඳහා සමමුහුර්තය සබල කර නැත
System,පද්ධතිය
Table,වගුව
Take ownership of this task,මෙම කාර්යයේ අයිතිය ගන්න
Target Date,ඉලක්ක දිනය
Target End,ඉලක්ක අවසානය
Target Project,ඉලක්ක ව්‍යාපෘතිය
Target user is required for '{0}' action,'{0}' ක්‍රියාව සඳහා ඉලක්ක පරිශීලකයා අවශ්‍යයි
task,කාර්යය
Task,කාර්යය
Task '{0}' is due on {1}.,කාර්යය '{0}' {1} දිනට නියමිතය.
Task and resource are required,කාර්යය සහ සම්පත අවශ්‍යයි
Task Assignment,කාර්ය පැවරුම
Task cannot be its own parent,කාර්යය තමාගේම මව් විය නොහැක
Task cannot depend on itself,කාර්යයට තමාටම රඳා පැවතිය නොහැක
Task cannot depend on the group it belongs to,කාර්යයට එය අයත් කණ්ඩායමට රඳා පැවතිය නොහැක
Task created,කාර්යය සාදන ලදී
Task deleted,කාර්යය මකා දැමිණි
Task description has been saved.,කාර්ය විස්තරය සුරැකිණි.
Task Details,කාර්ය විස්තර
Task due in {0} days: {1},කාර්යය දින {0} කින් නියමිතය: {1}
Task due today: {0},අද නියමිත කාර්යය: {0}
Task due tomorrow: {0},හෙට නියමිත කාර්යය: {0}
Task duplicated,කාර්යය අනුපිටපත් කරන ලදී
Task Group,කාර්ය කණ්ඩායම
Task ID is required,කාර්ය හැඳුනුම අවශ්‍යයි
Task is blocked by incomplete dependencies,අසම්පූර්ණ පරායත්තතා මගින් කාර්යය අවහිර කර ඇත
Task is cancelled,කාර්යය අවලංගු කර ඇත
Task is completed,කාර්යය සම්පූර්ණ කර ඇත
Task is no longer blocked by a group,කාර්යය තවදුරටත් කණ්ඩායමක් මගින් අවහිර නැත
Task is required for task context,කාර්ය සන්දර්භය සඳහා කාර්යය අවශ්‍යයි
Task is required when tracking context is 'task',නිරීක්ෂණ සන්දර්භය 'කාර්යය' වන විට කාර්යය අවශ්‍යයි
Task linked,කාර්යය සම්බන්ධ කරන ලදී
Task moved,කාර්යය ගෙන යන ලදී
Task name,කාර්ය නම
Task name is required,කාර්ය නම අවශ්‍යයි
Task removed from group,කාර්යය කණ්ඩායමෙන් ඉවත් කරන ලදී
Task Subject,කාර්ය විෂය
Task subject is required,කාර්ය විෂය අවශ්‍යයි
Task Type,කාර්ය වර්ගය
Task unblocked: {0},කාර්යය අවහිරය ඉවත් කරන ලදී: {0}
Task unlinked,කාර්යය විසන්ධි කරන ලදී
Task updated,කාර්යය යාවත්කාලීන විය
Task {0} not found,කාර්යය {0} හමු නොවීය
Task {0} not in project {1},කාර්යය {0} ව්‍යාපෘතිය {1} හි නොමැත
Task {0} to Frappe,කාර්යය {0} Frappe වෙත
Tasks,කාර්යයන්
tasks,කාර්යයන්
Tasks and milestones will be created with dates relative to the project start date.,ව්‍යාපෘතියේ ආරම්භ දිනයට සාපේක්ෂ දිනයන් සහිතව කාර්යයන් සහ සන්ධිස්ථාන සාදනු ඇත.
Tasks assigned to you across all projects.,සියලු ව්‍යාපෘතිවල ඔබට පවරන ලද කාර්යයන්.
Tasks created:,සාදන ලද කාර්යයන්:
Tasks from projects you manage.,ඔබ කළමනාකරණය කරන ව්‍යාපෘතිවල කාර්යයන්.
Tasks updated:,යාවත්කාලීන කළ කාර්යයන්:
"Tasks, milestones, and dependencies have been created.","කාර්යයන්, සන්ධිස්ථාන, සහ පරායත්තතා සාදන ලදී."
Tasks:,කාර්යයන්:
TBD,තීරණය කළ යුතුය
Team,කණ්ඩායම
Team Members,කණ්ඩායම් සාමාජිකයින්
Template,සැකිල්ල
Template applied,සැකිල්ල යොදන ලදී
Template data is required in import data,ආනයන දත්තවල සැකිල්ල දත්ත අවශ්‍යයි
Template has no data,සැකිල්ලේ දත්ත නැත
Template Name,සැකිල්ලේ නම
Template name,සැකිල්ලේ නම
Template name is required,සැකිල්ලේ නම අවශ්‍යයි
Template name is required in import data,ආනයන දත්තවල සැකිල්ලේ නම අවශ්‍යයි
Template saved,සැකිල්ල සුරැකිණි
Template updated successfully.,සැකිල්ල සාර්ථකව යාවත්කාලීන විය.
Template {0} not found,සැකිල්ල {0} හමු නොවීය
Templates,සැකිලි
Tentative,තාවකාලික
The comment has been deleted,අදහස මකා දැමිණි
The project,ව්‍යාපෘතිය
The source document may have been deleted.,මූලාශ්‍ර ලේඛනය මකා දමා ඇති විය හැක.
The source document will not be affected.,මූලාශ්‍ර ලේඛනය බලපෑමට ලක් නොවේ.
The status of '{0}' was changed from {1} to {2}.,'{0}' හි තත්ත්වය {1} සිට {2} වෙත වෙනස් කරන ලදී.
Theme,තේමාව
Theme preference,තේමා මනාපය
This action,මෙම ක්‍රියාව
This action cannot be undone.,මෙම ක්‍රියාව අහෝසි කළ නොහැක.
This activity has been flagged for attention,මෙම ක්‍රියාකාරකම අවධානය සඳහා ධජය සලකුණු කර ඇත
This is a reminder for your upcoming appointment,ඔබේ ඉදිරි හමුවීම සඳහා මතක් කිරීමකි
This method is only meant for developer mode,මෙම ක්‍රමය සංවර්ධක මාදිලිය සඳහා පමණි
This page wandered off,This page wandered off
This Week,මෙම සතිය
This will delete all notes and preferences associated with this activity.,මෙය මෙම ක්‍රියාකාරකමට සම්බන්ධ සියලු සටහන් සහ මනාපයන් මකා දමනු ඇත.
This will import all Frappe Projects into Orga. Continue?,මෙය සියලු Frappe ව්‍යාපෘති Orga වෙත ආනයනය කරනු ඇත. ඉදිරියට යන්නද?
This will permanently delete,මෙය ස්ථිරවම මකා දමනු ඇත
This will permanently delete:,මෙය ස්ථිරවම මකා දමනු ඇත:
Thu,බ්‍රහස්
Time,කාලය
Time & Billing,කාලය සහ බිල් කිරීම
Time & Revenue,කාලය සහ ආදායම
Time Entries,කාල ඇතුළත් කිරීම්
Time log name is required,කාල සටහනේ නම අවශ්‍යයි
Time Log not found,කාල සටහන හමු නොවීය
Time log {0} not found,කාල සටහන {0} හමු නොවීය
Time Logs,කාල සටහන්
Time Summary,කාල සාරාංශය
Time Tracking,කාල නිරීක්ෂණය
Timeline,කාල රේඛාව
Timer active on,කාල ගණකය ක්‍රියාකාරී
Timer is not running,කාල ගණකය ක්‍රියාත්මක නොවේ
Timer Running,කාල ගණකය ක්‍රියාත්මකයි
Timer running,කාල ගණකය ක්‍රියාත්මකයි
Timesheet DocType not available,කාල පත්‍රිකා DocType ලබා ගත නොහැක
Timesheets,කාල පත්‍රිකා
Timezone,කාල කලාපය
Timezone is detected from your browser,කාල කලාපය ඔබේ බ්‍රවුසරයෙන් හඳුනා ගැනේ
Title,මාතෘකාව
Title cannot exceed 255 characters,මාතෘකාව අක්ෂර 255 ඉක්මවිය නොහැක
Title is required,මාතෘකාව අවශ්‍යයි
Title updated,මාතෘකාව යාවත්කාලීන විය
To,වෙත
to,වෙත
to cancel,අවලංගු කිරීමට
to close,වසන්නට
to confirm:,තහවුරු කිරීමට:
to edit,සංස්කරණය කිරීමට
"to save,","සුරැකීමට,"
To Time cannot be before From Time,අවසන් වේලාව ආරම්භ වේලාවට පෙර විය නොහැක
Today,අද
today,අද
Toggle billable,බිල් කළ හැකි මාරු කරන්න
Toggle Details Panel,විස්තර පුවරුව මාරු කරන්න
Toggle Manager Panel,කළමනාකරු පුවරුව මාරු කරන්න
Toggle Sidebar,පැති තීරුව මාරු කරන්න
Tomorrow,හෙට
tomorrow,හෙට
Total,එකතුව
Total Budget,සම්පූර්ණ අයවැය
Total Contacts,සම්පූර්ණ සම්බන්ධතා
Total Cost,සම්පූර්ණ පිරිවැය
Total Cost to Org,සංවිධානයට සම්පූර්ණ පිරිවැය
Total Defect Cost,සම්පූර්ණ දෝෂ පිරිවැය
Total Hours,සම්පූර්ණ පැය
Total Hours Logged,සම්පූර්ණ සටහන් කළ පැය
Total Projects,සම්පූර්ණ ව්‍යාපෘති
Total Spent,සම්පූර්ණ වැය
Total Tasks,සම්පූර්ණ කාර්යයන්
Total:,එකතුව:
Tracked,නිරීක්ෂණය කළ
trails to today while Open at 0%,0% විවෘත තත්ත්වයේ අද දක්වා පාද
Tried:,Tried:
Try adjusting your filter criteria,ඔබේ පෙරහන් නිර්ණායක සකස් කිරීමට උත්සාහ කරන්න
Try adjusting your filters.,ඔබේ පෙරහන් සකස් කිරීමට උත්සාහ කරන්න.
Try Again,නැවත උත්සාහ කරන්න
Tue,අඟ
Type,වර්ගය
Type updated,වර්ගය යාවත්කාලීන විය
Type:,වර්ගය:
Typical response time: 1-2 business days,සාමාන්‍ය ප්‍රතිචාර කාලය: ව්‍යාපාරික දින 1-2
Unarchive,සංරක්ෂිතයෙන් ඉවත් කරන්න
Unarchive Activity,ක්‍රියාකාරකම සංරක්ෂිතයෙන් ඉවත් කරන්න
Unassign,පැවරුම ඉවත් කරන්න
Unassigned,පැවරුම් නොකළ
Under Budget,අයවැයට අඩුවෙන්
Ungrouped,කණ්ඩායම් නොකළ
Unknown,නොදන්නා
Unknown error,නොදන්නා දෝෂය
Unlink failed,විසන්ධි කිරීම අසාර්ථක විය
Unlink task from milestone,සන්ධිස්ථානයෙන් කාර්යය විසන්ධි කරන්න
Unpin,ඇමිණීම ඉවත් කරන්න
Unpin Activity,ක්‍රියාකාරකමේ ඇමිණීම ඉවත් කරන්න
Unread,නොකියවූ
Unread only,නොකියවූ පමණි
Until,දක්වා
Up to Date,Up to Date
Upcoming,ඉදිරි
upcoming,ඉදිරි
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,යාවත්කාලීන කිරීම අසාර්ථක විය
Updated,යාවත්කාලීන කළ
Updated successfully,සාර්ථකව යාවත්කාලීන විය
Updates,Updates
Upload,උඩුගත කරන්න
Upload failed,උඩුගත කිරීම අසාර්ථක විය
Upload files below to attach them to this task.,මෙම කාර්යයට ඇමිණීමට පහතින් ගොනු උඩුගත කරන්න.
Upload to project,ව්‍යාපෘතියට උඩුගත කරන්න
Uploading...,උඩුගත කරමින්...
Urgent,හදිසි
User {0} is already linked to client {1},පරිශීලකයා {0} දැනටමත් සේවාදායකයා {1} වෙත සම්බන්ධ කර ඇත
User {0} is already linked to resource {1},පරිශීලකයා {0} දැනටමත් සම්පත {1} වෙත සම්බන්ධ කර ඇත
Utilization,උපයෝගීතාව
Valid,වලංගු
Value:,අගය:
Variance,විචලනය
Variance:,විචලනය:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,බලන්න
View All,සියල්ල බලන්න
View all active projects,සියලු ක්‍රියාකාරී ව්‍යාපෘති බලන්න
View all open tasks,සියලු විවෘත කාර්යයන් බලන්න
View overdue tasks,ප්‍රමාද කාර්යයන් බලන්න
View Release,View Release
Visibility,දෘශ්‍යතාව
Waiting for this task,මෙම කාර්යය සඳහා බලා සිටිමින්
Waits for:,බලා සිටින්නේ:
Warning: Resource {0} status is {1},අවවාදයයි: සම්පත {0} තත්ත්වය {1} වේ
