+ Add Milestone,+ നാഴികക്കല്ല് ചേർക്കുക
List View,ലിസ്റ്റ് കാഴ്ച
Load failed,ലോഡ് ചെയ്യൽ പരാജയപ്പെട്ടു
Load More,കൂടുതൽ ലോഡുചെയ്യുക
Load more comments,കൂടുതൽ അഭിപ്രായങ്ങൾ ലോഡ് ചെയ്യുക
Loading activity...,പ്രവർത്തനം ലോഡ് ചെയ്യുന്നു...
Loading changes...,മാറ്റങ്ങൾ ലോഡ് ചെയ്യുന്നു...
Loading checklist...,ചെക്ക്‌ലിസ്റ്റ് ലോഡ് ചെയ്യുന്നു...
Loading comments...,അഭിപ്രായങ്ങൾ ലോഡ് ചെയ്യുന്നു...
Loading contact...,കോൺടാക്ട് ലോഡ് ചെയ്യുന്നു...
Loading contacts...,കോൺടാക്ടുകൾ ലോഡ് ചെയ്യുന്നു...
Loading dependencies...,ആശ്രിതത്വങ്ങൾ ലോഡ് ചെയ്യുന്നു...
Loading details...,വിശദാംശങ്ങൾ ലോഡ് ചെയ്യുന്നു...
Loading discussion...,ചർച്ച ലോഡ് ചെയ്യുന്നു...
Loading events...,ഇവന്റുകൾ ലോഡ് ചെയ്യുന്നു...
Loading files...,ഫയലുകൾ ലോഡ് ചെയ്യുന്നു...
Loading notes...,കുറിപ്പുകൾ ലോഡ് ചെയ്യുന്നു...
Loading preferences...,മുൻഗണനകൾ ലോഡ് ചെയ്യുന്നു...
Loading project...,പ്രോജക്ട് ലോഡ് ചെയ്യുന്നു...
Loading projects...,പ്രോജക്ടുകൾ ലോഡ് ചെയ്യുന്നു...
Loading replies...,മറുപടികൾ ലോഡ് ചെയ്യുന്നു...
Loading report data...,റിപ്പോർട്ട് ഡാറ്റ ലോഡ് ചെയ്യുന്നു...
Loading settings...,ക്രമീകരണങ്ങൾ ലോഡ് ചെയ്യുന്നു...
Loading task...,ടാസ്ക് ലോഡ് ചെയ്യുന്നു...
Loading templates...,ടെംപ്ലേറ്റുകൾ ലോഡ് ചെയ്യുന്നു...
Loading time logs...,ടൈം ലോഗുകൾ ലോഡ് ചെയ്യുന്നു...
Loading your portal...,നിങ്ങളുടെ പോർട്ടൽ ലോഡ് ചെയ്യുന്നു...
Loading...,ലോഡുചെയ്യുന്നു ...
Location,സ്ഥാനം
Log Time,സമയം രേഖപ്പെടുത്തുക
Logout,പുറത്തിറങ്ങുക
Low,ലോ
Make Offer,ഓഫർ ചെയ്യുക
Manager,മാനേജർ
Manual Entry,സ്വമേധയാ ഉള്ള എൻട്രി
Margin,മാർജിൻ
Mark all as read,എല്ലാം വായിച്ചതായി അടയാളപ്പെടുത്തുക
Mark all read,എല്ലാം വായിച്ചതായി അടയാളപ്പെടുത്തുക
Mark as read,വായിച്ചതായി അടയാളപ്പെടുത്തുക
Mark as unread,വായിക്കാത്തതായി അടയാളപ്പെടുത്തുക
Mark read,വായിച്ചതായി അടയാളപ്പെടുത്തുക
Marking...,അടയാളപ്പെടുത്തുന്നു...
Material,മെറ്റീരിയൽ
Maybe,ഒരുപക്ഷേ
Medium,മീഡിയം
Meeting,മീറ്റിംഗ്
Meeting Link,മീറ്റിംഗ് ലിങ്ക്
Meeting title,മീറ്റിംഗ് ശീർഷകം
Meeting URL,മീറ്റിംഗ് URL
Meetings,മീറ്റിംഗുകൾ
Mention,പരാമർശിക്കുക
Message,സന്ദേശം
Message is required,സന്ദേശം ആവശ്യമാണ്
Message is required for '{0}' action,'{0}' പ്രവർത്തനത്തിന് സന്ദേശം ആവശ്യമാണ്
Migrate,മൈഗ്രേറ്റ് ചെയ്യുക
Migration Complete,മൈഗ്രേഷൻ പൂർത്തിയായി
Migration ID:,മൈഗ്രേഷൻ ID:
Migration log not found: {0},മൈഗ്രേഷൻ ലോഗ് കണ്ടെത്തിയില്ല: {0}
milestone,നാഴികക്കല്ല്
Milestone,നാഴികക്കല്ല്
Milestone created,നാഴികക്കല്ല് സൃഷ്ടിച്ചു
Milestone description has been saved.,നാഴികക്കല്ല് വിവരണം സേവ് ചെയ്തു.
Milestone ID is required,നാഴികക്കല്ല് ID ആവശ്യമാണ്
Milestone marked as Missed (past due date),നാഴികക്കല്ല് നഷ്ടമായതായി അടയാളപ്പെടുത്തി (അവസാന തീയതി കഴിഞ്ഞു)
Milestone moved,നാഴികക്കല്ല് നീക്കി
Milestone Name,നാഴികക്കല്ല് പേര്
Milestone name has been saved.,നാഴികക്കല്ല് പേര് സേവ് ചെയ്തു.
Milestone name is required,നാഴികക്കല്ല് പേര് ആവശ്യമാണ്
Milestone updated,നാഴികക്കല്ല് അപ്‌ഡേറ്റ് ചെയ്തു
Milestone {0} not found,നാഴികക്കല്ല് {0} കണ്ടെത്തിയില്ല
Milestone {0} not in project {1},നാഴികക്കല്ല് {0} പ്രോജക്ട് {1}-ൽ ഇല്ല
milestones,നാഴികക്കല്ലുകൾ
Milestones,നാഴികക്കല്ലുകൾ
Milestones:,നാഴികക്കല്ലുകൾ:
Minutes,മിനിറ്റുകൾ
Missed,നഷ്ടമായി
Mixed,മിശ്രിതം
Mobile,മൊബൈൽ
Moderate,മിതമായ
Modified,പരിഷ്കരിച്ചത്
"Modify details, time, or attendees","വിശദാംശങ്ങൾ, സമയം, അല്ലെങ്കിൽ പങ്കെടുക്കുന്നവരെ പരിഷ്കരിക്കുക"
Mon,തിങ്കൾ
Month,മാസം
Move failed,നീക്കൽ പരാജയപ്പെട്ടു
Must be a positive number,ഒരു പോസിറ്റീവ് സംഖ്യ ആയിരിക്കണം
Must finish before this finishes,ഇത് പൂർത്തിയാകുന്നതിന് മുമ്പ് പൂർത്തിയാക്കണം
Must finish before this starts,ഇത് ആരംഭിക്കുന്നതിന് മുമ്പ് പൂർത്തിയാക്കണം
Must start before this finishes,ഇത് പൂർത്തിയാകുന്നതിന് മുമ്പ് ആരംഭിക്കണം
Must start before this starts,ഇത് ആരംഭിക്കുന്നതിന് മുമ്പ് ആരംഭിക്കണം
My Assignments,എന്റെ അസൈൻമെന്റുകൾ
My Projects,എന്റെ പ്രോജക്ടുകൾ
My Schedule,എന്റെ ഷെഡ്യൂൾ
My Tasks,എന്റെ ടാസ്കുകൾ
N/A,ബാധകമല്ല
Name,പേര്
Name (A-Z),പേര് (A-Z)
Name (Z-A),പേര് (Z-A)
Name cannot exceed 255 characters,പേര് 255 അക്ഷരങ്ങൾ കവിയാൻ പാടില്ല
Need help?,സഹായം ആവശ്യമുണ്ടോ?
Needs Attention,ശ്രദ്ധ ആവശ്യമാണ്
Never,Never
new activities,പുതിയ പ്രവർത്തനങ്ങൾ
New Activity,പുതിയ പ്രവർത്തനം
New activity,പുതിയ പ്രവർത്തനം
New Event,പുതിയ ഇവന്റ്
New index is required,പുതിയ ഇൻഡക്സ് ആവശ്യമാണ്
New Project,പുതിയ പ്രോജക്ട്
New tasks will auto-trail by default.,പുതിയ ടാസ്കുകൾ സ്ഥിരസ്ഥിതിയായി ഓട്ടോ-ട്രെയിൽ ചെയ്യും.
Newest First,ഏറ്റവും പുതിയത് ആദ്യം
Next,അടുത്തത്
Next 14 days,അടുത്ത 14 ദിവസങ്ങൾ
Next 30 days,അടുത്ത 30 ദിവസങ്ങൾ
Next 60 days,അടുത്ത 60 ദിവസങ്ങൾ
Next 7 days,അടുത്ത 7 ദിവസങ്ങൾ
Next 90 days,അടുത്ത 90 ദിവസങ്ങൾ
Next Week,അടുത്ത ആഴ്ച
Next:,അടുത്തത്:
No,ഇല്ല
No active assignments,സജീവ അസൈൻമെന്റുകൾ ഇല്ല
No active projects,സജീവ പ്രോജക്ടുകൾ ഇല്ല
No active timer found,സജീവ ടൈമർ കണ്ടെത്തിയില്ല
No activity selected,പ്രവർത്തനം തിരഞ്ഞെടുത്തിട്ടില്ല
No assignments found,അസൈൻമെന്റുകൾ കണ്ടെത്തിയില്ല
No attendees,പങ്കെടുക്കുന്നവർ ഇല്ല
no change,മാറ്റമില്ല
No changes for this field.,ഈ ഫീൽഡിൽ മാറ്റങ്ങളില്ല.
No changes recorded for this activity.,ഈ പ്രവർത്തനത്തിന് മാറ്റങ്ങൾ രേഖപ്പെടുത്തിയിട്ടില്ല.
No checklist items yet,ചെക്ക്‌ലിസ്റ്റ് ഇനങ്ങൾ ഇതുവരെ ഇല്ല
No checklist items yet.,ചെക്ക്‌ലിസ്റ്റ് ഇനങ്ങൾ ഇതുവരെ ഇല്ല.
No comments yet,ഇതുവരെ പോസ്റ്റ്
No comments yet.,അഭിപ്രായങ്ങൾ ഇതുവരെ ഇല്ല.
No contacts available,കോൺടാക്ടുകൾ ലഭ്യമല്ല
No content for this tab,ഈ ടാബിൽ ഉള്ളടക്കമില്ല
No data available,ഡാറ്റ ലഭ്യമല്ല
No data available for the selected filters,തിരഞ്ഞെടുത്ത ഫിൽട്ടറുകൾക്ക് ഡാറ്റ ലഭ്യമല്ല
No data to export,എക്‌സ്‌പോർട്ടുചെയ്യാൻ ഡാറ്റയൊന്നുമില്ല
No dates set,തീയതികൾ സജ്ജമാക്കിയിട്ടില്ല
No defects reported,തകരാറുകൾ റിപ്പോർട്ട് ചെയ്തിട്ടില്ല
No dependencies defined,ആശ്രിതത്വങ്ങൾ നിർവചിച്ചിട്ടില്ല
No description,വിവരണം ഇല്ല
No discussion yet.,ചർച്ച ഇതുവരെ ഇല്ല.
No documents attached,ഡോക്യുമെന്റുകൾ അറ്റാച്ച് ചെയ്തിട്ടില്ല
No due date,അവസാന തീയതി ഇല്ല
No employee linked to this resource,ഈ വിഭവത്തിലേക്ക് ജീവനക്കാരനെ ലിങ്ക് ചെയ്തിട്ടില്ല
No ERPNext employee linked to resource,വിഭവത്തിലേക്ക് ERPNext ജീവനക്കാരനെ ലിങ്ക് ചെയ്തിട്ടില്ല
No events found,ഇവന്റുകൾ കണ്ടെത്തിയില്ല
No files attached yet.,ഫയലുകൾ ഇതുവരെ അറ്റാച്ച് ചെയ്തിട്ടില്ല.
No Frappe Project linked,Frappe പ്രോജക്ട് ലിങ്ക് ചെയ്തിട്ടില്ല
No Grouping,ഗ്രൂപ്പിംഗ് ഇല്ല
No items,ഇനങ്ങൾ ഇല്ല
No matching tasks,പൊരുത്തപ്പെടുന്ന ടാസ്കുകൾ ഇല്ല
No matching tasks found,പൊരുത്തപ്പെടുന്ന ടാസ്കുകൾ കണ്ടെത്തിയില്ല
No migration history,മൈഗ്രേഷൻ ചരിത്രം ഇല്ല
No Milestone,നാഴികക്കല്ല് ഇല്ല
No milestones,നാഴികക്കല്ലുകൾ ഇല്ല
No milestones defined for this project.,ഈ പ്രോജക്ടിന് നാഴികക്കല്ലുകൾ നിർവചിച്ചിട്ടില്ല.
No notes yet.,കുറിപ്പുകൾ ഇതുവരെ ഇല്ല.
No notes yet. Add a due diligence note to track progress.,കുറിപ്പുകൾ ഇതുവരെ ഇല്ല. പുരോഗതി ട്രാക്ക് ചെയ്യാൻ ഒരു ഡ്യൂ ഡിലിജൻസ് കുറിപ്പ് ചേർക്കുക.
No notifications,അറിയിപ്പുകൾ ഇല്ല
No Orga Project linked to Frappe Project {0},Frappe പ്രോജക്ട് {0}-ലേക്ക് Orga പ്രോജക്ട് ലിങ്ക് ചെയ്തിട്ടില്ല
No overdue tasks,കാലഹരണപ്പെട്ട ടാസ്കുകൾ ഇല്ല
No pending cascade changes,തീർപ്പാക്കാത്ത കാസ്കേഡ് മാറ്റങ്ങൾ ഇല്ല
No predecessors - this task can start independently,മുൻഗാമികൾ ഇല്ല - ഈ ടാസ്ക് സ്വതന്ത്രമായി ആരംഭിക്കാം
No project,പ്രോജക്ട് ഇല്ല
No projects found,പ്രോജക്ടുകൾ കണ്ടെത്തിയില്ല
No Projects Yet,പ്രോജക്ടുകൾ ഇതുവരെ ഇല്ല
No recent activity,സമീപകാല പ്രവർത്തനം ഇല്ല
No related documents,ബന്ധപ്പെട്ട ഡോക്യുമെന്റുകൾ ഇല്ല
No resolved threads.,പരിഹരിച്ച ത്രെഡുകൾ ഇല്ല.
No resources found,വിഭവങ്ങൾ കണ്ടെത്തിയില്ല
No results found,ഫലങ്ങൾ കണ്ടെത്തിയില്ല
No skills listed,നൈപുണ്യങ്ങൾ ലിസ്റ്റ് ചെയ്തിട്ടില്ല
No skills recorded yet,നൈപുണ്യങ്ങൾ ഇതുവരെ രേഖപ്പെടുത്തിയിട്ടില്ല
No successors - no tasks are waiting for this one,പിൻഗാമികൾ ഇല്ല - ഈ ടാസ്കിനായി മറ്റ് ടാസ്കുകൾ കാത്തിരിക്കുന്നില്ല
No task selected,ടാസ്ക് തിരഞ്ഞെടുത്തിട്ടില്ല
No tasks assigned to you,നിങ്ങൾക്ക് അസൈൻ ചെയ്ത ടാസ്കുകൾ ഇല്ല
No tasks available to add,ചേർക്കാൻ ലഭ്യമായ ടാസ്കുകൾ ഇല്ല
No tasks found,ടാസ്കുകൾ കണ്ടെത്തിയില്ല
No tasks linked to this milestone,ഈ നാഴികക്കല്ലിലേക്ക് ലിങ്ക് ചെയ്ത ടാസ്കുകൾ ഇല്ല
No tasks with dates to display,പ്രദർശിപ്പിക്കാൻ തീയതികളുള്ള ടാസ്കുകൾ ഇല്ല
No tasks yet,ടാസ്കുകൾ ഇതുവരെ ഇല്ല
No team members,ടീം അംഗങ്ങൾ ഇല്ല
No template,ടെംപ്ലേറ്റ് ഇല്ല
No templates yet,ടെംപ്ലേറ്റുകൾ ഇതുവരെ ഇല്ല
No time data found,സമയ ഡാറ്റ കണ്ടെത്തിയില്ല
No time logged today,ഇന്ന് സമയം രേഖപ്പെടുത്തിയിട്ടില്ല
No time logged yet,സമയം ഇതുവരെ രേഖപ്പെടുത്തിയിട്ടില്ല
No time logs for this period,ഈ കാലയളവിൽ ടൈം ലോഗുകൾ ഇല്ല
No time logs found,ടൈം ലോഗുകൾ കണ്ടെത്തിയില്ല
No unread notifications,വായിക്കാത്ത അറിയിപ്പുകൾ ഇല്ല
No update information available yet.,No update information available yet.
None,ഒന്നുമില്ല
Not found,കാണ്മാനില്ല
Not permitted,അനുവദനീയമല്ല
Not permitted to access this project,ഈ പ്രോജക്ട് ആക്‌സസ് ചെയ്യാൻ അനുമതിയില്ല
Not permitted to access this task,ഈ ടാസ്ക് ആക്‌സസ് ചെയ്യാൻ അനുമതിയില്ല
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,ഈ ഡോക്യുമെന്റിൽ അഭിപ്രായം പറയാൻ അനുമതിയില്ല
Not permitted to create clients,ക്ലയന്റുകളെ സൃഷ്ടിക്കാൻ അനുമതിയില്ല
Not permitted to delete this client,ഈ ക്ലയന്റിനെ ഇല്ലാതാക്കാൻ അനുമതിയില്ല
Not permitted to delete this defect,ഈ തകരാർ ഇല്ലാതാക്കാൻ അനുമതിയില്ല
Not permitted to delete this note,ഈ കുറിപ്പ് ഇല്ലാതാക്കാൻ അനുമതിയില്ല
Not permitted to delete this project,ഈ പ്രോജക്ട് ഇല്ലാതാക്കാൻ അനുമതിയില്ല
Not permitted to delete this task,ഈ ടാസ്ക് ഇല്ലാതാക്കാൻ അനുമതിയില്ല
Not permitted to delete this time log,ഈ ടൈം ലോഗ് ഇല്ലാതാക്കാൻ അനുമതിയില്ല
Not permitted to invite clients,ക്ലയന്റുകളെ ക്ഷണിക്കാൻ അനുമതിയില്ല
Not permitted to modify client access,ക്ലയന്റ് ആക്‌സസ് പരിഷ്കരിക്കാൻ അനുമതിയില്ല
Not permitted to modify this project,ഈ പ്രോജക്ട് പരിഷ്കരിക്കാൻ അനുമതിയില്ല
Not permitted to update settings,ക്രമീകരണങ്ങൾ അപ്‌ഡേറ്റ് ചെയ്യാൻ അനുമതിയില്ല
Not permitted to update this client,ഈ ക്ലയന്റിനെ അപ്‌ഡേറ്റ് ചെയ്യാൻ അനുമതിയില്ല
Not permitted to view this client,ഈ ക്ലയന്റിനെ കാണാൻ അനുമതിയില്ല
not sent,അയച്ചിട്ടില്ല
Not set,സജ്ജമാക്കിയിട്ടില്ല
Not specified,വ്യക്തമാക്കിയിട്ടില്ല
Note,കുറിപ്പ്
Note (optional),കുറിപ്പ് (ഐച്ഛികം)
Note Content,കുറിപ്പ് ഉള്ളടക്കം
Note content is required,കുറിപ്പ് ഉള്ളടക്കം ആവശ്യമാണ്
Note name is required,കുറിപ്പ് പേര് ആവശ്യമാണ്
Note not found,കുറിപ്പ് കണ്ടെത്തിയില്ല
Note Type,കുറിപ്പ് തരം
Notes,കുറിപ്പുകൾ
Notification,അറിയിപ്പ്
Notification not found,അറിയിപ്പ് കണ്ടെത്തിയില്ല
Notifications,അറിയിപ്പുകൾ
Off Track,ട്രാക്കിൽ നിന്ന് മാറി
Offer,ഓഫർ
Offer Prepared,ഓഫർ തയ്യാറാക്കി
Oldest First,ഏറ്റവും പഴയത് ആദ്യം
On Hold,നിർത്തിവച്ചിരിക്കുന്നു
On Leave,അവധിയിൽ
On Track,ട്രാക്കിൽ
On-Time Rate,സമയനിഷ്ഠ നിരക്ക്
Only administrators can delete activities,അഡ്മിനിസ്ട്രേറ്റർമാർക്ക് മാത്രമേ പ്രവർത്തനങ്ങൾ ഇല്ലാതാക്കാൻ കഴിയൂ
Only the comment author or administrators can delete comments,അഭിപ്രായ രചയിതാവിനോ അഡ്മിനിസ്ട്രേറ്റർമാർക്കോ മാത്രമേ അഭിപ്രായങ്ങൾ ഇല്ലാതാക്കാൻ കഴിയൂ
Only you and admins,നിങ്ങളും അഡ്മിനുമാരും മാത്രം
Open,തുറക്കുക
Open in Desk,ഡെസ്കിൽ തുറക്കുക
Open Task Log,ടാസ്ക് ലോഗ് തുറക്കുക
Open Tasks,തുറന്ന ടാസ്കുകൾ
Optional,ഐച്ഛികം
optional,ഐച്ഛികം
Or email us directly at,അല്ലെങ്കിൽ നേരിട്ട് ഇമെയിൽ ചെയ്യുക
Orga Project {0} from Frappe Projects,Frappe പ്രോജക്ടുകളിൽ നിന്നുള്ള Orga പ്രോജക്ട് {0}
Orga Task {0} from Frappe,Frappe-യിൽ നിന്നുള്ള Orga ടാസ്ക് {0}
Organizer,സംഘാടകൻ
Other,മറ്റുള്ളവ
Over Budget,ബജറ്റ് കവിഞ്ഞു
Overall Progress,മൊത്തത്തിലുള്ള പുരോഗതി
Overall Utilization,മൊത്തത്തിലുള്ള ഉപയോഗം
Overallocated,അമിതമായി അനുവദിച്ചത്
Overdue,കാലഹരണപ്പെട്ടത്
overdue,കാലഹരണപ്പെട്ടത്
Overdue Tasks,കാലഹരണപ്പെട്ട ടാസ്കുകൾ
Overview,അവലോകനം
Owner,ഉടമ
Page Not Found,പേജ് കണ്ടെത്തിയില്ല
Parent,പേരന്റ്ഫോള്ഡര്
Parent comment must belong to the same document,മാതൃ അഭിപ്രായം അതേ ഡോക്യുമെന്റിന്റേതായിരിക്കണം
Parent comment not found,മാതൃ അഭിപ്രായം കണ്ടെത്തിയില്ല
Parent project not synced to Frappe yet,മാതൃ പ്രോജക്ട് ഇതുവരെ Frappe-ലേക്ക് സമന്വയിപ്പിച്ചിട്ടില്ല
Parent project sync not enabled,മാതൃ പ്രോജക്ട് സമന്വയം പ്രവർത്തനക്ഷമമല്ല
Partner,പങ്കാളി
Pending,തീർച്ചപ്പെടുത്തിയിട്ടില്ല
per page,ഓരോ പേജിലും
Perform initial assessment and background check,പ്രാഥമിക വിലയിരുത്തലും പശ്ചാത്തല പരിശോധനയും നടത്തുക
Permanently remove this event,ഈ ഇവന്റ് ശാശ്വതമായി നീക്കം ചെയ്യുക
Permanently remove this task,ഈ ടാസ്ക് ശാശ്വതമായി നീക്കം ചെയ്യുക
Phone,ഫോൺ
Pin,പിൻ ചെയ്യുക
Pin Activity,പ്രവർത്തനം പിൻ ചെയ്യുക
Pin to top,മുകളിൽ പിൻ ചെയ്യുക
Pinned,പിൻ ചെയ്തു
Planned budget for this task,ഈ ടാസ്കിനായി ആസൂത്രണം ചെയ്ത ബജറ്റ്
Planning,ആസൂത്രണം
Please describe your question or issue in detail...,നിങ്ങളുടെ ചോദ്യം അല്ലെങ്കിൽ പ്രശ്‌നം വിശദമായി വിവരിക്കുക...
Please login to access Orga,Orga ആക്‌സസ് ചെയ്യാൻ ദയവായി ലോഗിൻ ചെയ്യുക
Please login to access the client portal,ക്ലയന്റ് പോർട്ടൽ ആക്‌സസ് ചെയ്യാൻ ദയവായി ലോഗിൻ ചെയ്യുക
Please respond to this invitation in Orga,ദയവായി ഈ ക്ഷണത്തിന് Orga-ൽ മറുപടി നൽകുക
Please select an image file,ദയവായി ഒരു ചിത്ര ഫയൽ തിരഞ്ഞെടുക്കുക
Please try again,വീണ്ടും ശ്രമിക്കുക
Please type,ദയവായി ടൈപ്പ് ചെയ്യുക
Portal,പോർട്ടൽ
Portal access revoked for {0},{0}-ന്റെ പോർട്ടൽ ആക്‌സസ് റദ്ദാക്കി
Portal user created successfully. Welcome email {0},പോർട്ടൽ ഉപയോക്താവിനെ വിജയകരമായി സൃഷ്ടിച്ചു. സ്വാഗത ഇമെയിൽ {0}
Post,പോസ്റ്റുകൾ
Powered by,നൽകുന്നത്
Powered by Tonic,Tonic നൽകുന്നത്
Predecessors (Blocked By),മുൻഗാമികൾ (ബ്ലോക്ക് ചെയ്തത്)
Preferences,മുൻഗണനകൾ
Preferences saved successfully,മുൻഗണനകൾ വിജയകരമായി സേവ് ചെയ്തു
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)","സ്വയം ജനറേറ്റ് ചെയ്ത പ്രോജക്ട് കോഡുകൾക്കുള്ള പ്രിഫിക്സ് (ഉദാ., ORG-2026-0001)"
Prepare and document offer terms,ഓഫർ നിബന്ധനകൾ തയ്യാറാക്കുകയും ഡോക്യുമെന്റ് ചെയ്യുകയും ചെയ്യുക
Press,അമർത്തുക
Preview,പ്രിവ്യൂ
Preview cascade before applying,പ്രയോഗിക്കുന്നതിന് മുമ്പ് കാസ്കേഡ് പ്രിവ്യൂ ചെയ്യുക
Previous,മുമ്പത്തെ
Priority,മുൻഗണന
Priority assigned to new tasks,പുതിയ ടാസ്കുകൾക്ക് നൽകിയ മുൻഗണന
Priority updated,മുൻഗണന അപ്‌ഡേറ്റ് ചെയ്തു
Proficiency,പ്രാവീണ്യം
Profile,പ്രൊഫൈൽ
Progress,പുരോഗതി
Progress (High-Low),പുരോഗതി (ഉയർന്നത്-താഴ്ന്നത്)
Progress (Low-High),പുരോഗതി (താഴ്ന്നത്-ഉയർന്നത്)
Progress Overview,പുരോഗതി അവലോകനം
Progress updated,പുരോഗതി അപ്‌ഡേറ്റ് ചെയ്തു
Project,പ്രോജക്ട്
Project budget has been saved.,പ്രോജക്ട് ബജറ്റ് സേവ് ചെയ്തു.
Project code (e.g. ORG-2026-0001),പ്രോജക്ട് കോഡ് (ഉദാ. ORG-2026-0001)
Project Code Prefix,പ്രോജക്ട് കോഡ് പ്രിഫിക്സ്
Project created,പ്രോജക്ട് സൃഷ്ടിച്ചു
Project deleted,പ്രോജക്ട് ഇല്ലാതാക്കി
Project description has been saved.,പ്രോജക്ട് വിവരണം സേവ് ചെയ്തു.
Project Details,പ്രോജക്ട് വിശദാംശങ്ങൾ
Project end date has been saved.,പ്രോജക്ട് അവസാന തീയതി സേവ് ചെയ്തു.
Project Files,പ്രോജക്ട് ഫയലുകൾ
Project has no linked client,പ്രോജക്ടിന് ലിങ്ക് ചെയ്ത ക്ലയന്റ് ഇല്ല
Project Health,പ്രോജക്ട് ആരോഗ്യം
Project Info,പ്രോജക്ട് വിവരം
Project is required,പ്രോജക്ട് ആവശ്യമാണ്
Project is required for project context,പ്രോജക്ട് സന്ദർഭത്തിന് പ്രോജക്ട് ആവശ്യമാണ്
Project is required when tracking context is 'project',ട്രാക്കിംഗ് സന്ദർഭം 'project' ആയിരിക്കുമ്പോൾ പ്രോജക്ട് ആവശ്യമാണ്
Project Manager,പ്രോജക്ട് മാനേജർ
Project Name,പ്രോജക്ട് പേര്
Project name and template name are required,പ്രോജക്ട് പേരും ടെംപ്ലേറ്റ് പേരും ആവശ്യമാണ്
Project name is required,പ്രോജക്ട് പേര് ആവശ്യമാണ്
Project not found,പ്രോജക്ട് കണ്ടെത്തിയില്ല
Project not found or you do not have access,പ്രോജക്ട് കണ്ടെത്തിയില്ല അല്ലെങ്കിൽ നിങ്ങൾക്ക് ആക്‌സസ് ഇല്ല
Project settings,പ്രോജക്ട് ക്രമീകരണങ്ങൾ
Project start date has been saved.,പ്രോജക്ട് ആരംഭ തീയതി സേവ് ചെയ്തു.
Project title has been saved.,പ്രോജക്ട് ശീർഷകം സേവ് ചെയ്തു.
Project Type,പ്രോജക്ട് തരം
Project updated,പ്രോജക്ട് അപ്‌ഡേറ്റ് ചെയ്തു
Project {0} linked to client {1},പ്രോജക്ട് {0} ക്ലയന്റ് {1}-ലേക്ക് ലിങ്ക് ചെയ്തു
Project {0} not found,പ്രോജക്ട് {0} കണ്ടെത്തിയില്ല
Project {0} to Frappe Projects,പ്രോജക്ട് {0} Frappe പ്രോജക്ടുകളിലേക്ക്
Project:,പ്രോജക്ട്:
projects,പ്രോജക്ടുകൾ
Projects,പ്രോജക്ടുകൾ
Projects created:,സൃഷ്ടിച്ച പ്രോജക്ടുകൾ:
Projects Overview,പ്രോജക്ടുകൾ അവലോകനം
Projects skipped:,ഒഴിവാക്കിയ പ്രോജക്ടുകൾ:
Projects updated:,അപ്‌ഡേറ്റ് ചെയ്ത പ്രോജക്ടുകൾ:
Promote failed,പ്രമോട്ട് ചെയ്യൽ പരാജയപ്പെട്ടു
Promote to task,ടാസ്കായി പ്രമോട്ട് ചെയ്യുക
Promoted to task,ടാസ്കായി പ്രമോട്ട് ചെയ്തു
Propose,നിർദ്ദേശിക്കുക
Propose New Time,പുതിയ സമയം നിർദ്ദേശിക്കുക
Propose Time,സമയം നിർദ്ദേശിക്കുക
Proposed End,നിർദ്ദേശിച്ച അവസാനം
Proposed Start,നിർദ്ദേശിച്ച ആരംഭം
Public,പബ്ലിക്
Quick Action,ദ്രുത പ്രവർത്തനം
Quick Actions,ദ്രുത പ്രവർത്തനങ്ങൾ
Quick Stats,ദ്രുത സ്ഥിതിവിവരക്കണക്കുകൾ
Rates,നിരക്കുകൾ
Receive notifications via email,ഇമെയിൽ വഴി അറിയിപ്പുകൾ സ്വീകരിക്കുക
Receive notifications within the application,ആപ്ലിക്കേഷനിൽ അറിയിപ്പുകൾ സ്വീകരിക്കുക
Recent Activity,സമീപകാല പ്രവർത്തനം
Recipient {0} is not a valid user,സ്വീകർത്താവ് {0} സാധുവായ ഉപയോക്താവല്ല
Reference,റഫറൻസ്
Refresh,പുതുക്കുക
Related,ബന്ധപ്പെട്ടത്
Related Company (optional),ബന്ധപ്പെട്ട കമ്പനി (ഐച്ഛികം)
Related Documents,ബന്ധപ്പെട്ട ഡോക്യുമെന്റുകൾ
Related Project,ബന്ധപ്പെട്ട പ്രോജക്ട്
Remaining,ശേഷിക്കുന്നത്
Reminder,ഓർമ്മപ്പെടുത്തൽ
Reminder Lead Time,ഓർമ്മപ്പെടുത്തൽ ലീഡ് സമയം
Reminder: {0} - {1} at {2},ഓർമ്മപ്പെടുത്തൽ: {0} - {1} {2}-ൽ
Remove,നീക്കം
Remove dependency,ആശ്രിതത്വം നീക്കം ചെയ്യുക
Remove dependency on,ആശ്രിതത്വം നീക്കം ചെയ്യുക
Remove from group,ഗ്രൂപ്പിൽ നിന്ന് നീക്കം ചെയ്യുക
Remove group dependency,ഗ്രൂപ്പ് ആശ്രിതത്വം നീക്കം ചെയ്യുക
Remove skill,നൈപുണ്യം നീക്കം ചെയ്യുക
Reopen,വീണ്ടും തുറക്കുക
Reopen thread,ത്രെഡ് വീണ്ടും തുറക്കുക
reopened,വീണ്ടും തുറന്നു
replies,മറുപടികൾ
Reply,മറുപടി നൽകുക
reply,മറുപടി
