+ Add Milestone,+ Dodaj prekretnicu
Tasks assigned to you across all projects.,Zadaci dodijeljeni vama u svim projektima.
Tasks created:,Stvoreni zadaci:
Tasks from projects you manage.,Zadaci iz projekata kojima upravljate.
Tasks updated:,Ažurirani zadaci:
"Tasks, milestones, and dependencies have been created.","Zadaci, prekretnice i ovisnosti su stvoreni."
Tasks:,Zadaci:
TBD,Bit će određeno
Team,Tim
Team Members,Članovi tima
Template,Predložak
Template applied,Predložak primijenjen
Template data is required in import data,Podaci predloška su obavezni u uvozu podataka
Template has no data,Predložak nema podataka
Template Name,Naziv predloška
Template name,Naziv predloška
Template name is required,Naziv predloška je obavezan
Template name is required in import data,Naziv predloška je obavezan u uvozu podataka
Template saved,Predložak spremljen
Template updated successfully.,Predložak uspješno ažuriran.
Template {0} not found,Predložak {0} nije pronađen
Templates,Predlošci
Tentative,Okvirno
The comment has been deleted,Komentar je izbrisan
The project,Projekt
The source document may have been deleted.,Izvorni dokument je možda izbrisan.
The source document will not be affected.,Izvorni dokument neće biti pogođen.
The status of '{0}' was changed from {1} to {2}.,"Status „{0} promijenjen je s {1} na {2}."""
Theme,Tema
Theme preference,Postavka teme
This action,Ova radnja
This action cannot be undone.,Ova radnja se ne može poništiti.
This activity has been flagged for attention,Ova aktivnost je označena za pozornost
This is a reminder for your upcoming appointment,Ovo je podsjetnik za vaš nadolazeći sastanak
This method is only meant for developer mode,Ova metoda je namijenjena samo za razvojni način
This page wandered off,This page wandered off
This Week,Ovaj tjedan
This will delete all notes and preferences associated with this activity.,Ovo će izbrisati sve bilješke i postavke povezane s ovom aktivnošću.
This will import all Frappe Projects into Orga. Continue?,Ovo će uvesti sve Frappe projekte u Orga. Nastaviti?
This will permanently delete,Ovo će trajno izbrisati
This will permanently delete:,Ovo će trajno izbrisati:
Thu,Čet
Time,Vrijeme
Time & Billing,Vrijeme i naplata
Time & Revenue,Vrijeme i prihod
Time Entries,Zapisi vremena
Time log name is required,Naziv zapisa vremena je obavezan
Time Log not found,Zapis vremena nije pronađen
Time log {0} not found,Zapis vremena {0} nije pronađen
Time Logs,Zapisi vremena
Time Summary,Sažetak vremena
Time Tracking,Praćenje vremena
Timeline,Vremenska crta
Timer active on,Mjerač vremena aktivan na
Timer is not running,Mjerač vremena ne radi
Timer Running,Mjerač vremena radi
Timer running,Mjerač vremena radi
Timesheet DocType not available,DocType evidencije rada nije dostupan
Timesheets,Evidencije rada
Timezone,Vremenska zona
Timezone is detected from your browser,Vremenska zona je otkrivena iz vašeg preglednika
Title,Naslov
Title cannot exceed 255 characters,Naslov ne smije premašiti 255 znakova
Title is required,Naslov je obavezan
Title updated,Naslov ažuriran
To,Do
to,do
to cancel,za otkazivanje
to close,za zatvaranje
to confirm:,za potvrdu:
to edit,za uređivanje
"to save,","za spremanje,"
To Time cannot be before From Time,Vrijeme završetka ne može biti prije vremena početka
Today,Danas
today,danas
Toggle billable,Uključi/isključi naplativost
Toggle Details Panel,Uključi/isključi ploču pojedinosti
Toggle Manager Panel,Uključi/isključi ploču voditelja
Toggle Sidebar,Uključi/isključi bočnu traku
Tomorrow,Sutra
tomorrow,sutra
Total,Ukupno
Total Budget,Ukupni proračun
Total Contacts,Ukupno kontakata
Total Cost,Ukupni trošak
Total Cost to Org,Ukupni trošak za organizaciju
Total Defect Cost,Ukupni trošak nedostataka
Total Hours,Ukupno sati
Total Hours Logged,Ukupno zapisanih sati
Total Projects,Ukupno projekata
Total Spent,Ukupno potrošeno
Total Tasks,Ukupno zadataka
Total:,Ukupno:
Tracked,Praćeno
trails to today while Open at 0%,pomiče se do danas dok je Otvoreno na 0%
Tried:,Tried:
Try adjusting your filter criteria,Pokušajte prilagoditi kriterije filtra
Try adjusting your filters.,Pokušajte prilagoditi filtre.
Try Again,Pokušaj ponovo
Tue,Uto
Type,Vrsta
Type updated,Vrsta ažurirana
Type:,Vrsta:
Typical response time: 1-2 business days,Uobičajeno vrijeme odgovora: 1-2 radna dana
Unarchive,Vrati iz arhive
Unarchive Activity,Vrati aktivnost iz arhive
Unassign,Ukloni dodjelu
Unassigned,Nedodijeljeno
Under Budget,Unutar proračuna
Ungrouped,Negrupirano
Unknown,Nepoznato
Unknown error,Nepoznata greška
Unlink failed,Odspajanje neuspješno
Unlink task from milestone,Odspoji zadatak od prekretnice
Unpin,Odkvači
Unpin Activity,Odkvači aktivnost
Unread,Nepročitano
Unread only,Samo nepročitane
Until,Do
Up to Date,Up to Date
Upcoming,Nadolazeći
upcoming,nadolazeći
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,Ažuriranje neuspješno
Updated,Ažurirano
Updated successfully,Uspješno ažurirano
Updates,Updates
Upload,Prenesi
Upload failed,Prijenos neuspješan
Upload files below to attach them to this task.,Prenesite datoteke ispod za prilaganje ovom zadatku.
Upload to project,Prenesi u projekt
Uploading...,Prenošenje...
Urgent,Hitno
User {0} is already linked to client {1},Korisnik {0} je već povezan s klijentom {1}
User {0} is already linked to resource {1},Korisnik {0} je već povezan s resursom {1}
Utilization,Iskorištenost
Valid,Važeće
Value:,Vrijednost:
Variance,Odstupanje
Variance:,Odstupanje:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,Prikaz
View All,Prikaži sve
View all active projects,Prikaži sve aktivne projekte
View all open tasks,Prikaži sve otvorene zadatke
View overdue tasks,Prikaži zadatke koji kasne
View Release,View Release
Visibility,Vidljivost
Waiting for this task,Čeka na ovaj zadatak
Waits for:,Čeka na:
Warning: Resource {0} status is {1},Upozorenje: Status resursa {0} je {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,Upozorenje: Koristi se HTTP umjesto HTTPS. Podaci webhooka možda nisu sigurni.
Watch budget closely,Pažljivo pratite proračun
We'll respond to:,Odgovorit ćemo na:
Webhook deleted,Webhook izbrisan
Webhook name is required,Naziv webhooka je obavezan
Webhook not found,Webhook nije pronađen
Webhook URL is required,URL webhooka je obavezan
Webhook URL must start with http:// or https://,URL webhooka mora počinjati s http:// ili https://
Wed,Sri
Week,Tjedan
Weekend,Vikend
Weekly Capacity,Tjedni kapacitet
weekly capacity,tjedni kapacitet
Weekly Capacity (h),Tjedni kapacitet (h)
Welcome,Dobrodošli
Welcome back!,Dobrodošli natrag!
Welcome to Orga,Dobrodošli u Orga
What are you working on?,Na čemu radite?
What did you work on?,Na čemu ste radili?
When,Kada
When work begins,Kada rad počinje
When work is due,Kada je rok za rad
Where,Gdje
Will capture:,Uhvatit će:
Will create:,Stvorit će:
with checklist items,sa stavkama kontrolnog popisa
Working,U radu
Workload,Opterećenje
Workmanship,Kvaliteta izrade
Write a comment...,Napišite komentar...
Write a comment... Use @name to mention (Ctrl+Enter to send),Napišite komentar... Koristite @ime za spominjanje (Ctrl+Enter za slanje)
Year,Godina
Yes,Da
Yesterday,Jučer
yesterday,jučer
You are not an attendee of this appointment,Niste sudionik ovog sastanka
You are not linked to any resource,Niste povezani s nijednim resursom
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,Možete brisati samo vlastite komentare
You can only delete your own reactions,Možete brisati samo vlastite reakcije
You do not have access to the client portal. Please contact support.,Nemate pristup klijentskom portalu. Molimo obratite se podršci.
You have already reacted with '{0}',"Već ste reagirali s „{0}""
You have been assigned to task '{0}' in project '{1}'."""
You have been assigned to task '{0}' in project '{1}'.,Dodijeljeni ste zadatku '{0}' u projektu '{1}'.
You have been assigned to: {0},Dodijeljeni ste: {0}
You have been invited to the following appointment,Pozvani ste na sljedeći sastanak
You have no tasks assigned to you right now.,Trenutno nemate dodijeljenih zadataka.
You were mentioned in {0},Spomenuti ste u {0}
Your attendance,Vaša prisutnost
Your comment has been posted,Vaš komentar je objavljen
Your Projects,Vaši projekti
Your projects will appear here once they're assigned to you.,Vaši projekti pojavit će se ovdje nakon što vam budu dodijeljeni.
Your Response,Vaš odgovor
Your RSVP,Vaš RSVP
Your support request has been submitted successfully.,Vaš zahtjev za podršku je uspješno poslan.
Your support request has been submitted successfully. We'll get back to you shortly.,Vaš zahtjev za podršku je uspješno poslan. Javit ćemo vam se uskoro.
"Your task ""{0}"" is no longer blocked and can now be started.","Vaš zadatak „{0} više nije blokiran i sada može započeti."""
{0} is required,{0} je obavezno
{0} new activities,{0} novih aktivnosti
{0} of {1} completed,{0} od {1} dovršeno
{0} projects already migrated (will be skipped or updated),{0} projekata već migrirano (bit će preskočeni ili ažurirani)
{0} status changed to {1},Status {0} promijenjen u {1}
{0} tasks remaining,{0} preostalih zadataka
{0} tasks without projects will be skipped,{0} zadataka bez projekta bit će preskočeno
{0} {1} not found,{0} {1} nije pronađeno
