+ Add Milestone,+ टप्पा जोडा
Show Archived,संग्रहित दाखवा
Show full diff,पूर्ण फरक दाखवा
Show less,कमी दाखवा
Show more,अधिक दाखवा
Skill added,कौशल्य जोडले
Skill is required,कौशल्य आवश्यक आहे
Skill Name,कौशल्याचे नाव
Skill removed,कौशल्य काढले
Skill {0} already exists for this resource,कौशल्य {0} या संसाधनासाठी आधीच अस्तित्वात आहे
Skills,कौशल्ये
Skills & Competencies,कौशल्ये आणि सामर्थ्ये
Skip already migrated projects,आधीच स्थलांतरित प्रकल्प वगळा
Sort by,यानुसार क्रमवारी
Sort: Due Date,क्रमवारी: देय तारीख
Sort: Priority,क्रमवारी: प्राधान्य
Sort: Project,क्रमवारी: प्रकल्प
Sort: Status,क्रमवारी: स्थिती
Sort: Task,क्रमवारी: काम
Source Code,स्रोत कोड
Spent,खर्च केलेले
Spent:,खर्च:
SS (Start-Start),SS (सुरुवात-सुरुवात)
SS - Start-to-Start,SS - सुरुवात-ते-सुरुवात
Standalone,स्वतंत्र
Start,सुरुवात
Start a discussion below,खाली चर्चा सुरू करा
Start Date,सुरुवातीची तारीख
Start date,सुरुवातीची तारीख
Start Date (Earliest),सुरुवातीची तारीख (सर्वात जवळची)
Start date updated,सुरुवातीची तारीख अद्यतनित
Start date/time is required,सुरुवातीची तारीख/वेळ आवश्यक आहे
Start Migration,स्थलांतर सुरू करा
Start the conversation below.,खाली संवाद सुरू करा.
Start Timer,टाइमर सुरू करा
Start typing to search...,शोधण्यासाठी टाइप करायला सुरुवात करा...
Start-to-Finish,सुरुवात-ते-शेवट
Start-to-Start,सुरुवात-ते-सुरुवात
Start:,सुरुवात:
Statistics reset,आकडेवारी रीसेट
Status,स्थिती
Status assigned to new projects,नवीन प्रकल्पांना दिलेली स्थिती
Status assigned to new tasks,नवीन कामांना दिलेली स्थिती
Status Changes,स्थिती बदल
Status updated,स्थिती अद्यतनित
Status:,स्थिती:
Stop,थांबा
Stop & Save,थांबा आणि जतन करा
Stop Timer,टाइमर थांबवा
Stops current timer and starts for this event,सध्याचा टाइमर थांबवतो आणि या कार्यक्रमासाठी सुरू करतो
Stops current timer and starts for this task,सध्याचा टाइमर थांबवतो आणि या कामासाठी सुरू करतो
Subject,विषय
Subject cannot exceed 255 characters,विषय 255 अक्षरांपेक्षा जास्त असू शकत नाही
Subject is required,विषय आवश्यक आहे
Submit,सबमिट करा
Submit Another Request,आणखी एक विनंती सबमिट करा
Submit Request,विनंती सबमिट करा
Submitting...,सबमिट करत आहे...
Successfully saved,यशस्वीरित्या जतन केले
Successors (Blocking),उत्तराधिकारी (अवरोधित करत आहे)
Sun,रवि
Supplier,पुरवठादार
Support,सहाय्य
Switch to this event,या कार्यक्रमावर जा
Switch to this task,या कामावर जा
Sync direction is set to Frappe to Orga only,सिंक दिशा फक्त Frappe ते Orga सेट आहे
Sync direction is set to Orga to Frappe only,सिंक दिशा फक्त Orga ते Frappe सेट आहे
Sync not enabled for this project,या प्रकल्पासाठी सिंक सक्षम नाही
System,सिस्टम
Table,तक्ता
Take ownership of this task,या कामाची जबाबदारी घ्या
Target Date,लक्ष्य तारीख
Target End,लक्ष्य शेवट
Target Project,लक्ष्य प्रकल्प
Target user is required for '{0}' action,'{0}' कृतीसाठी लक्ष्य वापरकर्ता आवश्यक आहे
Task,काम
task,काम
Task '{0}' is due on {1}.,काम '{0}' {1} रोजी देय आहे.
Task and resource are required,काम आणि संसाधन आवश्यक आहे
Task Assignment,काम नेमणूक
Task cannot be its own parent,काम स्वतःचे मूळ असू शकत नाही
Task cannot depend on itself,काम स्वतःवर अवलंबून असू शकत नाही
Task cannot depend on the group it belongs to,काम ज्या गटात आहे त्यावर अवलंबून असू शकत नाही
Task created,काम तयार केले
Task deleted,काम हटवले
Task description has been saved.,कामाचे वर्णन जतन केले.
Task Details,काम तपशील
Task due in {0} days: {1},{0} दिवसांत काम देय: {1}
Task due today: {0},आज देय काम: {0}
Task due tomorrow: {0},उद्या देय काम: {0}
Task duplicated,काम डुप्लिकेट केले
Task Group,काम गट
Task ID is required,काम आयडी आवश्यक आहे
Task is blocked by incomplete dependencies,काम अपूर्ण अवलंबित्वांमुळे अवरोधित आहे
Task is cancelled,काम रद्द आहे
Task is completed,काम पूर्ण आहे
Task is no longer blocked by a group,काम आता गटाने अवरोधित नाही
Task is required for task context,काम संदर्भासाठी काम आवश्यक आहे
Task is required when tracking context is 'task',ट्रॅकिंग संदर्भ 'task' असताना काम आवश्यक आहे
Task linked,काम जोडले
Task moved,काम हलवले
Task name,कामाचे नाव
Task name is required,कामाचे नाव आवश्यक आहे
Task removed from group,गटातून काम काढले
Task Subject,काम विषय
Task subject is required,कामाचा विषय आवश्यक आहे
Task Type,काम प्रकार
Task unblocked: {0},काम अनवरोधित: {0}
Task unlinked,काम वेगळे केले
Task updated,काम अद्यतनित
Task {0} not found,काम {0} सापडले नाही
Task {0} not in project {1},काम {0} प्रकल्प {1} मध्ये नाही
Task {0} to Frappe,काम {0} Frappe मध्ये
Tasks,कामे
tasks,कामे
Tasks and milestones will be created with dates relative to the project start date.,कामे आणि टप्पे प्रकल्पाच्या सुरुवातीच्या तारखेच्या सापेक्ष तारखांसह तयार होतील.
Tasks assigned to you across all projects.,सर्व प्रकल्पांमध्ये तुम्हाला नेमलेली कामे.
Tasks created:,कामे तयार केली:
Tasks from projects you manage.,तुम्ही व्यवस्थापित करत असलेल्या प्रकल्पांतील कामे.
Tasks updated:,कामे अद्यतनित:
"Tasks, milestones, and dependencies have been created.","कामे, टप्पे आणि अवलंबित्वे तयार केली."
Tasks:,कामे:
TBD,ठरवायचे आहे
Team,टीम
Team Members,टीम सदस्य
Template,टेम्पलेट
Template applied,टेम्पलेट लागू केले
Template data is required in import data,आयात डेटामध्ये टेम्पलेट डेटा आवश्यक आहे
Template has no data,टेम्पलेटमध्ये डेटा नाही
Template Name,टेम्पलेटचे नाव
Template name,टेम्पलेटचे नाव
Template name is required,टेम्पलेटचे नाव आवश्यक आहे
Template name is required in import data,आयात डेटामध्ये टेम्पलेटचे नाव आवश्यक आहे
Template saved,टेम्पलेट जतन केले
Template updated successfully.,टेम्पलेट यशस्वीरित्या अद्यतनित केले.
Template {0} not found,टेम्पलेट {0} सापडले नाही
Templates,टेम्पलेट्स
Tentative,तात्पुरते
The comment has been deleted,प्रतिक्रिया हटवली गेली
The project,प्रकल्प
The source document may have been deleted.,मूळ दस्तऐवज हटवला गेला असू शकतो.
The source document will not be affected.,मूळ दस्तऐवजावर परिणाम होणार नाही.
The status of '{0}' was changed from {1} to {2}.,'{0}' ची स्थिती {1} वरून {2} मध्ये बदलली.
Theme,थीम
Theme preference,थीम प्राधान्य
This action,ही कृती
This action cannot be undone.,ही कृती पूर्ववत करता येणार नाही.
This activity has been flagged for attention,ही हालचाल लक्ष वेधण्यासाठी ध्वजांकित केली आहे
This is a reminder for your upcoming appointment,हे तुमच्या आगामी भेटीसाठी स्मरणपत्र आहे
This method is only meant for developer mode,ही पद्धत फक्त डेव्हलपर मोडसाठी आहे
This page wandered off,This page wandered off
This Week,हा आठवडा
This will delete all notes and preferences associated with this activity.,हे या हालचालीशी संबंधित सर्व टिपा आणि प्राधान्ये हटवेल.
This will import all Frappe Projects into Orga. Continue?,हे सर्व Frappe Projects Orga मध्ये आयात करेल. सुरू ठेवायचे?
This will permanently delete,हे कायमचे हटवेल
This will permanently delete:,हे कायमचे हटवेल:
Thu,गुरु
Time,वेळ
Time & Billing,वेळ आणि बिलिंग
Time & Revenue,वेळ आणि महसूल
Time Entries,वेळ नोंदी
Time log name is required,वेळ नोंदीचे नाव आवश्यक आहे
Time Log not found,वेळ नोंद सापडली नाही
Time log {0} not found,वेळ नोंद {0} सापडली नाही
Time Logs,वेळ नोंदी
Time Summary,वेळ सारांश
Time Tracking,वेळ ट्रॅकिंग
Timeline,टाइमलाइन
Timer active on,टाइमर सक्रिय आहे
Timer is not running,टाइमर चालू नाही
Timer Running,टाइमर चालू आहे
Timer running,टाइमर चालू आहे
Timesheet DocType not available,टाइमशीट DocType उपलब्ध नाही
Timesheets,टाइमशीट्स
Timezone,टाइमझोन
Timezone is detected from your browser,टाइमझोन तुमच्या ब्राउझरवरून शोधले
Title,शीर्षक
Title cannot exceed 255 characters,शीर्षक 255 अक्षरांपेक्षा जास्त असू शकत नाही
Title is required,शीर्षक आवश्यक आहे
Title updated,शीर्षक अद्यतनित
To,पर्यंत
to,पर्यंत
to cancel,रद्द करण्यासाठी
to close,बंद करण्यासाठी
to confirm:,पुष्टी करण्यासाठी:
to edit,संपादित करण्यासाठी
"to save,","जतन करण्यासाठी,"
To Time cannot be before From Time,शेवटची वेळ सुरुवातीच्या वेळेपूर्वी असू शकत नाही
Today,आज
today,आज
Toggle billable,बिलयोग्य टॉगल करा
Toggle Details Panel,तपशील पॅनेल टॉगल करा
Toggle Manager Panel,व्यवस्थापक पॅनेल टॉगल करा
Toggle Sidebar,साइडबार टॉगल करा
Tomorrow,उद्या
tomorrow,उद्या
Total,एकूण
Total Budget,एकूण अंदाजपत्रक
Total Contacts,एकूण संपर्क
Total Cost,एकूण खर्च
Total Cost to Org,संस्थेला एकूण खर्च
Total Defect Cost,एकूण दोष खर्च
Total Hours,एकूण तास
Total Hours Logged,एकूण नोंदवलेले तास
Total Projects,एकूण प्रकल्प
Total Spent,एकूण खर्च
Total Tasks,एकूण कामे
Total:,एकूण:
Tracked,ट्रॅक केलेले
trails to today while Open at 0%,0% वर उघडे असताना आजपर्यंत सरकते
Tried:,Tried:
Try adjusting your filter criteria,तुमचे फिल्टर निकष समायोजित करून पहा
Try adjusting your filters.,तुमचे फिल्टर समायोजित करून पहा.
Try Again,पुन्हा प्रयत्न करा
Tue,मंगळ
Type,प्रकार
Type updated,प्रकार अद्यतनित
Type:,प्रकार:
Typical response time: 1-2 business days,सामान्य प्रतिसाद वेळ: 1-2 कामकाजाचे दिवस
Unarchive,असंग्रहित करा
Unarchive Activity,हालचाल असंग्रहित करा
Unassign,नेमणूक काढा
Unassigned,नेमणूक नाही
Under Budget,अंदाजपत्रकात
Ungrouped,गट नसलेले
Unknown,अज्ञात
Unknown error,अज्ञात त्रुटी
Unlink failed,वेगळे करणे अयशस्वी
Unlink task from milestone,टप्प्यातून काम वेगळे करा
Unpin,अनपिन करा
Unpin Activity,हालचाल अनपिन करा
Unread,न वाचलेले
Unread only,फक्त न वाचलेले
Until,पर्यंत
Up to Date,Up to Date
Upcoming,आगामी
upcoming,आगामी
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,अद्यतन अयशस्वी
Updated,अद्यतनित
Updated successfully,यशस्वीरित्या अद्यतनित
Updates,Updates
Upload,अपलोड करा
Upload failed,अपलोड अयशस्वी
Upload files below to attach them to this task.,या कामाला जोडण्यासाठी खाली फाइल्स अपलोड करा.
Upload to project,प्रकल्पात अपलोड करा
Uploading...,अपलोड करत आहे...
Urgent,तातडीचे
User {0} is already linked to client {1},वापरकर्ता {0} आधीच ग्राहक {1} शी जोडलेला आहे
User {0} is already linked to resource {1},वापरकर्ता {0} आधीच संसाधन {1} शी जोडलेला आहे
Utilization,वापर
Valid,वैध
Value:,मूल्य:
Variance,विचलन
Variance:,विचलन:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,पहा
View All,सर्व पहा
View all active projects,सर्व सक्रिय प्रकल्प पहा
View all open tasks,सर्व उघडी कामे पहा
View overdue tasks,विलंबित कामे पहा
View Release,View Release
Visibility,दृश्यमानता
Waiting for this task,या कामाची वाट पाहत आहे
Waits for:,याची वाट पाहत आहे:
Warning: Resource {0} status is {1},चेतावणी: संसाधन {0} ची स्थिती {1} आहे
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,चेतावणी: HTTPS ऐवजी HTTP वापरत आहे. Webhook डेटा सुरक्षित नसू शकतो.
Watch budget closely,अंदाजपत्रकावर बारकाईने लक्ष ठेवा
We'll respond to:,आम्ही याला उत्तर देऊ:
Webhook deleted,Webhook हटवले
Webhook name is required,Webhook चे नाव आवश्यक आहे
Webhook not found,Webhook सापडले नाही
Webhook URL is required,Webhook URL आवश्यक आहे
Webhook URL must start with http:// or https://,Webhook URL http:// किंवा https:// ने सुरू होणे आवश्यक आहे
Wed,बुध
Week,आठवडा
Weekend,शनिवार-रविवार
Weekly Capacity,साप्ताहिक क्षमता
weekly capacity,साप्ताहिक क्षमता
Weekly Capacity (h),साप्ताहिक क्षमता (ता)
Welcome,स्वागत
Welcome back!,पुन्हा स्वागत!
Welcome to Orga,Orga मध्ये स्वागत
What are you working on?,तुम्ही कशावर काम करत आहात?
What did you work on?,तुम्ही कशावर काम केले?
When,केव्हा
When work begins,काम सुरू होते तेव्हा
When work is due,काम देय असते तेव्हा
Where,कुठे
Will capture:,कॅप्चर करेल:
Will create:,तयार करेल:
with checklist items,चेकलिस्ट आयटमसह
Working,काम करत आहे
Workload,कामाचा भार
Workmanship,कारागिरी
Write a comment...,प्रतिक्रिया लिहा...
Write a comment... Use @name to mention (Ctrl+Enter to send),प्रतिक्रिया लिहा... उल्लेख करण्यासाठी @नाव वापरा (पाठवण्यासाठी Ctrl+Enter)
Year,वर्ष
Yes,होय
Yesterday,काल
yesterday,काल
You are not an attendee of this appointment,तुम्ही या भेटीचे सहभागी नाहीत
You are not linked to any resource,तुम्ही कोणत्याही संसाधनाशी जोडलेले नाहीत
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,तुम्ही फक्त तुमच्या स्वतःच्या प्रतिक्रिया हटवू शकता
You can only delete your own reactions,तुम्ही फक्त तुमच्या स्वतःच्या प्रतिक्रिया हटवू शकता
You do not have access to the client portal. Please contact support.,तुम्हाला ग्राहक पोर्टलमध्ये प्रवेश नाही. कृपया सहाय्याशी संपर्क करा.
You have already reacted with '{0}',तुम्ही आधीच '{0}' ने प्रतिक्रिया दिली आहे
You have been assigned to task '{0}' in project '{1}'.,तुम्हाला प्रकल्प '{1}' मधील काम '{0}' नेमले गेले आहे.
You have been assigned to: {0},तुम्हाला नेमले गेले आहे: {0}
You have been invited to the following appointment,तुम्हाला पुढील भेटीसाठी आमंत्रित केले आहे
You have no tasks assigned to you right now.,तुम्हाला सध्या कोणतीही कामे नेमलेली नाहीत.
You were mentioned in {0},तुमचा {0} मध्ये उल्लेख केला गेला
Your attendance,तुमची उपस्थिती
Your comment has been posted,तुमची प्रतिक्रिया पोस्ट केली गेली
Your Projects,तुमचे प्रकल्प
Your projects will appear here once they're assigned to you.,तुमचे प्रकल्प तुम्हाला नेमल्यावर येथे दिसतील.
Your Response,तुमचे उत्तर
Your RSVP,तुमचे RSVP
Your support request has been submitted successfully.,तुमची सहाय्य विनंती यशस्वीरित्या सबमिट केली गेली.
Your support request has been submitted successfully. We'll get back to you shortly.,तुमची सहाय्य विनंती यशस्वीरित्या सबमिट केली गेली. आम्ही लवकरच तुम्हाला उत्तर देऊ.
"Your task ""{0}"" is no longer blocked and can now be started.","तुमचे काम ""{0}"" आता अवरोधित नाही आणि सुरू करता येते."
{0} is required,{0} आवश्यक आहे
{0} new activities,{0} नवीन हालचाली
{0} of {1} completed,{1} पैकी {0} पूर्ण
{0} projects already migrated (will be skipped or updated),{0} प्रकल्प आधीच स्थलांतरित (वगळले जातील किंवा अद्यतनित होतील)
{0} status changed to {1},{0} ची स्थिती {1} मध्ये बदलली
{0} tasks remaining,{0} कामे उरली
{0} tasks without projects will be skipped,{0} प्रकल्प नसलेली कामे वगळली जातील
{0} {1} not found,{0} {1} सापडले नाही
