+ Add Milestone,+ Aggiungi traguardo
Webhook URL is required,L'URL del webhook è obbligatorio
Webhook URL must start with http:// or https://,L'URL del webhook deve iniziare con http:// o https://
Wed,Mer
Week,Settimana
Weekend,Fine settimana
Weekly Capacity,Capacità settimanale
weekly capacity,capacità settimanale
Weekly Capacity (h),Capacità settimanale (h)
Welcome,Benvenuto
Welcome back!,Bentornato!
Welcome to Orga,Benvenuto in Orga
What are you working on?,Su cosa state lavorando?
What did you work on?,Su cosa avete lavorato?
When,Quando
When work begins,Quando il lavoro inizia
When work is due,Quando il lavoro è in scadenza
Where,Dove
Will capture:,Catturerà:
Will create:,Creerà:
with checklist items,con gli elementi della lista di controllo
Working,In corso
Workload,Carico di lavoro
Workmanship,Qualità della manodopera
Write a comment...,Scrivere un commento...
Write a comment... Use @name to mention (Ctrl+Enter to send),Scrivere un commento... Usate @nome per menzionare (Ctrl+Invio per inviare)
Year,Anno
Yes,Sì
Yesterday,Ieri
yesterday,ieri
You are not an attendee of this appointment,Non siete un partecipante di questo appuntamento
You are not linked to any resource,Non siete collegati a nessuna risorsa
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,Potete eliminare solo i vostri commenti
You can only delete your own reactions,Potete eliminare solo le vostre reazioni
You do not have access to the client portal. Please contact support.,Non avete accesso al portale clienti. Contattate il supporto.
You have already reacted with '{0}',Avete già reagito con «{0}»
You have been assigned to task '{0}' in project '{1}'.,Vi è stata assegnata l'attività «{0}» nel progetto «{1}».
You have been assigned to: {0},Vi è stato assegnato: {0}
You have been invited to the following appointment,Siete stati invitati al seguente appuntamento
You have no tasks assigned to you right now.,Non avete nessuna attività assegnata al momento.
You were mentioned in {0},Siete stati menzionati in {0}
Your attendance,La vostra partecipazione
Your comment has been posted,Il vostro commento è stato pubblicato
Your Projects,I vostri progetti
Your projects will appear here once they're assigned to you.,I vostri progetti appariranno qui una volta che vi saranno assegnati.
Your Response,La vostra risposta
Your RSVP,Il vostro RSVP
Your support request has been submitted successfully.,La vostra richiesta di supporto è stata inviata con successo.
Your support request has been submitted successfully. We'll get back to you shortly.,La vostra richiesta di supporto è stata inviata con successo. Vi risponderemo al più presto.
"Your task ""{0}"" is no longer blocked and can now be started.",La vostra attività «{0}» non è più bloccata e può essere avviata.
{0} is required,{0} è obbligatorio
{0} new activities,{0} nuove attività
{0} of {1} completed,{0} di {1} completato/i
{0} projects already migrated (will be skipped or updated),{0} progetti già migrati (saranno saltati o aggiornati)
{0} status changed to {1},Lo stato di {0} è stato modificato in {1}
{0} tasks remaining,{0} attività rimanenti
{0} tasks without projects will be skipped,{0} attività senza progetto saranno saltate
{0} {1} not found,{0} {1} non trovato
