+ Add Milestone,+ ເພີ່ມຈຸດໝາຍ
Next 90 days,90 ມື້ຖັດໄປ
Next Week,ອາທິດໜ້າ
Next:,ຖັດໄປ:
No,ບໍ່
No active assignments,ບໍ່ມີການມອບໝາຍທີ່ເປີດໃຊ້ງານ
No active projects,ບໍ່ມີໂຄງການທີ່ເປີດໃຊ້ງານ
No active timer found,ບໍ່ພົບໂມງຈັບເວລາທີ່ເປີດໃຊ້ງານ
No activity selected,ບໍ່ໄດ້ເລືອກກິດຈະກຳ
No assignments found,ບໍ່ພົບການມອບໝາຍ
No attendees,ບໍ່ມີຜູ້ເຂົ້າຮ່ວມ
no change,ບໍ່ມີການປ່ຽນແປງ
No changes for this field.,ບໍ່ມີການປ່ຽນແປງສຳລັບຊ່ອງນີ້.
No changes recorded for this activity.,ບໍ່ມີການປ່ຽນແປງທີ່ບັນທຶກໄວ້ສຳລັບກິດຈະກຳນີ້.
No checklist items yet,ຍັງບໍ່ມີລາຍການກວດກາ
No checklist items yet.,ຍັງບໍ່ມີລາຍການກວດກາ.
No comments yet,ຍັງບໍ່ມີຄຳເຫັນ
No comments yet.,ຍັງບໍ່ມີຄຳເຫັນ.
No contacts available,ບໍ່ມີຜູ້ຕິດຕໍ່ທີ່ພ້ອມ
No content for this tab,ບໍ່ມີເນື້ອໃນສຳລັບແຖບນີ້
No data available,ບໍ່ມີຂໍ້ມູນ
No data available for the selected filters,ບໍ່ມີຂໍ້ມູນສຳລັບຕົວກອງທີ່ເລືອກ
No data to export,ບໍ່ມີຂໍ້ມູນສຳລັບສົ່ງອອກ
No dates set,ຍັງບໍ່ໄດ້ຕັ້ງວັນທີ
No defects reported,ບໍ່ມີຂໍ້ບົກພ່ອງທີ່ລາຍງານ
No dependencies defined,ບໍ່ມີການເພິ່ງພາທີ່ກຳນົດ
No description,ບໍ່ມີລາຍລະອຽດ
No discussion yet.,ຍັງບໍ່ມີການສົນທະນາ.
No documents attached,ບໍ່ມີເອກະສານແນບ
No due date,ບໍ່ມີວັນທີກຳນົດ
No employee linked to this resource,ບໍ່ມີພະນັກງານເຊື່ອມຕໍ່ກັບຊັບພະຍາກອນນີ້
No ERPNext employee linked to resource,ບໍ່ມີພະນັກງານ ERPNext ເຊື່ອມຕໍ່ກັບຊັບພະຍາກອນ
No events found,ບໍ່ພົບເຫດການ
No files attached yet.,ຍັງບໍ່ໄດ້ແນບໄຟລ໌.
No Frappe Project linked,ບໍ່ມີ Frappe Project ທີ່ເຊື່ອມຕໍ່
No Grouping,ບໍ່ຈັດກຸ່ມ
No items,ບໍ່ມີລາຍການ
No matching tasks,ບໍ່ມີໜ້າວຽກທີ່ກົງກັນ
No matching tasks found,ບໍ່ພົບໜ້າວຽກທີ່ກົງກັນ
No migration history,ບໍ່ມີປະຫວັດການຍ້າຍຂໍ້ມູນ
No Milestone,ບໍ່ມີຈຸດໝາຍ
No milestones,ບໍ່ມີຈຸດໝາຍ
No milestones defined for this project.,ບໍ່ມີຈຸດໝາຍທີ່ກຳນົດສຳລັບໂຄງການນີ້.
No notes yet.,ຍັງບໍ່ມີບັນທຶກ.
No notes yet. Add a due diligence note to track progress.,ຍັງບໍ່ມີບັນທຶກ. ເພີ່ມບັນທຶກກວດສອບຄວາມຮອບຄອບເພື່ອຕິດຕາມຄວາມຄືບໜ້າ.
No notifications,ບໍ່ມີການແຈ້ງເຕືອນ
No Orga Project linked to Frappe Project {0},ບໍ່ມີ Orga Project ເຊື່ອມຕໍ່ກັບ Frappe Project {0}
No overdue tasks,ບໍ່ມີໜ້າວຽກທີ່ເກີນກຳນົດ
No pending cascade changes,ບໍ່ມີການປ່ຽນແປງການສືບທອດທີ່ຄ້າງ
No predecessors - this task can start independently,ບໍ່ມີໜ້າວຽກກ່ອນໜ້າ - ໜ້າວຽກນີ້ສາມາດເລີ່ມຕົ້ນໄດ້ດ້ວຍຕົນເອງ
No project,ບໍ່ມີໂຄງການ
No projects found,ບໍ່ພົບໂຄງການ
No Projects Yet,ຍັງບໍ່ມີໂຄງການ
No recent activity,ບໍ່ມີກິດຈະກຳຫຼ້າສຸດ
No related documents,ບໍ່ມີເອກະສານທີ່ກ່ຽວຂ້ອງ
No resolved threads.,ບໍ່ມີກະທູ້ທີ່ແກ້ໄຂແລ້ວ.
No resources found,ບໍ່ພົບຊັບພະຍາກອນ
No results found,ບໍ່ພົບຜົນຮັບ
No skills listed,ບໍ່ມີທັກສະລະບຸ
No skills recorded yet,ຍັງບໍ່ໄດ້ບັນທຶກທັກສະ
No successors - no tasks are waiting for this one,ບໍ່ມີໜ້າວຽກຕໍ່ໄປ - ບໍ່ມີໜ້າວຽກລໍຖ້າໜ້າວຽກນີ້
No task selected,ບໍ່ໄດ້ເລືອກໜ້າວຽກ
No tasks assigned to you,ບໍ່ມີໜ້າວຽກທີ່ມອບໝາຍໃຫ້ທ່ານ
No tasks available to add,ບໍ່ມີໜ້າວຽກທີ່ພ້ອມເພີ່ມ
No tasks found,ບໍ່ພົບໜ້າວຽກ
No tasks linked to this milestone,ບໍ່ມີໜ້າວຽກເຊື່ອມຕໍ່ກັບຈຸດໝາຍນີ້
No tasks with dates to display,ບໍ່ມີໜ້າວຽກທີ່ມີວັນທີສະແດງ
No tasks yet,ຍັງບໍ່ມີໜ້າວຽກ
No team members,ບໍ່ມີສະມາຊິກທີມ
No template,ບໍ່ມີແມ່ແບບ
No templates yet,ຍັງບໍ່ມີແມ່ແບບ
No time data found,ບໍ່ພົບຂໍ້ມູນເວລາ
No time logged today,ບໍ່ມີການບັນທຶກເວລາມື້ນີ້
No time logged yet,ຍັງບໍ່ມີການບັນທຶກເວລາ
No time logs for this period,ບໍ່ມີບັນທຶກເວລາສຳລັບໄລຍະນີ້
No time logs found,ບໍ່ພົບບັນທຶກເວລາ
No unread notifications,ບໍ່ມີການແຈ້ງເຕືອນທີ່ຍັງບໍ່ໄດ້ອ່ານ
No update information available yet.,No update information available yet.
None,ບໍ່ມີ
Not found,ບໍ່ພົບ
Not permitted,ບໍ່ໄດ້ຮັບອະນຸຍາດ
Not permitted to access this project,ບໍ່ໄດ້ຮັບອະນຸຍາດໃຫ້ເຂົ້າເຖິງໂຄງການນີ້
Not permitted to access this task,ບໍ່ໄດ້ຮັບອະນຸຍາດໃຫ້ເຂົ້າເຖິງໜ້າວຽກນີ້
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,ບໍ່ໄດ້ຮັບອະນຸຍາດໃຫ້ສະແດງຄວາມຄິດເຫັນໃນເອກະສານນີ້
Not permitted to create clients,ບໍ່ໄດ້ຮັບອະນຸຍາດໃຫ້ສ້າງລູກຄ້າ
Not permitted to delete this client,ບໍ່ໄດ້ຮັບອະນຸຍາດໃຫ້ລຶບລູກຄ້ານີ້
Not permitted to delete this defect,ບໍ່ໄດ້ຮັບອະນຸຍາດໃຫ້ລຶບຂໍ້ບົກພ່ອງນີ້
Not permitted to delete this note,ບໍ່ໄດ້ຮັບອະນຸຍາດໃຫ້ລຶບບັນທຶກນີ້
Not permitted to delete this project,ບໍ່ໄດ້ຮັບອະນຸຍາດໃຫ້ລຶບໂຄງການນີ້
Not permitted to delete this task,ບໍ່ໄດ້ຮັບອະນຸຍາດໃຫ້ລຶບໜ້າວຽກນີ້
Not permitted to delete this time log,ບໍ່ໄດ້ຮັບອະນຸຍາດໃຫ້ລຶບບັນທຶກເວລານີ້
Not permitted to invite clients,ບໍ່ໄດ້ຮັບອະນຸຍາດໃຫ້ເຊີນລູກຄ້າ
Not permitted to modify client access,ບໍ່ໄດ້ຮັບອະນຸຍາດໃຫ້ແກ້ໄຂສິດເຂົ້າເຖິງລູກຄ້າ
Not permitted to modify this project,ບໍ່ໄດ້ຮັບອະນຸຍາດໃຫ້ແກ້ໄຂໂຄງການນີ້
Not permitted to update settings,ບໍ່ໄດ້ຮັບອະນຸຍາດໃຫ້ອັບເດດການຕັ້ງຄ່າ
Not permitted to update this client,ບໍ່ໄດ້ຮັບອະນຸຍາດໃຫ້ອັບເດດລູກຄ້ານີ້
Not permitted to view this client,ບໍ່ໄດ້ຮັບອະນຸຍາດໃຫ້ເບິ່ງລູກຄ້ານີ້
not sent,ບໍ່ໄດ້ສົ່ງ
Not set,ຍັງບໍ່ໄດ້ຕັ້ງ
Not specified,ບໍ່ໄດ້ລະບຸ
Note,ບັນທຶກ
Note (optional),ບັນທຶກ (ບໍ່ບັງຄັບ)
Note Content,ເນື້ອໃນບັນທຶກ
Note content is required,ຕ້ອງລະບຸເນື້ອໃນບັນທຶກ
Note name is required,ຕ້ອງລະບຸຊື່ບັນທຶກ
Note not found,ບໍ່ພົບບັນທຶກ
Note Type,ປະເພດບັນທຶກ
Notes,ບັນທຶກ
Notification,ການແຈ້ງເຕືອນ
Notification not found,ບໍ່ພົບການແຈ້ງເຕືອນ
Notifications,ການແຈ້ງເຕືອນ
Off Track,ນອກເສັ້ນທາງ
Offer,ຂໍ້ສະເໜີ
Offer Prepared,ກະກຽມຂໍ້ສະເໜີແລ້ວ
Oldest First,ເກົ່າສຸດກ່ອນ
On Hold,ລໍຖ້າ
On Leave,ລາພັກ
On Track,ຕາມແຜນ
On-Time Rate,ອັດຕາກົງເວລາ
Only administrators can delete activities,ມີແຕ່ຜູ້ບໍລິຫານເທົ່ານັ້ນທີ່ສາມາດລຶບກິດຈະກຳ
Only the comment author or administrators can delete comments,ມີແຕ່ຜູ້ຂຽນຄຳເຫັນ ຫຼື ຜູ້ບໍລິຫານເທົ່ານັ້ນທີ່ສາມາດລຶບຄຳເຫັນ
Only you and admins,ມີແຕ່ທ່ານ ແລະ ຜູ້ບໍລິຫານ
Open,ເປີດ
Open in Desk,ເປີດໃນ Desk
Open Task Log,ເປີດບັນທຶກໜ້າວຽກ
Open Tasks,ໜ້າວຽກທີ່ເປີດ
Optional,ບໍ່ບັງຄັບ
optional,ບໍ່ບັງຄັບ
Or email us directly at,ຫຼື ສົ່ງອີເມວຫາພວກເຮົາໂດຍກົງທີ່
Orga Project {0} from Frappe Projects,Orga Project {0} ຈາກ Frappe Projects
Orga Task {0} from Frappe,Orga Task {0} ຈາກ Frappe
Organizer,ຜູ້ຈັດ
Other,ອື່ນໆ
Over Budget,ເກີນງົບປະມານ
Overall Progress,ຄວາມຄືບໜ້າລວມ
Overall Utilization,ການໃຊ້ງານລວມ
Overallocated,ຈັດສັນເກີນ
Overdue,ເກີນກຳນົດ
overdue,ເກີນກຳນົດ
Overdue Tasks,ໜ້າວຽກທີ່ເກີນກຳນົດ
Overview,ພາບລວມ
Owner,ເຈົ້າຂອງ
Page Not Found,ບໍ່ພົບໜ້າ
Parent,ພໍ່ແມ່
Parent comment must belong to the same document,ຄຳເຫັນພໍ່ແມ່ຕ້ອງເປັນຂອງເອກະສານດຽວກັນ
Parent comment not found,ບໍ່ພົບຄຳເຫັນພໍ່ແມ່
Parent project not synced to Frappe yet,ໂຄງການພໍ່ແມ່ຍັງບໍ່ໄດ້ຊິ້ງກັບ Frappe
Parent project sync not enabled,ການຊິ້ງໂຄງການພໍ່ແມ່ບໍ່ໄດ້ເປີດໃຊ້ງານ
Partner,ຄູ່ຮ່ວມ
Pending,ຄ້າງຢູ່
per page,ຕໍ່ໜ້າ
Perform initial assessment and background check,ດຳເນີນການປະເມີນເບື້ອງຕົ້ນ ແລະ ກວດສອບປະຫວັດ
Permanently remove this event,ລຶບເຫດການນີ້ຖາວອນ
Permanently remove this task,ລຶບໜ້າວຽກນີ້ຖາວອນ
Phone,ໂທລະສັບ
Pin,ປັກໝຸດ
Pin Activity,ປັກໝຸດກິດຈະກຳ
Pin to top,ປັກໝຸດຂຶ້ນເທິງ
Pinned,ປັກໝຸດແລ້ວ
Planned budget for this task,ງົບປະມານທີ່ວາງແຜນໄວ້ສຳລັບໜ້າວຽກນີ້
Planning,ການວາງແຜນ
Please describe your question or issue in detail...,ກະລຸນາອະທິບາຍຄຳຖາມ ຫຼື ບັນຫາຂອງທ່ານຢ່າງລະອຽດ...
Please login to access Orga,ກະລຸນາເຂົ້າສູ່ລະບົບເພື່ອເຂົ້າເຖິງ Orga
Please login to access the client portal,ກະລຸນາເຂົ້າສູ່ລະບົບເພື່ອເຂົ້າເຖິງພອລ໌ທອນລູກຄ້າ
Please respond to this invitation in Orga,ກະລຸນາຕອບກັບຄຳເຊີນນີ້ໃນ Orga
Please select an image file,ກະລຸນາເລືອກໄຟລ໌ຮູບພາບ
Please try again,ກະລຸນາລອງໃໝ່
Please type,ກະລຸນາພິມ
Portal,ພອລ໌ທອນ
Portal access revoked for {0},ຖອນສິດເຂົ້າເຖິງພອລ໌ທອນສຳລັບ {0} ແລ້ວ
Portal user created successfully. Welcome email {0},ສ້າງຜູ້ໃຊ້ພອລ໌ທອນສຳເລັດ. ອີເມວຕ້ອນຮັບ {0}
Post,ໂພສ
Powered by,ຂັບເຄື່ອນໂດຍ
Powered by Tonic,ຂັບເຄື່ອນໂດຍ Tonic
Predecessors (Blocked By),ໜ້າວຽກກ່ອນໜ້າ (ຖືກບລ໋ອກໂດຍ)
Preferences,ການຕັ້ງຄ່າ
Preferences saved successfully,ບັນທຶກການຕັ້ງຄ່າສຳເລັດແລ້ວ
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)",ຄຳນຳໜ້າສຳລັບລະຫັດໂຄງການອັດຕະໂນມັດ (ເຊັ່ນ: ORG-2026-0001)
Prepare and document offer terms,ກະກຽມ ແລະ ບັນທຶກເງື່ອນໄຂຂໍ້ສະເໜີ
Press,ກົດ
Preview,ເບິ່ງຕົວຢ່າງ
Preview cascade before applying,ເບິ່ງຕົວຢ່າງການສືບທອດກ່ອນນຳໃຊ້
Previous,ກ່ອນໜ້າ
Priority,ລຳດັບຄວາມສຳຄັນ
Priority assigned to new tasks,ລຳດັບຄວາມສຳຄັນທີ່ມອບໝາຍໃຫ້ໜ້າວຽກໃໝ່
Priority updated,ອັບເດດລຳດັບຄວາມສຳຄັນແລ້ວ
Proficiency,ຄວາມຊ່ຽວຊານ
Profile,ໂປຣໄຟລ໌
Progress,ຄວາມຄືບໜ້າ
Progress (High-Low),ຄວາມຄືບໜ້າ (ສູງ-ຕ່ຳ)
Progress (Low-High),ຄວາມຄືບໜ້າ (ຕ່ຳ-ສູງ)
Progress Overview,ພາບລວມຄວາມຄືບໜ້າ
Progress updated,ອັບເດດຄວາມຄືບໜ້າແລ້ວ
Project,ໂຄງການ
Project budget has been saved.,ບັນທຶກງົບປະມານໂຄງການແລ້ວ.
Project code (e.g. ORG-2026-0001),ລະຫັດໂຄງການ (ເຊັ່ນ: ORG-2026-0001)
Project Code Prefix,ຄຳນຳໜ້າລະຫັດໂຄງການ
Project created,ສ້າງໂຄງການແລ້ວ
Project deleted,ລຶບໂຄງການແລ້ວ
Project description has been saved.,ບັນທຶກລາຍລະອຽດໂຄງການແລ້ວ.
Project Details,ລາຍລະອຽດໂຄງການ
Project end date has been saved.,ບັນທຶກວັນທີສິ້ນສຸດໂຄງການແລ້ວ.
Project Files,ໄຟລ໌ໂຄງການ
Project has no linked client,ໂຄງການບໍ່ມີລູກຄ້າເຊື່ອມຕໍ່
Project Health,ສຸຂະພາບໂຄງການ
Project Info,ຂໍ້ມູນໂຄງການ
Project is required,ຕ້ອງລະບຸໂຄງການ
Project is required for project context,ຕ້ອງມີໂຄງການສຳລັບບໍລິບົດໂຄງການ
Project is required when tracking context is 'project',ຕ້ອງມີໂຄງການເມື່ອບໍລິບົດການຕິດຕາມເປັນ 'ໂຄງການ'
Project Manager,ຜູ້ຈັດການໂຄງການ
Project Name,ຊື່ໂຄງການ
Project name and template name are required,ຕ້ອງລະບຸຊື່ໂຄງການ ແລະ ຊື່ແມ່ແບບ
Project name is required,ຕ້ອງລະບຸຊື່ໂຄງການ
Project not found,ບໍ່ພົບໂຄງການ
Project not found or you do not have access,ບໍ່ພົບໂຄງການ ຫຼື ທ່ານບໍ່ມີສິດເຂົ້າເຖິງ
Project settings,ການຕັ້ງຄ່າໂຄງການ
Project start date has been saved.,ບັນທຶກວັນທີເລີ່ມຕົ້ນໂຄງການແລ້ວ.
Project title has been saved.,ບັນທຶກຫົວຂໍ້ໂຄງການແລ້ວ.
Project Type,ປະເພດໂຄງການ
Project updated,ອັບເດດໂຄງການແລ້ວ
Project {0} linked to client {1},ເຊື່ອມຕໍ່ໂຄງການ {0} ກັບລູກຄ້າ {1} ແລ້ວ
Project {0} not found,ບໍ່ພົບໂຄງການ {0}
Project {0} to Frappe Projects,ໂຄງການ {0} ໄປ Frappe Projects
Project:,ໂຄງການ:
projects,ໂຄງການ
Projects,ໂຄງການ
Projects created:,ໂຄງການທີ່ສ້າງ:
Projects Overview,ພາບລວມໂຄງການ
Projects skipped:,ໂຄງການທີ່ຂ້າມ:
Projects updated:,ໂຄງການທີ່ອັບເດດ:
Promote failed,ການຍົກລະດັບລົ້ມເຫຼວ
Promote to task,ຍົກລະດັບເປັນໜ້າວຽກ
Promoted to task,ຍົກລະດັບເປັນໜ້າວຽກແລ້ວ
Propose,ສະເໜີ
Propose New Time,ສະເໜີເວລາໃໝ່
Propose Time,ສະເໜີເວລາ
Proposed End,ສິ້ນສຸດທີ່ສະເໜີ
Proposed Start,ເລີ່ມຕົ້ນທີ່ສະເໜີ
Public,ສາທາລະນະ
Quick Action,ການກະທຳດ່ວນ
Quick Actions,ການກະທຳດ່ວນ
Quick Stats,ສະຖິຕິໂດຍຫຍໍ້
Rates,ອັດຕາ
Receive notifications via email,ຮັບການແຈ້ງເຕືອນຜ່ານອີເມວ
Receive notifications within the application,ຮັບການແຈ້ງເຕືອນພາຍໃນແອັບ
Recent Activity,ກິດຈະກຳຫຼ້າສຸດ
Recipient {0} is not a valid user,ຜູ້ຮັບ {0} ບໍ່ແມ່ນຜູ້ໃຊ້ທີ່ຖືກຕ້ອງ
Reference,ອ້າງອິງ
Refresh,ໂຫຼດໃໝ່
Related,ທີ່ກ່ຽວຂ້ອງ
Related Company (optional),ບໍລິສັດທີ່ກ່ຽວຂ້ອງ (ບໍ່ບັງຄັບ)
Related Documents,ເອກະສານທີ່ກ່ຽວຂ້ອງ
Related Project,ໂຄງການທີ່ກ່ຽວຂ້ອງ
Remaining,ເຫຼືອ
Reminder,ການເຕືອນ
Reminder Lead Time,ເວລານຳການເຕືອນ
Reminder: {0} - {1} at {2},ການເຕືອນ: {0} - {1} ທີ່ {2}
Remove,ລຶບອອກ
Remove dependency,ລຶບການເພິ່ງພາ
Remove dependency on,ລຶບການເພິ່ງພາຕໍ່
Remove from group,ລຶບອອກຈາກກຸ່ມ
Remove group dependency,ລຶບການເພິ່ງພາກຸ່ມ
Remove skill,ລຶບທັກສະ
Reopen,ເປີດໃໝ່
Reopen thread,ເປີດກະທູ້ໃໝ່
reopened,ເປີດໃໝ່ແລ້ວ
replies,ການຕອບ
Reply,ຕອບ
reply,ຕອບ
Replying to,ຕອບກັບ
Replying to comment,ຕອບກັບຄຳເຫັນ
Report Defect,ລາຍງານຂໍ້ບົກພ່ອງ
Reported Date,ວັນທີລາຍງານ
Reports,ລາຍງານ
Reports To,ລາຍງານຕໍ່
Request Submitted!,ສົ່ງຄຳຮ້ອງຂໍແລ້ວ!
Required,ຈຳເປັນ
required,ຈຳເປັນ
Research,ການຄົ້ນຄວ້າ
Reset to Defaults,ຕັ້ງຄ່າກັບຄືນເລີ່ມຕົ້ນ
Resolve,ແກ້ໄຂ
Resolve thread,ແກ້ໄຂກະທູ້
Resolved,ແກ້ໄຂແລ້ວ
Resolved date cannot be before reported date,ວັນທີແກ້ໄຂບໍ່ສາມາດຢູ່ກ່ອນວັນທີລາຍງານ
Resource,ຊັບພະຍາກອນ
Resource and skill name are required,ຕ້ອງລະບຸຊັບພະຍາກອນ ແລະ ຊື່ທັກສະ
Resource is already an attendee,ຊັບພະຍາກອນເປັນຜູ້ເຂົ້າຮ່ວມແລ້ວ
Resource name is required,ຕ້ອງລະບຸຊື່ຊັບພະຍາກອນ
Resource not found,ບໍ່ພົບຊັບພະຍາກອນ
Resource synced from employee {0},ຊິ້ງຊັບພະຍາກອນຈາກພະນັກງານ {0} ແລ້ວ
Resource {0} is already assigned to this task ({1}),ຊັບພະຍາກອນ {0} ຖືກມອບໝາຍໃຫ້ໜ້າວຽກນີ້ແລ້ວ ({1})
Resource {0} not found,ບໍ່ພົບຊັບພະຍາກອນ {0}
Resources,ຊັບພະຍາກອນ
Retry,ລອງໃໝ່
Review,ກວດສອບ
Review all relevant documents and contracts,ກວດສອບເອກະສານ ແລະ ສັນຍາທີ່ກ່ຽວຂ້ອງທັງໝົດ
Reviews,ການກວດສອບ
Risk Assessment,ການປະເມີນຄວາມສ່ຽງ
Rollback,ຍ້ອນກັບ
Rolled back,ຍ້ອນກັບແລ້ວ
Room or address,ຫ້ອງ ຫຼື ທີ່ຢູ່
RSVP,RSVP
Safety,ຄວາມປອດໄພ
Sat,ເສົາ
Save,ບັນທຶກ
"Save a project as a template, or import one from a JSON file.","ບັນທຶກໂຄງການເປັນແມ່ແບບ, ຫຼື ນຳເຂົ້າຈາກໄຟລ໌ JSON."
Save as Template,ບັນທຶກເປັນແມ່ແບບ
Save Changes,ບັນທຶກການປ່ຽນແປງ
Save failed,ການບັນທຶກລົ້ມເຫຼວ
Save Preferences,ບັນທຶກການຕັ້ງຄ່າ
Save Template,ບັນທຶກແມ່ແບບ
Saving...,ກຳລັງບັນທຶກ...
Schedule,ຕາຕະລາງ
Schedule type is required for scheduled triggers,ຕ້ອງລະບຸປະເພດຕາຕະລາງສຳລັບຕົວກະຕຸ້ນທີ່ກຳນົດ
Scheduled,ກຳນົດແລ້ວ
Search,ຄົ້ນຫາ
"Search by name, email, or skill...","ຄົ້ນຫາຕາມຊື່, ອີເມວ, ຫຼື ທັກສະ..."
Search for a project...,ຄົ້ນຫາໂຄງການ...
Search for a task...,ຄົ້ນຫາໜ້າວຽກ...
Search for an event...,ຄົ້ນຫາເຫດການ...
Search for people to invite...,ຄົ້ນຫາຄົນເພື່ອເຊີນ...
Search tasks to link...,ຄົ້ນຫາໜ້າວຽກເພື່ອເຊື່ອມຕໍ່...
Search tasks...,ຄົ້ນຫາໜ້າວຽກ...
Search...,ຄົ້ນຫາ...
Searching...,ກຳລັງຄົ້ນຫາ...
Seen,ເຫັນແລ້ວ
Select a project if your request is related to a specific project.,ເລືອກໂຄງການຖ້າຄຳຮ້ອງຂໍຂອງທ່ານກ່ຽວຂ້ອງກັບໂຄງການສະເພາະ.
Select a project...,ເລືອກໂຄງການ...
Select a task from the Gantt chart to view and manage its details.,ເລືອກໜ້າວຽກຈາກແຜນภູມິ Gantt ເພື່ອເບິ່ງ ແລະ ຈັດການລາຍລະອຽດ.
Select a task from the list or Kanban board to view and manage its details.,ເລືອກໜ້າວຽກຈາກລາຍການ ຫຼື ກະດານ Kanban ເພື່ອເບິ່ງ ແລະ ຈັດການລາຍລະອຽດ.
Select a template...,ເລືອກແມ່ແບບ...
Select priority...,ເລືອກລຳດັບຄວາມສຳຄັນ...
Select status...,ເລືອກສະຖານະ...
Select task...,ເລືອກໜ້າວຽກ...
Select type...,ເລືອກປະເພດ...
Selection,ການເລືອກ
Send,ສົ່ງ
Send comment,ສົ່ງຄຳເຫັນ
Send email invitations to attendees,ສົ່ງຄຳເຊີນທາງອີເມວໃຫ້ຜູ້ເຂົ້າຮ່ວມ
Send Invitations,ສົ່ງຄຳເຊີນ
Send notification when a task is assigned to a user,ສົ່ງການແຈ້ງເຕືອນເມື່ອໜ້າວຽກຖືກມອບໝາຍໃຫ້ຜູ້ໃຊ້
Send notification when task status changes,ສົ່ງການແຈ້ງເຕືອນເມື່ອສະຖານະໜ້າວຽກປ່ຽນ
Send reminder before task due date,ສົ່ງການເຕືອນກ່ອນວັນທີກຳນົດໜ້າວຽກ
sent,ສົ່ງແລ້ວ
Set rate,ຕັ້ງອັດຕາ
Settings,ການຕັ້ງຄ່າ
Settings saved successfully,ບັນທຶກການຕັ້ງຄ່າສຳເລັດແລ້ວ
Severity,ຄວາມຮ້າຍແຮງ
SF (Start-Finish),SF (ເລີ່ມຕົ້ນ-ສິ້ນສຸດ)
SF - Start-to-Finish,SF - ເລີ່ມຕົ້ນ-ຫາ-ສິ້ນສຸດ
Show,ສະແດງ
Show all,ສະແດງທັງໝົດ
Show all changes,ສະແດງການປ່ຽນແປງທັງໝົດ
Show Archived,ສະແດງທີ່ເກັບມ້ຽນ
Show full diff,ສະແດງຄວາມແຕກຕ່າງທັງໝົດ
Show less,ສະແດງໜ້ອຍລົງ
Show more,ສະແດງເພີ່ມ
Skill added,ເພີ່ມທັກສະແລ້ວ
Skill is required,ຕ້ອງລະບຸທັກສະ
Skill Name,ຊື່ທັກສະ
Skill removed,ລຶບທັກສະແລ້ວ
Skill {0} already exists for this resource,ທັກສະ {0} ມີຢູ່ແລ້ວສຳລັບຊັບພະຍາກອນນີ້
Skills,ທັກສະ
Skills & Competencies,ທັກສະ ແລະ ຄວາມສາມາດ
Skip already migrated projects,ຂ້າມໂຄງການທີ່ຍ້າຍຂໍ້ມູນແລ້ວ
Sort by,ຈັດລຽງຕາມ
Sort: Due Date,ຈັດລຽງ: ວັນທີກຳນົດ
Sort: Priority,ຈັດລຽງ: ລຳດັບຄວາມສຳຄັນ
Sort: Project,ຈັດລຽງ: ໂຄງການ
Sort: Status,ຈັດລຽງ: ສະຖານະ
Sort: Task,ຈັດລຽງ: ໜ້າວຽກ
Source Code,ລະຫັດແຫຼ່ງ
Spent,ໃຊ້ໄປ
Spent:,ໃຊ້ໄປ:
SS (Start-Start),SS (ເລີ່ມຕົ້ນ-ເລີ່ມຕົ້ນ)
SS - Start-to-Start,SS - ເລີ່ມຕົ້ນ-ຫາ-ເລີ່ມຕົ້ນ
Standalone,ເອກະລາດ
Start,ເລີ່ມຕົ້ນ
Start a discussion below,ເລີ່ມການສົນທະນາດ້ານລຸ່ມ
Start Date,ວັນທີເລີ່ມຕົ້ນ
Start date,ວັນທີເລີ່ມຕົ້ນ
Start Date (Earliest),ວັນທີເລີ່ມຕົ້ນ (ໄວສຸດ)
Start date updated,ອັບເດດວັນທີເລີ່ມຕົ້ນແລ້ວ
Start date/time is required,ຕ້ອງລະບຸວັນທີ/ເວລາເລີ່ມຕົ້ນ
Start Migration,ເລີ່ມການຍ້າຍຂໍ້ມູນ
Start the conversation below.,ເລີ່ມການສົນທະນາດ້ານລຸ່ມ.
Start Timer,ເລີ່ມຈັບເວລາ
Start typing to search...,ເລີ່ມພິມເພື່ອຄົ້ນຫາ...
Start-to-Finish,ເລີ່ມຕົ້ນ-ຫາ-ສິ້ນສຸດ
Start-to-Start,ເລີ່ມຕົ້ນ-ຫາ-ເລີ່ມຕົ້ນ
Start:,ເລີ່ມຕົ້ນ:
Statistics reset,ຕັ້ງສະຖິຕິໃໝ່ແລ້ວ
Status,ສະຖານະ
Status assigned to new projects,ສະຖານະທີ່ມອບໝາຍໃຫ້ໂຄງການໃໝ່
Status assigned to new tasks,ສະຖານະທີ່ມອບໝາຍໃຫ້ໜ້າວຽກໃໝ່
Status Changes,ການປ່ຽນແປງສະຖານະ
Status updated,ອັບເດດສະຖານະແລ້ວ
Status:,ສະຖານະ:
Stop,ຢຸດ
Stop & Save,ຢຸດ ແລະ ບັນທຶກ
Stop Timer,ຢຸດຈັບເວລາ
Stops current timer and starts for this event,ຢຸດໂມງຈັບເວລາປັດຈຸບັນ ແລະ ເລີ່ມສຳລັບເຫດການນີ້
Stops current timer and starts for this task,ຢຸດໂມງຈັບເວລາປັດຈຸບັນ ແລະ ເລີ່ມສຳລັບໜ້າວຽກນີ້
Subject,ຫົວຂໍ້
Subject cannot exceed 255 characters,ຫົວຂໍ້ບໍ່ສາມາດເກີນ 255 ຕົວອັກສອນ
