+ Add Milestone,+ ಮೈಲಿಗಲ್ಲು ಸೇರಿಸಿ
Failed to load dashboard data,ಡ್ಯಾಶ್‌ಬೋರ್ಡ್ ಡೇಟಾ ಲೋಡ್ ಮಾಡಲು ವಿಫಲ
Failed to load defects,ದೋಷಗಳನ್ನು ಲೋಡ್ ಮಾಡಲು ವಿಫಲ
Failed to load events,ಕಾರ್ಯಕ್ರಮಗಳನ್ನು ಲೋಡ್ ಮಾಡಲು ವಿಫಲ
Failed to load project,ಯೋಜನೆ ಲೋಡ್ ಮಾಡಲು ವಿಫಲ
Failed to load projects,ಯೋಜನೆಗಳನ್ನು ಲೋಡ್ ಮಾಡಲು ವಿಫಲ
Failed to load report data,ವರದಿ ಡೇಟಾ ಲೋಡ್ ಮಾಡಲು ವಿಫಲ
Failed to load settings,ಸೆಟ್ಟಿಂಗ್‌ಗಳನ್ನು ಲೋಡ್ ಮಾಡಲು ವಿಫಲ
Failed to load tasks,ಕಾರ್ಯಗಳನ್ನು ಲೋಡ್ ಮಾಡಲು ವಿಫಲ
Failed to move task,ಕಾರ್ಯ ಸರಿಸಲು ವಿಫಲ
Failed to post comment,ಕಾಮೆಂಟ್ ಪ್ರಕಟಿಸಲು ವಿಫಲ
Failed to propose new time,ಹೊಸ ಸಮಯ ಪ್ರಸ್ತಾಪಿಸಲು ವಿಫಲ
Failed to remove item,ಅಂಶ ತೆಗೆದುಹಾಕಲು ವಿಫಲ
Failed to remove skill,ಕೌಶಲ ತೆಗೆದುಹಾಕಲು ವಿಫಲ
Failed to reorder milestones: {0},ಮೈಲಿಗಲ್ಲುಗಳನ್ನು ಮರುಕ್ರಮಗೊಳಿಸಲು ವಿಫಲ: {0}
Failed to reorder tasks: {0},ಕಾರ್ಯಗಳನ್ನು ಮರುಕ್ರಮಗೊಳಿಸಲು ವಿಫಲ: {0}
Failed to reschedule dependent tasks: {0},ಅವಲಂಬಿತ ಕಾರ್ಯಗಳನ್ನು ಮರುನಿಗದಿ ಮಾಡಲು ವಿಫಲ: {0}
Failed to save,ಉಳಿಸಲು ವಿಫಲ
Failed to save preferences,ಆದ್ಯತೆಗಳನ್ನು ಉಳಿಸಲು ವಿಫಲ
Failed to save settings,ಸೆಟ್ಟಿಂಗ್‌ಗಳನ್ನು ಉಳಿಸಲು ವಿಫಲ
Failed to submit request. Please try again.,ವಿನಂತಿ ಸಲ್ಲಿಸಲು ವಿಫಲ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.
Failed to update item,ಅಂಶ ನವೀಕರಿಸಲು ವಿಫಲ
Failed to update priority,ಆದ್ಯತೆ ನವೀಕರಿಸಲು ವಿಫಲ
Failed to update task,ಕಾರ್ಯ ನವೀಕರಿಸಲು ವಿಫಲ
Failed to update tasks: {0},ಕಾರ್ಯಗಳನ್ನು ನವೀಕರಿಸಲು ವಿಫಲ: {0}
Failed to upload avatar,ಅವತಾರ್ ಅಪ್‌ಲೋಡ್ ಮಾಡಲು ವಿಫಲ
Feature,ವೈಶಿಷ್ಟ್ಯ
Features,ವೈಶಿಷ್ಟ್ಯಗಳು
FF (Finish-Finish),FF (ಮುಕ್ತಾಯ-ಮುಕ್ತಾಯ)
FF - Finish-to-Finish,FF - ಮುಕ್ತಾಯ-ಮುಕ್ತಾಯ
Field has been updated,ಕ್ಷೇತ್ರ ನವೀಕರಿಸಲಾಗಿದೆ
Field name is required for 'Set Field Value' action,'Set Field Value' ಕ್ರಿಯೆಗೆ ಕ್ಷೇತ್ರ ಹೆಸರು ಅಗತ್ಯ
Field {0} is not a Link field,ಕ್ಷೇತ್ರ {0} ಲಿಂಕ್ ಕ್ಷೇತ್ರವಲ್ಲ
Field {0} not found in {1},{1} ಯಲ್ಲಿ ಕ್ಷೇತ್ರ {0} ಕಂಡುಬಂದಿಲ್ಲ
File,ಕಡತ
file,ಫೈಲ್
File does not belong to this task,ಕಡತ ಈ ಕಾರ್ಯಕ್ಕೆ ಸೇರಿಲ್ಲ
File name is required,ಕಡತದ ಹೆಸರು ಅಗತ್ಯ
File uploaded,ಕಡತ ಅಪ್‌ಲೋಡ್ ಆಗಿದೆ
File {0} not found,ಕಡತ {0} ಕಂಡುಬಂದಿಲ್ಲ
Files,ಕಡತಗಳು
files,ಫೈಲ್‌ಗಳು
Filter,ಫಿಲ್ಟರ್
Final Decision,ಅಂತಿಮ ನಿರ್ಧಾರ
Finance,ಹಣಕಾಸು
Financial,ಆರ್ಥಿಕ
Finish-to-Finish,ಮುಕ್ತಾಯ-ಮುಕ್ತಾಯ
Finish-to-Start,ಮುಕ್ತಾಯ-ಪ್ರಾರಂಭ
Flag,ಫ್ಲ್ಯಾಗ್
Flag for attention,ಗಮನಕ್ಕಾಗಿ ಫ್ಲ್ಯಾಗ್
Flagged,ಫ್ಲ್ಯಾಗ್ ಮಾಡಲಾಗಿದೆ
Focus Panel,ಫೋಕಸ್ ಪ್ಯಾನೆಲ್
Follows your system preference. Currently:,ನಿಮ್ಮ ಸಿಸ್ಟಂ ಆದ್ಯತೆಯನ್ನು ಅನುಸರಿಸುತ್ತದೆ. ಪ್ರಸ್ತುತ:
Frappe Project {0} not found,Frappe ಯೋಜನೆ {0} ಕಂಡುಬಂದಿಲ್ಲ
Frappe Projects Migration,Frappe Projects ವರ್ಗಾವಣೆ
Frappe Projects module not available,Frappe Projects ಮಾಡ್ಯೂಲ್ ಲಭ್ಯವಿಲ್ಲ
Frappe Projects module not installed,Frappe Projects ಮಾಡ್ಯೂಲ್ ಸ್ಥಾಪಿಸಲಾಗಿಲ್ಲ
Frappe Projects sync is not enabled,Frappe Projects ಸಿಂಕ್ ಸಕ್ರಿಯಗೊಳಿಸಲಾಗಿಲ್ಲ
Frappe Task DocType not found,Frappe ಕಾರ್ಯ DocType ಕಂಡುಬಂದಿಲ್ಲ
Frappe Task has no project,Frappe ಕಾರ್ಯಕ್ಕೆ ಯೋಜನೆ ಇಲ್ಲ
Frappe Task {0} not found,Frappe ಕಾರ್ಯ {0} ಕಂಡುಬಂದಿಲ್ಲ
Fri,ಶುಕ್ರ
From,ಇಂದ
From Template,ಟೆಂಪ್ಲೇಟ್‌ನಿಂದ
FS (Finish-Start),FS (ಮುಕ್ತಾಯ-ಪ್ರಾರಂಭ)
FS - Finish-to-Start (default),FS - ಮುಕ್ತಾಯ-ಪ್ರಾರಂಭ (ಡೀಫಾಲ್ಟ್)
Full form view with audit trail,ಲೆಕ್ಕಪರಿಶೋಧನಾ ಜಾಡಿನೊಂದಿಗೆ ಪೂರ್ಣ ಫಾರ್ಮ್ ನೋಟ
Full name,ಪೂರ್ಣ ಹೆಸರು
Gantt,Gantt
Gantt Chart,Gantt ಚಾರ್ಟ್
Gantt View,Gantt ನೋಟ
General Note,ಸಾಮಾನ್ಯ ಟಿಪ್ಪಣಿ
Get started,ಪ್ರಾರಂಭಿಸಿ
Go back,ಹಿಂದೆ ಹೋಗಿ
Go Back,Go Back
Group by,ಗುಂಪು ಮಾಡಿ
Group dependency removed,ಗುಂಪು ಅವಲಂಬನೆ ತೆಗೆದುಹಾಕಲಾಗಿದೆ
Group dependency set,ಗುಂಪು ಅವಲಂಬನೆ ಹೊಂದಿಸಲಾಗಿದೆ
Group removed,ಗುಂಪು ತೆಗೆದುಹಾಕಲಾಗಿದೆ
Group updated,ಗುಂಪು ನವೀಕರಿಸಲಾಗಿದೆ
Hammock task dates are auto-calculated and cannot be changed manually,ಹ್ಯಾಮಕ್ ಕಾರ್ಯ ದಿನಾಂಕಗಳು ಸ್ವಯಂ ಲೆಕ್ಕಾಚಾರವಾಗಿದ್ದು ಹಸ್ತಚಾಲಿತವಾಗಿ ಬದಲಾಯಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ
Have a question or need assistance? Fill out the form below and our team will get back to you.,ಪ್ರಶ್ನೆ ಇದೆಯೇ ಅಥವಾ ಸಹಾಯ ಬೇಕೇ? ಕೆಳಗಿನ ಫಾರ್ಮ್ ಭರ್ತಿ ಮಾಡಿ ಮತ್ತು ನಮ್ಮ ತಂಡ ನಿಮಗೆ ಹಿಂತಿರುಗಿ ಬರುತ್ತದೆ.
Health,ಆರೋಗ್ಯ
Healthy,ಆರೋಗ್ಯಕರ
Hello {0},ನಮಸ್ಕಾರ {0}
Here's what's happening with your projects today.,ಇಂದು ನಿಮ್ಮ ಯೋಜನೆಗಳಲ್ಲಿ ಏನು ನಡೆಯುತ್ತಿದೆ ಎಂಬುದು ಇಲ್ಲಿದೆ.
Hide,ಮರೆಮಾಡಿ
High,ಹೆಚ್ಚು
History,ಇತಿಹಾಸ
Home,ಮುಖಪುಟ
Hourly Cost,ಗಂಟೆಯ ವೆಚ್ಚ
Hours,ಗಂಟೆಗಳು
hours,ಗಂಟೆಗಳು
Hours Logged,ದಾಖಲಿಸಿದ ಗಂಟೆಗಳು
ID,ಐಡಿ
Image must be smaller than 5 MB,ಚಿತ್ರ 5 MB ಗಿಂತ ಚಿಕ್ಕದಾಗಿರಬೇಕು
Import,ಆಮದು
Import existing projects and tasks from Frappe Projects module,Frappe Projects ಮಾಡ್ಯೂಲ್‌ನಿಂದ ಅಸ್ತಿತ್ವದಲ್ಲಿರುವ ಯೋಜನೆಗಳು ಮತ್ತು ಕಾರ್ಯಗಳನ್ನು ಆಮದು ಮಾಡಿ
Import failed,ಆಮದು ವಿಫಲವಾಗಿದೆ
Import Template,ಟೆಂಪ್ಲೇಟ್ ಆಮದು
Imported,ಆಮದು ಮಾಡಲಾಗಿದೆ
in,ನಲ್ಲಿ
In Progress,ಪ್ರಗತಿಯಲ್ಲಿದೆ
In Review,ಪರಿಶೀಲನೆಯಲ್ಲಿದೆ
In-app notifications,ಅಪ್ಲಿಕೇಶನ್‌ನಲ್ಲಿ ಅಧಿಸೂಚನೆಗಳು
Inactive,ನಿಷ್ಕ್ರಿಯ
Initial Review,ಆರಂಭಿಕ ಪರಿಶೀಲನೆ
Installed Version,Installed Version
Insufficient permissions to view all tasks,ಎಲ್ಲಾ ಕಾರ್ಯಗಳನ್ನು ನೋಡಲು ಸಾಕಷ್ಟು ಅನುಮತಿಗಳಿಲ್ಲ
Intermediate,ಮಧ್ಯಮ
Internal,ಆಂತರಿಕ
Invalid DocType,ಅಮಾನ್ಯ DocType
Invalid DocType for import,ಆಮದಿಗಾಗಿ ಅಮಾನ್ಯ DocType
Invalid item type: {0},ಅಮಾನ್ಯ ಅಂಶ ಪ್ರಕಾರ: {0}
Invalid JSON data,ಅಮಾನ್ಯ JSON ಡೇಟಾ
Invalid note type. Must be one of: {0},ಅಮಾನ್ಯ ಟಿಪ್ಪಣಿ ಪ್ರಕಾರ. ಇವುಗಳಲ್ಲಿ ಒಂದಾಗಿರಬೇಕು: {0}
Invalid project reference,ಅಮಾನ್ಯ ಯೋಜನೆ ಉಲ್ಲೇಖ
Invalid reaction type. Must be one of: {0},ಅಮಾನ್ಯ ಪ್ರತಿಕ್ರಿಯೆ ಪ್ರಕಾರ. ಇವುಗಳಲ್ಲಿ ಒಂದಾಗಿರಬೇಕು: {0}
Invalid RSVP status,ಅಮಾನ್ಯ RSVP ಸ್ಥಿತಿ
Invalid status. Must be one of: {0},ಅಮಾನ್ಯ ಸ್ಥಿತಿ. ಇವುಗಳಲ್ಲಿ ಒಂದಾಗಿರಬೇಕು: {0}
Invalid status: {0},ಅಮಾನ್ಯ ಸ್ಥಿತಿ: {0}
Invalid status: {0}. Must be one of: {1},ಅಮಾನ್ಯ ಸ್ಥಿತಿ: {0}. ಇವುಗಳಲ್ಲಿ ಒಂದಾಗಿರಬೇಕು: {1}
Invalid tracking context: {0},ಅಮಾನ್ಯ ಟ್ರ್ಯಾಕಿಂಗ್ ಸಂದರ್ಭ: {0}
Invalid visibility. Must be one of: {0},ಅಮಾನ್ಯ ಗೋಚರತೆ. ಇವುಗಳಲ್ಲಿ ಒಂದಾಗಿರಬೇಕು: {0}
Invitation: {0} - {1} at {2},ಆಹ್ವಾನ: {0} - {1} ಸಮಯ {2}
Invite People,ಜನರನ್ನು ಆಹ್ವಾನಿಸಿ
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,ಅಂಶ ಸೇರಿಸಲಾಗಿದೆ
Item ID is required,ಅಂಶ ಐಡಿ ಅಗತ್ಯ
Item removed,ಅಂಶ ತೆಗೆದುಹಾಕಲಾಗಿದೆ
Item type is required,ಅಂಶ ಪ್ರಕಾರ ಅಗತ್ಯ
Item {0} not found,ಅಂಶ {0} ಕಂಡುಬಂದಿಲ್ಲ
Job title or role,ಹುದ್ದೆ ಅಥವಾ ಪಾತ್ರ
Join Meeting,ಸಭೆಗೆ ಸೇರಿ
Just now,ಈಗಷ್ಟೇ
just now,ಈಗಷ್ಟೇ
Kanban,Kanban
Kanban Board,Kanban ಬೋರ್ಡ್
Kanban View,Kanban ನೋಟ
Keyboard Shortcuts,ಕೀಬೋರ್ಡ್ ಶಾರ್ಟ್‌ಕಟ್‌ಗಳು
Keyboard shortcuts (?),ಕೀಬೋರ್ಡ್ ಶಾರ್ಟ್‌ಕಟ್‌ಗಳು (?)
Last checked: {0},Last checked: {0}
Last Updated,ಕೊನೆಯ ನವೀಕರಣ
Last updated:,ಕೊನೆಯ ನವೀಕರಣ:
Last Week,ಕಳೆದ ವಾರ
Latest Version,Latest Version
Light,ಲೈಟ್
Link failed,ಲಿಂಕ್ ವಿಫಲವಾಗಿದೆ
Link Task,ಕಾರ್ಯ ಲಿಂಕ್ ಮಾಡಿ
Linked,ಲಿಂಕ್ ಮಾಡಲಾಗಿದೆ
Linked employee not found,ಲಿಂಕ್ ಮಾಡಲಾದ ಉದ್ಯೋಗಿ ಕಂಡುಬಂದಿಲ್ಲ
Linked Tasks,ಲಿಂಕ್ ಮಾಡಲಾದ ಕಾರ್ಯಗಳು
List,ಪಟ್ಟಿ
List View,ಪಟ್ಟಿ ನೋಟ
Load failed,ಲೋಡ್ ವಿಫಲವಾಗಿದೆ
Load More,ಇನ್ನಷ್ಟು ಲೋಡ್ ಮಾಡಿ
Load more comments,ಇನ್ನಷ್ಟು ಕಾಮೆಂಟ್‌ಗಳನ್ನು ಲೋಡ್ ಮಾಡಿ
Loading activity...,ಚಟುವಟಿಕೆ ಲೋಡ್ ಆಗುತ್ತಿದೆ...
Loading changes...,ಬದಲಾವಣೆಗಳು ಲೋಡ್ ಆಗುತ್ತಿವೆ...
Loading checklist...,ಪರಿಶೀಲನಾ ಪಟ್ಟಿ ಲೋಡ್ ಆಗುತ್ತಿದೆ...
Loading comments...,ಕಾಮೆಂಟ್‌ಗಳು ಲೋಡ್ ಆಗುತ್ತಿವೆ...
Loading contact...,ಸಂಪರ್ಕ ಲೋಡ್ ಆಗುತ್ತಿದೆ...
Loading contacts...,ಸಂಪರ್ಕಗಳು ಲೋಡ್ ಆಗುತ್ತಿವೆ...
Loading dependencies...,ಅವಲಂಬನೆಗಳು ಲೋಡ್ ಆಗುತ್ತಿವೆ...
Loading details...,ವಿವರಗಳು ಲೋಡ್ ಆಗುತ್ತಿವೆ...
Loading discussion...,ಚರ್ಚೆ ಲೋಡ್ ಆಗುತ್ತಿದೆ...
Loading events...,ಕಾರ್ಯಕ್ರಮಗಳು ಲೋಡ್ ಆಗುತ್ತಿವೆ...
Loading files...,ಕಡತಗಳು ಲೋಡ್ ಆಗುತ್ತಿವೆ...
Loading notes...,ಟಿಪ್ಪಣಿಗಳು ಲೋಡ್ ಆಗುತ್ತಿವೆ...
Loading preferences...,ಆದ್ಯತೆಗಳು ಲೋಡ್ ಆಗುತ್ತಿವೆ...
Loading project...,ಯೋಜನೆ ಲೋಡ್ ಆಗುತ್ತಿದೆ...
Loading projects...,ಯೋಜನೆಗಳು ಲೋಡ್ ಆಗುತ್ತಿವೆ...
Loading replies...,ಪ್ರತ್ಯುತ್ತರಗಳು ಲೋಡ್ ಆಗುತ್ತಿವೆ...
Loading report data...,ವರದಿ ಡೇಟಾ ಲೋಡ್ ಆಗುತ್ತಿದೆ...
Loading settings...,ಸೆಟ್ಟಿಂಗ್‌ಗಳು ಲೋಡ್ ಆಗುತ್ತಿವೆ...
Loading task...,ಕಾರ್ಯ ಲೋಡ್ ಆಗುತ್ತಿದೆ...
Loading templates...,ಟೆಂಪ್ಲೇಟ್‌ಗಳು ಲೋಡ್ ಆಗುತ್ತಿವೆ...
Loading time logs...,ಸಮಯ ನಮೂದುಗಳು ಲೋಡ್ ಆಗುತ್ತಿವೆ...
Loading your portal...,ನಿಮ್ಮ ಪೋರ್ಟಲ್ ಲೋಡ್ ಆಗುತ್ತಿದೆ...
Loading...,ಲೋಡ್ ಆಗುತ್ತಿದೆ...
Location,ಸ್ಥಳ
Log Time,ಸಮಯ ದಾಖಲಿಸಿ
Logout,ಲಾಗ್‌ಔಟ್
Low,ಕಡಿಮೆ
Make Offer,ಕೊಡುಗೆ ಮಾಡಿ
Manager,ನಿರ್ವಾಹಕ
Manual Entry,ಹಸ್ತಚಾಲಿತ ನಮೂದು
Margin,ಅಂಚು
Mark all as read,ಎಲ್ಲವನ್ನೂ ಓದಿದ ಎಂದು ಗುರುತಿಸಿ
Mark all read,ಎಲ್ಲವನ್ನೂ ಓದಿದ ಎಂದು ಗುರುತಿಸಿ
Mark as read,ಓದಿದ ಎಂದು ಗುರುತಿಸಿ
Mark as unread,ಓದಿಲ್ಲ ಎಂದು ಗುರುತಿಸಿ
Mark read,ಓದಿದ ಎಂದು ಗುರುತಿಸಿ
Marking...,ಗುರುತಿಸಲಾಗುತ್ತಿದೆ...
Material,ವಸ್ತು
Maybe,ಬಹುಶಃ
Medium,ಮಧ್ಯಮ
Meeting,ಸಭೆ
Meeting Link,ಸಭೆ ಲಿಂಕ್
Meeting title,ಸಭೆ ಶೀರ್ಷಿಕೆ
Meeting URL,ಸಭೆ URL
Meetings,ಸಭೆಗಳು
Mention,ಉಲ್ಲೇಖ
Message,ಸಂದೇಶ
Message is required,ಸಂದೇಶ ಅಗತ್ಯ
Message is required for '{0}' action,'{0}' ಕ್ರಿಯೆಗೆ ಸಂದೇಶ ಅಗತ್ಯ
Migrate,ವರ್ಗಾಯಿಸಿ
Migration Complete,ವರ್ಗಾವಣೆ ಪೂರ್ಣ
Migration ID:,ವರ್ಗಾವಣೆ ಐಡಿ:
Migration log not found: {0},ವರ್ಗಾವಣೆ ಲಾಗ್ ಕಂಡುಬಂದಿಲ್ಲ: {0}
Milestone,ಮೈಲಿಗಲ್ಲು
milestone,ಮೈಲಿಗಲ್ಲು
Milestone created,ಮೈಲಿಗಲ್ಲು ರಚಿಸಲಾಗಿದೆ
Milestone description has been saved.,ಮೈಲಿಗಲ್ಲಿನ ವಿವರಣೆ ಉಳಿಸಲಾಗಿದೆ.
Milestone ID is required,ಮೈಲಿಗಲ್ಲು ಐಡಿ ಅಗತ್ಯ
Milestone marked as Missed (past due date),ಮೈಲಿಗಲ್ಲು ತಪ್ಪಿಸಿಕೊಂಡಿದೆ ಎಂದು ಗುರುತಿಸಲಾಗಿದೆ (ಅಂತಿಮ ದಿನಾಂಕ ಮೀರಿದೆ)
Milestone moved,ಮೈಲಿಗಲ್ಲು ಸರಿಸಲಾಗಿದೆ
Milestone Name,ಮೈಲಿಗಲ್ಲಿನ ಹೆಸರು
Milestone name has been saved.,ಮೈಲಿಗಲ್ಲಿನ ಹೆಸರು ಉಳಿಸಲಾಗಿದೆ.
Milestone name is required,ಮೈಲಿಗಲ್ಲಿನ ಹೆಸರು ಅಗತ್ಯ
Milestone updated,ಮೈಲಿಗಲ್ಲು ನವೀಕರಿಸಲಾಗಿದೆ
Milestone {0} not found,ಮೈಲಿಗಲ್ಲು {0} ಕಂಡುಬಂದಿಲ್ಲ
Milestone {0} not in project {1},ಮೈಲಿಗಲ್ಲು {0} ಯೋಜನೆ {1} ಯಲ್ಲಿ ಇಲ್ಲ
Milestones,ಮೈಲಿಗಲ್ಲುಗಳು
milestones,ಮೈಲಿಗಲ್ಲುಗಳು
Milestones:,ಮೈಲಿಗಲ್ಲುಗಳು:
Minutes,ನಿಮಿಷಗಳು
Missed,ತಪ್ಪಿಸಿಕೊಂಡಿದೆ
Mixed,ಮಿಶ್ರ
Mobile,ಮೊಬೈಲ್
Moderate,ಮಧ್ಯಮ
Modified,ಮಾರ್ಪಡಿಸಲಾಗಿದೆ
"Modify details, time, or attendees","ವಿವರಗಳು, ಸಮಯ ಅಥವಾ ಹಾಜರಾತಿದಾರರನ್ನು ಮಾರ್ಪಡಿಸಿ"
Mon,ಸೋಮ
Month,ತಿಂಗಳು
Move failed,ಸರಿಸುವಿಕೆ ವಿಫಲವಾಗಿದೆ
Must be a positive number,ಧನಾತ್ಮಕ ಸಂಖ್ಯೆಯಾಗಿರಬೇಕು
Must finish before this finishes,ಇದು ಮುಗಿಯುವ ಮೊದಲು ಮುಗಿಸಬೇಕು
Must finish before this starts,ಇದು ಪ್ರಾರಂಭವಾಗುವ ಮೊದಲು ಮುಗಿಸಬೇಕು
Must start before this finishes,ಇದು ಮುಗಿಯುವ ಮೊದಲು ಪ್ರಾರಂಭಿಸಬೇಕು
Must start before this starts,ಇದು ಪ್ರಾರಂಭವಾಗುವ ಮೊದಲು ಪ್ರಾರಂಭಿಸಬೇಕು
My Assignments,ನನ್ನ ನಿಯೋಜನೆಗಳು
My Projects,ನನ್ನ ಯೋಜನೆಗಳು
My Schedule,ನನ್ನ ವೇಳಾಪಟ್ಟಿ
My Tasks,ನನ್ನ ಕಾರ್ಯಗಳು
N/A,ಅನ್ವಯಿಸದು
Name,ಹೆಸರು
Name (A-Z),ಹೆಸರು (A-Z)
Name (Z-A),ಹೆಸರು (Z-A)
Name cannot exceed 255 characters,ಹೆಸರು 255 ಅಕ್ಷರಗಳನ್ನು ಮೀರಬಾರದು
Need help?,ಸಹಾಯ ಬೇಕೇ?
Needs Attention,ಗಮನ ಅಗತ್ಯ
Never,Never
new activities,ಹೊಸ ಚಟುವಟಿಕೆಗಳು
New Activity,ಹೊಸ ಚಟುವಟಿಕೆ
New activity,ಹೊಸ ಚಟುವಟಿಕೆ
New Event,ಹೊಸ ಕಾರ್ಯಕ್ರಮ
New index is required,ಹೊಸ ಸೂಚ್ಯಂಕ ಅಗತ್ಯ
New Project,ಹೊಸ ಯೋಜನೆ
New tasks will auto-trail by default.,ಹೊಸ ಕಾರ್ಯಗಳು ಡೀಫಾಲ್ಟ್ ಆಗಿ ಸ್ವಯಂ-ಜಾರಿಯಾಗುತ್ತವೆ.
Newest First,ಹೊಸವು ಮೊದಲು
Next,ಮುಂದೆ
Next 14 days,ಮುಂದಿನ 14 ದಿನಗಳು
Next 30 days,ಮುಂದಿನ 30 ದಿನಗಳು
Next 60 days,ಮುಂದಿನ 60 ದಿನಗಳು
Next 7 days,ಮುಂದಿನ 7 ದಿನಗಳು
Next 90 days,ಮುಂದಿನ 90 ದಿನಗಳು
Next Week,ಮುಂದಿನ ವಾರ
Next:,ಮುಂದೆ:
No,ಇಲ್ಲ
No active assignments,ಸಕ್ರಿಯ ನಿಯೋಜನೆಗಳಿಲ್ಲ
No active projects,ಸಕ್ರಿಯ ಯೋಜನೆಗಳಿಲ್ಲ
No active timer found,ಸಕ್ರಿಯ ಟೈಮರ್ ಕಂಡುಬಂದಿಲ್ಲ
No activity selected,ಯಾವುದೇ ಚಟುವಟಿಕೆ ಆಯ್ಕೆಯಾಗಿಲ್ಲ
No assignments found,ನಿಯೋಜನೆಗಳು ಕಂಡುಬಂದಿಲ್ಲ
No attendees,ಹಾಜರಾತಿದಾರರಿಲ್ಲ
no change,ಬದಲಾವಣೆ ಇಲ್ಲ
No changes for this field.,ಈ ಕ್ಷೇತ್ರಕ್ಕೆ ಬದಲಾವಣೆಗಳಿಲ್ಲ.
No changes recorded for this activity.,ಈ ಚಟುವಟಿಕೆಗೆ ಬದಲಾವಣೆಗಳು ದಾಖಲಾಗಿಲ್ಲ.
No checklist items yet,ಇನ್ನೂ ಪರಿಶೀಲನಾ ಪಟ್ಟಿಯ ಅಂಶಗಳಿಲ್ಲ
No checklist items yet.,ಇನ್ನೂ ಪರಿಶೀಲನಾ ಪಟ್ಟಿಯ ಅಂಶಗಳಿಲ್ಲ.
No comments yet,ಇನ್ನೂ ಕಾಮೆಂಟ್‌ಗಳಿಲ್ಲ
No comments yet.,ಇನ್ನೂ ಕಾಮೆಂಟ್‌ಗಳಿಲ್ಲ.
No contacts available,ಸಂಪರ್ಕಗಳು ಲಭ್ಯವಿಲ್ಲ
No content for this tab,ಈ ಟ್ಯಾಬ್‌ಗೆ ವಿಷಯವಿಲ್ಲ
No data available,ಡೇಟಾ ಲಭ್ಯವಿಲ್ಲ
No data available for the selected filters,ಆಯ್ಕೆ ಮಾಡಿದ ಫಿಲ್ಟರ್‌ಗಳಿಗೆ ಡೇಟಾ ಲಭ್ಯವಿಲ್ಲ
No data to export,ರಫ್ತು ಮಾಡಲು ಡೇಟಾ ಇಲ್ಲ
No dates set,ದಿನಾಂಕಗಳು ಹೊಂದಿಸಲಾಗಿಲ್ಲ
No defects reported,ದೋಷಗಳು ವರದಿಯಾಗಿಲ್ಲ
No dependencies defined,ಅವಲಂಬನೆಗಳು ವ್ಯಾಖ್ಯಾನಿಸಲಾಗಿಲ್ಲ
No description,ವಿವರಣೆ ಇಲ್ಲ
No discussion yet.,ಇನ್ನೂ ಚರ್ಚೆ ಇಲ್ಲ.
No documents attached,ದಸ್ತಾವೇಜುಗಳು ಲಗತ್ತಿಸಲಾಗಿಲ್ಲ
No due date,ಅಂತಿಮ ದಿನಾಂಕ ಇಲ್ಲ
No employee linked to this resource,ಈ ಸಂಪನ್ಮೂಲಕ್ಕೆ ಉದ್ಯೋಗಿ ಲಿಂಕ್ ಆಗಿಲ್ಲ
No ERPNext employee linked to resource,ಸಂಪನ್ಮೂಲಕ್ಕೆ ERPNext ಉದ್ಯೋಗಿ ಲಿಂಕ್ ಆಗಿಲ್ಲ
No events found,ಕಾರ್ಯಕ್ರಮಗಳು ಕಂಡುಬಂದಿಲ್ಲ
No files attached yet.,ಇನ್ನೂ ಕಡತಗಳು ಲಗತ್ತಿಸಲಾಗಿಲ್ಲ.
No Frappe Project linked,Frappe ಯೋಜನೆ ಲಿಂಕ್ ಆಗಿಲ್ಲ
No Grouping,ಗುಂಪಿಲ್ಲ
No items,ಅಂಶಗಳಿಲ್ಲ
No matching tasks,ಹೊಂದಾಣಿಕೆಯ ಕಾರ್ಯಗಳಿಲ್ಲ
No matching tasks found,ಹೊಂದಾಣಿಕೆಯ ಕಾರ್ಯಗಳು ಕಂಡುಬಂದಿಲ್ಲ
No migration history,ವರ್ಗಾವಣೆ ಇತಿಹಾಸ ಇಲ್ಲ
No Milestone,ಮೈಲಿಗಲ್ಲಿಲ್ಲ
No milestones,ಮೈಲಿಗಲ್ಲುಗಳಿಲ್ಲ
No milestones defined for this project.,ಈ ಯೋಜನೆಗೆ ಮೈಲಿಗಲ್ಲುಗಳು ವ್ಯಾಖ್ಯಾನಿಸಲಾಗಿಲ್ಲ.
No notes yet.,ಇನ್ನೂ ಟಿಪ್ಪಣಿಗಳಿಲ್ಲ.
No notes yet. Add a due diligence note to track progress.,ಇನ್ನೂ ಟಿಪ್ಪಣಿಗಳಿಲ್ಲ. ಪ್ರಗತಿ ಟ್ರ್ಯಾಕ್ ಮಾಡಲು ಸಮಗ್ರ ಪರಿಶೀಲನೆ ಟಿಪ್ಪಣಿ ಸೇರಿಸಿ.
No notifications,ಅಧಿಸೂಚನೆಗಳಿಲ್ಲ
