+ Add Milestone,+ Додај пресвртница
Toggle Sidebar,Вклучи/исклучи странична лента
Tomorrow,Утре
tomorrow,утре
Total,Вкупно
Total Budget,Вкупен буџет
Total Contacts,Вкупно контакти
Total Cost,Вкупен трошок
Total Cost to Org,Вкупен трошок за организацијата
Total Defect Cost,Вкупен трошок за дефекти
Total Hours,Вкупно часови
Total Hours Logged,Вкупно запишани часови
Total Projects,Вкупно проекти
Total Spent,Вкупно потрошено
Total Tasks,Вкупно задачи
Total:,Вкупно:
Tracked,Следено
trails to today while Open at 0%,се поместува до денес додека е Отворено на 0%
Tried:,Tried:
Try adjusting your filter criteria,Обидете се да ги прилагодите критериумите на филтерот
Try adjusting your filters.,Обидете се да ги прилагодите филтрите.
Try Again,Обидете се повторно
Tue,Вто
Type,Вид
Type updated,Видот е ажуриран
Type:,Вид:
Typical response time: 1-2 business days,Вообичаено време за одговор: 1-2 работни дена
Unarchive,Врати од архива
Unarchive Activity,Врати активност од архива
Unassign,Отстрани доделување
Unassigned,Недоделено
Under Budget,Во рамки на буџетот
Ungrouped,Негрупирано
Unknown,Непознато
Unknown error,Непозната грешка
Unlink failed,Отстранувањето на врската не успеа
Unlink task from milestone,Отстрани врска на задачата од пресвртницата
Unpin,Откачи
Unpin Activity,Откачи активност
Unread,Непрочитано
Unread only,Само непрочитани
Until,До
Up to Date,Up to Date
Upcoming,Претстојни
upcoming,претстојни
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,Ажурирањето не успеа
Updated,Ажурирано
Updated successfully,Успешно ажурирано
Updates,Updates
Upload,Качи
Upload failed,Качувањето не успеа
Upload files below to attach them to this task.,Качете датотеки подолу за да ги приложите кон оваа задача.
Upload to project,Качи во проект
Uploading...,Качување...
Urgent,Итно
User {0} is already linked to client {1},Корисникот {0} е веќе поврзан со клиентот {1}
User {0} is already linked to resource {1},Корисникот {0} е веќе поврзан со ресурсот {1}
Utilization,Искористеност
Valid,Валидно
Value:,Вредност:
Variance,Отстапување
Variance:,Отстапување:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,Приказ
View All,Прикажи сè
View all active projects,Прикажи ги сите активни проекти
View all open tasks,Прикажи ги сите отворени задачи
View overdue tasks,Прикажи ги задоцнетите задачи
View Release,View Release
Visibility,Видливост
Waiting for this task,Чека на оваа задача
Waits for:,Чека на:
Warning: Resource {0} status is {1},Предупредување: Статусот на ресурсот {0} е {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,Предупредување: Се користи HTTP наместо HTTPS. Податоците на webhook може да не бидат безбедни.
Watch budget closely,Следете го буџетот внимателно
We'll respond to:,Ќе одговориме на:
Webhook deleted,Webhook е избришан
Webhook name is required,Името на webhook е задолжително
Webhook not found,Webhook не е пронајден
Webhook URL is required,URL на webhook е задолжителен
Webhook URL must start with http:// or https://,URL на webhook мора да започне со http:// или https://
Wed,Сре
Week,Недела
Weekend,Викенд
Weekly Capacity,Неделен капацитет
weekly capacity,неделен капацитет
Weekly Capacity (h),Неделен капацитет (ч)
Welcome,Добредојдовте
Welcome back!,Добредојдовте повторно!
Welcome to Orga,Добредојдовте во Orga
What are you working on?,На што работите?
What did you work on?,На што работевте?
When,Кога
When work begins,Кога работата започнува
When work is due,Кога е рокот за работата
Where,Каде
Will capture:,Ќе зачува:
Will create:,Ќе создаде:
with checklist items,со ставки од контролната листа
Working,Во работа
Workload,Оптоварување
Workmanship,Квалитет на изработка
Write a comment...,Напишете коментар...
Write a comment... Use @name to mention (Ctrl+Enter to send),Напишете коментар... Користете @име за спомнување (Ctrl+Enter за испраќање)
Year,Година
Yes,Да
Yesterday,Вчера
yesterday,вчера
You are not an attendee of this appointment,Не сте учесник на овој состанок
You are not linked to any resource,Не сте поврзани со ниеден ресурс
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,Можете да бришете само свои коментари
You can only delete your own reactions,Можете да бришете само свои реакции
You do not have access to the client portal. Please contact support.,Немате пристап до клиентскиот портал. Ве молиме контактирајте ја поддршката.
You have already reacted with '{0}',"Веќе реагиравте со „{0}""
You have been assigned to task '{0}' in project '{1}'."""
You have been assigned to task '{0}' in project '{1}'.,Ви е доделена задача '{0}' во проект '{1}'.
You have been assigned to: {0},Ви е доделено: {0}
You have been invited to the following appointment,Поканети сте на следниот состанок
You have no tasks assigned to you right now.,Моментално немате доделени задачи.
You were mentioned in {0},Бевте спомнати во {0}
Your attendance,Вашето присуство
Your comment has been posted,Вашиот коментар е објавен
Your Projects,Вашите проекти
Your projects will appear here once they're assigned to you.,Вашите проекти ќе се појават овде откако ќе ви бидат доделени.
Your Response,Ваш одговор
Your RSVP,Ваш RSVP
Your support request has been submitted successfully.,Вашето барање за поддршка е успешно испратено.
Your support request has been submitted successfully. We'll get back to you shortly.,Вашето барање за поддршка е успешно испратено. Ќе ви одговориме наскоро.
"Your task ""{0}"" is no longer blocked and can now be started.","Вашата задача „{0} повеќе не е блокирана и сега може да започне."""
{0} is required,{0} е задолжително
{0} new activities,{0} нови активности
{0} of {1} completed,{0} од {1} завршено
{0} projects already migrated (will be skipped or updated),{0} проекти се веќе мигрирани (ќе бидат прескокнати или ажурирани)
{0} status changed to {1},Статусот на {0} е променет на {1}
{0} tasks remaining,{0} преостанати задачи
{0} tasks without projects will be skipped,{0} задачи без проект ќе бидат прескокнати
{0} {1} not found,{0} {1} не е пронајдено
