+ Add Milestone,+ Lisa verstapost
The status of '{0}' was changed from {1} to {2}.,"Üksuse „{0} olek muudeti olekult {1} olekuks {2}."""
Theme,Teema
Theme preference,Teema eelistus
This action,See tegevus
This action cannot be undone.,Seda tegevust ei saa tagasi võtta.
This activity has been flagged for attention,See tegevus on märgistatud tähelepanuks
This is a reminder for your upcoming appointment,See on meeldetuletus teie eelseisva kohtumise kohta
This method is only meant for developer mode,See meetod on mõeldud ainult arendusrežiimile
This page wandered off,This page wandered off
This Week,See nädal
This will delete all notes and preferences associated with this activity.,See kustutab kõik selle tegevusega seotud märkmed ja eelistused.
This will import all Frappe Projects into Orga. Continue?,See impordib kõik Frappe projektid Orgasse. Jätkata?
This will permanently delete,See kustutab jäädavalt
This will permanently delete:,See kustutab jäädavalt:
Thu,N
Time,Aeg
Time & Billing,Aeg ja arveldus
Time & Revenue,Aeg ja tulu
Time Entries,Ajakanded
Time log name is required,Ajakande nimi on nõutav
Time Log not found,Ajakannet ei leitud
Time log {0} not found,Ajakannet {0} ei leitud
Time Logs,Ajakanded
Time Summary,Aja kokkuvõte
Time Tracking,Aja jälgimine
Timeline,Ajatelg
Timer active on,Taimer aktiivne
Timer is not running,Taimer ei tööta
Timer Running,Taimer töötab
Timer running,Taimer töötab
Timesheet DocType not available,Ajakaardi DocType ei ole saadaval
Timesheets,Ajakaardid
Timezone,Ajavöönd
Timezone is detected from your browser,Ajavöönd tuvastatakse teie brauserist
Title,Pealkiri
Title cannot exceed 255 characters,Pealkiri ei tohi ületada 255 tähemärki
Title is required,Pealkiri on nõutav
Title updated,Pealkiri uuendatud
To,Kuni
to,kuni
to cancel,tühistamiseks
to close,sulgemiseks
to confirm:,kinnitamiseks:
to edit,muutmiseks
"to save,","salvestamiseks,"
To Time cannot be before From Time,Lõpuaeg ei saa olla enne algusaega
Today,Täna
today,täna
Toggle billable,Lülita arveldatav
Toggle Details Panel,Lülita üksikasjade paneel
Toggle Manager Panel,Lülita halduri paneel
Toggle Sidebar,Lülita külgriba
Tomorrow,Homme
tomorrow,homme
Total,Kokku
Total Budget,Eelarve kokku
Total Contacts,Kontakte kokku
Total Cost,Kulu kokku
Total Cost to Org,Kulu organisatsioonile kokku
Total Defect Cost,Defektide kulu kokku
Total Hours,Tunde kokku
Total Hours Logged,Kirjutatud tunde kokku
Total Projects,Projekte kokku
Total Spent,Kulutatud kokku
Total Tasks,Ülesandeid kokku
Total:,Kokku:
Tracked,Jälgitud
trails to today while Open at 0%,nihkub tänaseni kui avatud 0% juures
Tried:,Tried:
Try adjusting your filter criteria,Proovige filtrikriteeriumeid muuta
Try adjusting your filters.,Proovige filtreid muuta.
Try Again,Proovi uuesti
Tue,T
Type,Tüüp
Type updated,Tüüp uuendatud
Type:,Tüüp:
Typical response time: 1-2 business days,Tavaline vastusaeg: 1-2 tööpäeva
Unarchive,Taasta arhiivist
Unarchive Activity,Taasta tegevus arhiivist
Unassign,Tühista määramine
Unassigned,Määramata
Under Budget,Eelarve piires
Ungrouped,Rühmitamata
Unknown,Tundmatu
Unknown error,Tundmatu viga
Unlink failed,Seose eemaldamine ebaõnnestus
Unlink task from milestone,Eemalda ülesande seos verstapostiga
Unpin,Eemalda kinnitamine
Unpin Activity,Eemalda tegevuse kinnitamine
Unread,Lugemata
Unread only,Ainult lugemata
Until,Kuni
Up to Date,Up to Date
Upcoming,Eelseisvad
upcoming,eelseisvad
Update,Update
Update Available,Update Available
Update available,Update available
Update available: v{0},Update available: v{0}
Update check failed: {0},Update check failed: {0}
Update failed,Uuendamine ebaõnnestus
Updated,Uuendatud
Updated successfully,Edukalt uuendatud
Updates,Updates
Upload,Laadi üles
Upload failed,Üleslaadimine ebaõnnestus
Upload files below to attach them to this task.,Laadige allpool failid üles nende lisamiseks sellele ülesandele.
Upload to project,Laadi üles projekti
Uploading...,Üleslaadimine...
Urgent,Kiire
User {0} is already linked to client {1},Kasutaja {0} on juba seotud kliendiga {1}
User {0} is already linked to resource {1},Kasutaja {0} on juba seotud ressursiga {1}
Utilization,Kasutus
Valid,Kehtiv
Value:,Väärtus:
Variance,Erinevus
Variance:,Erinevus:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,Vaade
View All,Vaata kõiki
View all active projects,Vaata kõiki aktiivseid projekte
View all open tasks,Vaata kõiki avatud ülesandeid
View overdue tasks,Vaata üle tähtaja ülesandeid
View Release,View Release
Visibility,Nähtavus
Waiting for this task,Ootab seda ülesannet
Waits for:,Ootab:
Warning: Resource {0} status is {1},Hoiatus: Ressursi {0} olek on {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,Hoiatus: Kasutusel HTTP HTTPS asemel. Webhooki andmed ei pruugi olla turvalised.
Watch budget closely,Jälgige eelarvet tähelepanelikult
We'll respond to:,Vastame aadressil:
Webhook deleted,Webhook kustutatud
Webhook name is required,Webhooki nimi on nõutav
Webhook not found,Webhooki ei leitud
Webhook URL is required,Webhooki URL on nõutav
Webhook URL must start with http:// or https://,Webhooki URL peab algama http:// või https://
Wed,K
Week,Nädal
Weekend,Nädalavahetus
Weekly Capacity,Nädalane maht
weekly capacity,nädalane maht
Weekly Capacity (h),Nädalane maht (t)
Welcome,Tere tulemast
Welcome back!,Tere tulemast tagasi!
Welcome to Orga,Tere tulemast Orgasse
What are you working on?,Millega te tegelete?
What did you work on?,Millega te tegelesite?
When,Millal
When work begins,Kui töö algab
When work is due,Kui töö tähtaeg on
Where,Kus
Will capture:,Salvestatakse:
Will create:,Luuakse:
with checklist items,koos kontrollnimekirja elementidega
Working,Töös
Workload,Töökoormus
Workmanship,Töökvaliteet
Write a comment...,Kirjutage kommentaar...
Write a comment... Use @name to mention (Ctrl+Enter to send),Kirjutage kommentaar... Kasutage @nimi mainimiseks (Ctrl+Enter saatmiseks)
Year,Aasta
Yes,Jah
Yesterday,Eile
yesterday,eile
You are not an attendee of this appointment,Te ei ole selle kohtumise osaleja
You are not linked to any resource,Te ei ole ühegi ressursiga seotud
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,Saate kustutada ainult oma kommentaare
You can only delete your own reactions,Saate kustutada ainult oma reaktsioone
You do not have access to the client portal. Please contact support.,Teil puudub juurdepääs kliendiportaalile. Palun võtke ühendust toega.
You have already reacted with '{0}',"Te olete juba reageerinud valikuga „{0}""
You have been assigned to task '{0}' in project '{1}'."""
You have been assigned to task '{0}' in project '{1}'.,Teile on määratud ülesanne '{0}' projektis '{1}'.
You have been assigned to: {0},Teile on määratud: {0}
You have been invited to the following appointment,Teid on kutsutud järgmisele kohtumisele
You have no tasks assigned to you right now.,Teil ei ole hetkel ühtegi määratud ülesannet.
You were mentioned in {0},Teid mainiti dokumendis {0}
Your attendance,Teie osalemine
Your comment has been posted,Teie kommentaar on postitatud
Your Projects,Teie projektid
Your projects will appear here once they're assigned to you.,Teie projektid ilmuvad siia pärast nende teile määramist.
Your Response,Teie vastus
Your RSVP,Teie RSVP
Your support request has been submitted successfully.,Teie tugisoov on edukalt esitatud.
Your support request has been submitted successfully. We'll get back to you shortly.,Teie tugisoov on edukalt esitatud. Vastame teile esimesel võimalusel.
"Your task ""{0}"" is no longer blocked and can now be started.","Teie ülesanne „{0} ei ole enam blokeeritud ja saab nüüd alata."""
{0} is required,{0} on nõutav
{0} new activities,{0} uut tegevust
{0} of {1} completed,{0}/{1} lõpetatud
{0} projects already migrated (will be skipped or updated),{0} projekti on juba migreeritud (jäetakse vahele või uuendatakse)
{0} status changed to {1},{0} olek muudetud olekuks {1}
{0} tasks remaining,{0} ülesannet jäänud
{0} tasks without projects will be skipped,{0} projektita ülesannet jäetakse vahele
{0} {1} not found,{0} {1} ei leitud
