+ Add Milestone,+ Voeg mylpaal by
Updated,Bygewerk
Updated successfully,Suksesvol bygewerk
Updates,Updates
Upload,Laai op
Upload failed,Oplaai het misluk
Upload files below to attach them to this task.,Laai lêers hieronder op om hulle aan hierdie taak te heg.
Upload to project,Laai na projek op
Uploading...,Besig om op te laai...
Urgent,Dringend
User {0} is already linked to client {1},Gebruiker {0} is reeds aan kliënt {1} gekoppel
User {0} is already linked to resource {1},Gebruiker {0} is reeds aan kontakpersoon {1} gekoppel
Utilization,Benutting
Valid,Geldig
Value:,Waarde:
Variance,Afwyking
Variance:,Afwyking:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,Bekyk
View All,Bekyk alles
View all active projects,Bekyk alle aktiewe projekte
View all open tasks,Bekyk alle oop take
View overdue tasks,Bekyk agterstallige take
View Release,View Release
Visibility,Sigbaarheid
Waiting for this task,Wag vir hierdie taak
Waits for:,Wag vir:
Warning: Resource {0} status is {1},Waarskuwing: Kontakpersoon {0} se status is {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,Waarskuwing: HTTP word gebruik in plaas van HTTPS. Webhook-data is moontlik nie veilig nie.
Watch budget closely,Hou begroting fyn dop
We'll respond to:,Ons sal reageer op:
Webhook deleted,Webhook verwyder
Webhook name is required,Webhooknaam word vereis
Webhook not found,Webhook nie gevind nie
Webhook URL is required,Webhook-URL word vereis
Webhook URL must start with http:// or https://,Webhook-URL moet met http:// of https:// begin
Wed,Wo
Week,Week
Weekend,Naweek
Weekly Capacity,Weeklikse kapasiteit
weekly capacity,weeklikse kapasiteit
Weekly Capacity (h),Weeklikse kapasiteit (u)
Welcome,Welkom
Welcome back!,Welkom terug!
Welcome to Orga,Welkom by Orga
What are you working on?,Waaraan werk u?
What did you work on?,Waaraan het u gewerk?
When,Wanneer
When work begins,Wanneer die werk begin
When work is due,Wanneer die werk verskuldig is
Where,Waar
Will capture:,Sal vasvang:
Will create:,Sal skep:
with checklist items,met kontrolelysitems
Working,Aan die gang
Workload,Werklas
Workmanship,Vakmanskap
Write a comment...,Skryf 'n opmerking...
Write a comment... Use @name to mention (Ctrl+Enter to send),Skryf 'n opmerking... Gebruik @naam om te noem (Ctrl+Enter om te stuur)
Year,Jaar
Yes,Ja
Yesterday,Gister
yesterday,gister
You are not an attendee of this appointment,U is nie 'n bywoner van hierdie afspraak nie
You are not linked to any resource,U is nie aan enige kontakpersoon gekoppel nie
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,U kan slegs u eie opmerkings verwyder
You can only delete your own reactions,U kan slegs u eie reaksies verwyder
You do not have access to the client portal. Please contact support.,U het nie toegang tot die kliënteportaal nie. Kontak asseblief ondersteuning.
You have already reacted with '{0}',U het reeds met '{0}' gereageer
You have been assigned to task '{0}' in project '{1}'.,U is aan taak '{0}' in projek '{1}' toegeken.
You have been assigned to: {0},U is toegeken aan: {0}
You have been invited to the following appointment,U is na die volgende afspraak genooi
You have no tasks assigned to you right now.,U het tans geen take aan u toegeken nie.
You were mentioned in {0},U is in {0} genoem
Your attendance,U bywoning
Your comment has been posted,U opmerking is geplaas
Your Projects,U projekte
Your projects will appear here once they're assigned to you.,U projekte sal hier verskyn sodra hulle aan u toegeken word.
Your Response,U antwoord
Your RSVP,U RSVP
Your support request has been submitted successfully.,U ondersteuningsversoek is suksesvol ingedien.
Your support request has been submitted successfully. We'll get back to you shortly.,U ondersteuningsversoek is suksesvol ingedien. Ons sal binnekort met u in verbinding tree.
"Your task ""{0}"" is no longer blocked and can now be started.","U taak ""{0}"" word nie meer geblokkeer nie en kan nou begin word."
{0} is required,{0} word vereis
{0} new activities,{0} nuwe aktiwiteite
{0} of {1} completed,{0} van {1} voltooi
{0} projects already migrated (will be skipped or updated),{0} projekte reeds gemigreer (sal oorgeslaan of bygewerk word)
{0} status changed to {1},{0} se status is na {1} verander
{0} tasks remaining,{0} take oor
{0} tasks without projects will be skipped,{0} take sonder projekte sal oorgeslaan word
{0} {1} not found,{0} {1} nie gevind nie
