+ Add Milestone,+ הוסף אבן דרך
Upload files below to attach them to this task.,העלה קבצים למטה כדי לצרף אותם למשימה זו.
Upload to project,העלה לפרויקט
Uploading...,מעלה...
Urgent,דחוף
User {0} is already linked to client {1},משתמש {0} כבר מקושר ללקוח {1}
User {0} is already linked to resource {1},משתמש {0} כבר מקושר למשאב {1}
Utilization,ניצול
Valid,תקין
Value:,ערך:
Variance,שונות
Variance:,שונות:
Version {0} is available. You are running {1}.,Version {0} is available. You are running {1}.
View,צפה
View All,צפה בהכל
View all active projects,צפה בכל הפרויקטים הפעילים
View all open tasks,צפה בכל המשימות הפתוחות
View overdue tasks,צפה במשימות באיחור
View Release,View Release
Visibility,נראות
Waiting for this task,ממתין למשימה זו
Waits for:,ממתין ל:
Warning: Resource {0} status is {1},אזהרה: סטטוס משאב {0} הוא {1}
Warning: Using HTTP instead of HTTPS. Webhook payloads may not be secure.,אזהרה: שימוש ב-HTTP במקום HTTPS. מטענים של Webhook עשויים שלא להיות מאובטחים.
Watch budget closely,עקוב אחר התקציב מקרוב
We'll respond to:,נשיב אל:
Webhook deleted,ה-Webhook נמחק
Webhook name is required,שם ה-Webhook נדרש
Webhook not found,ה-Webhook לא נמצא
Webhook URL is required,כתובת URL של Webhook נדרשת
Webhook URL must start with http:// or https://,כתובת URL של Webhook חייבת להתחיל ב-http:// או https://
Wed,רביעי
Week,שבוע
Weekend,סוף שבוע
Weekly Capacity,קיבולת שבועית
weekly capacity,קיבולת שבועית
Weekly Capacity (h),קיבולת שבועית (ש)
Welcome,ברוך הבא
Welcome back!,ברוך שובך!
Welcome to Orga,ברוך הבא ל-Orga
What are you working on?,על מה אתה עובד?
What did you work on?,על מה עבדת?
When,מתי
When work begins,כשהעבודה מתחילה
When work is due,כשהעבודה אמורה להסתיים
Where,איפה
Will capture:,ילכוד:
Will create:,ייצור:
with checklist items,עם פריטי רשימת סימון
Working,עובד
Workload,עומס עבודה
Workmanship,מלאכה
Write a comment...,כתוב תגובה...
Write a comment... Use @name to mention (Ctrl+Enter to send),כתוב תגובה... השתמש ב-@שם לאזכור (Ctrl+Enter לשליחה)
Year,שנה
Yes,כן
Yesterday,אתמול
yesterday,אתמול
You are not an attendee of this appointment,אינך משתתף בפגישה זו
You are not linked to any resource,אינך מקושר לאף משאב
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,אתה יכול למחוק רק את התגובות שלך
You can only delete your own reactions,אתה יכול למחוק רק את התגובות הרגשיות שלך
You do not have access to the client portal. Please contact support.,אין לך גישה לפורטל הלקוחות. צור קשר עם התמיכה.
You have already reacted with '{0}',כבר הגבת עם '{0}'
You have been assigned to task '{0}' in project '{1}'.,הוקצית למשימה '{0}' בפרויקט '{1}'.
You have been assigned to: {0},הוקצית ל: {0}
You have been invited to the following appointment,הוזמנת לפגישה הבאה
You have no tasks assigned to you right now.,אין לך משימות מוקצות כרגע.
You were mentioned in {0},אוזכרת ב-{0}
Your attendance,נוכחותך
Your comment has been posted,התגובה שלך פורסמה
Your Projects,הפרויקטים שלך
Your projects will appear here once they're assigned to you.,הפרויקטים שלך יופיעו כאן ברגע שיוקצו לך.
Your Response,תשובתך
Your RSVP,ה-RSVP שלך
Your support request has been submitted successfully.,בקשת התמיכה שלך נשלחה בהצלחה.
Your support request has been submitted successfully. We'll get back to you shortly.,בקשת התמיכה שלך נשלחה בהצלחה. נחזור אליך בקרוב.
"Your task ""{0}"" is no longer blocked and can now be started.","המשימה שלך ""{0}"" אינה חסומה עוד וניתן להתחיל אותה כעת."
{0} is required,{0} נדרש
{0} new activities,{0} פעילויות חדשות
{0} of {1} completed,{0} מתוך {1} הושלמו
{0} projects already migrated (will be skipped or updated),{0} פרויקטים כבר הועברו (ידולגו או יעודכנו)
{0} status changed to {1},סטטוס {0} שונה ל-{1}
{0} tasks remaining,{0} משימות נותרו
{0} tasks without projects will be skipped,{0} משימות ללא פרויקטים ידולגו
{0} {1} not found,{0} {1} לא נמצא
